region_id,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
CED294,38,16,54,831,372,24,1227,4418,1624,7269
CED297,0,0,0,10,0,0,10,23,3,36
CED301,1463,361,1854,22806,8465,1216,32487,64566,8410,105463
CED302,2276,475,2774,24171,8861,1239,34271,72172,6923,113366
CED303,2229,472,2717,23534,9024,1219,33777,70752,6328,110857
CED304,1788,391,2219,19282,6791,921,26994,87692,10102,124788
CED305,1338,620,1977,24618,8017,1370,34005,69341,12314,115660
CED306,1617,336,1969,24843,8335,1254,34432,74219,11768,120419
CED307,1040,341,1388,26545,8920,1417,36882,63886,5240,106008
CED308,1664,658,2342,24686,7779,1098,33563,74289,9480,117332
CED309,2492,489,3000,22219,7616,1228,31063,68403,6727,106193
CED310,2244,623,2893,19995,7344,1085,28424,65964,7374,101762
CED311,967,331,1308,26031,7282,1244,34557,69090,10867,114514
CED312,1159,346,1514,26121,8835,1428,36384,67008,8163,111555
CED313,1747,547,2311,21021,7063,1008,29092,81613,9199,119904
CED314,1964,786,2771,22919,8440,1273,32632,68451,8301,109384
CED315,1289,305,1609,24120,8673,1228,34021,73280,10241,117542
CED316,2283,748,3041,19348,6759,1009,27116,72360,9176,108652
CED317,1673,441,2136,23751,8433,1272,33456,74622,13025,121103
CED318,1178,360,1559,25897,9099,1502,36498,76682,13236,126416
CED319,2625,976,3630,23048,8573,1151,32772,78190,8593,119555
CED320,1541,489,2045,23806,8453,1465,33724,67654,9182,110560
CED321,2166,479,2666,23495,7495,1119,32109,73246,9963,115318
CED322,2219,845,3084,22783,7772,1020,31575,73757,9733,115065
CED323,2542,875,3439,19479,7481,825,27785,83485,14581,125851
CED324,1990,670,2681,22603,7947,1045,31595,80034,8547,120176
CED325,1171,297,1492,26348,8251,1251,35850,65741,9186,110777
CED326,2420,579,3020,23264,8665,1216,33145,70015,7893,111053
CED327,1107,322,1450,29265,9896,1306,40467,78196,9886,128549
CED328,1897,569,2500,23656,8474,1283,33413,81668,6281,121362
CED329,1962,821,2801,20364,7233,1096,28693,71321,9450,109464
CED330,1238,285,1543,24469,8081,1316,33866,64782,7646,106294
CED394,41,11,52,912,637,48,1597,7974,1912,11483
CED397,6,3,9,33,24,0,57,302,92,451
CED401,3187,797,4018,20574,8266,917,29757,88178,9925,127860
CED402,2666,627,3322,23415,9518,1239,34172,76567,8656,119395
CED403,3988,635,4679,20387,9848,1184,31419,74754,5953,112126
CED404,2424,525,2972,21648,9047,1285,31980,75096,9677,116753
CED405,4020,1079,5129,18852,9342,876,29070,81169,7726,117965
CED406,2116,435,2579,25099,10658,1499,37256,75938,6782,119976
CED407,1861,370,2247,21133,9924,1146,32203,70229,6372,108804
CED408,2379,479,2886,23016,9946,1467,34429,72984,5973,113386
CED409,2722,671,3424,25190,9218,1033,35441,85379,9738,130558
CED410,3437,745,4235,21187,9605,905,31697,79101,6610,117408
CED411,2096,479,2587,25526,9531,1393,36450,77364,8821,122635
CED494,59,12,77,298,153,9,460,1845,461,2766
CED497,0,0,3,0,0,3,3,3,0,6
CED501,1551,430,1996,27757,9017,1540,38314,71719,10592,120625
CED502,1518,554,2085,23400,8966,1430,33796,73624,10199,117619
CED503,1282,364,1654,26056,8240,1218,35514,68956,6645,111115
CED504,2700,698,3436,21271,7916,1113,30300,75680,8963,114943
CED505,915,245,1171,27298,8505,1815,37618,80628,21282,139528
CED506,1719,404,2140,24138,7989,1319,33446,67274,8959,109679
