region_id,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
CED513,34298,91159,12729,24246,2976,6583,15705,30829,4552,7777,438,610,212,348,164,240,5366,8975,105,141,0,0,7,13,112,154,18,46,55499,131163,5230,0,60729,131163
CED514,38748,99538,8661,17441,3729,8018,12390,25459,5358,10054,2191,3671,2633,4523,28,47,10210,18295,40,66,3,4,19,40,62,110,45,86,61455,143488,6922,0,68377,143488
CED515,42610,122007,3334,6159,728,1691,4062,7850,1592,2827,196,316,191,421,12,15,1991,3579,0,0,0,4,9,18,9,22,11,45,48683,133503,3745,0,52428,133503
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,33096,83306,2108,3215,317,591,2425,3806,2976,4429,94,134,45,71,59,90,3174,4724,64,91,16,43,103,189,183,323,22,70,38900,92229,5468,0,44368,92229
CED602,34117,84117,1703,2545,82,168,1785,2713,2061,2901,41,61,64,102,52,78,2218,3142,231,341,24,48,118,268,373,657,13,43,38506,90672,5487,0,43993,90672
CED603,29787,74350,2127,3599,1322,2620,3449,6219,4924,7828,809,1327,516,835,197,321,6446,10311,26,38,6,4,171,379,203,421,45,102,39930,91403,4219,0,44149,91403
CED604,33534,85019,1358,2192,289,546,1647,2738,1619,2680,33,43,0,0,39,65,1691,2788,132,206,29,51,65,143,226,400,4,24,37102,90969,5071,0,42173,90969
CED605,35981,88382,913,1663,109,242,1022,1905,953,1521,0,0,0,3,34,68,987,1592,194,323,47,90,129,234,370,647,24,49,38384,92575,12250,0,50634,92575
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,21309,81214,1675,3499,504,989,2179,4488,2546,4945,150,350,8,15,11,21,2715,5331,1337,2890,341,760,90,182,1768,3832,171,418,28142,95283,5222,0,33364,95283
CED702,20206,62128,2765,5507,2003,4561,4768,10068,3437,6867,1688,3434,2393,4905,62,116,7580,15322,417,744,201,364,89,157,707,1265,93,189,33354,88972,3452,0,36806,88972
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED801,47666,132216,5150,9442,2227,4878,7377,14320,2449,4083,2778,4688,1597,2679,140,235,6964,11685,182,271,0,5,14,19,196,295,18,57,62221,158573,4900,0,67121,158573
CED802,46601,130002,6724,13368,4707,10977,11431,24345,2938,5030,3053,5164,2921,5017,195,315,9107,15526,10,20,5,4,19,52,34,76,31,64,67204,170013,5295,0,72499,170013
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
