region_id,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
CED223,38643,105666,3057,5630,1626,3737,4683,9367,3429,6207,206,345,203,365,84,160,3922,7077,0,3,4,4,57,130,61,137,17,27,47326,122274,3417,0,50743,122274
CED224,28448,83729,4550,9327,2505,6047,7055,15374,6424,11532,3319,5863,1487,2390,51,78,11281,19863,0,3,0,0,206,455,206,458,21,41,47011,119465,4648,0,51659,119465
CED225,44657,127455,2744,4860,734,1811,3478,6671,1600,2795,73,138,189,328,48,98,1910,3359,105,137,8,19,37,97,150,253,20,56,50215,137794,3422,0,53637,137794
CED226,65130,190216,2788,6174,1045,2851,3833,9025,2667,5062,51,118,171,295,29,48,2918,5523,235,303,3,11,36,105,274,419,15,33,72170,205216,5830,0,78000,205216
CED227,44085,109714,1680,2634,130,268,1810,2902,2947,4316,11,13,0,0,17,32,2975,4361,545,796,39,88,153,332,737,1216,23,65,49630,118258,7870,0,57500,118258
CED228,34872,97624,2876,6095,1593,4076,4469,10171,5386,10163,1065,1794,566,957,27,56,7044,12970,3,3,6,11,96,230,105,244,17,44,46507,121053,3825,0,50332,121053
CED229,57137,160713,1658,3993,814,2269,2472,6262,1253,2007,5,0,8,21,47,90,1313,2118,393,581,78,177,79,175,550,933,17,43,61489,170069,7780,0,69269,170069
CED230,46124,119495,2713,4871,89,176,2802,5047,2624,3818,0,3,0,0,14,26,2638,3847,297,428,19,49,58,125,374,602,11,28,51949,129019,11590,0,63539,129019
CED231,13157,33511,10698,23145,10474,25039,21172,48184,7006,12542,9138,15914,23117,43089,37,77,39298,71622,0,0,0,3,327,723,327,726,73,160,74027,154203,9078,0,83105,154203
CED232,14712,40248,6445,14047,5609,13214,12054,27261,11709,20245,12718,20866,15163,27217,22,41,39612,68369,9,21,6,9,305,614,320,644,28,51,66726,136573,9584,0,76310,136573
