region_id,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
CED140,0,14009,14009,17249,1312,18561,7192,247,7439,7005,77,7082,3806,21,3827,1881,5,1886,37133,15671,52804
CED141,0,14693,14693,16413,1243,17656,7254,157,7411,7498,27,7525,3089,8,3097,1304,6,1310,35558,16134,51692
CED142,0,12684,12684,16587,1017,17604,7183,99,7282,7305,33,7338,2967,3,2970,1287,0,1287,35329,13836,49165
CED143,0,25545,25545,21977,6059,28036,7585,2167,9752,4877,1147,6024,1281,307,1588,452,164,616,36172,35389,71561
CED144,0,11981,11981,16144,838,16982,7566,84,7650,7500,23,7523,3320,6,3326,1658,0,1658,36188,12932,49120
CED145,0,15659,15659,17212,2172,19384,7857,517,8374,8624,123,8747,3341,31,3372,937,11,948,37971,18513,56484
CED146,0,10069,10069,12024,1212,13236,9343,362,9705,9223,197,9420,4998,78,5076,3677,36,3713,39265,11954,51219
CED147,0,22748,22748,18852,4418,23270,7134,1257,8391,6168,328,6496,2347,76,2423,651,28,679,35152,28855,64007
CED148,0,7426,7426,10698,728,11426,8495,75,8570,9726,26,9752,4874,3,4877,3319,0,3319,37112,8258,45370
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,0,7327,7327,12506,725,13231,8151,157,8308,9700,28,9728,3947,12,3959,1471,3,1474,35775,8252,44027
CED202,0,14472,14472,16953,1615,18568,7457,409,7866,7348,153,7501,3439,34,3473,1390,13,1403,36587,16696,53283
CED203,0,14371,14371,14529,2165,16694,7650,966,8616,7365,403,7768,2790,136,2926,1178,73,1251,33512,18114,51626
CED204,0,15423,15423,17973,1608,19581,7456,351,7807,6844,93,6937,3193,24,3217,1392,13,1405,36858,17512,54370
