region_id,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
CED231,13667,39436,6911,8604,12354,6873,1657,3714,1954,95170
CED232,15887,34255,6390,6692,11596,7173,1176,2552,1975,87696
CED233,9457,16133,6826,4795,9335,6690,1603,3030,1150,59019
CED234,10063,8037,7923,5143,6203,5335,3998,8326,1100,56128
CED235,5528,9091,9177,5661,9745,6806,5363,6814,1544,59729
CED236,11885,8476,8190,5732,5717,5266,4109,7825,1108,58308
CED237,8054,20048,8774,6358,11085,6247,3533,5147,1771,71017
CED294,244,506,368,295,259,191,206,322,89,2480
CED297,0,9,6,0,0,6,3,10,0,34
CED301,5636,7779,9546,6835,8752,5419,5726,8260,1135,59088
CED302,8929,16751,9083,6088,12365,6653,3789,5857,1262,70777
CED303,8334,11053,11123,6520,11754,7198,4234,6660,1085,67961
CED304,12398,30199,7261,7426,12527,6789,1859,4260,1445,84164
CED305,7419,9803,13219,5873,8953,5825,9711,8332,1329,70464
CED306,8633,10554,14374,6578,9758,6804,8624,9174,1348,75847
CED307,8238,13852,10878,7144,12891,7031,4256,5698,1208,71196
CED308,8832,10931,10651,6868,10289,8685,4009,6760,1271,68296
CED309,7161,11302,9560,6402,8342,6690,3075,6171,933,59636
CED310,6516,9206,8988,5873,7452,6500,3080,5876,845,54336
CED311,9644,8012,13181,5121,7962,5119,10439,9582,1397,70457
CED312,6916,8717,11766,6506,10973,6965,6308,8005,1333,67489
CED313,10882,26658,8175,6904,12363,6610,2469,4691,1352,80104
CED314,7432,11666,9964,6417,9124,6134,4425,7949,1020,64131
CED315,6934,12535,12487,9217,10491,7206,6116,7541,1338,73865
CED316,5073,7440,7193,5598,6088,5370,3555,6604,813,47734
CED317,9823,8343,11470,6353,7661,5338,7697,9867,1386,67938
CED318,8594,13624,11552,9482,10373,7709,4426,8206,1573,75539
CED319,8318,17816,9490,7030,13400,6915,3940,6166,1392,74467
CED320,5984,7293,10245,6380,9188,6622,5400,7692,1107,59911
CED321,13704,7531,9071,5708,7192,5130,6627,10407,1085,66455
CED322,7620,12250,10047,7361,9548,8611,2725,6137,1106,65405
CED323,8398,12593,9927,8148,9324,9016,3183,6991,1376,68956
CED324,7659,19741,8367,6538,10787,6184,3739,5880,1411,70306
CED325,7084,12469,9348,6501,10572,6226,5716,7111,1334,66361
CED326,6571,10725,9461,6946,10822,6809,4483,6759,1161,63737
CED327,6913,11580,11674,7208,12970,7717,8145,9462,1558,77227
CED328,10387,28070,6808,7628,11404,6715,1620,3424,1194,77250
CED329,6818,7895,8127,6051,6619,5615,3900,6902,944,52871
CED330,8460,8512,10937,5948,9082,5789,5572,7988,1187,63475
CED394,277,626,557,304,280,221,461,766,101,3593
CED397,22,51,35,24,19,18,11,52,7,239
CED401,9438,23850,7128,7101,9946,6370,2490,5438,1182,72943
CED402,12583,7856,9260,6233,7188,5972,5349,12245,1033,67719
CED403,8115,18699,7516,6755,9906,6254,1999,4608,908,64760
CED404,10609,8103,9672,6492,6318,5036,6106,8175,1225,61736
CED405,8165,15274,8731,6994,11396,6755,3086,5411,1095,66907
CED406,6433,10159,12685,8649,10933,7876,4617,8060,1071,70483
CED407,6198,10447,10749,7046,11326,6914,4349,6522,980,64531
CED408,9980,13911,10159,7038,9169,6114,3304,6815,921,67411
CED409,6650,11341,10736,7677,10809,6867,6341,9507,1441,71369
