region_id,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
CED397,24,72,63,60,73,70,54,42,5,463,0,0,0,0,0,0,0,0,0,0,42,30,47,63,118,109,69,28,8,514,23,12,20,46,74,70,46,26,0,317,239,204,271,282,307,371,406,209,22,2311,14,3,12,23,13,22,16,6,0,109,6,17,29,27,34,20,10,0,0,143,0,3,3,5,7,11,23,3,3,58,4,3,13,5,6,0,0,0,0,31,0,0,6,0,3,3,6,0,0,18,0,0,0,0,0,0,0,0,0,0,328,272,401,451,562,606,576,272,33,3501,328,272,401,451,562,606,576,272,33,3501,352,344,464,511,635,676,630,314,38,3964
CED401,21551,22757,24492,19832,18853,16041,9185,6886,3839,143436,33,70,58,30,28,20,14,10,9,272,20,115,225,229,265,221,142,50,3,1270,22,115,246,289,288,242,115,31,6,1354,9,36,123,112,176,104,45,16,0,621,574,1150,1102,761,767,698,519,429,322,6322,7,40,65,72,118,89,45,23,0,459,5,12,21,16,16,37,15,4,0,126,12,57,25,40,48,37,7,5,0,231,4,7,21,41,22,37,8,0,4,144,0,0,0,0,0,0,0,0,0,0,653,1532,1828,1560,1700,1465,896,558,335,10527,686,1602,1886,1590,1728,1485,910,568,344,10799,22237,24359,26378,21422,20581,17526,10095,7454,4183,154235
CED402,28252,15558,14970,18607,20324,18596,12365,7766,3166,139604,57,62,46,53,58,48,32,17,6,379,16,32,63,25,45,80,81,23,3,368,30,80,99,82,122,209,183,63,9,877,9,18,30,30,35,57,46,6,5,236,485,832,673,527,602,718,459,179,102,4577,10,21,26,17,20,51,25,11,0,181,0,0,10,3,16,20,10,0,0,59,5,8,9,4,4,13,0,0,0,43,3,4,0,0,5,10,7,0,0,29,0,0,0,0,0,0,0,0,0,0,558,995,910,688,849,1158,811,282,119,6370,615,1057,956,741,907,1206,843,299,125,6749,28867,16615,15926,19348,21231,19802,13208,8065,3291,146353
CED403,21525,16586,14497,16929,18091,16674,10919,8245,4480,127946,26,30,19,22,19,26,3,11,12,168,23,26,21,20,22,37,30,7,5,191,3,40,16,16,27,35,26,14,9,186,9,18,9,11,17,24,20,0,0,108,355,739,533,320,303,346,292,264,200,3352,4,0,20,5,7,8,13,4,0,61,3,0,3,4,3,6,4,4,0,27,5,18,3,4,6,9,9,0,0,54,4,0,5,4,6,0,4,0,0,23,0,0,0,0,0,0,0,0,0,0,406,841,610,384,391,465,398,293,214,4002,432,871,629,406,410,491,401,304,226,4170,21957,17457,15126,17335,18501,17165,11320,8549,4706,132116
CED404,27002,15069,14478,17235,19485,17606,12793,7582,2802,134052,136,102,78,83,88,84,38,34,16,659,39,81,81,97,152,279,225,37,5,996,53,51,132,130,186,398,315,67,5,1337,14,54,79,109,118,245,137,18,0,774,834,1271,1441,1451,1730,1670,926,311,108,9742,23,35,62,71,114,170,112,23,0,610,9,4,19,19,40,55,47,11,0,204,13,13,17,18,31,27,8,0,0,127,3,0,8,3,8,28,13,0,0,63,0,0,0,0,0,0,0,0,0,0,988,1509,1839,1898,2379,2872,1783,467,118,13853,1124,1611,1917,1981,2467,2956,1821,501,134,14512,28126,16680,16395,19216,21952,20562,14614,8083,2936,148564
CED405,19271,17152,18118,17565,17979,15865,11449,9351,4905,131655,25,34,29,23,15,18,10,9,14,177,24,12,65,48,69,74,44,14,3,353,69,25,82,70,85,82,59,16,4,492,11,12,31,31,45,50,20,8,0,208,309,715,614,390,375,340,205,105,59,3112,10,11,26,22,26,37,17,4,0,153,0,4,3,7,15,22,12,0,0,63,6,11,10,7,13,12,5,0,0,64,0,0,12,0,6,10,0,0,0,28,0,0,0,0,0,0,0,0,0,0,429,790,843,575,634,627,362,147,66,4473,454,824,872,598,649,645,372,156,80,4650,19725,17976,18990,18163,18628,16510,11821,9507,4985,136305
CED406,28480,18315,18476,20010,19953,18233,10632,6008,2475,142582,28,21,33,19,21,15,15,5,3,160,15,21,19,18,21,31,21,10,3,159,14,12,19,9,19,29,22,7,3,134,10,9,15,13,16,27,7,0,0,97,537,798,568,337,255,238,168,113,53,3067,6,11,6,0,9,11,6,0,0,49,3,0,3,3,5,11,4,0,0,29,0,7,5,5,10,9,0,0,3,39,0,0,3,0,0,3,3,6,0,15,0,0,0,0,0,0,0,0,0,0,585,858,638,385,335,359,231,136,62,3589,613,879,671,404,356,374,246,141,65,3749,29093,19194,19147,20414,20309,18607,10878,6149,2540,146331
CED407,23782,16934,16175,18104,18126,16353,10543,5908,2174,128099,23,15,12,16,11,13,12,8,6,116,13,9,17,5,20,20,16,4,0,104,11,11,19,13,5,11,5,0,3,78,0,11,12,8,13,5,0,0,0,49,311,623,477,268,224,195,114,118,65,2395,5,3,0,8,3,5,5,5,0,34,0,0,4,3,6,6,0,0,0,19,0,3,6,5,4,3,0,0,0,21,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,340,660,535,310,275,250,140,127,68,2705,363,675,547,326,286,263,152,135,74,2821,24145,17609,16722,18430,18412,16616,10695,6043,2248,130920
CED408,25619,15060,11616,17822,20288,19349,12331,6874,2766,131725,40,41,22,26,15,45,21,6,5,221,8,6,23,18,37,47,45,20,3,207,7,25,33,23,40,55,46,23,0,252,22,11,17,16,22,33,46,0,3,170,456,681,397,329,395,416,309,147,84,3214,12,8,23,10,32,29,14,7,0,135,0,0,0,3,8,8,18,4,0,41,7,11,14,4,4,6,5,0,0,51,6,3,0,8,6,7,0,0,0,30,0,0,0,0,0,0,0,0,0,0,518,745,507,411,544,601,483,201,90,4100,558,786,529,437,559,646,504,207,95,4321,26177,15846,12145,18259,20847,19995,12835,7081,2861,136046
CED409,28982,20695,22490,22369,22127,16825,10108,7313,3296,154205,29,41,40,33,27,15,13,14,9,221,20,12,32,35,24,27,23,9,0,182,24,26,34,29,37,36,19,8,0,213,3,9,10,15,19,35,15,0,0,106,509,851,724,475,426,328,212,164,106,3795,9,5,16,6,18,15,10,3,0,82,3,3,0,3,3,3,3,0,0,18,8,11,11,5,10,7,0,0,0,52,0,3,0,3,3,4,3,0,0,16,0,0,0,0,0,0,0,0,0,0,576,920,827,571,540,455,285,184,106,4464,605,961,867,604,567,470,298,198,115,4685,29587,21656,23357,22973,22694,17295,10406,7511,3411,158890
CED410,22354,17775,16479,18402,18252,15910,12649,9172,4062,135055,22,38,23,24,15,23,9,7,8,169,12,16,19,20,24,30,24,4,0,149,11,17,35,21,22,34,33,15,6,194,5,3,18,8,12,21,18,5,0,90,322,578,525,332,279,229,176,91,61,2593,7,3,7,3,10,11,11,3,0,55,0,0,3,0,3,0,9,0,0,15,3,13,3,11,7,3,3,3,3,49,3,3,0,6,6,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,363,633,610,401,363,328,278,121,70,3167,385,671,633,425,378,351,287,128,78,3336,22739,18446,17112,18827,18630,16261,12936,9300,4140,138391
