region_id,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
CED402,18263,35974,300,1593,1708,7756,506,2278,9073,35976,11587,47603,614,2439,1181,3733,2562,7861,4357,14033,15944,61636,68,306,451,1569,223,773,2810,7659,3552,10307,154,485,523,1093,1660,3463,2337,5041,5889,15348,446,928,40542,113886
CED403,14829,29216,204,1113,1608,7216,322,1383,8233,31455,10367,41167,952,3921,1831,6234,2730,8426,5513,18581,15880,59748,45,185,363,1205,115,380,1714,4283,2237,6053,270,823,726,1586,1891,3938,2887,6347,5124,12400,609,1256,36442,102620
CED404,17450,34221,292,1562,1508,6831,515,2389,8368,32995,10683,43777,422,1696,973,2967,2157,6552,3552,11215,14235,54992,81,371,445,1621,249,913,2877,7954,3652,10859,149,451,467,979,1651,3507,2267,4937,5919,15796,451,955,38055,105964
CED405,15793,31220,157,849,1331,5980,253,1136,7588,28557,9329,36522,816,3380,1410,4861,2798,8821,5024,17062,14353,53584,45,215,312,1046,108,378,1818,4456,2283,6095,240,765,667,1489,2174,4553,3081,6807,5364,12902,859,1780,36369,99486
CED406,16170,31978,294,1576,1684,7646,578,2561,9514,36540,12070,48323,951,3891,1360,4545,3413,10701,5724,19137,17794,67460,85,381,569,1977,259,857,3433,8940,4346,12155,284,882,723,1564,2331,4940,3338,7386,7684,19541,507,1042,42155,120021
CED407,14740,29244,257,1445,1550,7125,503,2203,8337,32128,10647,42901,978,4040,1429,4934,3469,11010,5876,19984,16523,62885,89,387,446,1500,229,756,2351,6107,3115,8750,313,999,660,1487,2048,4357,3021,6843,6136,15593,496,1045,37895,108767
CED408,17670,34737,273,1521,1833,8278,479,2080,9090,35541,11675,47420,962,3932,1587,5327,2859,8769,5408,18028,17083,65448,66,278,419,1395,160,542,1997,5110,2642,7325,205,637,556,1187,1443,2977,2204,4801,4846,12126,315,654,39914,112965
CED409,14505,28895,273,1533,1825,8585,600,2729,9602,36771,12300,49618,993,4202,1407,4807,3605,11568,6005,20577,18305,70195,147,672,623,2286,327,1154,3447,9229,4544,13341,350,1141,776,1767,3108,6780,4234,9688,8778,23029,866,1863,42454,123982
CED410,15381,30456,210,1134,1621,7275,275,1234,8524,32465,10630,42108,977,4035,1807,6283,2985,9443,5769,19761,16399,61869,67,318,464,1542,135,477,1915,4848,2581,7185,293,913,851,1922,2032,4358,3176,7193,5757,14378,751,1580,38288,108283
CED411,15222,30179,357,2052,1772,8502,638,2910,9239,36433,12006,49897,807,3348,1264,4184,3264,10253,5335,17785,17341,67682,143,681,654,2411,385,1364,4484,12330,5666,16786,268,845,716,1567,2480,5289,3464,7701,9130,24487,597,1239,42290,123587
CED494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,15670,30459,419,2274,1791,8197,950,4285,11114,42607,14274,57363,815,3276,1112,3602,3012,9218,4939,16096,19213,73459,93,432,472,1661,374,1326,3277,8948,4216,12367,208,652,516,1149,1887,4021,2611,5822,6827,18189,514,1074,42224,123181
CED502,16951,33171,368,2090,1462,6839,785,3552,9093,35299,11708,47780,752,3022,1014,3249,3138,9627,4904,15898,16612,63678,108,501,409,1449,352,1247,2960,8150,3829,11347,215,660,480,1044,1940,4134,2635,5838,6464,17185,499,1035,40526,115069
CED503,12843,25367,429,2396,2022,9435,711,3247,10797,42106,13959,57184,1207,5075,1510,5128,3766,11969,6483,22172,20442,79356,100,502,434,1575,244,907,2231,6148,3009,9132,291,927,487,1141,1880,4090,2658,6158,5667,15290,593,1286,39545,121299
CED504,14012,27175,162,863,1652,7465,181,746,8951,34558,10946,43632,894,3604,2081,7218,1915,5773,4890,16595,15836,60227,36,156,277,914,54,165,1248,3087,1615,4322,241,747,675,1539,1300,2687,2216,4973,3831,9295,781,1630,34460,98327
CED505,15087,29332,263,1527,1224,5482,897,4382,11132,44064,13516,55455,412,1609,669,1909,2251,6905,3332,10423,16848,65878,70,322,323,1233,449,1975,3039,8919,3881,12449,117,360,263,527,1459,3286,1839,4173,5720,16622,557,1265,38212,113097
CED506,15702,30571,270,1425,1505,6757,655,2888,9597,37283,12027,48353,613,2399,924,2795,2583,7761,4120,12955,16147,61308,56,229,403,1358,232,778,2655,7047,3346,9412,190,577,446,922,1475,3047,2111,4546,5457,13958,349,721,37655,106558
CED507,14660,28670,253,1348,1462,6545,551,2472,10076,38154,12342,48519,887,3597,1294,4305,3029,9408,5210,17310,17552,65829,72,339,382,1289,208,757,2432,6346,3094,8731,257,790,604,1313,2111,4438,2972,6541,6066,15272,727,1517,39005,111288
CED508,15050,29641,378,2179,1535,7240,724,3297,9584,37034,12221,49750,1016,4239,1173,3918,3634,11309,5823,19466,18044,69216,102,477,467,1662,321,1158,2718,7386,3608,10683,300,965,502,1123,2362,5047,3164,7135,6772,17818,684,1465,40550,118140
CED509,13911,27173,369,1950,2190,9791,690,3054,10521,40509,13770,55304,1424,5821,2082,7111,3781,11645,7287,24577,21057,79881,80,349,382,1316,193,639,2023,5371,2678,7675,287,912,609,1392,1687,3556,2583,5860,5261,13535,531,1124,40760,121713
CED510,16548,32197,314,1730,1463,6470,663,2995,10116,39983,12556,51178,425,1633,801,2336,2304,7004,3530,10973,16086,62151,50,256,362,1294,268,977,2686,7394,3366,9921,117,353,363,743,1438,3069,1918,4165,5284,14086,447,931,38365,109365
CED511,15877,30959,410,2242,2017,9228,914,4135,11413,44386,14754,59991,928,3751,1214,3923,3095,9455,5237,17129,19991,77120,101,447,424,1539,291,1056,2748,7624,3564,10666,195,605,454,991,1672,3558,2321,5154,5885,15820,390,822,42143,124721
CED512,15967,31287,174,967,1189,5379,357,1622,8154,30459,9874,38427,701,2912,1194,4113,2617,8177,4512,15202,14386,53629,52,245,340,1129,180,617,2051,5191,2623,7182,229,731,625,1394,2132,4519,2986,6644,5609,13826,980,2087,36942,100829
CED513,14950,29483,232,1305,1337,6296,342,1573,8846,33758,10757,42932,742,3116,1258,4301,2657,8313,4657,15730,15414,58662,66,323,334,1192,192,675,2149,5596,2741,7786,279,885,628,1405,2125,4547,3032,6837,5773,14623,938,1994,37075,104762
CED514,16307,32178,188,1081,1230,5726,340,1520,9044,33949,10802,42276,610,2550,1209,4041,2346,7274,4165,13865,14967,56141,72,331,332,1187,214,778,2209,5831,2827,8127,235,762,677,1508,2221,4699,3133,6969,5960,15096,1711,3670,38945,107085
CED515,13343,26353,354,1885,2362,10714,460,2004,9450,36463,12626,51066,1558,6493,2398,8297,3708,11700,7664,26490,20290,77556,49,219,369,1218,118,390,1358,3493,1894,5320,299,978,666,1566,1632,3497,2597,6041,4491,11361,778,1721,38902,116991
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,10713,21157,174,950,1120,5171,327,1498,5780,22613,7401,30232,485,2014,899,2913,1756,5429,3140,10356,10541,40588,62,264,355,1247,138,464,2187,5823,2742,7798,145,441,507,1086,1306,2747,1958,4274,4700,12072,399,829,26353,74646
CED602,11653,22939,207,1117,1100,5003,442,1961,5677,22231,7426,30312,402,1581,729,2246,1887,5804,3018,9631,10444,39943,43,195,362,1266,170,563,2226,6021,2801,8045,124,362,397,820,1281,2657,1802,3839,4603,11884,272,566,26972,75332
CED603,10163,19997,128,717,1047,4846,256,1093,5372,20517,6803,27173,448,1793,1053,3411,1619,4987,3120,10191,9923,37364,57,271,336,1158,142,478,2038,5173,2573,7080,184,561,553,1194,1376,2847,2113,4602,4686,11682,460,959,25232,70002
CED604,11388,22434,167,947,1117,5124,323,1464,6315,24492,7922,32027,533,2180,1001,3237,1894,5820,3428,11237,11350,43264,49,193,342,1144,122,430,1996,5308,2509,7075,141,409,450,970,1350,2847,1941,4226,4450,11301,313,639,27501,77638
CED605,12514,24621,190,1051,1101,5012,443,2006,5982,23456,7716,31525,404,1623,833,2615,2011,6178,3248,10416,10964,41941,42,177,310,1119,163,577,2221,5997,2736,7870,93,288,337,708,1220,2542,1650,3538,4386,11408,274,568,28138,78538
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,7523,15112,285,1957,895,4518,827,5012,7487,31388,9494,42875,256,1032,440,1365,1309,4326,2005,6723,11499,49598,76,455,266,1129,421,2276,2577,8204,3340,12064,71,247,174,356,1060,2798,1305,3401,4645,15465,444,1146,24111,81321
CED702,8982,17519,163,892,963,4415,425,1989,6863,26301,8414,33597,374,1497,649,2041,1581,4890,2604,8428,11018,42025,59,261,294,1039,197,738,1871,5100,2421,7138,121,368,330,692,1132,2427,1583,3487,4004,10625,425,931,24429,71100
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED801,16767,33082,364,1996,2238,10099,496,2210,11114,42983,14212,57288,1265,5174,2299,7739,3577,11194,7141,24107,21353,81395,88,365,598,1968,220,767,2567,6667,3473,9767,374,1160,904,1993,2310,4915,3588,8068,7061,17835,634,1321,45815,133633
CED802,18383,36213,275,1519,2001,9174,400,1771,13366,50991,16042,63455,972,3979,1868,6190,2958,9245,5798,19414,21840,82869,55,244,429,1430,203,651,2701,6882,3388,9207,291,893,836,1851,2026,4272,3153,7016,6541,16223,818,1721,47582,137026
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
