region_id,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
CED211,12602,25136,179,1010,1522,6956,204,940,8949,34364,10854,43270,802,3409,1440,5053,2761,8774,5003,17236,15857,60506,38,176,301,1032,117,403,1625,4161,2081,5772,262,832,749,1718,2194,4690,3205,7240,5286,13012,628,1328,34373,99982
CED212,13930,27692,265,1427,1498,6828,457,2048,8335,32537,10555,42840,951,3948,1410,4783,3115,9842,5476,18573,16031,61413,107,457,486,1647,267,937,2775,7304,3635,10345,306,969,748,1667,2492,5286,3546,7922,7181,18267,528,1090,37670,108462
CED213,16517,32745,285,1520,1468,6712,501,2283,8237,32617,10491,43132,820,3354,1196,4016,2930,9208,4946,16578,15437,59710,84,350,453,1554,221,773,2424,6423,3182,9100,223,689,568,1236,1880,3979,2671,5904,5853,15004,366,746,38173,108205
CED214,13891,27772,221,1282,1445,6716,313,1407,10036,37787,12015,47192,933,4030,1353,4752,2910,9452,5196,18234,17211,65426,64,305,421,1508,168,607,2135,5558,2788,7978,300,984,768,1791,2506,5510,3574,8285,6362,16263,986,2133,38450,111594
CED215,16592,32551,266,1447,1615,7450,455,2040,7592,29931,9928,40868,675,2719,1196,3819,2452,7452,4323,13990,14251,54858,80,347,457,1636,239,874,2787,7688,3563,10545,171,520,588,1239,1671,3494,2430,5253,5993,15798,400,815,37236,104022
CED216,12419,24471,184,954,1921,8515,213,922,10102,39120,12420,49511,1105,4513,2216,7826,2557,8024,5878,20363,18298,69874,32,146,327,1049,54,157,1361,3418,1774,4770,249,738,808,1834,1792,3786,2849,6358,4623,11128,552,1159,35892,106632
CED217,13687,27791,510,2893,2803,13221,773,3584,14293,56214,18379,75912,1799,7867,2114,7573,5633,18734,9546,34174,27925,110086,189,913,746,2854,377,1404,3199,9035,4511,14206,503,1696,738,1762,2792,6421,4033,9879,8544,24085,837,1853,50993,163815
CED218,13642,26853,117,616,1379,6159,123,495,7910,30308,9529,37578,864,3456,1863,6494,1971,6055,4698,16005,14227,53583,18,88,220,725,40,125,971,2396,1249,3334,196,597,689,1548,1429,3034,2314,5179,3563,8513,1020,2138,32452,91087
CED219,13960,28217,581,3484,3036,14697,975,4583,14980,59175,19572,81939,1641,7119,1992,7004,4737,15552,8370,29675,27942,111614,185,865,669,2515,410,1524,3485,9866,4749,14770,464,1500,763,1814,2831,6303,4058,9617,8807,24387,714,1532,51423,165750
CED220,12243,24746,190,1081,1613,7363,336,1499,9065,34744,11204,44687,1029,4380,1639,5756,3577,11559,6245,21695,17449,66382,51,226,370,1283,129,467,1685,4436,2235,6412,287,904,721,1677,2411,5282,3419,7863,5654,14275,836,1816,36182,107219
CED221,15307,30107,221,1233,1569,7228,311,1361,7372,29479,9473,39301,619,2461,1262,4037,2229,6783,4110,13281,13583,52582,58,264,439,1511,173,622,2451,6550,3121,8947,170,504,549,1140,1516,3143,2235,4787,5356,13734,364,745,34610,97168
CED222,13820,27712,324,1781,1986,9188,526,2452,10973,42471,13809,55892,1194,5067,1768,6173,3619,11787,6581,23027,20390,78919,77,363,522,1804,226,819,2331,6191,3156,9177,346,1118,799,1851,2452,5345,3597,8314,6753,17491,688,1486,41651,125608
CED223,12130,24088,223,1233,1685,7658,253,1169,8808,34078,10969,44138,1148,4827,1787,6285,3359,10771,6294,21883,17263,66021,57,235,376,1269,127,419,1635,4191,2195,6114,279,898,749,1707,2139,4608,3167,7213,5362,13327,567,1199,35322,104635
CED224,11607,22934,160,812,2080,9478,165,694,8123,31747,10528,42731,1175,4954,2638,9336,2326,7221,6139,21511,16667,64242,23,92,292,947,45,147,930,2269,1290,3455,264,836,835,1956,1387,2923,2486,5715,3776,9170,778,1658,32828,98004
CED225,13215,26328,380,2138,2163,10054,555,2497,10659,41892,13757,56581,1316,5577,1718,5999,3628,11719,6662,23295,20419,79876,94,434,469,1597,157,542,2162,5620,2882,8193,342,1081,637,1453,1994,4242,2973,6776,5855,14969,456,952,39945,122125
CED226,17893,36014,543,3098,2666,12706,859,3975,17231,66870,21299,86649,1519,6519,2007,6987,4739,15445,8265,28951,29564,115600,188,865,793,2969,436,1614,4547,12592,5964,18040,441,1411,898,2052,3012,6736,4351,10199,10315,28239,918,1979,58690,181832
CED227,14838,29329,283,1572,1729,8075,414,1883,7255,29318,9681,40848,542,2185,1072,3381,2171,6672,3785,12238,13466,53086,60,275,425,1531,264,919,2401,6734,3150,9459,142,433,463,987,1477,3082,2082,4502,5232,13961,449,950,33985,97326
CED228,11664,23407,222,1202,1514,7088,308,1422,7700,29838,9744,39550,1036,4505,1432,5142,3601,11713,6069,21360,15813,60910,53,247,408,1467,150,517,1777,4815,2388,7046,297,1004,635,1519,2527,5591,3459,8114,5847,15160,911,2013,34235,101490
CED229,16998,33646,483,2628,2632,12110,705,3163,13797,54579,17617,72480,1503,6308,1932,6601,4396,14087,7831,26996,25448,99476,110,476,614,2081,255,877,2770,7515,3749,10949,331,1034,698,1535,2032,4406,3061,6975,6810,17924,447,943,49703,151989
CED230,15506,30738,328,1917,1617,7668,481,2202,8596,34605,11022,46392,834,3472,1116,3640,2642,8251,4592,15363,15614,61755,120,538,443,1577,228,814,2653,7217,3444,10146,221,674,557,1186,1719,3604,2497,5464,5941,15610,452,943,37513,109046
