region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED232,6447,3679,5520,36,8,15690,4892,3536,8023,40,7,16498,1917,2904,19060,139,8,24028,37,436,1610,0,0,2083,817,972,3717,64,0,5570,38,66,229,0,0,333,54,50,179,13,0,296,112,91,265,7,0,475,2975,4519,25060,223,8,32785,75,68,188,6,3,340,323,253,821,13,3,1413,14712,12055,39612,318,29,66726
CED233,17812,1511,695,14,0,20032,12420,1307,528,4,3,14262,2753,1041,680,13,0,4487,100,71,33,0,0,204,1002,255,163,11,0,1431,29,26,18,0,0,73,82,11,10,4,0,107,120,13,14,0,0,147,4086,1417,918,28,0,6449,178,150,86,0,0,414,701,115,79,0,0,895,35197,4500,2306,46,3,42052
CED234,16644,321,669,402,16,18052,15484,149,223,59,11,15926,3948,490,1305,13,0,5756,1219,229,526,3,0,1977,2570,130,286,49,9,3044,177,30,115,0,0,322,611,17,78,182,6,894,410,13,52,14,0,489,8935,909,2362,261,15,12482,327,22,111,7,5,472,1162,57,228,56,0,1503,42552,1458,3593,785,47,48435
CED235,16188,340,442,0,3,16973,15101,625,378,4,3,16111,4069,666,847,7,0,5589,510,41,98,0,0,649,1485,103,156,4,0,1748,65,19,8,0,0,92,219,17,21,3,0,260,159,12,11,0,0,182,6507,858,1141,14,0,8520,207,8,45,0,0,260,1136,47,83,0,0,1266,39139,1878,2089,18,6,43130
CED236,19600,406,359,165,3,20533,14397,182,174,78,5,14836,3365,401,913,26,3,4708,997,180,419,3,0,1599,3113,135,260,58,0,3566,110,20,99,0,0,229,724,22,43,58,6,853,507,11,34,20,0,572,8816,769,1768,165,9,11527,367,22,71,6,0,466,1146,50,128,69,0,1393,44326,1429,2500,483,17,48755
CED237,17064,1753,944,29,8,19798,12103,2683,1760,47,14,16607,4566,2965,4621,71,10,12233,455,361,535,0,0,1351,1982,717,735,55,4,3493,49,31,83,3,0,166,199,58,57,13,0,327,206,53,169,4,0,432,7457,4185,6200,146,14,18002,207,42,50,0,0,299,1206,254,263,5,0,1728,38037,8917,9217,227,36,56434
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,12370,310,99,155,7,12941,16615,226,55,39,3,16938,7977,643,499,6,16,9141,1115,205,323,0,0,1643,2825,214,191,30,11,3271,112,92,118,0,0,322,816,51,69,231,15,1182,255,26,23,4,0,308,13100,1231,1223,271,42,15867,204,17,29,7,0,257,956,73,70,25,3,1127,43245,1857,1476,497,55,47130
CED302,14416,1043,369,355,4,16187,16767,1067,291,22,0,18147,5320,1646,856,11,5,7838,915,396,569,0,0,1880,2239,852,292,24,0,3407,96,117,67,0,0,280,151,129,53,333,4,670,142,48,24,12,0,226,8863,3188,1861,380,9,14301,161,157,124,7,0,449,748,148,132,34,0,1062,40955,5603,2777,798,13,50146
CED303,13836,1297,291,173,3,15600,18935,753,209,19,0,19916,5618,835,362,9,3,6827,583,544,338,3,3,1471,2262,427,183,20,3,2895,75,201,48,0,0,324,160,88,29,25,0,302,153,28,22,0,0,203,8851,2123,982,57,9,12022,247,359,38,6,0,650,700,214,47,23,0,984,42569,4746,1567,278,12,49172
CED304,8726,676,3031,47,3,12483,10409,1062,4964,29,9,16473,4659,1817,11353,42,19,17890,190,166,1681,0,0,2037,2230,564,3970,25,10,6799,64,34,461,3,7,569,172,49,366,7,3,597,126,34,185,0,0,345,7441,2664,18016,77,39,28237,142,21,118,3,0,284,500,82,694,5,3,1284,27218,4505,26823,161,54,58761
CED305,14238,344,238,545,10,15375,15676,170,178,97,3,16124,5270,416,1380,18,6,7090,929,143,563,4,0,1639,3197,146,380,73,6,3802,188,113,79,7,3,390,2833,277,159,193,5,3467,445,28,54,36,3,566,12862,1123,2615,331,23,16954,340,107,28,14,3,492,1030,95,167,61,3,1356,44146,1839,3226,1048,42,50301
CED306,14291,361,452,685,12,15801,16898,362,552,104,15,17931,5475,959,1914,23,14,8385,1103,209,639,4,7,1962,3159,271,673,76,3,4182,176,53,202,3,0,434,840,60,189,269,13,1371,318,27,65,26,0,436,11071,1579,3682,401,37,16770,349,36,27,19,3,434,936,100,218,100,3,1357,43545,2438,4931,1309,70,52293
CED307,12006,766,167,90,5,13034,21597,585,201,26,0,22409,4164,1089,407,5,15,5680,643,127,143,0,0,913,1787,367,152,14,10,2330,31,68,25,0,0,124,428,76,16,40,5,565,108,24,19,0,0,151,7161,1751,762,59,30,9763,128,287,22,4,0,441,530,103,45,58,0,736,41422,3492,1197,237,35,46383
CED308,9234,2151,1469,551,10,13415,14732,3098,1163,36,13,19042,6227,3448,2385,28,19,12107,347,362,400,0,0,1109,1867,1702,876,52,15,4512,36,101,82,3,0,222,279,225,87,90,0,681,133,119,60,5,0,317,8889,5957,3890,178,34,18948,179,57,159,17,0,412,633,247,207,43,0,1130,33667,11510,6888,825,57,52947
CED309,12972,1496,1118,484,4,16074,15784,758,843,59,5,17449,4904,1419,2099,26,9,8457,375,249,546,15,0,1185,2395,488,731,66,9,3689,60,68,74,0,0,202,197,53,84,258,0,592,200,32,36,15,0,283,8131,2309,3570,380,18,14408,333,386,106,10,0,835,733,206,209,44,0,1192,37953,5155,5846,977,27,49958
CED310,12582,1867,1337,597,5,16388,13381,652,727,51,7,14818,5540,1062,2110,26,3,8741,358,289,411,0,0,1058,2435,467,737,72,3,3714,51,29,37,0,0,117,248,37,88,144,0,517,159,29,56,7,0,251,8791,1913,3439,249,6,14398,543,109,119,11,0,782,649,190,135,48,0,1022,35946,4731,5757,956,18,47408
