region_id,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
CED319,843,770,1613,3443,3385,6828,1869,1769,3638,372,412,784,5684,5566,11250,1948,1708,3656,1623,1302,2925,474,633,1107,4045,3643,7688,301,277,578,197,288,485,314,230,544,462,703,1165,21,11,32,1295,1509,2804,1378,1930,3308,438,626,1064,197,282,479,838,1041,1879,13,23,36,2864,3902,6766,196,206,402,262,470,732,6,11,17,464,687,1151,4406,4386,8792,19601,20463,40064
CED320,875,848,1723,5478,5159,10637,665,701,1366,799,745,1544,6942,6605,13547,3154,3306,6460,596,620,1216,644,588,1232,4394,4514,8908,191,271,462,80,245,325,371,292,663,339,701,1040,19,15,34,1000,1524,2524,487,869,1356,129,361,490,63,139,202,255,631,886,3,12,15,937,2012,2949,147,165,312,217,451,668,9,6,15,373,622,995,5599,4801,10400,20120,20926,41046
CED321,786,765,1551,5167,4765,9932,1590,1461,3051,580,488,1068,7337,6714,14051,3253,3193,6446,508,611,1119,308,420,728,4069,4224,8293,103,122,225,41,141,182,377,366,743,372,936,1308,11,18,29,904,1583,2487,126,231,357,70,200,270,68,158,226,299,633,932,6,10,16,569,1232,1801,70,63,133,153,273,426,7,6,13,230,342,572,5979,5346,11325,19874,20206,40080
CED322,961,875,1836,3987,3543,7530,821,769,1590,1089,1125,2214,5897,5437,11334,2679,2500,5179,525,539,1064,1051,1058,2109,4255,4097,8352,239,264,503,126,278,404,329,248,577,404,750,1154,16,12,28,1114,1552,2666,1329,2014,3343,487,718,1205,170,238,408,429,825,1254,17,20,37,2432,3815,6247,140,182,322,218,475,693,10,7,17,368,664,1032,5053,5130,10183,20080,21570,41650
CED323,736,766,1502,2852,2575,5427,833,821,1654,1010,1090,2100,4695,4486,9181,1911,1790,3701,375,433,808,1245,1111,2356,3531,3334,6865,309,355,664,270,451,721,319,248,567,430,733,1163,13,16,29,1341,1803,3144,1790,2431,4221,824,978,1802,173,254,427,468,782,1250,22,22,44,3277,4467,7744,246,284,530,279,467,746,8,6,14,533,757,1290,7807,7418,15225,21920,23031,44951
CED324,840,857,1697,3881,3685,7566,1153,1091,2244,523,618,1141,5557,5394,10951,2145,2039,4184,855,876,1731,890,927,1817,3890,3842,7732,588,472,1060,409,531,940,298,192,490,451,623,1074,25,33,58,1771,1851,3622,3868,4442,8310,1395,1234,2629,218,252,470,845,1132,1977,40,36,76,6366,7096,13462,361,376,737,262,430,692,14,13,27,637,819,1456,4831,4344,9175,23892,24203,48095
CED325,1041,965,2006,5172,4760,9932,1105,1026,2131,965,961,1926,7242,6747,13989,3200,2952,6152,699,892,1591,918,921,1839,4817,4765,9582,313,340,653,163,282,445,363,295,658,430,781,1211,25,11,36,1294,1709,3003,1269,1609,2878,378,552,930,157,240,397,556,861,1417,20,18,38,2380,3280,5660,153,167,320,226,447,673,16,12,28,395,626,1021,6470,4540,11010,23639,22632,46271
CED326,874,812,1686,4208,3847,8055,1224,1197,2421,809,828,1637,6241,5872,12113,2581,2499,5080,793,770,1563,765,794,1559,4139,4063,8202,231,248,479,86,224,310,361,296,657,359,735,1094,22,12,34,1059,1515,2574,677,1100,1777,179,400,579,136,193,329,427,742,1169,11,8,19,1430,2443,3873,118,162,280,226,445,671,9,14,23,353,621,974,4400,4456,8856,18496,19782,38278
CED327,1206,1139,2345,6293,5912,12205,945,969,1914,858,849,1707,8096,7730,15826,4170,3976,8146,716,673,1389,832,829,1661,5718,5478,11196,428,472,900,301,476,777,377,290,667,502,833,1335,25,35,60,1633,2106,3739,1323,1747,3070,429,520,949,142,220,362,507,768,1275,18,22,40,2419,3277,5696,203,224,427,280,479,759,14,14,28,497,717,1214,6306,5991,12297,25875,26438,52313
CED328,1072,914,1986,4436,4061,8497,1470,1397,2867,721,612,1333,6627,6070,12697,2021,1775,3796,912,1237,2149,1688,1447,3135,4621,4459,9080,293,284,577,127,191,318,301,205,506,320,533,853,11,11,22,1052,1224,2276,5663,6552,12215,1565,1671,3236,342,467,809,1066,1519,2585,28,20,48,8664,10229,18893,181,167,348,235,442,677,5,6,11,421,615,1036,3426,3384,6810,25883,26895,52778
