region_id,Sme_Usl_ad_1_yr_ago_as_2011_M,Sme_Usl_ad_1_yr_ago_as_2011_F,Sme_Usl_ad_1_yr_ago_as_2011_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED101,58937,62811,121748,1468,1554,3022,5613,5898,11511,57,67,124,94,113,207,36,29,65,33,34,67,6,3,9,8,7,15,24,27,51,0,0,0,5871,6178,12049,1131,1300,2431,95,108,203,8565,9140,17705,3283,3173,6456,70785,75124,145909
CED102,57019,59231,116250,1520,1459,2979,5206,5203,10409,85,74,159,119,110,229,27,29,56,33,38,71,0,3,3,6,11,17,29,40,69,0,0,0,5505,5508,11013,1051,1207,2258,101,103,204,8177,8277,16454,3898,3534,7432,69094,71042,140136
CED103,58515,62087,120602,1760,1876,3636,6088,6153,12241,146,128,274,162,149,311,52,65,117,53,48,101,15,15,30,14,12,26,46,41,87,0,0,0,6576,6611,13187,1806,2143,3949,85,100,185,10227,10730,20957,2764,2676,5440,71506,75493,146999
CED104,56432,58123,114555,1123,1153,2276,4180,4155,8335,73,67,140,79,93,172,27,18,45,31,39,70,13,6,19,11,12,23,17,21,38,0,0,0,4431,4411,8842,653,761,1414,79,71,150,6286,6396,12682,1463,1388,2851,64181,65907,130088
CED105,63825,65414,129239,1661,1674,3335,5454,5403,10857,68,48,116,89,96,185,25,20,45,32,35,67,9,0,9,11,4,15,14,7,21,4,4,8,5706,5617,11323,882,1022,1904,146,97,243,8395,8410,16805,5245,4563,9808,77465,78387,155852
CED106,55890,61022,116912,1683,1858,3541,5437,5977,11414,130,146,276,155,173,328,42,47,89,56,55,111,13,5,18,12,16,28,54,57,111,0,0,0,5899,6476,12375,1675,1934,3609,68,97,165,9325,10365,19690,2450,2566,5016,67665,73953,141618
CED107,56840,58102,114942,3702,4019,7721,4944,5261,10205,139,122,261,397,412,809,53,48,101,112,109,221,38,43,81,49,55,104,65,76,141,0,0,0,5797,6126,11923,285,283,568,129,95,224,9913,10523,20436,4699,3266,7965,71452,71891,143343
CED108,53451,56083,109534,1767,1922,3689,5064,5447,10511,59,75,134,225,236,461,37,24,61,63,52,115,18,15,33,37,32,69,36,22,58,0,0,0,5539,5903,11442,246,291,537,132,105,237,7684,8221,15905,2078,1952,4030,63213,66256,129469
CED109,67692,69818,137510,1790,1885,3675,6109,6246,12355,74,72,146,126,140,266,26,28,54,43,35,78,3,3,6,9,10,19,24,29,53,3,0,3,6417,6563,12980,885,1022,1907,171,151,322,9263,9621,18884,3788,3509,7297,80743,82948,163691
CED110,54896,58420,113316,1926,2011,3937,5480,5793,11273,108,83,191,181,165,346,19,20,39,50,47,97,10,8,18,15,4,19,34,40,74,0,0,0,5897,6160,12057,547,665,1212,73,65,138,8443,8901,17344,2728,2516,5244,66067,69837,135904
