region_id,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_199_cpl_fam_no_child,FI_1_199_cpl_fam_with_child,FI_1_199_One_parent_fam,FI_1_199_Other_fam,FI_1_199_Tot,FI_200_299_cpl_fam_no_child,FI_200_299_cpl_fam_with_child,FI_200_299_One_parent_fam,FI_200_299_Other_fam,FI_200_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_599_cpl_fam_no_child,FI_400_599_cpl_fam_with_child,FI_400_599_One_parent_fam,FI_400_599_Other_fam,FI_400_599_Tot,FI_600_799_cpl_fam_no_child,FI_600_799_cpl_fam_with_child,FI_600_799_One_parent_fam,FI_600_799_Other_fam,FI_600_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_with_child,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1999_cpl_fam_no_child,FI_1500_1999_cpl_fam_wth_chld,FI_1500_1999_One_parent_fam,FI_1500_1999_Other_fam,FI_1500_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cple_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cple_fam_no_child,All_inc_ns_cple_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cple_fam_no_child,Tot_cple_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
CED132,99,32,71,12,214,169,34,80,14,297,34,28,188,7,257,104,40,378,20,542,1871,193,915,58,3037,1283,406,1026,137,2852,1275,571,634,87,2567,899,844,668,77,2488,983,995,420,63,2461,1574,2050,534,95,4253,1494,1933,213,64,3704,904,1728,192,20,2844,762,1237,62,8,2069,293,573,19,5,890,424,782,11,6,1223,837,1598,578,28,3041,246,115,177,26,564,13251,13159,6166,727,33303
CED133,231,89,231,50,601,188,90,95,27,400,35,33,95,3,166,88,38,149,22,297,684,166,300,40,1190,585,276,374,70,1305,846,363,330,72,1611,748,512,368,100,1728,860,639,352,69,1920,1510,1308,533,118,3469,1837,1211,240,118,3406,1799,3181,558,81,5619,1877,2139,140,82,4238,1117,1370,54,36,2577,2526,3595,62,38,6221,1137,2081,436,25,3679,188,154,60,11,413,16256,17245,4377,962,38840
CED134,139,49,56,8,252,341,63,114,10,528,51,30,281,7,369,167,55,621,21,864,3266,428,1459,56,5209,2292,931,1264,124,4611,2191,1073,817,83,4164,1373,1562,651,52,3638,1238,1493,362,28,3121,1487,2218,350,52,4107,998,1377,113,10,2498,390,765,69,3,1227,344,476,10,3,833,84,175,6,0,265,146,192,5,0,343,971,1640,620,36,3267,363,150,222,27,762,15841,12677,7020,520,36058
CED135,290,109,64,11,474,358,118,140,18,634,62,50,329,10,451,193,115,676,27,1011,2724,421,1285,73,4503,1656,918,1184,133,3891,1848,1066,711,68,3693,1127,1459,580,55,3221,1294,1424,336,49,3103,1664,2390,377,50,4481,1320,1820,121,28,3289,621,1294,93,13,2021,574,852,26,6,1458,164,297,3,0,464,271,412,13,3,699,1165,2648,675,65,4553,601,323,378,50,1352,15932,15716,6991,659,39298
CED136,407,183,173,28,791,321,197,156,15,689,85,100,232,16,433,180,206,417,22,825,1740,806,835,59,3440,1272,1366,815,133,3586,1238,1454,676,98,3466,1095,1761,705,123,3684,1132,1769,482,113,3496,1661,3095,680,146,5582,1567,2319,326,130,4342,925,2059,248,40,3272,772,1304,101,31,2208,285,666,35,9,995,326,1004,40,17,1387,740,2051,555,40,3386,248,286,186,35,755,13994,20626,6662,1055,42337
CED137,182,30,55,5,272,298,65,104,5,472,56,27,209,11,303,165,52,458,9,684,3084,266,1138,32,4520,2289,591,1070,82,4032,2144,793,643,56,3636,1151,1209,525,48,2933,1196,1304,329,27,2856,1516,2263,382,40,4201,1147,1791,149,14,3101,700,1357,103,9,2169,479,884,27,3,1393,168,359,5,0,532,208,455,9,0,672,963,1788,532,24,3307,362,196,191,7,756,16108,13430,5929,372,35839
CED138,495,203,224,62,984,332,176,131,34,673,104,124,198,22,448,205,216,275,24,720,1676,769,625,60,3130,1146,1185,648,108,3087,1136,1176,498,111,2921,914,1445,565,135,3059,964,1385,455,100,2904,1533,2374,617,152,4676,1585,1959,301,123,3968,1127,2324,402,67,3920,1140,1765,116,54,3075,596,990,55,20,1661,1038,2014,51,32,3135,917,2308,513,54,3792,309,304,136,30,779,15217,20717,5810,1188,42932
CED139,172,72,81,6,331,271,74,117,11,473,59,51,219,0,329,168,79,546,12,805,2764,355,1480,47,4646,2201,819,1230,78,4328,2039,1053,786,63,3941,1231,1419,674,46,3370,1315,1450,364,48,3177,1484,2192,356,33,4065,1073,1534,124,19,2750,491,990,95,7,1583,414,654,20,4,1092,114,224,4,0,342,192,320,10,0,522,1038,1972,634,34,3678,359,200,159,14,732,15385,13458,6899,422,36164
CED140,220,100,57,11,388,326,101,136,16,579,77,56,238,5,376,162,82,483,15,742,2374,368,1085,58,3885,1696,761,1008,101,3566,1743,974,604,86,3407,1140,1507,579,54,3280,1315,1712,369,55,3451,1825,2838,372,60,5095,1344,2225,121,30,3720,632,1293,116,8,2049,496,887,22,4,1409,125,328,8,4,465,228,402,11,3,644,989,2203,488,25,3705,381,267,200,22,870,15073,16104,5897,557,37631
CED141,143,49,64,8,264,248,48,104,12,412,57,31,205,8,301,113,56,369,6,544,2103,225,1063,36,3427,1744,505,1026,94,3369,1759,665,688,60,3172,1117,1190,731,64,3102,1079,1374,431,36,2920,1558,2597,520,53,4728,1277,2014,213,25,3529,718,1817,156,10,2701,603,1188,51,6,1848,182,523,16,0,721,278,603,13,3,897,816,2052,729,32,3629,363,198,143,21,725,14158,15135,6522,474,36289
