region_id,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_199_cpl_fam_no_child,FI_1_199_cpl_fam_with_child,FI_1_199_One_parent_fam,FI_1_199_Other_fam,FI_1_199_Tot,FI_200_299_cpl_fam_no_child,FI_200_299_cpl_fam_with_child,FI_200_299_One_parent_fam,FI_200_299_Other_fam,FI_200_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_599_cpl_fam_no_child,FI_400_599_cpl_fam_with_child,FI_400_599_One_parent_fam,FI_400_599_Other_fam,FI_400_599_Tot,FI_600_799_cpl_fam_no_child,FI_600_799_cpl_fam_with_child,FI_600_799_One_parent_fam,FI_600_799_Other_fam,FI_600_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_with_child,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1999_cpl_fam_no_child,FI_1500_1999_cpl_fam_wth_chld,FI_1500_1999_One_parent_fam,FI_1500_1999_Other_fam,FI_1500_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cple_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cple_fam_no_child,All_inc_ns_cple_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cple_fam_no_child,Tot_cple_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
CED208,398,123,177,107,805,324,93,144,47,608,80,55,158,22,315,160,80,222,29,491,1674,361,527,71,2633,1289,602,577,105,2573,1390,687,530,99,2706,940,960,554,135,2589,847,1081,430,84,2442,1246,2160,555,112,4073,1201,1927,303,87,3518,758,2371,273,46,3448,699,1760,92,31,2582,299,876,38,4,1217,411,1427,26,13,1877,671,2002,475,26,3174,276,143,103,15,537,12663,16708,5184,1033,35588
CED209,161,47,43,6,257,271,74,67,14,426,57,31,137,3,228,139,42,284,7,472,2138,233,870,31,3272,1850,590,825,68,3333,1935,803,599,55,3392,1299,1397,498,52,3246,1277,1630,366,38,3311,1766,2980,396,48,5190,1621,2384,135,33,4173,844,1822,121,11,2798,637,1202,24,8,1871,213,461,10,5,689,277,568,11,0,856,966,2247,513,26,3752,365,221,120,5,711,15816,16732,5019,410,37977
CED210,137,57,46,7,247,259,68,126,11,464,56,34,231,5,326,113,64,507,17,701,2362,294,1179,50,3885,1598,614,1126,93,3431,1492,841,817,64,3214,974,1340,667,73,3054,965,1420,400,56,2841,1481,2588,477,67,4613,1273,1930,177,52,3432,595,1486,148,13,2242,445,936,31,9,1421,147,380,19,3,549,181,412,12,0,605,780,1743,631,21,3175,385,250,225,19,879,13243,14457,6819,560,35079
CED211,190,61,78,11,340,222,83,98,12,415,51,48,128,6,233,111,52,251,19,433,1532,266,594,29,2421,1387,502,675,81,2645,1413,653,570,56,2692,927,1078,654,75,2734,896,1236,445,73,2650,1391,2552,559,93,4595,1419,2227,291,78,4015,836,2205,236,32,3309,676,1553,80,13,2322,280,660,24,4,968,340,855,13,8,1216,686,1651,496,23,2856,247,175,93,15,530,12604,15857,5285,628,34374
CED212,130,46,76,4,256,204,61,112,19,396,40,23,227,4,294,106,46,474,7,633,1785,225,1082,50,3142,1542,522,1086,73,3223,1656,786,768,53,3263,1099,1317,789,73,3278,1117,1386,479,52,3034,1672,2770,616,86,5144,1624,2186,274,56,4140,790,1913,201,15,2919,560,1209,52,8,1829,205,548,15,3,771,252,667,12,0,931,805,2064,705,17,3591,343,263,213,7,826,13930,16032,7181,527,37670
CED213,198,63,71,4,336,295,68,109,5,477,65,26,173,8,272,152,66,373,10,601,2587,257,1056,24,3924,2050,622,898,56,3626,2173,905,674,55,3807,1233,1405,603,45,3286,1353,1564,348,34,3299,1801,2799,402,27,5029,1429,1992,147,45,3613,711,1555,114,4,2384,543,905,43,6,1497,172,365,13,3,553,285,414,8,4,711,964,2114,638,20,3736,506,317,185,16,1024,16517,15437,5855,366,38175
CED214,201,112,105,30,448,333,140,148,23,644,62,75,255,9,401,113,110,414,26,663,1882,476,802,78,3238,1156,782,910,112,2960,1058,916,624,103,2701,767,1239,680,120,2806,831,1288,477,81,2677,1425,2397,561,125,4508,1678,2113,263,115,4169,1029,2108,249,43,3429,1018,1556,67,24,2665,430,706,42,12,1190,714,1075,33,17,1839,894,1836,565,38,3333,299,281,168,31,779,13890,17210,6363,987,38450
CED215,192,59,61,9,321,359,84,117,6,566,79,33,255,3,370,188,51,548,11,798,2963,362,1205,40,4570,2056,802,1028,82,3968,2016,930,601,53,3600,1238,1371,537,45,3191,1327,1385,304,39,3055,1609,2367,317,35,4328,1322,1651,102,21,3096,678,1249,101,5,2033,509,863,16,7,1395,156,316,3,0,475,204,337,12,0,553,1210,2119,578,26,3933,486,272,208,18,984,16592,14251,5993,400,37236
CED216,156,92,94,25,367,199,49,81,21,350,41,23,113,7,184,86,47,183,16,332,1020,158,411,27,1616,903,288,461,54,1706,1087,389,436,50,1962,782,564,508,68,1922,847,726,417,55,2045,1240,1679,520,67,3506,1311,1714,210,60,3295,1126,3472,387,30,5015,1023,2482,89,23,3617,487,1322,42,4,1855,981,2635,30,6,3652,852,2475,541,27,3895,279,183,99,12,573,12420,18298,4622,552,35892
CED217,328,192,177,28,725,365,199,205,18,787,71,146,447,15,679,155,198,579,20,952,2469,804,1118,52,4443,1325,1429,1120,96,3970,1182,1739,858,80,3859,903,2488,899,104,4394,1000,2617,590,72,4279,1596,4797,772,116,7281,1615,3921,362,91,5989,738,2571,206,38,3553,477,1568,68,17,2130,182,731,39,6,958,148,862,31,8,1049,674,3069,743,34,4520,460,593,330,42,1425,13688,27924,8544,837,50993
CED218,196,58,106,46,406,171,47,77,32,327,28,17,91,10,146,72,31,133,22,258,810,128,293,52,1283,676,236,379,104,1395,815,301,295,91,1502,700,416,303,99,1518,868,513,250,93,1724,1424,1068,396,153,3041,1681,1083,169,137,3070,1413,2477,374,43,4307,1411,1926,105,43,3485,666,1155,53,18,1892,1589,2639,41,23,4292,925,1964,426,34,3349,197,168,73,18,456,13642,14227,3564,1018,32451
CED219,266,166,107,14,553,251,181,164,18,614,64,93,289,4,450,120,146,547,18,831,2006,744,1317,46,4113,1334,1452,1316,75,4177,1308,1864,1011,70,4253,1118,2904,1001,86,5109,1205,3073,627,69,4974,2060,5320,716,109,8205,1834,3869,325,93,6121,690,2223,188,27,3128,381,1280,70,17,1748,121,564,26,6,717,122,563,18,4,707,686,3025,781,34,4526,394,476,303,24,1197,13960,27943,8806,714,51423
CED220,292,113,131,36,572,331,114,133,31,609,59,73,204,7,343,162,115,263,20,560,2170,451,636,45,3302,1408,781,742,92,3023,1259,915,593,94,2861,864,1377,657,113,3011,779,1391,440,100,2710,1135,2681,582,101,4499,1097,2267,267,79,3710,636,2099,197,23,2955,558,1394,72,22,2046,233,666,26,12,937,313,865,23,3,1204,622,1883,538,36,3079,324,264,151,22,761,12242,17449,5655,836,36182
CED221,180,40,38,7,265,315,79,108,11,513,62,27,213,0,302,165,62,429,8,664,2383,327,1045,35,3790,1966,683,953,73,3675,1961,884,604,71,3520,1260,1541,539,42,3382,1351,1463,318,40,3172,1746,2474,277,25,4522,1373,1832,98,20,3323,502,1002,64,3,1571,391,621,13,4,1029,121,205,6,0,332,155,298,5,0,458,1030,1860,504,16,3410,346,186,142,9,683,15307,13584,5356,364,34611
CED222,197,125,106,15,443,238,162,123,16,539,54,77,229,5,365,144,105,368,13,630,1824,519,853,41,3237,1368,895,877,83,3223,1303,1117,772,82,3274,1023,1718,786,83,3610,1034,1766,523,67,3390,1596,3334,637,82,5649,1758,2665,295,85,4803,881,2282,226,32,3421,692,1471,69,20,2252,237,651,19,3,910,331,866,14,6,1217,763,2300,680,36,3779,377,337,175,20,909,13820,20390,6752,689,41651
CED223,138,56,77,8,279,189,57,69,27,342,42,22,135,10,209,104,57,260,14,435,1229,199,566,31,2025,1096,400,671,67,2234,1238,537,581,65,2421,850,912,598,73,2433,856,1114,444,54,2468,1398,2402,599,69,4468,1499,2398,276,55,4228,930,2600,246,35,3811,845,1884,83,9,2821,330,910,39,10,1289,461,1467,32,7,1967,666,2051,550,24,3291,259,200,133,10,602,12130,17266,5359,568,35323
CED224,174,89,161,42,466,186,69,81,32,368,29,37,64,10,140,73,56,133,19,281,673,157,280,51,1161,606,278,313,62,1259,847,344,308,62,1561,601,486,350,70,1507,801,566,300,75,1742,1324,1241,407,117,3089,1383,1236,224,97,2940,1124,2733,416,36,4309,1156,2239,125,26,3546,573,1336,50,10,1969,1117,3200,38,32,4387,747,2456,461,23,3687,193,144,65,15,417,11607,16667,3776,779,32829
CED225,145,65,60,5,275,186,73,84,6,349,49,37,155,3,244,106,53,290,14,463,1421,248,786,27,2482,1280,564,809,45,2698,1294,872,663,45,2874,967,1549,693,51,3260,1049,1837,470,58,3414,1849,3808,566,70,6293,1866,3048,274,62,5250,943,2498,178,17,3636,579,1571,69,18,2237,218,702,15,3,938,237,900,13,6,1156,738,2290,589,21,3638,288,302,141,6,737,13215,20417,5855,457,39944
CED226,296,187,160,14,657,284,203,181,16,684,56,99,410,9,574,138,157,707,23,1025,1900,692,1707,56,4355,1490,1349,1584,94,4517,1559,1731,1093,102,4485,1399,2723,1074,107,5303,1481,2873,717,84,5155,2617,5305,853,140,8915,2561,4060,350,119,7090,1274,3144,192,46,4656,794,1773,70,26,2663,312,770,29,3,1114,332,947,19,4,1302,1003,3075,856,46,4980,396,477,311,30,1214,17892,29565,10313,919,58689
CED227,206,79,67,9,361,350,116,83,17,566,64,69,239,4,376,169,99,490,12,770,2703,461,1055,47,4266,1953,897,913,71,3834,1957,1093,600,79,3729,1142,1628,443,54,3267,1300,1494,262,32,3088,1525,2274,228,31,4058,1134,1496,73,24,2727,395,744,42,5,1186,307,474,8,3,792,88,165,4,0,257,166,225,9,3,403,893,1878,493,28,3292,485,275,222,32,1014,14837,13467,5231,451,33986
CED228,211,116,123,20,470,315,117,155,16,603,80,84,225,18,407,137,127,348,16,628,2222,454,662,75,3413,1286,843,725,136,2990,1189,885,597,103,2774,729,1247,637,112,2725,694,1138,449,83,2364,1024,2189,545,94,3852,1082,1840,287,95,3304,657,1730,228,29,2644,522,1287,79,18,1906,231,648,23,9,911,300,1035,23,11,1369,641,1815,537,46,3039,343,259,204,30,836,11663,15814,5847,911,34235
CED229,217,101,86,0,404,274,118,104,10,506,68,37,203,3,311,165,90,427,4,686,1955,380,1092,40,3467,1615,890,998,52,3555,1678,1189,718,70,3655,1250,2068,732,49,4099,1400,2327,488,37,4252,2263,4517,565,60,7405,2189,3641,251,58,6139,1094,2843,193,20,4150,764,1846,52,10,2672,258,784,22,3,1067,334,975,16,4,1329,1052,3233,673,8,4966,424,409,187,19,1039,17000,25448,6807,447,49702
CED230,169,70,56,11,306,325,66,91,9,491,53,37,219,4,313,176,63,438,11,688,2629,326,1182,38,4175,1934,732,973,66,3705,1862,1108,638,60,3668,1118,1659,592,55,3424,1287,1700,332,37,3356,1790,2867,349,54,5060,1396,1947,133,38,3514,631,1375,99,3,2108,427,716,22,6,1171,149,284,8,3,444,185,395,15,7,602,904,1947,605,22,3478,471,321,191,28,1011,15506,15613,5943,452,37514
CED231,352,84,157,385,978,258,112,198,123,691,83,55,358,35,531,145,77,458,63,743,1098,333,654,158,2243,759,424,618,247,2048,909,415,385,209,1918,863,518,446,196,2023,1076,553,323,176,2128,2036,1118,384,239,3777,2642,1060,164,242,4108,1935,1612,343,97,3987,2006,1316,75,79,3476,1131,706,29,33,1899,2095,1439,30,34,3598,1338,1199,484,46,3067,184,160,178,39,561,18910,11181,5284,2401,37776
CED232,242,57,125,81,505,176,58,93,42,369,49,32,105,20,206,80,36,172,35,323,858,163,444,75,1540,709,276,425,112,1522,870,365,362,126,1723,796,463,376,110,1745,1014,545,298,110,1967,1944,1161,404,158,3667,2543,1020,169,161,3893,2111,2008,390,87,4596,2046,1533,70,60,3709,1145,855,32,37,2069,2271,2010,33,38,4352,1323,1517,423,33,3296,275,135,73,22,505,18452,12234,3994,1307,35987
CED233,252,98,119,16,485,283,103,117,22,525,56,47,89,6,198,128,93,170,17,408,1539,302,383,26,2250,1203,546,454,41,2244,1438,656,386,45,2525,844,981,438,48,2311,913,1118,346,41,2418,1173,2374,475,71,4093,1013,2085,263,61,3422,820,2575,266,23,3684,703,1821,84,20,2628,302,986,31,17,1336,460,1696,34,17,2207,701,2387,460,18,3566,287,235,72,9,603,12115,18103,4187,498,34903
CED234,218,89,49,8,364,336,95,85,11,527,60,53,243,5,361,158,94,426,15,693,2630,429,1175,46,4280,1858,843,982,79,3762,1971,1084,578,63,3696,1059,1583,501,47,3190,1174,1595,285,35,3089,1598,2404,263,39,4304,1159,1704,98,12,2973,435,889,38,5,1367,335,556,15,5,911,106,211,4,0,321,157,261,6,0,424,847,1826,510,19,3202,472,306,192,19,989,14573,14022,5450,408,34453
CED235,260,124,79,17,480,316,126,112,17,571,69,87,202,7,365,125,141,325,17,608,2480,545,800,45,3870,1231,1063,824,74,3192,1102,1157,662,57,2978,807,1775,719,80,3381,824,1825,423,55,3127,1149,3182,580,81,4992,969,2451,309,68,3797,466,1647,150,16,2279,275,1091,42,8,1416,95,511,26,3,635,116,645,26,3,790,492,2202,538,28,3260,314,379,205,17,915,11090,18951,6022,593,36656
CED236,172,73,60,7,312,297,78,83,11,469,47,42,177,4,270,158,59,418,19,654,2408,326,967,37,3738,1852,744,883,85,3564,1843,1021,546,47,3457,1129,1499,496,55,3179,1275,1594,258,34,3161,1660,2398,280,37,4375,1191,1688,107,23,3009,498,1004,57,3,1562,412,615,26,9,1062,86,240,5,0,331,209,315,9,3,536,928,1785,464,15,3192,424,197,161,20,802,14589,13678,4997,409,33673
CED237,225,110,76,34,445,369,132,115,26,642,66,79,170,14,329,121,120,347,27,615,2347,472,673,80,3572,1251,893,782,122,3048,1250,945,616,115,2926,808,1355,651,134,2948,864,1339,474,98,2775,1423,2471,595,148,4637,1653,2080,245,111,4089,878,1926,196,38,3038,859,1426,55,35,2375,377,665,29,13,1084,489,837,19,18,1363,795,1940,594,29,3358,383,266,169,28,846,14158,17056,5806,1070,38090
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,118,41,61,4,224,221,80,114,16,431,50,42,236,3,331,120,56,445,14,635,1982,283,1293,37,3595,1495,695,1173,96,3459,1416,935,804,63,3218,983,1589,746,73,3391,1075,1582,469,51,3177,1733,2868,487,63,5151,1437,2303,197,67,4004,624,1380,96,9,2109,415,875,27,9,1326,115,339,16,0,470,116,372,10,4,502,796,1939,544,28,3307,292,275,205,25,797,12988,15654,6923,562,36127
CED302,148,56,90,11,305,185,59,68,17,329,34,27,131,10,202,123,42,252,11,428,1524,186,684,60,2454,1242,449,816,89,2596,1311,576,697,78,2662,879,991,710,83,2663,989,1171,511,74,2745,1667,2565,684,110,5026,1793,2697,337,91,4918,1085,2754,269,39,4147,967,1986,68,37,3058,358,939,35,11,1343,506,1285,25,5,1821,818,1925,466,21,3230,248,187,134,12,581,13877,17895,5977,759,38508
CED303,163,60,46,3,272,225,54,73,9,361,50,29,163,3,245,132,43,310,10,495,1993,171,820,25,3009,1587,417,870,64,2938,1552,638,641,33,2864,1059,1134,675,51,2919,1172,1411,472,46,3101,1831,3110,580,64,5585,1715,2803,255,45,4818,927,2394,184,25,3530,705,1556,68,3,2332,224,748,11,3,986,319,938,21,0,1278,900,2319,460,23,3702,322,222,130,17,691,14876,18047,5779,424,39126
CED304,173,45,71,49,338,111,25,75,40,251,34,16,81,7,138,71,29,149,30,279,651,141,359,82,1233,707,188,429,131,1455,851,253,378,128,1610,804,411,432,132,1779,914,462,350,132,1858,1630,1119,471,206,3426,2167,1210,219,144,3740,1658,2337,414,64,4473,1687,1872,116,71,3746,850,961,41,31,1883,1599,2042,29,20,3690,1163,1393,324,38,2918,200,111,88,19,418,15270,12615,4026,1324,33235
CED305,195,81,67,4,347,226,46,76,9,357,32,27,182,3,244,112,33,387,13,545,1963,191,864,36,3054,1232,381,871,71,2555,1253,622,547,57,2479,852,980,549,52,2433,1021,1147,368,42,2578,1670,2452,448,68,4638,1586,2049,196,53,3884,1103,2592,213,21,3929,942,1574,61,18,2595,391,660,21,6,1078,475,871,36,16,1398,1553,2857,470,19,4899,489,338,220,24,1071,15095,16901,5576,512,38084
CED306,183,41,61,12,297,215,60,88,10,373,45,18,164,3,230,90,44,342,8,484,1738,142,858,36,2774,1260,394,825,60,2539,1457,568,554,62,2641,1011,1081,631,58,2781,1257,1239,393,51,2940,1987,2743,458,86,5274,1828,2362,197,43,4430,1064,2294,187,24,3569,980,1660,76,19,2735,343,723,20,6,1092,389,881,21,6,1297,1681,3164,482,32,5359,449,272,198,16,935,15977,17686,5555,532,39750
CED307,116,42,47,8,213,165,54,85,3,307,46,18,128,0,192,108,34,263,11,416,1313,180,706,24,2223,1196,429,732,52,2409,1239,628,594,51,2512,947,1253,681,53,2934,1124,1512,479,52,3167,1780,3288,576,74,5718,1867,3160,223,60,5310,1075,2751,204,14,4044,768,1952,58,15,2793,273,857,15,3,1148,359,1018,19,0,1396,811,2189,415,20,3435,188,191,135,12,526,13375,19556,5360,452,38743
CED308,238,118,115,12,483,273,98,114,12,497,80,39,186,0,305,147,75,373,20,615,2028,319,1079,42,3468,1636,671,1074,88,3469,1672,937,803,81,3493,1173,1515,751,69,3508,1446,1628,474,68,3616,1978,2822,509,85,5394,1803,2316,185,51,4355,935,1803,181,20,2939,764,1214,66,6,2050,262,469,19,3,753,422,721,7,5,1155,1009,1988,499,20,3516,388,244,151,14,797,16254,16977,6586,596,40413
CED309,192,67,58,3,320,280,72,99,14,465,54,45,180,3,282,169,66,349,15,599,2224,317,1097,24,3662,1940,614,991,66,3611,2038,862,682,48,3630,1376,1413,617,74,3480,1443,1591,381,25,3440,1755,2587,394,55,4791,1427,1917,117,25,3486,671,1388,124,10,2193,537,862,27,3,1429,154,348,5,0,507,257,423,9,3,692,1176,2091,474,23,3764,329,194,134,16,673,16022,14857,5738,407,37024
CED310,196,51,60,6,313,303,71,79,7,460,62,40,153,3,258,161,59,352,10,582,2630,228,1006,28,3892,2095,623,968,68,3754,2157,818,699,49,3723,1224,1345,582,51,3202,1316,1349,340,42,3047,1687,2297,336,59,4379,1264,1623,112,37,3036,640,1197,90,14,1941,478,772,16,8,1274,131,301,8,3,443,255,383,5,3,646,1146,1972,429,24,3571,328,193,135,7,663,16073,13322,5370,419,35184
CED311,280,91,70,5,446,293,69,102,9,473,71,41,192,3,307,145,62,390,8,605,2294,288,826,33,3441,1353,573,755,62,2743,1277,714,481,43,2515,883,1071,406,43,2403,1048,1269,262,30,2609,1662,2559,369,51,4641,1467,1942,134,46,3589,1349,2840,170,22,4381,1057,1682,68,23,2830,375,668,15,4,1062,478,940,27,12,1457,1363,2660,381,20,4424,528,349,193,30,1100,15923,17818,4841,444,39026
CED312,150,69,87,8,314,208,89,107,4,408,45,51,238,4,338,112,72,467,16,667,1805,308,1289,38,3440,1353,721,1172,63,3309,1312,954,791,61,3118,1037,1646,769,62,3514,1192,1922,506,69,3689,1917,3442,557,75,5991,1656,2766,253,55,4730,710,1804,144,8,2666,493,1103,44,9,1649,163,476,19,3,661,153,583,13,3,752,804,2166,538,32,3540,331,302,181,16,830,13441,18474,7175,526,39616
CED313,125,52,88,35,300,132,62,71,28,293,32,32,141,16,221,112,46,232,18,408,918,154,542,68,1682,835,260,607,114,1816,910,371,515,108,1904,826,626,556,123,2131,910,701,441,109,2161,1716,1589,558,191,4054,2202,1615,245,173,4235,1525,2354,316,63,4258,1475,1878,92,46,3491,676,927,32,25,1660,1205,1681,13,21,2920,1070,1492,384,40,2986,186,116,99,14,415,14855,13956,4932,1192,34935
CED314,154,51,51,3,259,217,57,87,11,372,42,25,179,0,246,130,46,349,21,546,2078,271,1071,29,3449,1668,650,1059,96,3473,1681,845,669,74,3269,1149,1479,645,67,3340,1299,1532,392,56,3279,1889,2740,444,61,5134,1480,2159,144,60,3843,658,1470,112,18,2258,531,1007,22,9,1569,173,370,12,0,555,245,463,8,3,719,1078,2203,426,32,3739,367,201,142,16,726,14839,15569,5812,556,36776
CED315,94,69,52,16,231,151,54,103,23,331,37,28,232,11,308,89,38,422,23,572,1235,209,1075,46,2565,1140,466,992,97,2695,1191,592,774,92,2649,1051,1136,789,95,3071,1104,1270,551,70,2995,1957,2694,598,88,5337,2056,2533,253,73,4915,993,1894,173,18,3078,751,1280,47,26,2104,298,518,19,3,838,326,647,14,9,996,1597,2668,572,33,4870,301,230,218,17,766,14371,16326,6884,740,38321
CED316,207,49,55,7,318,398,62,101,11,572,90,43,295,3,431,207,70,583,15,875,4305,434,1488,55,6282,2793,917,1314,90,5114,2343,1078,769,56,4246,1280,1379,546,45,3250,1166,1360,321,19,2866,1443,1995,278,21,3737,1038,1410,83,13,2544,480,856,66,3,1405,329,521,15,3,868,84,179,5,3,271,143,245,5,3,396,1217,1880,498,23,3618,557,233,215,17,1022,18080,12711,6637,387,37815
CED317,280,102,70,5,457,348,106,110,11,575,87,60,317,6,470,178,94,536,20,828,2512,469,1193,60,4234,1780,773,1018,75,3646,1733,1010,636,69,3448,1064,1437,581,62,3144,1279,1496,359,48,3182,1811,2454,400,56,4721,1471,1802,136,33,3442,770,1481,134,22,2407,690,960,46,21,1717,218,380,17,3,618,321,509,13,9,852,1434,2618,582,36,4670,585,396,315,31,1327,16561,16147,6463,567,39738
CED318,178,62,133,13,386,227,121,159,13,520,47,63,397,18,525,133,91,607,28,859,1475,456,1404,64,3399,1292,852,1322,108,3574,1389,1034,886,90,3399,1131,1447,824,80,3482,1383,1503,469,79,3434,2217,2611,564,88,5480,1897,2109,200,56,4262,922,1482,157,17,2578,756,997,35,16,1804,249,385,12,3,649,320,475,12,4,811,1480,2528,662,43,4713,345,297,310,28,980,15441,16513,8153,748,40855
CED319,125,49,68,12,254,184,56,71,8,319,36,27,157,4,224,91,42,314,20,467,1543,207,743,46,2539,1372,428,863,106,2769,1369,593,741,88,2791,1003,1011,823,103,2940,1122,1181,561,101,2965,1866,2511,716,141,5234,2067,2417,311,125,4920,1221,2389,267,54,3931,1054,1679,75,42,2850,394,804,28,19,1245,479,1054,24,13,1570,904,1767,545,30,3246,302,191,174,24,691,15132,16406,6481,936,38955
CED320,147,53,58,8,266,304,72,100,5,481,55,42,217,4,318,161,57,476,6,700,2635,303,1349,35,4322,1971,693,1197,48,3909,1778,995,770,52,3595,1219,1632,707,70,3628,1273,1784,417,37,3511,1735,3063,480,48,5326,1406,2376,158,36,3976,668,1531,97,15,2311,433,901,29,5,1368,115,366,8,5,494,138,364,5,7,514,958,2024,517,27,3526,381,252,255,14,902,15377,16508,6840,422,39147
CED321,332,108,49,4,493,428,126,103,14,671,58,63,244,8,373,196,97,453,11,757,3065,487,1099,47,4698,2059,896,1009,94,4058,1985,1179,589,61,3814,1293,1672,473,60,3498,1418,1592,258,47,3315,1793,2561,286,51,4691,1277,1714,115,31,3137,605,1103,66,3,1777,461,682,16,9,1168,130,217,6,0,353,272,282,15,3,572,1309,2526,455,23,4313,596,368,240,21,1225,17277,15673,5476,487,38913
CED322,195,86,81,23,385,230,67,119,11,427,61,43,206,9,319,136,70,351,14,571,2042,308,1136,45,3531,1668,659,1147,95,3569,1810,847,843,82,3582,1155,1407,857,75,3494,1263,1544,539,53,3399,1770,2689,556,77,5092,1561,2176,179,52,3968,736,1603,161,18,2518,579,1047,47,12,1685,216,416,16,3,651,262,532,18,3,815,1026,1846,579,20,3471,332,192,154,12,690,15042,15532,6989,604,38167
CED323,303,102,146,22,573,277,87,141,27,532,81,53,178,15,327,166,64,402,23,655,1886,342,1100,61,3389,1763,630,1062,102,3557,1724,825,741,107,3397,1263,1139,725,85,3212,1506,1222,441,78,3247,2074,2099,511,83,4767,1746,1523,186,65,3520,867,1290,196,23,2376,727,858,48,11,1644,250,384,10,4,648,424,631,11,3,1069,1097,1605,545,29,3276,429,218,148,23,818,16583,13072,6591,761,37007
CED324,281,126,145,77,629,248,105,123,42,518,64,74,161,12,311,152,109,258,33,552,1393,416,666,77,2552,1211,714,762,113,2800,1289,842,580,114,2825,963,1136,643,115,2857,1070,1232,452,112,2866,1576,2379,617,141,4713,1621,2110,291,80,4102,963,2269,255,46,3533,895,1662,73,29,2659,312,746,30,9,1097,490,1233,22,14,1759,802,1869,434,34,3139,222,164,128,21,535,13552,17186,5640,1069,37447
CED325,138,89,103,13,343,164,94,134,13,405,45,66,242,9,362,83,100,457,12,652,1287,403,1100,55,2845,1001,791,1097,68,2957,1003,928,725,76,2732,803,1599,773,75,3250,887,1657,548,46,3138,1661,3114,652,99,5526,1655,2733,269,63,4720,933,2082,212,31,3258,681,1403,57,15,2156,215,691,16,4,926,238,876,19,0,1133,687,2063,530,34,3314,225,249,188,15,677,11706,18938,7122,628,38394
CED326,138,54,68,4,264,185,55,80,11,331,62,28,202,3,295,141,50,407,8,606,2057,235,1065,48,3405,1661,524,1164,84,3433,1580,750,826,60,3216,1069,1292,808,72,3241,1161,1472,497,52,3182,1874,2952,588,91,5505,1711,2453,264,71,4499,864,1942,173,30,3009,598,1228,58,14,1898,208,478,17,7,710,241,568,14,0,823,894,1833,561,15,3303,349,215,165,17,746,14793,16129,6957,587,38466
