region_id,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_Tot_M_EO,C10_12F_O_E_Tot_M_O_EVWW,C10_12F_O_E_Tot_M_O_ENWNA,C10_12F_O_E_Tot_M_O_PENS,C10_12F_O_E_Tot_M_O_E_T,C10_12F_O_E_Tot_M_LPENS,C10_12F_O_E_Tot_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_TM_EO,C13_14F_O_E_TM_O_EVWW,C13_14F_O_E_TM_O_ENWNA,C13_14F_O_E_TM_O_PENS,C13_14F_O_E_TM_O_E_T,C13_14F_O_E_TM_LPENS,C13_14F_O_E_TM_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
CED119,5820,347,0,3,350,0,6170,442,4158,80,3,4241,14,4697,8,263,94,0,357,0,365,7,6,0,14,20,0,27,457,4427,174,17,4618,14,5089,3,28,3,3,34,11,48,6280,4802,177,23,5002,25,11307,4862,233,0,3,236,0,5098,295,3442,85,3,3530,10,3835,3,213,107,0,320,0,323,15,11,0,7,18,0,33,313,3666,192,10,3868,10,4191,3,36,4,0,40,4,47,5178,3935,196,13,4144,14,9336,2543,139,0,6,145,0,2688,155,1802,47,3,1852,15,2022,3,135,90,0,225,0,228,6,7,0,3,10,0,16,164,1944,137,6,2087,15,2266,3,5,0,0,5,3,11,2710,2088,137,12,2237,18,4965,1478,52,0,0,52,0,1530,86,1193,31,3,1227,3,1316,0,97,52,0,149,0,149,9,0,0,0,0,0,9,95,1290,83,3,1376,3,1474,3,3,0,0,3,3,9,1576,1345,83,3,1431,6,3013,1848,72,0,3
CED120,5664,283,0,4,287,5,5956,366,1845,66,3,1914,5,2285,3,136,88,0,224,0,227,6,5,3,7,15,0,21,375,1986,157,10,2153,5,2533,0,5,0,0,5,7,12,6039,2274,157,14,2445,17,8501,5441,196,0,4,200,4,5645,315,1669,60,0,1729,8,2052,3,109,84,0,193,0,196,6,0,3,4,7,0,13,324,1778,147,4,1929,8,2261,5,5,0,0,5,4,14,5770,1979,147,8,2134,16,7920,3125,82,6,4,92,0,3217,127,1001,36,0,1037,3,1167,0,83,64,0,147,0,147,4,0,3,3,6,0,10,131,1084,103,3,1190,3,1324,3,0,0,0,0,3,6,3259,1166,109,7,1282,6,4547,1992,56,0,4,60,0,2052,76,641,32,0,673,6,755,0,50,60,0,110,0,110,3,0,0,3,3,0,6,79,691,92,3,786,6,871,5,0,0,0,0,0,5,2076,747,92,7,846,6,2928,2786,64,3,4
CED121,6315,93,0,13,106,0,6421,124,162,15,0,177,0,301,3,12,0,0,12,3,18,3,0,0,18,18,0,21,130,174,15,18,207,3,340,3,0,0,0,0,3,6,6448,267,15,31,313,6,6767,6524,72,0,7,79,0,6603,132,179,13,0,192,0,324,3,5,4,0,9,0,12,6,0,0,16,16,0,22,141,184,17,16,217,0,358,3,0,0,0,0,3,6,6668,256,17,23,296,3,6967,4056,50,0,4,54,3,4113,65,106,3,3,112,0,177,3,7,9,0,16,0,19,9,0,0,11,11,0,20,77,113,12,14,139,0,216,0,0,0,0,0,3,3,4133,163,12,18,193,6,4332,2689,33,0,7,40,0,2729,24,74,7,0,81,0,105,0,4,9,0,13,0,13,3,0,0,3,3,0,6,27,78,16,3,97,0,124,3,0,0,0,0,0,3,2719,111,16,10,137,0,2856,3239,23,0,3
CED122,7166,57,0,12,69,0,7235,126,158,3,0,161,0,287,0,14,3,0,17,0,17,10,0,0,19,19,0,29,136,172,6,19,197,0,333,3,0,0,0,0,0,3,7305,229,6,31,266,0,7571,6602,37,0,6,43,0,6645,83,135,6,3,144,0,227,3,7,3,0,10,0,13,11,0,0,8,8,0,19,97,142,9,11,162,0,259,0,0,0,0,0,0,0,6699,179,9,17,205,0,6904,3937,36,0,4,40,0,3977,52,74,0,3,77,0,129,3,3,8,0,11,0,14,4,0,0,3,3,0,7,59,77,8,6,91,0,150,0,0,0,0,0,0,0,3996,113,8,10,131,0,4127,2580,7,0,0,7,0,2587,31,45,0,0,45,0,76,0,0,10,0,10,0,10,3,0,0,7,7,0,10,34,45,10,7,62,0,96,0,0,0,0,0,3,3,2614,52,10,7,69,3,2686,2932,15,3,3
CED123,4490,292,3,3,298,0,4788,544,2048,39,0,2087,10,2641,6,164,39,0,203,0,209,4,4,0,3,7,0,11,554,2216,78,3,2297,10,2861,3,16,0,0,16,3,22,5047,2524,81,6,2611,13,7671,3629,206,0,0,206,0,3835,335,1582,46,0,1628,8,1971,6,134,39,0,173,0,179,7,0,0,8,8,0,15,348,1716,85,8,1809,8,2165,8,0,0,0,0,5,13,3985,1922,85,8,2015,13,6013,1743,99,0,3,102,3,1848,154,863,34,3,900,3,1057,3,63,45,0,108,0,111,4,0,0,3,3,0,7,161,926,79,6,1011,3,1175,3,0,0,0,0,0,3,1907,1025,79,9,1113,6,3026,1072,53,0,3,56,0,1128,86,567,19,0,586,0,672,4,43,28,0,71,0,75,5,0,0,3,3,0,8,95,610,47,3,660,0,755,3,4,0,0,4,6,13,1170,667,47,6,720,6,1896,1295,54,0,4
CED124,6753,262,6,8,276,0,7029,288,1041,33,0,1074,0,1362,13,87,28,0,115,0,128,6,5,0,10,15,0,21,307,1133,61,10,1204,0,1511,3,11,0,0,11,0,14,7063,1406,67,18,1491,0,8554,5955,201,0,9,210,0,6165,214,896,42,3,941,3,1158,3,97,33,0,130,0,133,6,6,0,16,22,0,28,223,999,75,19,1093,3,1319,5,7,0,0,7,7,19,6183,1207,75,28,1310,10,7503,3438,96,0,3,99,0,3537,117,539,19,3,561,3,681,0,51,31,0,82,0,82,0,0,0,8,8,0,8,117,590,50,11,651,3,771,6,9,0,0,9,4,19,3561,695,50,14,759,7,4327,2242,50,0,4,54,0,2296,84,380,18,3,401,0,485,0,40,18,0,58,0,58,0,0,0,5,5,0,5,84,420,36,8,464,0,548,0,0,0,0,0,8,8,2326,470,36,12,518,8,2852,2789,61,0,4
CED125,4551,50,0,3,53,0,4604,98,97,0,0,97,0,195,0,6,12,0,18,0,18,11,0,0,9,9,0,20,109,103,12,9,124,0,233,0,0,0,0,0,3,3,4660,153,12,12,177,3,4840,4726,48,0,13,61,0,4787,83,78,0,0,78,0,161,0,7,6,0,13,0,13,4,0,0,12,12,0,16,87,85,6,12,103,0,190,0,0,0,0,0,3,3,4813,133,6,25,164,3,4980,2953,20,0,12,32,0,2985,46,44,0,0,44,0,90,0,5,6,0,11,0,11,3,0,0,5,5,0,8,49,49,6,5,60,0,109,0,0,0,0,0,0,0,3002,69,6,17,92,0,3094,2061,13,0,6,19,0,2080,28,34,0,0,34,0,62,0,0,3,0,3,0,3,5,0,0,0,0,0,5,33,34,3,0,37,0,70,0,0,0,0,0,0,0,2094,47,3,6,56,0,2150,2581,21,0,0
CED126,6407,267,0,5,272,3,6682,301,1059,38,0,1097,0,1398,8,94,41,0,135,0,143,12,0,0,11,11,0,23,321,1153,79,11,1243,0,1564,4,0,0,0,0,3,7,6732,1420,79,16,1515,6,8253,6037,244,7,8,259,3,6299,250,1048,53,3,1104,3,1357,0,74,69,0,143,0,143,18,0,0,5,5,0,23,268,1122,122,8,1252,3,1523,5,6,0,0,6,3,14,6310,1372,129,16,1517,9,7836,3423,107,0,6,113,3,3539,99,690,42,0,732,0,831,3,51,57,0,108,0,111,5,0,0,5,5,0,10,107,741,99,5,845,0,952,0,6,0,0,6,0,6,3530,854,99,11,964,3,4497,2334,78,0,4,82,0,2416,80,438,28,0,466,0,546,3,42,25,0,67,0,70,5,3,0,5,8,0,13,88,483,53,5,541,0,629,5,4,0,0,4,5,14,2427,565,53,9,627,5,3059,2797,85,0,0
CED127,6730,242,4,0,246,5,6981,425,726,23,0,749,3,1177,0,39,18,0,57,0,57,8,0,0,4,4,0,12,433,765,41,4,810,3,1246,3,3,0,0,3,3,9,7166,1010,45,4,1059,11,8236,6446,155,0,13,168,3,6617,302,684,24,0,708,4,1014,0,34,26,0,60,0,60,3,0,0,5,5,0,8,305,718,50,5,773,4,1082,0,4,0,0,4,3,7,6751,877,50,18,945,10,7706,3486,90,0,6,96,0,3582,176,395,20,0,415,3,594,0,21,24,0,45,0,45,7,0,0,0,0,0,7,183,416,44,0,460,3,646,0,0,0,0,0,3,3,3669,506,44,6,556,6,4231,2109,49,0,4,53,0,2162,91,251,13,0,264,0,355,5,14,10,0,24,0,29,0,0,0,3,3,0,3,96,265,23,3,291,0,387,0,0,0,0,0,0,0,2205,314,23,7,344,0,2549,2888,71,0,0
CED128,6325,168,3,9,180,3,6508,172,264,8,3,275,0,447,10,17,7,0,24,0,34,8,0,3,5,8,0,16,190,281,18,8,307,0,497,4,4,0,0,4,0,8,6519,453,21,17,491,3,7013,6372,131,0,8,139,5,6516,157,240,6,0,246,0,403,0,13,11,0,24,0,24,10,0,0,4,4,0,14,167,253,17,4,274,0,441,3,0,0,0,0,0,3,6542,384,17,12,413,5,6960,3909,72,0,6,78,0,3987,83,132,5,0,137,0,220,0,7,7,0,14,0,14,4,0,0,0,0,0,4,87,139,12,0,151,0,238,3,3,0,0,3,0,6,3999,214,12,6,232,0,4231,2517,47,0,0,47,0,2564,58,98,3,3,104,0,162,0,0,4,0,4,0,4,7,0,0,0,0,0,7,65,98,7,3,108,0,173,0,0,0,0,0,0,0,2582,145,7,3,155,0,2737,3114,54,0,0
CED129,2719,288,6,7,301,0,3020,345,3226,258,3,3487,10,3842,11,474,402,3,879,0,890,3,14,3,17,34,0,37,359,3714,663,23,4400,10,4769,5,11,3,0,14,22,41,3083,4013,672,30,4715,32,7830,2451,221,0,4,225,4,2680,233,3015,210,0,3225,9,3467,9,397,484,0,881,3,893,0,5,0,27,32,0,32,242,3417,694,27,4138,12,4392,3,8,0,0,8,13,24,2696,3646,694,31,4371,29,7096,1509,115,0,0,115,0,1624,102,1789,137,3,1929,4,2035,11,270,328,0,598,6,615,0,0,5,8,13,0,13,113,2059,470,11,2540,10,2663,3,4,3,0,7,13,23,1625,2178,473,11,2662,23,4310,1077,67,0,3,70,0,1147,82,1108,94,3,1205,5,1292,3,227,278,0,505,3,511,0,0,0,4,4,0,4,85,1335,372,7,1714,8,1807,3,0,4,0,4,12,19,1165,1402,376,10,1788,20,2973,1548,88,5,3
CED130,5551,273,4,4,281,0,5832,427,2158,50,7,2215,9,2651,5,129,40,0,169,3,177,3,0,0,11,11,0,14,435,2287,90,18,2395,12,2842,0,4,0,0,4,4,8,5986,2564,94,22,2680,16,8682,5714,263,0,5,268,0,5982,334,2275,64,3,2342,11,2687,7,124,62,0,186,0,193,3,3,0,3,6,0,9,344,2402,126,6,2534,11,2889,0,7,0,0,7,9,16,6058,2672,126,11,2809,20,8887,3128,115,0,0,115,0,3243,167,1427,46,3,1476,4,1647,0,84,48,0,132,3,135,4,5,0,0,5,0,9,171,1516,94,3,1613,7,1791,5,7,0,0,7,4,16,3304,1638,94,3,1735,11,5050,1989,78,0,0,78,0,2067,97,910,25,4,939,0,1036,3,52,36,0,88,0,91,0,0,0,3,3,0,3,100,962,61,7,1030,0,1130,3,0,6,0,6,3,12,2092,1040,67,7,1114,3,3209,2571,88,0,4
CED131,6117,66,0,18,84,0,6201,80,138,7,0,145,0,225,0,35,4,0,39,0,39,13,0,0,11,11,0,24,93,173,11,11,195,0,288,0,3,0,0,3,0,3,6210,242,11,29,282,0,6492,6067,54,0,7,61,0,6128,74,142,11,0,153,0,227,0,13,6,0,19,0,19,11,0,0,15,15,0,26,85,155,17,15,187,0,272,0,0,0,0,0,0,0,6152,209,17,22,248,0,6400,3594,38,0,4,42,0,3636,30,77,6,0,83,0,113,0,3,3,0,6,0,6,5,0,0,9,9,0,14,35,80,9,9,98,0,133,3,0,0,0,0,0,3,3632,118,9,13,140,0,3772,2441,27,0,0,27,0,2468,22,36,0,0,36,0,58,0,3,5,0,8,0,8,4,0,0,3,3,0,7,26,39,5,3,47,0,73,0,0,0,0,0,0,0,2467,66,5,3,74,0,2541,2895,13,0,5
CED132,5223,129,3,8,140,3,5366,173,397,14,0,411,4,588,0,46,33,0,79,0,79,14,0,0,9,9,0,23,187,443,47,9,499,4,690,0,4,0,0,4,0,4,5410,576,50,17,643,7,6060,4503,92,0,6,98,5,4606,123,271,9,0,280,0,403,0,38,43,0,81,0,81,3,0,0,12,12,0,15,126,309,52,12,373,0,499,8,0,0,0,0,0,8,4637,401,52,18,471,5,5113,2392,42,0,6,48,0,2440,47,114,7,0,121,0,168,0,13,17,0,30,0,30,6,0,0,6,6,0,12,53,127,24,6,157,0,210,0,0,0,0,0,0,0,2445,169,24,12,205,0,2650,1545,31,0,3,34,0,1579,33,55,9,0,64,0,97,0,7,6,0,13,0,13,0,0,0,3,3,0,3,33,62,15,3,80,0,113,0,0,0,0,0,0,0,1578,93,15,6,114,0,1692,1924,25,5,3
CED133,5470,212,3,7,222,3,5695,596,1672,50,4,1726,0,2322,7,156,42,0,198,0,205,10,5,3,3,11,3,24,613,1833,95,7,1935,3,2551,6,3,4,0,7,0,13,6089,2048,102,14,2164,6,8259,4472,181,0,8,189,0,4661,360,1249,53,0,1302,6,1668,0,115,66,0,181,0,181,0,0,0,6,6,0,6,360,1364,119,6,1489,6,1855,5,5,0,0,5,0,10,4837,1550,119,14,1683,6,6526,2240,66,0,3,69,3,2312,146,624,41,0,665,3,814,0,70,65,0,135,0,135,0,0,0,3,3,0,3,146,694,106,3,803,3,952,4,5,0,0,5,0,9,2390,765,106,6,877,6,3273,1301,39,0,0,39,4,1344,85,403,26,0,429,0,514,3,40,40,0,80,0,83,3,0,0,0,0,0,3,91,443,66,0,509,0,600,0,4,0,0,4,0,4,1392,486,66,0,552,4,1948,1761,37,0,0
CED134,5009,69,3,10,82,0,5091,109,114,3,0,117,0,226,9,9,5,0,14,0,23,4,0,0,10,10,0,14,122,123,8,10,141,0,263,0,0,0,0,0,0,0,5131,192,11,20,223,0,5354,4900,50,0,8,58,0,4958,91,87,4,0,91,0,182,3,6,0,0,6,0,9,10,0,0,13,13,0,23,104,93,4,13,110,0,214,5,0,0,0,0,0,5,5009,143,4,21,168,0,5177,3110,31,0,0,31,0,3141,49,58,3,0,61,0,110,3,0,5,0,5,0,8,8,0,0,7,7,0,15,60,58,8,7,73,0,133,0,0,0,0,0,0,0,3170,89,8,7,104,0,3274,2110,24,0,6,30,0,2140,25,33,3,0,36,0,61,0,3,0,0,3,0,3,5,0,0,8,8,0,13,30,36,3,8,47,0,77,0,0,0,0,0,0,0,2140,60,3,14,77,0,2217,2649,29,0,3
CED135,7320,53,0,15,68,0,7388,85,166,3,0,169,0,254,5,8,5,0,13,0,18,11,0,0,18,18,0,29,101,174,8,18,200,0,301,3,0,3,0,3,0,6,7424,227,11,33,271,0,7695,6718,44,0,7,51,3,6772,79,137,0,0,137,0,216,0,11,12,0,23,0,23,12,3,0,25,28,0,40,91,151,12,25,188,0,279,0,0,0,0,0,0,0,6809,195,12,32,239,3,7051,3868,16,0,4,20,0,3888,35,86,4,0,90,0,125,5,5,0,0,5,0,10,14,0,0,12,12,0,26,54,91,4,12,107,0,161,3,0,0,0,0,0,3,3925,107,4,16,127,0,4052,2279,9,0,3,12,0,2291,28,51,0,0,51,0,79,0,3,5,0,8,0,8,4,0,0,7,7,0,11,32,54,5,7,66,0,98,0,0,0,0,0,0,0,2311,63,5,10,78,0,2389,2607,9,0,0
CED136,2472,292,3,4,299,5,2776,429,5849,277,3,6129,11,6569,6,583,299,0,882,3,891,9,17,0,31,48,0,57,444,6449,576,34,7059,14,7517,0,36,3,0,39,24,63,2916,6777,582,38,7397,43,10356,1870,188,3,0,191,4,2065,214,3843,213,3,4059,7,4280,5,452,321,0,773,0,778,4,8,0,16,24,0,28,223,4303,534,19,4856,7,5086,4,18,0,3,21,21,46,2097,4509,537,22,5068,32,7197,1006,68,7,0,75,3,1084,110,1898,152,3,2053,4,2167,6,247,261,0,508,0,514,0,3,0,8,11,0,11,116,2148,413,11,2572,4,2692,0,9,0,0,9,13,22,1122,2225,420,11,2656,20,3798,662,47,0,0,47,0,709,70,1161,106,3,1270,5,1345,3,179,184,0,363,0,366,0,3,0,3,6,0,6,73,1343,290,6,1639,5,1717,3,5,0,0,5,6,14,738,1395,290,6,1691,11,2440,929,50,3,3
CED137,5258,74,0,4,78,0,5336,98,123,6,3,132,0,230,6,9,5,0,14,0,20,9,4,0,3,7,0,16,113,136,11,6,153,0,266,3,0,0,0,0,0,3,5374,210,11,10,231,0,5605,5192,56,0,3,59,0,5251,79,89,8,0,97,0,176,6,9,0,0,9,0,15,4,0,0,12,12,0,16,89,98,8,12,118,0,207,0,0,0,0,0,0,0,5281,154,8,15,177,0,5458,3178,36,0,3,39,3,3220,41,49,5,0,54,0,95,0,7,0,0,7,0,7,6,0,0,3,3,0,9,47,56,5,3,64,0,111,0,0,0,0,0,0,0,3225,92,5,6,103,3,3331,2031,25,0,3,28,0,2059,28,24,4,0,28,0,56,0,0,0,0,0,0,0,3,0,0,3,3,0,6,31,24,4,3,31,0,62,0,0,0,0,0,0,0,2062,49,4,6,59,0,2121,2496,19,0,4
CED138,3084,347,5,3,355,0,3439,526,4049,270,0,4319,20,4865,7,672,496,3,1171,0,1178,0,9,0,18,27,0,27,533,4730,766,21,5517,20,6070,8,21,0,0,21,13,42,3625,5098,771,24,5893,33,9551,2375,213,0,3,216,0,2591,308,2913,215,0,3128,4,3440,12,445,412,0,857,8,877,0,5,4,16,25,0,25,320,3363,631,16,4010,12,4342,5,16,0,0,16,9,30,2700,3592,631,19,4242,21,6963,1135,66,0,0,66,0,1201,159,1515,139,0,1654,0,1813,7,270,312,0,582,0,589,0,4,0,10,14,0,14,166,1789,451,10,2250,0,2416,3,5,4,3,12,12,27,1304,1860,455,13,2328,12,3644,780,47,0,3,50,0,830,79,1008,103,0,1111,0,1190,3,195,283,0,478,4,485,3,0,0,4,4,0,7,85,1203,386,4,1593,4,1682,0,5,0,0,5,4,9,865,1255,386,7,1648,8,2521,1009,73,0,3
CED139,4824,142,0,5,147,0,4971,210,215,7,3,225,0,435,0,12,5,0,17,0,17,5,0,0,6,6,0,11,215,227,12,9,248,0,463,3,0,0,0,0,3,6,5042,369,12,14,395,3,5440,4939,107,0,9,116,3,5058,151,186,7,0,193,0,344,7,3,13,0,16,0,23,5,0,0,4,4,0,9,163,189,20,4,213,0,376,3,0,0,0,0,0,3,5105,296,20,13,329,3,5437,3082,49,0,0,49,0,3131,96,97,0,0,97,0,193,0,3,14,0,17,0,17,4,0,0,6,6,0,10,100,100,14,6,120,0,220,0,3,0,0,3,0,3,3182,152,14,6,172,0,3354,2050,16,0,4,20,0,2070,42,41,0,0,41,0,83,0,3,3,0,6,0,6,3,0,0,4,4,0,7,45,44,3,4,51,0,96,0,0,0,0,0,0,0,2095,60,3,8,71,0,2166,2533,29,0,0
CED140,6771,125,0,6,131,0,6902,117,453,27,3,483,3,603,4,48,33,0,81,0,85,5,0,0,13,13,0,18,126,501,60,16,577,3,706,0,3,0,0,3,0,3,6897,629,60,22,711,3,7611,6672,102,0,10,112,3,6787,112,472,26,3,501,3,616,3,27,36,0,63,0,66,10,4,0,15,19,0,29,125,503,62,18,583,3,711,0,0,0,0,0,3,3,6797,605,62,28,695,9,7501,3924,50,0,4,54,3,3981,50,283,10,0,293,3,346,0,15,22,0,37,0,37,5,3,0,13,16,0,21,55,301,32,13,346,3,404,3,3,0,0,3,0,6,3982,354,32,17,403,6,4391,2458,39,0,8,47,0,2505,39,139,3,0,142,0,181,0,12,7,0,19,0,19,4,3,0,5,8,0,12,43,154,10,5,169,0,212,0,0,0,0,0,3,3,2501,193,10,13,216,3,2720,2978,37,0,4
CED141,5478,129,3,10,142,3,5623,178,300,6,4,310,0,488,4,29,10,0,39,0,43,10,0,0,3,3,0,13,192,329,16,7,352,0,544,3,0,0,0,0,0,3,5673,458,19,17,494,3,6170,5201,102,4,7,113,8,5322,145,255,6,0,261,0,406,0,23,14,0,37,0,37,7,3,0,0,3,0,10,152,281,20,0,301,0,453,0,0,0,0,0,0,0,5353,383,24,7,414,8,5775,3042,65,0,5,70,3,3115,89,142,0,0,142,0,231,3,3,8,0,11,0,14,8,0,0,6,6,0,14,100,145,8,6,159,0,259,3,0,0,0,0,0,3,3145,210,8,11,229,3,3377,2097,34,0,7,41,0,2138,55,94,4,0,98,0,153,7,5,5,0,10,0,17,0,0,0,0,0,0,0,62,99,9,0,108,0,170,0,0,0,0,0,0,0,2159,133,9,7,149,0,2308,2662,44,0,10
