region_id,M_1_299_DS_DS_Seprt_house,M_1_299_DS_DS_sd_row_tce_hs_t,M_1_299_DS_DS_Flat_unit_apart,M_1_299_DS_DS_Other_dwg,M_1_299_DS_ns,M_1_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_unit_apartm,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_unit_aptmnt,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_unit_aptmt,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_unit_aprtm,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_unt_aprt,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flt_unit_aprt,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_unt_aprt,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flt_unit_aprtm,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_unit_aprt,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_unit_aptm,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flt_unit_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_unit_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
CED410,807,76,35,0,0,918,431,32,31,3,0,497,382,57,36,0,0,475,697,71,87,3,0,858,795,90,100,0,0,985,2168,242,230,3,0,2643,2023,231,235,0,0,2489,2834,336,191,3,0,3364,1551,148,49,0,0,1748,1310,109,25,0,0,1444,938,54,9,0,0,1001,697,56,25,0,0,778,14633,1502,1053,12,0,17200
CED411,816,46,13,3,0,878,870,114,10,4,0,998,817,90,15,3,0,925,1642,137,25,3,4,1811,1964,177,28,4,3,2176,4778,301,56,3,3,5141,4581,118,33,7,0,4739,3721,50,5,3,3,3782,1071,13,5,4,0,1093,539,7,4,0,0,550,276,13,3,0,0,292,999,41,5,6,0,1051,22074,1107,202,40,13,23436
CED494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
CED501,735,22,15,0,0,772,456,24,6,0,0,486,399,9,6,0,0,414,818,28,18,0,0,864,1048,30,14,0,0,1092,2863,79,69,4,3,3018,3483,98,69,3,0,3653,5739,121,59,3,3,5925,3723,68,23,4,0,3818,2134,32,17,3,3,2189,879,14,6,3,0,902,1022,27,21,0,0,1070,23299,552,323,20,9,24203
CED502,751,37,8,0,0,796,488,22,13,0,0,523,418,24,3,0,0,445,803,36,6,3,0,848,975,20,23,7,0,1025,2579,110,42,5,0,2736,2790,135,59,5,0,2989,4408,161,64,11,0,4644,2951,37,20,0,0,3008,2150,22,18,8,0,2198,1161,23,17,7,3,1211,1038,28,23,4,0,1093,20512,655,296,50,3,21516
CED503,783,46,5,0,0,834,477,27,3,3,0,510,407,17,4,0,0,428,908,34,7,3,0,952,1129,49,20,3,0,1201,2856,128,55,0,0,3039,3165,148,54,0,0,3367,4734,209,54,0,0,4997,3772,129,24,3,0,3928,3019,104,10,0,0,3133,1051,46,3,0,0,1100,1075,44,9,0,0,1128,23376,981,248,12,0,24617
CED504,706,118,96,0,0,920,178,40,42,0,0,260,140,40,44,0,0,224,276,45,74,0,0,395,305,71,93,0,0,469,884,193,243,0,3,1323,821,188,337,0,3,1349,1403,309,387,7,0,2106,929,230,226,3,0,1388,1598,300,212,0,0,2110,3352,302,176,0,0,3830,669,84,71,0,3,827,11261,1920,2001,10,9,15201
CED505,751,22,16,21,3,813,412,6,3,5,0,426,351,6,7,0,0,364,625,11,4,14,0,654,678,12,6,16,3,715,1482,29,27,33,3,1574,1288,28,20,28,4,1368,1689,40,17,41,3,1790,946,33,16,13,0,1008,1022,40,20,24,4,1110,879,25,18,25,9,956,666,10,8,16,3,703,10789,262,162,236,32,11481
CED506,659,28,5,6,0,698,418,12,5,0,0,435,416,5,3,0,3,427,760,22,8,6,3,799,976,30,3,6,0,1015,2648,57,25,10,3,2743,2754,62,21,4,0,2841,3888,48,27,5,0,3968,2274,31,14,7,0,2326,1474,18,5,0,0,1497,776,16,6,7,0,805,921,15,3,8,0,947,17964,344,125,59,9,18501
