region_id,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
CED594,38,25,11,5,0,0,140,3,17,22,15,17,3,0,0,77,92,301,149,80,107,22,3,0,754,30,110,65,89,115,46,3,0,458,4,15,15,17,22,8,0,3,84,128,300,203,202,238,136,12,0,1219,19,26,12,9,17,3,0,0,86,151,341,230,228,277,147,12,3,1389,16,35,22,24,41,20,3,0,161,173,302,286,252,196,75,36,6,1326,472,1160,812,713,764,318,57,9,4305
CED597,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,8,0,6,3,0,0,0,20,3,14,8,6,0,0,0,0,31,0,0,3,3,3,0,0,0,9,10,40,38,29,7,3,3,0,130,0,4,3,0,0,3,0,0,10,10,44,44,32,10,6,3,0,149,3,8,3,4,4,0,0,0,22,5,28,19,9,8,0,0,0,69,24,105,74,60,25,6,3,0,297
CED601,357,382,369,152,35,14,1605,14,161,245,256,232,80,23,0,1011,553,2079,1916,1663,1194,523,202,50,8180,223,700,1104,1126,1025,562,261,88,5089,91,135,177,224,225,118,52,28,1050,1651,2798,2727,2864,2086,1125,546,138,13935,387,338,213,164,98,36,14,3,1253,2129,3271,3117,3252,2409,1279,612,169,16238,58,122,121,167,145,97,76,24,810,991,632,731,866,989,1087,1133,590,7019,3984,7245,7591,7712,6363,3780,2342,935,39952
CED602,150,205,165,85,23,5,756,10,87,156,189,179,55,16,6,698,238,1206,1072,1117,949,411,153,56,5202,128,533,978,1126,956,564,228,64,4577,84,117,217,229,217,104,46,8,1022,1814,2860,3089,3222,2317,1231,476,134,15143,430,349,235,215,111,54,11,6,1411,2328,3326,3541,3666,2645,1389,533,148,17576,43,89,108,163,175,125,64,10,777,950,603,847,1031,1040,1328,1243,583,7625,3701,5963,6852,7497,6109,3957,2260,872,37211
CED603,922,956,796,343,129,33,4091,58,384,504,530,415,102,42,14,2049,1145,3482,2818,2496,2004,796,371,148,13260,300,823,1127,1282,1135,652,330,122,5771,80,124,154,207,227,115,52,22,981,1483,2401,2206,2202,1536,928,523,136,11415,369,329,145,161,74,38,15,15,1146,1932,2854,2505,2570,1837,1081,590,173,13542,67,97,123,159,173,109,83,27,838,1072,813,808,948,1030,1006,1082,662,7421,4648,9291,8807,8941,7390,4089,2627,1179,46972
CED604,520,546,465,253,85,11,2165,18,223,373,372,316,115,32,6,1455,421,2121,2322,2003,1682,800,305,97,9751,169,688,1338,1446,1394,808,351,104,6298,72,155,209,259,228,149,63,25,1160,1444,2573,2759,2852,2104,1162,518,149,13561,341,284,165,166,120,51,39,6,1172,1857,3012,3133,3277,2452,1362,620,180,15893,51,99,124,143,196,141,75,32,861,897,685,807,897,1057,1089,958,441,6831,3423,7103,8617,8684,7562,4568,2426,871,43254
CED605,172,196,262,139,26,6,890,7,80,152,193,206,84,20,4,746,175,866,1095,1083,1078,539,158,33,5027,113,523,955,1172,1163,641,189,44,4800,71,135,194,247,217,118,46,16,1044,1472,2609,3138,3300,2653,1383,470,109,15134,369,347,226,207,133,55,11,4,1352,1912,3091,3558,3754,3003,1556,527,129,17530,43,91,139,169,220,125,55,14,856,965,653,893,1136,1500,1383,1012,360,7902,3223,5385,6964,7703,7432,4467,1987,590,37751
CED694,0,10,4,0,0,0,29,0,0,3,0,0,3,0,0,6,3,36,9,11,24,6,0,0,89,0,9,15,14,17,6,3,0,64,3,3,3,3,3,3,0,0,18,18,31,31,27,17,12,0,0,136,3,6,3,0,3,0,0,0,15,24,40,37,30,23,15,0,0,169,0,3,7,0,0,0,0,0,10,29,46,31,23,24,16,7,0,176,56,149,102,88,92,46,10,0,543
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,11,6,3,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,4,8,5,8,5,0,0,0,30,0,0,0,0,0,0,0,0,0,4,8,5,8,5,0,0,0,30,0,0,0,3,0,3,0,0,6,3,3,7,0,3,3,0,0,19,13,19,15,14,11,6,0,0,78
CED701,375,372,308,88,6,3,1470,18,237,336,325,235,29,4,6,1190,362,1924,1603,1298,930,225,33,6,6381,167,870,1161,1124,761,206,53,9,4351,90,178,234,198,119,53,3,0,875,1361,2812,3049,2639,1623,538,102,15,12139,386,424,343,250,111,34,9,0,1557,1837,3414,3626,3087,1853,625,114,15,14571,67,130,146,179,140,38,15,3,718,2762,2947,2596,2080,1519,770,312,94,13080,5229,9824,9843,8465,5746,1981,537,136,41761
CED702,704,692,501,172,21,6,2825,22,380,465,491,297,68,8,0,1731,749,3721,2587,1740,1193,378,96,22,10486,393,1410,1666,1420,970,332,72,14,6277,88,177,228,164,147,58,15,3,880,1954,3819,3107,2581,1613,613,176,17,13880,432,388,204,148,88,20,4,3,1287,2474,4384,3539,2893,1848,691,195,23,16047,96,185,185,163,140,83,28,4,884,2497,2926,2341,1947,1411,728,413,130,12393,6259,13707,11487,9346,6360,2452,833,199,50643
CED794,10,6,7,0,0,0,41,0,8,3,4,10,5,0,0,30,21,83,32,22,31,13,0,0,202,12,18,20,20,32,11,0,0,113,3,0,4,6,3,0,3,0,19,34,72,44,51,80,51,0,0,332,3,10,3,3,6,3,0,0,28,40,82,51,60,89,54,3,0,379,3,6,3,3,6,6,0,0,27,25,59,44,61,73,29,3,0,294,107,268,163,176,248,118,6,0,1086
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,5,0,0,0,6,0,0,11,3,0,0,3,0,0,0,0,6,4,7,7,4,0,0,0,0,22,0,3,3,0,0,0,0,0,6,7,10,10,7,0,0,0,0,34,0,0,0,3,3,0,0,0,6,4,3,3,4,3,0,0,0,17,11,21,13,14,6,6,0,0,71
CED801,2578,2792,2121,891,294,74,10595,57,821,1163,1457,1168,352,62,14,5094,1775,7236,6021,5565,4244,2011,815,262,27929,739,2200,2858,3068,2309,1150,482,184,12990,169,270,435,495,461,234,102,42,2208,1969,3377,3253,3271,2147,1190,614,165,15986,393,325,251,213,156,71,25,10,1444,2531,3972,3939,3979,2764,1495,741,217,19638,109,257,318,445,493,397,256,115,2390,1475,1208,1164,1152,986,820,824,587,8216,6762,17463,18041,18458,14085,7116,3474,1453,86852
CED802,4083,3080,2071,845,295,62,15095,122,1393,1545,1401,1142,372,66,6,6047,3819,11799,7350,4919,3575,1716,594,166,33938,1119,3044,3136,2497,1885,919,373,113,13086,197,303,426,373,456,213,82,36,2086,2186,4086,3464,2481,1830,980,524,145,15696,567,410,263,193,141,68,20,3,1665,2950,4799,4153,3047,2427,1261,626,184,19447,210,351,382,364,434,306,199,86,2332,2592,2071,1421,1165,1016,896,821,550,10532,11082,27846,22070,16473,12550,6315,2974,1167,100477
CED894,14,13,7,3,0,0,49,0,6,0,4,6,3,0,0,19,20,52,28,10,6,3,0,0,119,4,12,7,6,6,6,0,0,41,0,0,4,3,3,0,0,0,10,15,20,14,6,7,3,0,0,65,0,0,0,3,3,0,0,0,6,15,20,18,12,13,3,0,0,81,0,0,0,3,0,0,0,0,3,19,13,13,15,7,0,0,3,70,58,115,80,63,45,18,0,3,382
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
CED994,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,7,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,8,3,0,0,0,21
CED997,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6
