State;Division;Enrolment;Formal Vote;Informal Vote;Total Vote;Formal Pc;Formal Swing;Informal Pc;Informal Swing;Turnout;Turnout Swing;ALP TPP Vote;Coalition TPP Vote;TPP Exhausted;ALP TPP Pc;ALP Swing
NSW;Wentworth;86457;75460;3845;79305;95.15;-1.20;4.85;1.20;91.73;-0.23;31800;43660;0;42.14;-0.49
NSW;Werriwa;83153;71487;6651;78138;91.49;-3.32;8.51;3.32;93.97;-0.57;41810;29677;0;58.49;-4.14
VIC;Aston;90211;84620;2782;87402;96.82;-0.35;3.18;0.35;96.89;0.25;37089;47531;0;43.83;-1.93
VIC;Ballarat;85877;80549;2391;82940;97.12;0.67;2.88;-0.67;96.58;-0.15;42471;38078;0;52.73;5.50
VIC;Batman;89998;79220;4647;83867;94.46;-1.63;5.54;1.63;93.19;-1.29;59478;19742;0;75.08;-1.35
VIC;Bendigo;88150;81940;3165;85105;96.28;0.42;3.72;-0.42;96.55;-0.46;43892;38048;0;53.57;0.10
VIC;Bruce;85447;78476;2969;81445;96.35;0.04;3.65;-0.04;95.32;-0.87;43592;34884;0;55.55;-1.17
VIC;Burke;88943;81975;3031;85006;96.43;1.61;3.57;-1.61;95.57;-0.41;45504;36471;0;55.51;-2.10
VIC;Calwell;98330;87173;6035;93208;93.53;-3.03;6.47;3.03;94.79;-0.36;59044;28129;0;67.73;-1.25
VIC;Casey;85278;78727;2922;81649;96.42;0.44;3.58;-0.44;95.74;-0.36;33723;45004;0;42.84;-2.30
VIC;Chisholm;86680;79937;2481;82418;96.99;0.56;3.01;-0.56;95.08;-0.60;42179;37758;0;52.77;0.69
VIC;Corangamite;85955;79992;2798;82790;96.62;-0.83;3.38;0.83;96.32;0.53;35463;44529;0;44.33;-1.17
VIC;Corio;85836;77998;4185;82183;94.91;-1.89;5.09;1.89;95.74;0.11;45787;32211;0;58.70;-2.66
VIC;Deakin;85208;79176;2082;81258;97.44;0.62;2.56;-0.62;95.36;-0.68;38214;40962;0;48.26;0.20
VIC;Dunkley;85129;78560;2805;81365;96.55;-0.57;3.45;0.57;95.58;-0.45;35023;43537;0;44.58;-3.38
VIC;Flinders;91403;84318;3300;87618;96.23;-0.61;3.77;0.61;95.86;-0.41;35733;48585;0;42.38;-3.90
VIC;Gellibrand;86496;76365;3938;80303;95.10;-0.68;4.90;0.68;92.84;-0.91;54814;21551;0;71.78;-4.13
VIC;Gippsland;83845;75753;4484;80237;94.41;-0.67;5.59;0.67;95.70;-0.29;31775;43978;0;41.95;0.78
VIC;Goldstein;89948;82581;2351;84932;97.23;-0.06;2.77;0.06;94.42;-0.52;33459;49122;0;40.52;-1.33
VIC;Higgins;88043;79779;2198;81977;97.32;0.33;2.68;-0.33;93.11;-0.97;33196;46583;0;41.61;1.23
VIC;Holt;88172;79084;4109;83193;95.06;-0.41;4.94;0.41;94.35;-0.85;50078;29006;0;63.32;-1.79
VIC;Hotham;89090;81455;3005;84460;96.44;0.08;3.56;-0.08;94.80;-0.48;49701;31754;0;61.02;-2.57
VIC;Indi;85758;77736;4281;82017;94.78;-1.34;5.22;1.34;95.64;-0.54;30201;47535;0;38.85;-1.04
VIC;Isaacs;82675;75757;3691;79448;95.35;-1.03;4.65;1.03;96.10;-0.11;40011;35746;0;52.81;-3.59
VIC;Jagajaga;88073;81184;3070;84254;96.36;-1.06;3.64;1.06;95.66;-0.45;45170;36014;0;55.64;-0.27
VIC;Kooyong;87128;80321;2117;82438;97.43;-0.55;2.57;0.55;94.62;-0.66;31377;48944;0;39.06;0.45
VIC;Lalor;89277;81742;3718;85460;95.65;-0.99;4.35;0.99;95.72;-0.70;53644;28098;0;65.63;-4.19
VIC;La Trobe;88269;80798;3544;84342;95.80;-0.59;4.20;0.59;95.55;-0.54;37432;43366;0;46.33;-2.68
VIC;McEwen;89021;82518;3272;85790;96.19;-0.47;3.81;0.47;96.37;0.20;40269;42249;0;48.80;-0.16
VIC;McMillan;85551;79219;2853;82072;96.52;0.63;3.48;-0.63;95.93;-0.59;41559;37660;0;52.46;1.89
VIC;Mallee;81774;75804;2850;78654;96.38;-0.71;3.62;0.71;96.18;0.05;22797;53007;0;30.07;-0.56
VIC;Maribyrnong;83750;74815;4309;79124;94.55;-0.97;5.45;0.97;94.48;-0.95;50410;24405;0;67.38;-4.68
VIC;Melbourne;95848;83902;3288;87190;96.23;-0.11;3.77;0.11;90.97;-1.82;58808;25094;0;70.09;-1.71
VIC;Melbourne Ports;89113;79039;2662;81701;96.74;-0.15;3.26;0.15;91.68;-0.66;44018;35021;0;55.69;-0.14
VIC;Menzies;84613;78009;2784;80793;96.55;-0.27;3.45;0.27;95.49;-0.30;32032;45977;0;41.06;-3.54
VIC;Murray;85651;79567;2908;82475;96.47;-0.11;3.53;0.11;96.29;0.25;20743;58824;0;26.07;-1.87
VIC;Scullin;88866;81316;4186;85502;95.10;-1.43;4.90;1.43;96.21;0.03;56265;25051;0;69.19;-2.65
VIC;Wannon;82915;77041;3062;80103;96.18;-1.07;3.82;1.07;96.61;-0.18;31120;45921;0;40.39;-2.16
VIC;Wills;88553;78569;4302;82871;94.81;-0.92;5.19;0.92;93.58;-0.96;54542;24027;0;69.42;-1.54
QLD;Blair;76853;69621;3909;73530;94.68;-1.72;5.32;1.72;95.68;0.40;28894;40727;0;41.50;-0.47
QLD;Bowman;87122;79233;3954;83187;95.25;-2.12;4.75;2.12;95.48;0.46;40742;38491;0;51.42;-1.87
QLD;Brisbane;95781;85728;3315;89043;96.28;-0.93;3.72;0.93;92.97;0.19;45548;40180;0;53.13;-1.46
QLD;Capricornia;81499;74725;3070;77795;96.05;-1.35;3.95;1.35;95.46;0.20;42492;32233;0;56.86;1.57
QLD;Dawson;87405;79300;3930;83230;95.28;-1.94;4.72;1.94;95.22;0.21;33313;45987;0;42.01;-3.58
QLD;Dickson;88001;79843;4755;84598;94.38;-2.12;5.62;2.12;96.13;0.44;35155;44688;0;44.03;-6.09
