State;Division;Ballot Position;Member;Candidate;Party;Gender;Vote;Vote Percent;Swing
NSW;Prospect;1;;FILIPCZYK, Rebecca;GRN;F;3439;4.58;3.07
NSW;Prospect;2;;HUTCHINSON, John Robert;HAN;M;3380;4.50;-3.19
NSW;Prospect;3;;OATES, Garry A;AFI;M;1274;1.70;1.70
NSW;Prospect;4;;HAROON, Lewis;CTA;M;1927;2.56;2.31
NSW;Prospect;5;;PERKINS, Gareth;LP;M;20776;27.65;1.98
NSW;Prospect;6;;PEACOCK, Thomas;DEM;M;1723;2.29;-2.60
NSW;Prospect;7;;TAI, Kek;UNI;M;1027;1.37;-1.43
NSW;Prospect;8;#;CROSIO, Janice;ALP;F;41596;55.36;-1.23
NSW;Prospect;904;;;NLP;;0;0.00;-0.27
NSW;Prospect;997;;;OTH;;0;0.00;-0.33
NSW;Reid;1;;CHAMAS, Habib;UNI;M;3056;4.78;-0.82
NSW;Reid;2;;ARCHER, Adrian Peter;DEM;M;2183;3.42;0.39
NSW;Reid;3;;MAXWELL, Steve;GRN;M;1920;3.01;1.28
NSW;Reid;4;;LEDERMANN, Uwe;CTA;M;1502;2.35;-0.90
NSW;Reid;5;;MACDONALD, Lisa;;F;916;1.43;1.43
NSW;Reid;6;;YUSUF, Irfan;LP;M;14364;22.48;1.18
NSW;Reid;7;;O'CONNOR, Shane;HAN;M;3476;5.44;-1.20
NSW;Reid;8;#;FERGUSON, Laurie;ALP;M;36474;57.09;-0.96
NSW;Reid;906;;;DSL;;0;0.00;-0.38
NSW;Reid;910;;;NLP;;0;0.00;-0.03
NSW;Richmond;1;;NATHAN, Julie;IND;F;942;1.30;1.30
NSW;Richmond;2;#;ANTHONY, Larry;NP;M;32516;44.76;5.50
NSW;Richmond;3;;PENHALIGON, John;IND;M;668;0.92;0.92
NSW;Richmond;4;;MCALLISTER, Jenny;ALP;F;24702;34.00;-4.65
NSW;Richmond;5;;FAULKNER, Nicolas de Bray;IND;M;161;0.22;0.22
NSW;Richmond;6;;BARHAM, Jan;GRN;F;7310;10.06;4.36
NSW;Richmond;7;;PENIAZEV, Alexander;NCP;M;85;0.12;0.12
NSW;Richmond;8;;BALK, Casey;DEM;M;2085;2.87;-0.03
NSW;Richmond;9;;JEFFERYS, Dean;HMP;M;919;1.26;1.26
NSW;Richmond;10;;ROLFE, Dell;HAN;F;3016;4.15;-6.09
NSW;Richmond;11;;SIMPSON, Rob;IND;M;249;0.34;0.34
NSW;Richmond;907;;;NLP;;0;0.00;-0.42
NSW;Richmond;997;;;OTH;;0;0.00;-2.83
NSW;Riverina;1;;RICHTER, Dennis;IND;M;1839;2.29;2.29
NSW;Riverina;2;;TURNER, Neil;HAN;M;4496;5.60;-5.89
NSW;Riverina;3;;ALBISTON, Andrew;ALP;M;19285;24.00;-3.38
NSW;Riverina;4;#;HULL, Kay;NP;F;49371;61.45;29.25
NSW;Riverina;5;;GRAHAM, Rex;DEM;M;2031;2.53;0.24
NSW;Riverina;6;;DANCEY, Russell Francis;CTA;M;1371;1.71;1.71
NSW;Riverina;7;;MOORE, Catherine;GRN;F;1954;2.43;2.22
NSW;Riverina;904;;;LP;;0;0.00;-24.89
NSW;Riverina;910;;;CEC;;0;0.00;-0.01
NSW;Riverina;997;;;OTH;;0;0.00;-1.53
NSW;Robertson;1;;KENISCIEHAD, Kaijin;IND;M;657;0.87;0.87
NSW;Robertson;2;;BOYLE, Harry Ovens;DEM;M;2736;3.62;-0.78
NSW;Robertson;3;;HENNIG, Christine;CTA;F;1092;1.44;1.44
NSW;Robertson;4;;MORAN, Trish;ALP;F;25789;34.08;-5.77
NSW;Robertson;5;;MUNN, Alasdair;IND;M;348;0.46;0.46
NSW;Robertson;6;#;LLOYD, Jim;LP;M;38448;50.80;6.90
NSW;Robertson;7;;LACEY, Stephen;GRN;M;2512;3.32;1.19
NSW;Robertson;8;;WILLS, Kevin;IND;M;744;0.98;0.98
NSW;Robertson;9;;LAING-PEACH, James;IND;M;525;0.69;0.69
NSW;Robertson;10;;BAKER, Errol;HAN;M;2333;3.08;-6.16
NSW;Robertson;11;;PHILLIPS, Barry;PLP;M;374;0.49;0.49
NSW;Robertson;12;;MARTIN, Ken;CEC;M;125;0.17;0.17
NSW;Robertson;905;;;UNI;;0;0.00;-0.48
NSW;Shortland;1;;PERREM, Brian;LP;M;27302;34.67;6.33
NSW;Shortland;2;;CANDLISH, Iris;HAN;F;3686;4.68;-5.63
NSW;Shortland;3;#;HALL, Jill;ALP;F;39139;49.70;-2.24
NSW;Shortland;4;;CRAIG, Peter;IND;M;2312;2.94;2.94
NSW;Shortland;5;;ADAMS, Steven Mark;DEM;M;2484;3.15;-0.25
NSW;Shortland;6;;LAMBERT, Joan;GRN;F;3242;4.12;0.60
NSW;Shortland;7;;GARDNIR, Ron;IND;M;590;0.75;0.75
NSW;Shortland;908;;;CTA;;0;0.00;-0.19
NSW;Shortland;997;;;OTH;;0;0.00;-2.31
NSW;Sydney;1;#;PLIBERSEK, Tanya;ALP;F;32962;44.33;-8.58
NSW;Sydney;2;;HICKMAN, Sydney;DEM;M;8093;10.88;4.01
NSW;Sydney;3;;PETTETT, Jeff;LP;M;22380;30.10;4.28
NSW;Sydney;4;;PARKER, Jamie;GRN;M;10924;14.69;8.32
NSW;Sydney;906;;;UNI;;0;0.00;-2.38
NSW;Sydney;907;;;DSL;;0;0.00;-0.78
NSW;Sydney;908;;;HAN;;0;0.00;-2.60
NSW;Sydney;911;;;NAN;;0;0.00;-0.66
NSW;Sydney;912;;;NLP;;0;0.00;-0.15
NSW;Sydney;997;;;OTH;;0;0.00;-1.45
NSW;Throsby;1;;ROBERTS, Madeleine;DEM;F;5743;7.51;3.72
NSW;Throsby;2;;PRSA, Ivan;HAN;M;4969;6.50;-4.83
NSW;Throsby;3;;PERROTT, Margaret;;F;1043;1.36;1.36
NSW;Throsby;4;;AKHURST, Alan;LP;M;19280;25.22;7.84
NSW;Throsby;5;;STORY, Elsa;GRN;F;3444;4.51;1.45
NSW;Throsby;6;#;GEORGE, Jennie;ALP;F;41963;54.90;-6.32
NSW;Throsby;902;;;SEP;;0;0.00;-0.51
NSW;Throsby;903;;;CTA;;0;0.00;-2.68
NSW;Throsby;909;;;UNI;;0;0.00;-0.02
NSW;Throsby;911;;;DSL;;0;0.00;-0.02
NSW;Throsby;997;;;OTH;;0;0.00;-0.01
NSW;Warringah;1;;LAM, Keelah;GRN;F;2859;3.69;-0.40
NSW;Warringah;2;;MACDONALD, Peter;IND;M;21490;27.77;27.77
NSW;Warringah;3;;HERAGHTY, Julie;ALP;F;9352;12.08;-15.56
NSW;Warringah;4;#;ABBOTT, Tony;LP;M;39816;51.45;-3.43
NSW;Warringah;5;;BURRIDGE, Nina;DEM;F;2092;2.70;-3.35
NSW;Warringah;6;;FERGUSON, Christine;NGST;F;437;0.56;0.37
NSW;Warringah;7;;KELLY, David;HAN;M;1347;1.74;-3.83
NSW;Warringah;906;;;NLP;;0;0.00;-0.29
NSW;Warringah;908;;;CTA;;0;0.00;-0.95
NSW;Warringah;997;;;OTH;;0;0.00;-0.32
NSW;Watson;1;;NAM, Ken;UNI;M;3349;4.76;-0.51
NSW;Watson;2;;GRIFFITHS, Kristin;DEM;F;2788;3.96;0.80
NSW;Watson;3;#;MCLEAY, Leo;ALP;M;39516;56.15;-1.07
NSW;Watson;4;;POULSEN, Ronald;;M;322;0.46;0.46
NSW;Watson;5;;FITZSIMMONS, Dominic;GRN;M;2446;3.48;2.00
NSW;Watson;6;;PLOOY, Arnold;LP;M;19791;28.12;1.73
NSW;Watson;7;;FARRELL, Michelle;HAN;F;2165;3.08;-1.54
NSW;Watson;907;;;CTA;;0;0.00;-1.62
NSW;Watson;909;;;NAN;;0;0.00;-0.09
NSW;Watson;910;;;DSL;;0;0.00;-0.01
NSW;Watson;911;;;NLP;;0;0.00;-0.00
NSW;Watson;997;;;OTH;;0;0.00;-0.16
NSW;Wentworth;1;;GOLDEN, Aub;HAN;M;1233;1.63;-1.00
NSW;Wentworth;2;;LYSSA, Alison;GRN;F;7371;9.77;4.88
NSW;Wentworth;3;;COLLINGS, Margaret;DEM;F;4639;6.15;0.11
NSW;Wentworth;4;#;KING, Peter;LP;M;39298;52.08;1.99
NSW;Wentworth;5;;JACOBS, Alan;UNI;M;642;0.85;-1.77
NSW;Wentworth;6;;NEILSON, Carolyn;ALP;F;22277;29.52;-3.49
NSW;Wentworth;906;;;NLP;;0;0.00;-0.59
NSW;Wentworth;909;;;DSL;;0;0.00;-0.04
NSW;Wentworth;912;;;NAN;;0;0.00;-0.05
NSW;Wentworth;997;;;OTH;;0;0.00;-0.05
NSW;Werriwa;1;;URI, John;UNI;M;1527;2.14;-0.04
NSW;Werriwa;2;;MASINA, Paul;LP;M;23816;33.32;4.24
NSW;Werriwa;3;;WOODGER, Janey;AFI;F;1256;1.76;1.76
NSW;Werriwa;4;;TAN, Greg;CTA;M;1759;2.46;2.46
NSW;Werriwa;5;;BLANCH, Glenda;DEM;F;1886;2.64;-0.79
NSW;Werriwa;6;;BARSONY, Roger;GRN;M;1891;2.65;0.87
NSW;Werriwa;7;#;LATHAM, Mark;ALP;M;35980;50.33;-1.15
NSW;Werriwa;8;;KOTARSKI, P;HAN;M;3372;4.72;-6.16
NSW;Werriwa;997;;;OTH;;0;0.00;-1.19
VIC;Aston;1;;LEVICK, Ray;CTA;M;1074;1.27;1.27
VIC;Aston;2;#;PEARCE, Chris;LP;M;42973;50.78;2.29
VIC;Aston;3;;KENDALL, Ruth;DEM;F;5952;7.03;-0.49
VIC;Aston;4;;BOLAND, Kieran;ALP;M;31269;36.95;-1.56
VIC;Aston;5;;MITCHELL, Doug;CEC;M;290;0.34;0.34
VIC;Aston;6;;KIR, Mick;GRN;M;3062;3.62;3.62
VIC;Aston;904;;;ARP;;0;0.00;-0.86
VIC;Aston;905;;;HAN;;0;0.00;-2.89
VIC;Aston;906;;;UNI;;0;0.00;-1.72
VIC;Ballarat;1;#;KING, Catherine;ALP;F;35558;44.14;3.23
VIC;Ballarat;2;;KELLY, Tony;GRN;M;5126;6.36;4.94
VIC;Ballarat;3;;COLLINS, Charles;LP;M;34512;42.85;-2.39
VIC;Ballarat;4;;CORIC, Danii;DEM;F;3300;4.10;0.40
VIC;Ballarat;5;;BLANCHARD, John;HAN;M;2053;2.55;-2.35
VIC;Ballarat;901;;;CTA;;0;0.00;-1.10
VIC;Ballarat;905;;;ASP;;0;0.00;-2.06
VIC;Ballarat;906;;;UNI;;0;0.00;-0.24
VIC;Ballarat;997;;;OTH;;0;0.00;-0.44
VIC;Batman;1;;BHATHAL, Alexandra;GRN;F;9171;11.58;6.98
VIC;Batman;2;#;FERGUSON, Martin;ALP;M;46506;58.70;-7.13
VIC;Batman;3;;KNEEBONE, Scott;DEM;M;4954;6.25;1.24
VIC;Batman;4;;LYNCH, Jackie;;F;1064;1.34;1.34
VIC;Batman;5;;DAVIES, John;LP;M;17196;21.71;1.48
VIC;Batman;6;;BARWICK, Wayne;CEC;M;329;0.42;0.10
VIC;Batman;901;;;NLP;;0;0.00;-1.84
VIC;Batman;907;;;UNI;;0;0.00;-0.82
VIC;Batman;997;;;OTH;;0;0.00;-1.35
VIC;Bendigo;1;#;GIBBONS, Steve;ALP;M;35630;43.48;0.58
VIC;Bendigo;2;;BARROW, Ron;;M;744;0.91;0.91
VIC;Bendigo;3;;ZEGERS, Karel;IND;M;1387;1.69;1.69
VIC;Bendigo;4;;PASQUARELLI, John;IND;M;1073;1.31;1.31
VIC;Bendigo;5;;LILLEY, Helen;DEM;F;2620;3.20;-1.33
VIC;Bendigo;6;;SHARKEY, Maurie;LP;M;32311;39.43;3.55
VIC;Bendigo;7;;SMITH, Neil H;HAN;M;2039;2.49;-4.12
VIC;Bendigo;8;;RIVENDELL, Bruce;GRN;M;4279;5.22;2.56
VIC;Bendigo;9;;ARNOLD, Phil;CTA;M;1857;2.27;2.27
VIC;Bendigo;901;;;NLP;;0;0.00;-0.67
VIC;Bendigo;904;;;UNI;;0;0.00;-0.46
VIC;Bendigo;905;;;NP;;0;0.00;-3.18
VIC;Bendigo;906;;;ARP;;0;0.00;-1.42
VIC;Bendigo;907;;;FST;;0;0.00;-0.43
VIC;Bendigo;910;;;CEC;;0;0.00;-0.16
VIC;Bendigo;997;;;OTH;;0;0.00;-1.08
VIC;Bruce;1;;COLLIS, David;GRN;M;3349;4.27;2.74
VIC;Bruce;2;;STEEL, Reg;LP;M;31813;40.54;1.96
VIC;Bruce;3;#;GRIFFIN, Alan;ALP;M;38150;48.61;-0.05
VIC;Bruce;4;;ROBYNS, Shaun;DEM;M;5164;6.58;0.56
VIC;Bruce;902;;;HAN;;0;0.00;-2.93
VIC;Bruce;903;;;NLP;;0;0.00;-0.27
VIC;Bruce;905;;;NGST;;0;0.00;-0.32
VIC;Bruce;906;;;UNI;;0;0.00;-1.70
VIC;Burke;1;;WARD, Marcus;GRN;M;6062;7.39;5.48
VIC;Burke;2;;LUTZ, Geoff;DEM;M;5493;6.70;0.72
VIC;Burke;3;;DAWE, Chris;LP;M;31282;38.16;2.13
VIC;Burke;4;#;O'CONNOR, Brendan;ALP;M;39138;47.74;-2.25
VIC;Burke;905;;;NLP;;0;0.00;-0.22
VIC;Burke;907;;;HAN;;0;0.00;-4.54
VIC;Burke;997;;;OTH;;0;0.00;-1.31
VIC;Calwell;1;;ABBOTTO, John;NGST;M;3074;3.53;3.53
VIC;Calwell;2;;THEOPHANOUS, Andrew;IND;M;8392;9.63;9.63
VIC;Calwell;3;;BOCHI, Mohamed Walid;;M;555;0.64;0.64
VIC;Calwell;4;;LIVESAY, Robert;DEM;M;3356;3.85;-2.84
VIC;Calwell;5;#;VAMVAKINOU, Maria;ALP;F;45203;51.85;-10.50
VIC;Calwell;6;;YOHANNA, Sleiman;CEC;M;465;0.53;0.53
VIC;Calwell;7;;BARKER, Bee;GRN;F;2105;2.41;2.41
VIC;Calwell;8;;DERVISH, D;IND;M;2003;2.30;2.30
VIC;Calwell;9;;BULLER, Darren;LP;M;22020;25.26;-1.06
VIC;Calwell;904;;;NLP;;0;0.00;-0.94
VIC;Calwell;905;;;UNI;;0;0.00;-3.70
VIC;Casey;1;;JOYCE, Tom;DEM;M;6738;8.56;1.15
VIC;Casey;2;#;SMITH, Tony;LP;M;40354;51.26;4.87
VIC;Casey;3;;LEACH, Lorraine;GRN;F;5424;6.89;4.68
VIC;Casey;4;;MCKENZIE, David;ALP;M;26211;33.29;-0.13
VIC;Casey;901;;;NLP;;0;0.00;-0.75
VIC;Casey;905;;;UNI;;0;0.00;-0.55
VIC;Casey;907;;;HAN;;0;0.00;-3.26
VIC;Casey;909;;;ASP;;0;0.00;-1.45
VIC;Casey;910;;;CTA;;0;0.00;-1.24
VIC;Casey;997;;;OTH;;0;0.00;-3.33
VIC;Chisholm;1;;CLOWES, Ros;LP;F;34836;43.58;1.84
VIC;Chisholm;2;;BENNETT, James;DEM;M;5379;6.73;-0.14
VIC;Chisholm;3;#;BURKE, Anna;ALP;F;33929;42.44;0.06
VIC;Chisholm;4;;MURRAY, John;NGST;M;895;1.12;1.12
VIC;Chisholm;5;;TANKEY, Howard;GRN;M;4898;6.13;3.03
VIC;Chisholm;902;;;RPA;;0;0.00;-0.22
VIC;Chisholm;905;;;UNI;;0;0.00;-2.82
VIC;Chisholm;906;;;NLP;;0;0.00;-0.25
VIC;Chisholm;908;;;HAN;;0;0.00;-2.63
VIC;Corangamite;1;;HILLS, Graham;HAN;M;1983;2.48;-3.07
VIC;Corangamite;2;;STRAUSS, Nigel;LFF;M;1960;2.45;2.45
VIC;Corangamite;3;;HODGE, Robyn;DEM;F;5129;6.41;0.03
VIC;Corangamite;4;#;MCARTHUR, Stewart;LP;M;37929;47.42;1.40
VIC;Corangamite;5;;LYGO, Iain;GRN;M;5096;6.37;3.30
VIC;Corangamite;6;;ARUNDELL, Simon;IND;M;1326;1.66;-0.53
VIC;Corangamite;7;;BJORK-BILLINGS, Michael;ALP;M;26569;33.21;-2.87
VIC;Corangamite;903;;;UNI;;0;0.00;-0.70
VIC;Corio;1;;MENHEERE-THOMPSON, Erica;DEM;F;5388;6.91;1.18
VIC;Corio;2;#;O'CONNOR, Gavan;ALP;M;38021;48.75;-2.07
VIC;Corio;3;;GOODEN, Tim;;M;698;0.89;0.89
VIC;Corio;4;;MALESIC, Steve;LP;M;28254;36.22;2.58
VIC;Corio;5;;HILL, Gareth;CEC;M;176;0.23;0.23
VIC;Corio;6;;TIRKOT, Herbert Georg;HAN;M;1420;1.82;-3.25
VIC;Corio;7;;FAIRBROTHER, Cheryl;;F;653;0.84;0.84
VIC;Corio;8;;JOHNSON, Catherine;GRN;F;3388;4.34;4.34
VIC;Corio;901;;;PLP;;0;0.00;-4.10
VIC;Corio;906;;;UNI;;0;0.00;-0.64
VIC;Deakin;1;;AYLIFFE, Nahum;DEM;M;6317;7.98;0.00
VIC;Deakin;2;;BUCKINGHAM, Helen;ALP;F;30397;38.39;-0.44
VIC;Deakin;3;;EVANS, Robyn;GRN;F;5045;6.37;3.88
VIC;Deakin;4;#;BARRESI, Phil;LP;M;37417;47.26;3.31
VIC;Deakin;901;;;UNI;;0;0.00;-1.66
VIC;Deakin;905;;;NLP;;0;0.00;-0.30
VIC;Deakin;907;;;HAN;;0;0.00;-2.88
VIC;Deakin;997;;;OTH;;0;0.00;-1.92
VIC;Dunkley;1;#;BILLSON, Bruce;LP;M;39203;49.90;3.66
VIC;Dunkley;2;;CARTWRIGHT, Michael;HAN;M;1438;1.83;-2.62
VIC;Dunkley;3;;CONROY, Mark;ALP;M;28088;35.75;-3.23
VIC;Dunkley;4;;DAVIS, Fletcher;IND;M;995;1.27;1.27
VIC;Dunkley;5;;KELSALL, Henry;GRN;M;4486;5.71;1.82
VIC;Dunkley;6;;WOODHOUSE, Ian;DEM;M;4350;5.54;-0.22
VIC;Dunkley;904;;;UNI;;0;0.00;-0.44
VIC;Dunkley;906;;;NLP;;0;0.00;-0.24
VIC;Flinders;1;;WILSON, Earle;IND;M;968;1.15;1.15
VIC;Flinders;2;;DOWEY, Kevin Joseph Peter;HAN;M;1911;2.27;-2.95
VIC;Flinders;3;;BLADE, Ashley;IND;M;567;0.67;0.67
VIC;Flinders;4;#;HUNT, Greg;LP;M;43601;51.71;4.32
VIC;Flinders;5;;FINCH, Wayne;ALP;M;27695;32.85;-4.57
VIC;Flinders;6;;ARMSTRONG, Richard;DEM;M;4690;5.56;-0.82
VIC;Flinders;7;;DE RANGO, David;GRN;M;4886;5.79;3.13
VIC;Flinders;902;;;UNI;;0;0.00;-0.58
VIC;Flinders;903;;;NLP;;0;0.00;-0.34
VIC;Gellibrand;1;;TANN, Christopher;LP;M;19191;25.13;5.15
VIC;Gellibrand;2;#;ROXON, Nicola;ALP;F;46124;60.40;-7.07
VIC;Gellibrand;3;;RICHARDS, Rachel;DEM;F;5256;6.88;2.40
VIC;Gellibrand;4;;FINEY, Michele;GRN;F;4831;6.33;3.47
VIC;Gellibrand;5;;JORQUERA, Jorge;;M;963;1.26;1.26
VIC;Gellibrand;903;;;HAN;;0;0.00;-3.46
VIC;Gellibrand;904;;;NLP;;0;0.00;-0.33
VIC;Gellibrand;907;;;UNI;;0;0.00;-1.41
VIC;Gippsland;1;;JAGO, John;IND;M;1579;2.08;2.08
VIC;Gippsland;2;;FRESHWATER, Michael;HAN;M;4066;5.37;-6.06
VIC;Gippsland;3;;MCCUBBIN, Jo;DEM;F;3331;4.40;-0.92
VIC;Gippsland;4;;EVANS, Phillip J;IND;M;1551;2.05;2.05
VIC;Gippsland;5;;BUCKLEY, Ben;IND;M;1249;1.65;1.65
VIC;Gippsland;6;;THORPE, Marjorie;IND;F;791;1.04;1.04
VIC;Gippsland;7;;WILLIAMS, Frank;CEC;M;221;0.29;0.29
VIC;Gippsland;8;;BOLITHO, Bill;ALP;M;19469;25.70;-0.58
VIC;Gippsland;9;;TREASURE, Doug;IND;M;4249;5.61;0.10
VIC;Gippsland;10;#;MCGAURAN, Peter;NP;M;34555;45.62;2.65
VIC;Gippsland;11;;ROBINSON, Phillip;IND;M;487;0.64;0.64
VIC;Gippsland;12;;AITKEN, Chris;GRN;M;4205;5.55;5.55
VIC;Gippsland;901;;;NLP;;0;0.00;-1.02
VIC;Gippsland;902;;;UNI;;0;0.00;-0.77
VIC;Gippsland;911;;;FST;;0;0.00;-0.88
VIC;Gippsland;997;;;OTH;;0;0.00;-5.83
VIC;Goldstein;1;#;KEMP, David;LP;M;43535;52.72;0.68
VIC;Goldstein;2;;POWNING, Rachel;ALP;F;22730;27.52;-6.00
VIC;Goldstein;3;;NEWELL, Michaela Clare;DEM;F;6215;7.53;-0.12
VIC;Goldstein;4;;STEGLEY, Kristin;IND;F;4807;5.82;5.82
VIC;Goldstein;5;;PUSZKA, Teresa;GRN;F;5294;6.41;3.52
VIC;Goldstein;901;;;NGST;;0;0.00;-0.51
VIC;Goldstein;903;;;HAN;;0;0.00;-2.26
VIC;Goldstein;904;;;NLP;;0;0.00;-0.28
VIC;Goldstein;907;;;UNI;;0;0.00;-0.84
VIC;Higgins;1;;STEPHENS, Katie;ALP;F;23038;28.88;-3.24
VIC;Higgins;2;;GILES, Tania;GRN;F;7029;8.81;6.03
VIC;Higgins;3;;MOSS, Katie;DEM;F;7275;9.12;1.66
VIC;Higgins;4;#;COSTELLO, Peter;LP;M;42437;53.19;-0.25
VIC;Higgins;904;;;HAN;;0;0.00;-1.56
VIC;Higgins;906;;;NGST;;0;0.00;-0.12
VIC;Higgins;908;;;NLP;;0;0.00;-0.26
VIC;Higgins;909;;;UNI;;0;0.00;-1.33
VIC;Higgins;997;;;OTH;;0;0.00;-0.92
VIC;Holt;1;;MORGAN, Polly;DEM;F;5240;6.63;0.64
VIC;Holt;2;;WOOD, Jason;LP;M;24621;31.13;1.60
VIC;Holt;3;;PATRINOS, Theos;GRN;M;2149;2.72;2.72
VIC;Holt;4;;FORD, Gordon W;;M;880;1.11;1.11
VIC;Holt;5;#;BYRNE, Anthony;ALP;M;44681;56.50;-3.29
VIC;Holt;6;;DICKSON, Lynne;CTA;F;1513;1.91;0.16
VIC;Holt;902;;;UNI;;0;0.00;-1.26
VIC;Holt;904;;;NLP;;0;0.00;-0.51
VIC;Holt;997;;;OTH;;0;0.00;-1.16
VIC;Hotham;1;;BENNETT, Ollie;GRN;M;3544;4.35;2.51
VIC;Hotham;2;;HALL, Simon Joseph;CEC;M;598;0.73;0.73
VIC;Hotham;3;;RUFFOLO, Priscilla;LP;F;28579;35.09;2.88
VIC;Hotham;4;;JOSS, Jessica;DEM;F;4383;5.38;0.78
VIC;Hotham;5;#;CREAN, Simon;ALP;M;44351;54.45;-2.53
VIC;Hotham;901;;;HAN;;0;0.00;-3.16
VIC;Hotham;904;;;UNI;;0;0.00;-1.04
VIC;Hotham;906;;;NLP;;0;0.00;-0.17
VIC;Indi;1;;ADAMS, Pat;;F;895;1.15;1.15
VIC;Indi;2;;MURDOCH, Barbara;ALP;F;21014;27.03;-1.40
VIC;Indi;3;;BENNETTS, Lyn;HAN;F;3079;3.96;-3.98
VIC;Indi;4;;CHUCK, Robert;DEM;M;2920;3.76;-1.13
VIC;Indi;5;;SEYMOUR, Philip John;CTA;M;884;1.14;1.14
VIC;Indi;6;;WARDLE, Michael;GRN;M;2956;3.80;1.40
VIC;Indi;7;;CHAMBERS, Don;NP;M;9552;12.29;12.29
VIC;Indi;8;#;PANOPOULOS, Sophie;LP;F;31152;40.07;-10.79
VIC;Indi;9;;MCINTOSH, Nelson;IND;M;5284;6.80;6.80
VIC;Indi;901;;;NLP;;0;0.00;-0.97
VIC;Indi;904;;;FST;;0;0.00;-2.84
VIC;Indi;997;;;OTH;;0;0.00;-1.65
VIC;Isaacs;1;;OAKLEY, Shirly;IND;F;1342;1.77;1.77
VIC;Isaacs;2;;BROOK, Patricia;IND;F;640;0.84;0.84
VIC;Isaacs;3;#;CORCORAN, Ann;ALP;F;31951;42.18;-6.25
VIC;Isaacs;4;;STANTON, Heather;CEC;F;246;0.32;0.32
VIC;Isaacs;5;;GROVES, John;HAN;M;1358;1.79;-2.25
VIC;Isaacs;6;;SHEPHERDSON, Michael;LP;M;31520;41.61;3.44
VIC;Isaacs;7;;BUJEYA, Darren;GRN;M;3073;4.06;1.92
VIC;Isaacs;8;;FLETCHER, Haydn;DEM;M;5627;7.43;1.50
VIC;Isaacs;903;;;UNI;;0;0.00;-0.57
VIC;Isaacs;905;;;NLP;;0;0.00;-0.29
VIC;Isaacs;908;;;FST;;0;0.00;-0.44
VIC;Jagajaga;1;;WIGG, Peter;DEM;M;5421;6.68;0.81
VIC;Jagajaga;2;;GALLAGHER, Paul;CEC;M;266;0.33;0.33
VIC;Jagajaga;3;;JONES, Brett Lloyd;LP;M;32619;40.18;0.81
VIC;Jagajaga;4;;ROBERTS, Samantha;GRN;F;5178;6.38;3.11
VIC;Jagajaga;5;#;MACKLIN, Jenny;ALP;F;37027;45.61;-2.54
VIC;Jagajaga;6;;SCHOREL-HLAVKA, Gary;IND;M;673;0.83;0.83
VIC;Jagajaga;902;;;HAN;;0;0.00;-2.44
VIC;Jagajaga;904;;;NLP;;0;0.00;-0.33
VIC;Jagajaga;906;;;UNI;;0;0.00;-0.58
VIC;Kooyong;1;#;GEORGIOU, Petro;LP;M;44244;55.08;0.26
VIC;Kooyong;2;;CAMPBELL, Peter;GRN;M;8607;10.72;6.67
VIC;Kooyong;3;;SHARP, Ari;DEM;M;6374;7.94;-0.18
VIC;Kooyong;4;;WILSON, Tom;ALP;M;21096;26.26;-3.18
VIC;Kooyong;903;;;HAN;;0;0.00;-2.09
VIC;Kooyong;904;;;UNI;;0;0.00;-1.48
VIC;Lalor;1;;HOWE, Roger;DEM;M;6297;7.70;2.30
VIC;Lalor;2;;MCCONNELL, David V;LP;M;24634;30.14;4.55
VIC;Lalor;3;;BRIFFA, Tony;GRN;M;3321;4.06;2.30
VIC;Lalor;4;#;GILLARD, Julia;ALP;F;47490;58.10;-3.12
VIC;Lalor;901;;;UNI;;0;0.00;-1.91
VIC;Lalor;905;;;HAN;;0;0.00;-4.13
VIC;La Trobe;1;#;CHARLES, Bob;LP;M;37641;46.59;3.75
VIC;La Trobe;2;;SMITH, Craig;GRN;M;5740;7.10;3.29
VIC;La Trobe;3;;HOLLAND, Tony;DEM;M;6424;7.95;-0.83
VIC;La Trobe;4;;STAINDL, Philip;ALP;M;27912;34.55;-3.22
VIC;La Trobe;5;;VOIGT, Wolfgang;CTA;M;861;1.07;0.06
VIC;La Trobe;6;;SCOTT, June;HAN;F;1304;1.61;-2.71
VIC;La Trobe;7;;DEAN, Frank;IND;M;386;0.48;0.03
VIC;La Trobe;8;;ALLEN, Jason;IND;M;530;0.66;0.66
VIC;La Trobe;902;;;UNI;;0;0.00;-0.56
VIC;La Trobe;909;;;NGST;;0;0.00;-0.25
VIC;La Trobe;910;;;NLP;;0;0.00;-0.21
VIC;McEwen;1;;SALTER, Alan A;HAN;M;2448;2.97;-2.15
VIC;McEwen;2;;ROMAGNESI, Jim;GRN;M;5006;6.07;3.40
VIC;McEwen;3;;MACLEOD, Andrew;ALP;M;31986;38.76;-1.27
VIC;McEwen;4;#;BAILEY, Fran;LP;F;37963;46.01;2.55
VIC;McEwen;5;;LODWICK, Bill;IND;M;1129;1.37;1.37
VIC;McEwen;6;;CARDEN, Tony;DEM;M;3986;4.83;0.01
VIC;McEwen;904;;;NLP;;0;0.00;-0.25
VIC;McEwen;907;;;ASP;;0;0.00;-2.38
VIC;McEwen;997;;;OTH;;0;0.00;-1.28
VIC;McMillan;1;;HOWELL, Betty;;F;1262;1.59;1.59
