region_id,Singapore_Before_1941,Singapore_1941_1950,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2005,Singapore_2006,Singapore_2007,Singapore_2008,Singapore_2009,Singapore_2010,Singapore_2011,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1941,South_Africa_1941_1950,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2005,South_Africa_2006,South_Africa_2007,South_Africa_2008,South_Africa_2009,South_Africa_2010,South_Africa_2011,South_Africa_Yr_arrival_ns,South_Africa_Tot,SE_Europe_nfd_Before_1941,SE_Europe_nfd_1941_1950,SE_Europe_nfd_1951_1960,SE_Europe_nfd_1961_1970,SE_Europe_nfd_1971_1980,SE_Europe_nfd_1981_1990,SE_Europe_nfd_1991_2000,SE_Europe_nfd_2001_2005,South_Eastern_Europe_nfd_2006,South_Eastern_Europe_nfd_2007,South_Eastern_Europe_nfd_2008,South_Eastern_Europe_nfd_2009,South_Eastern_Europe_nfd_2010,South_Eastern_Europe_nfd_2011,SE_Europe_nfd_arrival_ns,SE_Europe_nfd_Total,Sri_Lanka_Before_1941,Sri_Lanka_1941_1950,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2005,Sri_Lanka_2006,Sri_Lanka_2007,Sri_Lanka_2008,Sri_Lanka_2009,Sri_Lanka_2010,Sri_Lanka_2011,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1941,Thailand_1941_1950,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2005,Thailand_2006,Thailand_2007,Thailand_2008,Thailand_2009,Thailand_2010,Thailand_2011,Thailand_Yr_arrival_ns,Thailand_Tot,Turkey_Before_1941,Turkey_1941_1950,Turkey_1951_1960,Turkey_1961_1970,Turkey_1971_1980,Turkey_1981_1990,Turkey_1991_2000,Turkey_2001_2005,Turkey_2006,Turkey_2007,Turkey_2008,Turkey_2009,Turkey_2010,Turkey_2011,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1941,United_Kingdom_1941_1950,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2005,United_Kingdom_2006,United_Kingdom_2007,United_Kingdom_2008,United_Kingdom_2009,United_Kingdom_2010,United_Kingdom_2011,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1941,USA_1941_1950,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2005,United_States_America_2006,United_States_America_2007,United_States_America_2008,United_States_America_2009,United_States_America_2010,United_States_America_2011,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1941,Vietnam_1941_1950,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2005,Vietnam_2006,Vietnam_2007,Vietnam_2008,Vietnam_2009,Vietnam_2010,Vietnam_2011,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1941,Born_elsewhere_1941_1950,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2005,Born_elsewhere_2006,Born_elsewhere_2007,Born_elsewhere_2008,Born_elsewhere_2009,Born_elsewhere_2010,Born_elsewhere_2011,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1941,Tot_1941_1950,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2005,Tot_2006,Tot_2007,Tot_2008,Tot_2009,Tot_2010,Tot_2011,Tot_Yr_arrival_NS,Tot_Tot
CED215,0,0,0,0,5,4,7,18,6,7,0,3,12,10,3,75,3,3,9,12,35,19,47,42,25,17,28,8,15,9,10,282,0,8,17,33,16,6,0,0,0,0,0,0,0,0,7,87,0,3,11,28,6,15,8,6,22,5,10,7,10,0,12,143,0,0,0,0,3,13,7,11,8,5,10,9,0,3,8,77,0,0,0,4,4,4,0,0,0,0,0,0,0,0,10,22,67,400,1250,1823,737,430,188,207,71,50,51,40,44,39,344,5741,0,7,4,32,55,28,34,34,8,5,13,10,14,4,7,255,0,0,0,0,11,30,24,10,3,0,3,9,5,0,88,183,3,118,199,256,221,131,133,220,68,69,95,77,60,41,130,1821,104,963,3461,3250,1765,1432,1037,992,355,312,403,442,385,232,1057,16190
CED216,0,3,6,17,52,42,63,49,12,22,9,13,11,9,14,322,0,0,13,31,160,409,532,355,58,76,148,67,65,22,41,1977,0,4,32,39,21,19,36,4,0,0,0,0,0,0,0,155,0,13,20,112,137,109,63,36,15,26,21,11,15,11,14,603,0,0,0,0,16,22,40,33,13,20,4,21,9,10,15,203,0,0,4,25,46,43,31,10,0,4,0,0,3,0,9,175,99,306,786,1324,917,880,930,990,291,238,301,285,385,204,369,8305,3,5,18,52,78,94,193,141,55,52,60,68,131,74,35,1059,0,0,0,5,75,75,34,24,8,11,11,14,12,7,3,279,39,324,549,518,1072,1237,1916,738,166,245,243,279,212,160,248,7946,275,1148,3090,4137,3982,5040,5973,4151,1196,1590,1817,1712,1647,908,1440,38106
CED217,0,0,3,3,26,53,49,91,9,26,10,25,14,5,9,323,0,0,3,8,40,64,80,91,19,28,33,27,14,10,16,433,0,4,55,267,184,63,140,23,3,0,0,0,3,0,35,777,0,3,3,40,52,290,472,274,113,99,112,86,93,31,46,1714,0,0,0,0,17,86,84,59,12,20,20,26,17,20,13,374,0,0,4,97,236,141,123,75,8,9,15,9,9,3,34,763,7,91,372,783,477,322,167,148,81,42,58,66,47,29,148,2838,0,0,0,10,11,33,46,56,21,17,20,27,14,3,17,275,0,0,3,9,1016,4435,3233,730,183,274,268,320,181,121,698,11471,6,212,473,985,2422,3091,2964,2208,486,429,472,500,355,250,650,15503,30,918,4364,9135,9451,14381,14058,8544,2461,2756,3021,2768,1668,1115,3586,78256
CED218,3,3,3,20,68,114,102,109,23,26,39,58,49,33,20,670,4,4,9,45,137,257,160,123,22,40,36,26,25,19,20,927,0,9,15,42,18,11,22,8,0,0,0,0,0,0,3,128,0,3,13,75,145,170,89,80,57,50,39,48,44,13,27,853,0,0,0,3,21,47,61,88,23,28,37,41,49,21,11,430,0,0,4,24,36,18,20,7,0,4,5,0,3,12,0,133,69,188,494,867,733,612,550,489,138,182,187,176,255,143,264,5347,3,7,16,44,131,127,191,139,30,35,45,54,102,62,35,1021,0,0,0,10,227,208,79,43,26,22,48,62,38,17,23,803,51,275,483,383,653,805,1043,588,206,237,321,280,324,206,199,6054,274,974,2724,4034,3657,4713,4770,4248,1527,1914,2176,2262,2312,1314,1379,38278
CED219,0,0,3,6,18,120,68,123,30,33,22,18,21,16,13,491,0,3,7,21,164,376,193,248,31,34,78,48,25,19,29,1276,3,5,30,248,188,56,167,23,0,0,0,4,0,0,15,739,3,0,12,144,337,1260,1727,1048,299,415,546,368,220,144,170,6693,0,0,0,0,10,109,94,70,23,15,20,14,15,4,21,395,0,0,4,80,252,136,133,52,8,5,4,0,6,0,49,729,37,135,772,1996,1465,1215,395,331,86,118,119,99,93,62,380,7303,0,0,9,17,35,24,71,62,11,10,15,8,18,17,11,308,0,0,0,6,116,383,341,91,28,27,48,22,15,11,60,1148,5,55,279,1031,1768,4137,4195,3611,962,927,810,680,508,358,716,20042,66,415,2667,5835,6518,13084,14556,11416,3193,3550,3551,2574,1821,1135,2765,73146
CED220,0,0,9,7,25,46,38,74,10,6,16,14,8,10,6,269,0,0,0,26,116,183,319,222,32,40,65,45,34,10,29,1121,0,6,20,111,59,19,33,0,0,0,0,0,0,0,6,254,0,3,37,158,303,477,301,194,72,117,160,121,71,56,43,2113,0,0,0,3,13,124,87,65,17,23,21,18,30,15,36,452,0,3,9,75,147,68,48,13,3,7,3,3,0,3,14,396,47,173,526,975,593,490,282,337,82,83,99,60,75,31,198,4051,0,3,8,16,34,38,51,51,25,13,20,20,15,8,15,317,0,0,0,8,813,2231,1409,421,91,141,199,234,154,63,281,6045,13,195,344,642,1440,1567,2146,1070,309,356,379,373,326,188,283,9631,121,726,3346,6359,5895,9197,8685,5708,1809,2483,3056,2825,1722,928,2037,54897
CED221,0,0,0,3,16,6,3,8,0,0,0,3,4,0,3,46,0,0,4,15,37,23,23,51,17,18,17,18,7,3,4,237,0,8,44,47,19,6,3,0,0,0,0,0,0,0,5,132,0,0,11,4,3,5,12,21,17,23,18,9,6,3,3,135,0,0,4,3,0,10,10,17,4,5,10,4,9,3,10,89,0,0,0,3,0,4,0,3,0,0,0,0,0,0,3,13,32,254,708,1205,580,360,235,172,44,40,45,35,39,27,224,4000,0,0,0,25,56,27,36,35,8,3,10,6,5,7,14,232,0,0,0,0,3,6,3,3,0,0,3,0,0,3,13,34,9,164,289,272,207,139,124,108,27,28,69,70,68,51,80,1705,86,790,2604,2439,1433,1130,889,678,204,242,301,272,263,182,641,12154
CED222,0,0,3,7,23,71,52,53,8,13,21,10,10,0,7,278,0,0,13,13,162,204,169,171,34,35,117,37,65,27,19,1066,0,0,13,127,81,24,71,8,0,0,0,0,0,0,20,344,0,5,24,174,290,625,419,224,80,101,106,109,85,49,78,2369,0,0,0,0,22,194,97,68,18,17,22,36,11,8,20,513,0,0,4,125,268,169,125,46,3,19,14,14,17,5,26,835,66,241,875,2010,1187,985,539,617,174,163,182,180,190,57,411,7877,0,4,3,22,42,59,88,62,14,22,29,34,28,3,22,432,0,0,3,5,477,1820,1220,339,71,76,104,119,70,31,224,4559,4,114,261,702,1127,1581,1598,1145,358,387,331,389,305,157,344,8803,110,669,2801,5589,5705,9977,9032,5500,1438,1813,1942,1881,1385,707,2194,50743
CED223,0,3,3,13,35,31,65,31,13,10,24,12,6,4,6,256,4,0,3,26,59,80,101,109,19,20,28,20,23,10,6,508,0,8,32,78,22,16,20,4,0,0,0,0,0,0,6,186,0,3,18,41,69,178,99,73,21,21,34,35,17,25,23,657,0,0,0,0,7,33,41,41,3,10,14,20,14,10,12,205,0,0,0,18,26,22,13,6,3,0,0,0,0,0,0,88,52,182,673,1242,717,639,501,415,144,91,135,99,119,68,200,5277,0,4,7,33,66,62,88,67,10,23,17,24,30,24,28,483,0,0,0,3,78,162,65,39,7,4,23,30,45,13,21,490,12,206,286,391,435,485,928,459,138,140,185,223,154,121,151,4314,120,813,3285,3981,2754,3520,3721,2627,759,799,1046,1069,780,574,1113,26961
CED224,5,0,20,27,89,125,128,133,19,35,21,31,47,33,26,739,0,0,9,38,108,162,165,142,25,13,35,35,26,11,30,799,0,5,15,28,9,7,17,10,7,0,0,0,0,0,0,98,0,3,17,58,114,218,122,84,42,59,49,43,37,17,32,895,0,0,0,7,13,31,57,85,30,35,22,57,23,16,25,401,0,0,0,17,31,21,16,4,4,0,3,3,3,0,10,112,97,193,535,922,603,559,552,407,117,126,155,130,197,126,223,4942,3,3,9,55,95,98,163,111,51,39,37,43,66,54,39,866,0,0,0,3,375,344,102,55,23,36,61,87,57,20,30,1193,44,291,347,306,424,771,787,441,134,191,251,287,307,227,173,4981,274,982,2997,3518,3536,5709,5301,4011,1385,1633,1946,2140,1936,1117,1514,37999
