region_id,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Churche_Christ_M,Christianity_Churche_Christ_F,Christianity_Churche_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,No_Religion_M,No_Religion_F,No_Religion_P,Other_religious_affiliation_M,Other_religious_affiliation_F,Other_religious_affiliation_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
CED141,579,900,1479,16661,19371,36032,0,0,0,1232,1384,2616,43,53,96,16340,18562,34902,148,180,328,478,477,955,224,304,528,141,171,312,306,347,653,34,21,55,328,410,738,620,742,1362,2012,2323,4335,181,252,433,328,382,710,2590,3271,5861,1558,1789,3347,102,111,213,43326,50150,93476,186,166,352,228,205,433,93,143,236,8,8,16,202,271,473,210,279,489,14111,12189,26300,658,435,1093,5567,5472,11039,64958,69939,134897
CED142,408,516,924,16957,19211,36168,0,0,0,1377,1516,2893,23,23,46,15016,16469,31485,38,61,99,570,574,1144,188,264,452,126,174,300,216,265,481,11,8,19,99,116,215,748,875,1623,2232,2525,4757,291,367,658,164,206,370,3855,4768,8623,1168,1350,2518,107,122,229,43186,48894,92080,122,118,240,179,149,328,29,24,53,3,3,6,147,226,373,150,229,379,13214,11329,24543,510,276,786,4401,4123,8524,62199,65658,127857
CED143,4769,6059,10828,8091,8234,16325,13,13,26,554,545,1099,11,5,16,16467,17263,33730,22,29,51,2182,2358,4540,82,128,210,61,72,133,397,390,787,90,91,181,203,222,425,641,798,1439,1464,1424,2888,70,63,133,104,111,215,1372,1449,2821,992,1154,2146,97,93,190,32913,34442,67355,1223,836,2059,1823,1156,2979,824,894,1718,30,20,50,534,505,1039,564,525,1089,31340,26886,58226,1506,782,2288,13189,10965,24154,88151,82545,170696
CED144,462,599,1061,16122,18510,34632,0,3,3,579,683,1262,82,82,164,18381,19763,38144,138,160,298,3045,3007,6052,285,362,647,119,138,257,498,572,1070,20,20,40,97,123,220,561,655,1216,1881,2320,4201,224,277,501,95,117,212,2666,3284,5950,1031,1134,2165,73,89,162,45897,51299,97196,105,120,225,864,857,1721,48,48,96,16,12,28,143,266,409,159,278,437,12440,10619,23059,532,316,848,4507,4292,8799,65014,68428,133442
CED145,1076,1614,2690,14922,17428,32350,0,0,0,494,542,1036,8,7,15,17910,20434,38344,23,34,57,1094,1276,2370,168,184,352,87,92,179,430,571,1001,178,176,354,158,174,332,424,544,968,1891,2291,4182,49,62,111,45,73,118,1850,2489,4339,925,1211,2136,58,73,131,40714,47661,88375,547,419,966,406,359,765,388,471,859,0,0,0,338,363,701,338,363,701,19879,18204,38083,833,449,1282,6628,6450,13078,70809,75990,146799
CED146,4501,5448,9949,3571,4026,7597,15,17,32,802,856,1658,31,37,68,20855,22235,43090,49,64,113,7849,7936,15785,211,286,497,101,140,241,128,149,277,599,560,1159,214,246,460,705,805,1510,1569,1816,3385,103,158,261,150,188,338,1406,1621,3027,881,1046,1927,85,84,169,39324,42270,81594,3044,2464,5508,17272,15462,32734,39,46,85,7,7,14,619,494,1113,626,501,1127,9338,8654,17992,341,214,555,6332,5740,12072,80817,80799,161616
CED147,1233,1669,2902,10035,11769,21804,6,9,15,223,258,481,0,3,3,15885,18086,33971,23,21,44,2098,2364,4462,79,95,174,36,22,58,385,438,823,25,30,55,96,128,224,214,293,507,1354,1358,2712,24,30,54,28,42,70,964,1102,2066,551,652,1203,53,63,116,32079,36763,68842,394,342,736,513,365,878,9429,10306,19735,10,0,10,275,285,560,285,285,570,21121,18500,39621,1035,610,1645,11423,10688,22111,77512,79528,157040
CED148,2207,2463,4670,10333,11266,21599,122,121,243,1166,1284,2450,26,17,43,22485,24186,46671,65,74,139,3411,3355,6766,506,559,1065,604,648,1252,214,232,446,610,597,1207,338,350,688,1223,1407,2630,1215,1296,2511,113,123,236,318,425,743,1306,1469,2775,1423,1493,2916,163,176,339,45641,49078,94719,3854,3826,7680,7382,7206,14588,26,28,54,4,4,8,1145,1203,2348,1149,1207,2356,7317,6226,13543,396,277,673,4935,5088,10023,72907,75399,148306
CED194,117,127,244,1095,887,1982,3,3,6,85,77,162,0,0,0,1160,978,2138,5,0,5,75,51,126,19,23,42,38,23,61,26,32,58,6,5,11,19,18,37,71,75,146,179,144,323,23,26,49,35,31,66,210,155,365,138,114,252,15,12,27,3202,2654,5856,64,32,96,152,106,258,20,15,35,8,4,12,50,56,106,58,60,118,1703,1254,2957,123,114,237,2153,965,3118,7592,5327,12919
CED197,0,0,0,12,13,25,0,0,0,0,3,3,0,0,0,13,18,31,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,3,3,6,0,3,3,0,0,0,36,43,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,21,3,0,3,6,3,9,57,55,112
CED201,2757,3055,5812,7384,8551,15935,3,3,6,1680,1897,3577,48,51,99,16372,17828,34200,216,280,496,2414,2382,4796,123,143,266,234,242,476,517,569,1086,315,320,635,217,250,467,1352,1516,2868,1655,1851,3506,228,255,483,217,211,428,2615,3323,5938,1530,1751,3281,141,194,335,37261,41617,78878,1559,1525,3084,918,880,1798,83,102,185,4,0,4,618,680,1298,622,680,1302,16139,14223,30362,604,347,951,4097,3961,8058,64040,66390,130430
CED202,429,549,978,9424,11224,20648,0,0,0,689,773,1462,104,104,208,18389,20311,38700,555,681,1236,489,405,894,159,223,382,73,105,178,522,634,1156,13,9,22,76,91,167,436,503,939,2406,2649,5055,259,346,605,109,150,259,5142,6685,11827,1093,1257,2350,50,74,124,39988,46224,86212,212,167,379,241,181,422,43,44,87,10,5,15,330,410,740,340,415,755,20208,18466,38674,820,578,1398,6326,6086,12412,68607,72710,141317
CED203,2108,2532,4640,3364,4272,7636,27,27,54,464,554,1018,3,8,11,18468,21130,39598,71,124,195,7756,8134,15890,133,202,335,61,66,127,187,236,423,126,114,240,115,143,258,174,249,423,708,876,1584,86,148,234,69,76,145,957,1366,2323,709,833,1542,66,59,125,33544,38617,72161,1947,1308,3255,3184,2827,6011,86,118,204,21,25,46,1101,813,1914,1122,838,1960,17451,17619,35070,1005,598,1603,6008,5562,11570,66455,70019,136474
CED204,518,654,1172,11345,13471,24816,0,0,0,1162,1384,2546,168,135,303,15400,16934,32334,217,286,503,297,257,554,196,243,439,96,116,212,380,426,806,43,27,70,77,80,157,558,648,1206,2044,2199,4243,251,284,535,83,117,200,5620,7183,12803,1442,1644,3086,50,49,99,39429,45483,84912,133,146,279,143,114,257,28,33,61,15,14,29,253,338,591,268,352,620,20512,18732,39244,837,513,1350,6719,5999,12718,68587,72026,140613
CED205,5689,5951,11640,4719,5504,10223,4,6,10,1047,1191,2238,14,22,36,15761,16948,32709,191,218,409,5450,5604,11054,154,194,348,182,191,373,372,344,716,548,552,1100,265,310,575,947,1053,2000,1392,1546,2938,78,120,198,202,191,393,1957,2534,4491,1461,1580,3041,103,85,188,34847,38193,73040,3465,3053,6518,4805,4033,8838,122,130,252,8,0,8,1690,1205,2895,1698,1205,2903,11869,10056,21925,515,308,823,4845,4497,9342,67855,67426,135281
CED206,1838,2008,3846,6443,7383,13826,602,611,1213,581,624,1205,88,95,183,29142,30588,59730,84,109,193,3609,3625,7234,280,298,578,349,361,710,266,336,602,378,376,754,269,291,560,471,588,1059,1256,1382,2638,176,210,386,126,125,251,1934,2406,4340,1241,1424,2665,75,78,153,47370,50910,98280,1275,1158,2433,13355,13302,26657,25,17,42,9,15,24,1038,810,1848,1047,825,1872,11494,9910,21404,601,439,1040,6019,5970,11989,83024,84539,167563
