region_id,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
CED229,90291,91316,181607,6881,6563,13444,13936,13063,26999,6537,6273,12810,5392,4934,10326,10465,11410,21875,13488,14632,28120,13156,13584,26740,10812,10908,21720,6367,5813,12180,2571,2888,5459,686,1248,1934,85807,87482,173289,4486,3832,8318,640,691,1331,49,49,98,20,11,31,709,751,1460,72447,73722,146169,13725,13564,27289,77977,78873,156850,8831,9135,17966,81283,82395,163678,1403,1380,2783,12624,11778,24402,4738,4926,9664,1430,1555,2985,1695,3339,5034,28485,34906,63391,11603,11495,23098,14446,11904,26350,6194,4970,11164,3752,3564,7316,272,262,534,84205,85863,170068,4265,3958,8223
CED230,67728,70545,138273,5111,4624,9735,9303,9110,18413,4719,4564,9283,3885,3835,7720,7538,8108,15646,8584,9158,17742,9077,9528,18605,8665,9062,17727,6328,6497,12825,3493,4139,7632,1026,1920,2946,63766,66952,130718,3963,3592,7555,532,593,1125,36,47,83,11,13,24,579,653,1232,55794,58212,114006,8760,9283,18043,61848,64384,126232,3326,3700,7026,61319,64175,125494,916,876,1792,8347,8213,16560,3139,3423,6562,680,1015,1695,1026,2368,3394,16249,21396,37645,9487,9760,19247,12865,11280,24145,5861,5157,11018,4430,4609,9039,210,210,420,63141,65875,129016,3293,3321,6614
CED231,87235,90397,177632,4334,4149,8483,5241,5168,10409,4246,4821,9067,12084,13781,25865,25125,25804,50929,13552,12663,26215,9041,8743,17784,6906,7232,14138,3910,4109,8019,2138,2701,4839,657,1226,1883,83059,86402,169461,4174,3996,8170,324,274,598,21,19,40,16,9,25,361,302,663,46649,47413,94062,31644,35214,66858,52391,52987,105378,26081,30208,56289,60018,62820,122838,694,685,1379,4338,4285,8623,3452,4007,7459,6945,8257,15202,6143,8086,14229,55042,58743,113785,4527,4172,8699,4126,3865,7991,1617,1559,3176,2331,3398,5729,689,1367,2056,74684,79517,154201,19566,17310,36876
CED232,75535,77610,153145,4097,3950,8047,5512,5291,10803,2805,2785,5590,5914,6705,12619,19064,19460,38524,13160,12981,26141,9203,9270,18473,7861,7839,15700,4470,4441,8911,2426,3006,5432,1023,1882,2905,71940,74028,145968,3595,3582,7177,184,170,354,18,8,26,4,9,13,206,187,393,43500,45553,89053,25396,26309,51705,52539,54062,106601,16641,18171,34812,56240,59513,115753,922,939,1861,4881,4699,9580,2251,2284,4535,2627,3154,5781,3626,4851,8477,46512,49474,95986,4636,4628,9264,4261,4101,8362,1550,1442,2992,1685,2049,3734,303,362,665,66608,69966,136574,10763,9127,19890
CED233,59434,62771,122205,3077,2940,6017,7573,6979,14552,4304,4003,8307,4164,3921,8085,6200,6250,12450,7728,8706,16434,8657,9535,18192,7206,8299,15505,6103,6555,12658,3489,3846,7335,933,1737,2670,57197,60733,117930,2237,2038,4275,76,82,158,4,9,13,5,0,5,85,91,176,37159,38263,75422,20260,22361,42621,36810,37611,74421,20909,23411,44320,52018,54613,106631,802,778,1580,7027,6556,13583,3726,3543,7269,2096,2073,4169,1490,2206,3696,29346,30991,60337,5649,5882,11531,5571,6048,11619,2380,2550,4930,2838,3780,6618,400,645,1045,56643,59803,116446,1607,2161,3768
CED234,64457,65622,130079,4402,4158,8560,9277,8702,17979,4586,4324,8910,3239,3227,6466,6345,6885,13230,8177,8454,16631,9006,9064,18070,8342,8439,16781,6290,6090,12380,3644,4273,7917,1151,2004,3155,60542,62079,122621,3916,3542,7458,1553,1656,3209,51,53,104,31,32,63,1635,1741,3376,54125,55174,109299,6511,6638,13149,56161,57620,113781,4960,4931,9891,57582,59080,116662,702,711,1413,8143,7658,15801,3053,3178,6231,551,738,1289,953,1968,2921,13195,17653,30848,8692,8939,17631,11817,10682,22499,6153,5069,11222,5451,4970,10421,460,459,919,59016,60255,119271,4310,4129,8439
CED235,65401,66657,132058,4232,3895,8127,8491,8130,16621,4732,4471,9203,5137,4932,10069,9450,9278,18728,9258,9570,18828,8784,9560,18344,7504,7899,15403,4669,4922,9591,2566,2967,5533,578,1032,1610,63678,65161,128839,1722,1496,3218,431,450,881,17,21,38,7,3,10,455,474,929,39077,39876,78953,23035,23694,46729,33468,33947,67415,29161,30205,59366,55983,57394,113377,779,726,1505,7397,7128,14525,3486,3534,7020,1825,1912,3737,1538,2327,3865,24174,25726,49900,6721,6316,13037,7864,7153,15017,3499,3303,6802,5040,6211,11251,1033,1541,2574,62544,63778,126322,2460,2650,5110
CED236,62903,63996,126899,3977,3775,7752,8559,8215,16774,4605,4153,8758,3230,2961,6191,6103,6288,12391,7736,8122,15858,9130,9307,18437,9050,8726,17776,5985,6102,12087,3477,4251,7728,1051,2096,3147,58796,60209,119005,4108,3787,7895,798,761,1559,39,41,80,25,19,44,862,821,1683,55160,56212,111372,4583,4658,9241,58493,60037,118530,1375,1509,2884,57243,58949,116192,699,689,1388,7731,7412,15143,3173,3105,6278,567,854,1421,955,2243,3198,14299,19233,33532,9244,9378,18622,11172,9644,20816,5779,4711,10490,4948,4535,9483,276,165,441,57380,58768,116148,4490,3883,8373
CED237,73825,76531,150356,4969,4736,9705,7881,7392,15273,3854,3668,7522,6116,5920,12036,14384,14081,28465,11633,11861,23494,8928,9309,18237,6275,6658,12933,4364,5377,9741,4010,5266,9276,1410,2264,3674,71253,74035,145288,2570,2498,5068,323,310,633,29,23,52,16,7,23,368,340,708,44546,47436,91982,24523,24940,49463,41123,43508,84631,28483,29523,58006,59387,63622,123009,956,916,1872,6865,6492,13357,2836,2936,5772,2636,2712,5348,3486,4477,7963,33960,36303,70263,5763,5278,11041,6322,5723,12045,2813,2784,5597,5285,7155,12440,1038,1558,2596,68756,71835,140591,4327,4038,8365
CED294,4671,3636,8307,231,219,450,308,281,589,233,258,491,532,507,1039,1095,905,2000,897,520,1417,630,381,1011,401,346,747,250,146,396,71,41,112,23,32,55,0,0,0,4672,3636,8308,167,107,274,5,0,5,0,4,4,172,111,283,2951,2250,5201,1212,1022,2234,2840,2367,5207,731,686,1417,2863,2376,5239,33,29,62,180,171,351,79,110,189,103,148,251,146,203,349,1461,1510,2971,401,279,680,597,424,1021,309,186,495,221,138,359,40,31,71,0,0,0,0,0,0
CED297,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,3,0,3,11,0,11,11,0,11,0,0,0,0,0,0,0,0,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,13,0,13,33,0,33,3,0,3,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,10,0,10,7,0,7,0,0,0,3,0,3,3,0,3,0,0,0,860,61,921
CED301,67854,68184,136038,5523,5330,10853,10156,9572,19728,5073,4883,9956,4711,4568,9279,9086,9236,18322,9233,9462,18695,8953,9040,17993,7414,7396,14810,4783,4723,9506,2264,2777,5041,657,1197,1854,64271,65311,129582,3582,2872,6454,2394,2350,4744,132,111,243,107,107,214,2633,2568,5201,55041,55477,110518,8931,9187,18118,60636,61543,122179,3263,3627,6890,59100,60302,119402,663,636,1299,8833,8358,17191,2952,3026,5978,674,998,1672,1251,2365,3616,18662,21135,39797,4538,4375,8913,15572,15409,30981,3817,3350,7167,4451,4663,9114,299,236,535,62166,63953,126119,4679,3659,8338
CED302,68859,72312,141171,4878,4591,9469,9432,8900,18332,4788,4710,9498,4780,4745,9525,9138,9528,18666,10316,11097,21413,9547,9974,19521,7640,7962,15602,4716,5211,9927,2747,3698,6445,877,1897,2774,66035,70074,136109,2823,2239,5062,980,1099,2079,95,95,190,66,70,136,1141,1264,2405,48269,51374,99643,17306,18067,35373,56184,59064,115248,9734,10797,20531,57737,61664,119401,753,724,1477,8567,8130,16697,3391,3594,6985,1653,1927,3580,1975,2954,4929,30197,32246,62443,4145,3830,7975,11151,12808,23959,2312,2313,4625,2725,3649,6374,227,242,469,64718,68751,133469,3323,3316,6639
CED303,67886,70780,138666,4443,4179,8622,9934,9255,19189,5201,4970,10171,4147,4000,8147,7202,7463,14665,9059,10128,19187,9930,10741,20671,8746,9198,17944,5447,5658,11105,2807,3442,6249,970,1746,2716,64574,68280,132854,3312,2500,5812,1114,1211,2325,76,85,161,65,67,132,1255,1363,2618,49903,51943,101846,15234,16170,31404,61909,64307,126216,3620,4330,7950,58674,61676,120350,700,656,1356,9078,8457,17535,3377,3518,6895,944,1157,2101,1156,2389,3545,24208,26446,50654,4987,4803,9790,15029,16414,31443,2921,2885,5806,2765,3162,5927,143,150,293,64178,67462,131640,2181,2615,4796
CED304,72657,72394,145051,3965,3727,7692,6325,6248,12573,3627,3916,7543,7504,8218,15722,17315,16367,33682,12039,11319,23358,9134,8709,17843,6831,6446,13277,3454,3465,6919,1805,2416,4221,656,1564,2220,68753,69224,137977,3904,3172,7076,602,571,1173,76,61,137,45,31,76,723,663,1386,48517,50003,98520,18661,18165,36826,57538,58133,115671,9851,10318,20169,56806,58118,114924,677,671,1348,5806,5788,11594,2746,3108,5854,3036,3813,6849,4143,4956,9099,43663,44083,87746,3266,2907,6173,6578,7221,13799,1311,1262,2573,1572,1942,3514,220,248,468,64382,66217,130599,12952,9515,22467
CED305,75838,71580,147418,5606,5177,10783,10898,10079,20977,5420,4922,10342,4948,4496,9444,10179,9643,19822,10633,9972,20605,10948,10220,21168,8869,7813,16682,5008,4860,9868,2661,3088,5749,668,1309,1977,68953,67774,136727,6883,3807,10690,2672,2745,5417,392,337,729,302,260,562,3366,3342,6708,62203,60326,122529,6890,6655,13545,66360,64850,131210,2811,2743,5554,64695,63534,128229,514,516,1030,9579,8890,18469,2940,2962,5902,577,837,1414,1297,2429,3726,20148,22622,42770,5208,4642,9850,17532,16383,33915,3853,3118,6971,4677,4202,8879,238,173,411,64841,65481,130322,20476,7918,28394
CED306,77701,73814,151515,5256,5059,10315,10680,10100,20780,5359,4828,10187,5301,4744,10045,10659,9889,20548,11219,10761,21980,11628,10994,22622,9111,8223,17334,5308,4904,10212,2512,3008,5520,668,1303,1971,70235,70249,140484,7467,3564,11031,2504,2389,4893,730,707,1437,444,428,872,3678,3524,7202,61300,59517,120817,9928,10026,19954,67106,65600,132706,4064,4377,8441,65413,64347,129760,626,544,1170,9442,8973,18415,2876,2846,5722,620,898,1518,1195,2416,3611,21746,24173,45919,5899,5113,11012,18128,16692,34820,3822,3255,7077,4328,4023,8351,217,168,385,67197,68134,135331,11389,8774,20163
CED307,67779,69013,136792,5371,4971,10342,10484,9955,20439,5185,5017,10202,4241,4038,8279,8334,8746,17080,10665,11176,21841,9578,10159,19737,7687,7993,15680,4231,4073,8304,1551,1950,3501,453,936,1389,64846,66932,131778,2931,2083,5014,917,944,1861,62,66,128,63,61,124,1042,1071,2113,52948,54417,107365,12470,12493,24963,62127,63182,125309,3575,4048,7623,60244,61785,122029,828,780,1608,9723,9262,18985,3493,3579,7072,1007,1203,2210,1421,2503,3924,26668,28375,55043,4818,4368,9186,12949,13858,26807,2478,2280,4758,2120,2377,4497,130,109,239,64666,66658,131324,1606,1762,3368
CED308,71370,74618,145988,5120,4808,9928,9554,9168,18722,4839,4578,9417,4667,4686,9353,9259,9789,19048,10492,11304,21796,9558,10400,19958,8225,9016,17241,5887,6125,12012,2857,3313,6170,911,1432,2343,68116,71967,140083,3253,2652,5905,821,874,1695,61,64,125,17,29,46,899,967,1866,45780,47587,93367,21026,22781,43807,60428,62954,123382,6745,7831,14576,56084,59053,115137,922,811,1733,8559,8233,16792,3137,3092,6229,1254,1458,2712,1540,2958,4498,25998,28703,54701,5701,5841,11542,14443,15171,29614,3246,3257,6503,2140,2437,4577,192,181,373,65963,69891,135854,4877,4840,9717
CED309,63954,68050,132004,4226,3862,8088,9011,8712,17723,4239,4096,8335,3302,3121,6423,6552,7121,13673,8723,9775,18498,9138,10352,19490,8415,9035,17450,5963,6310,12273,3259,3790,7049,1126,1876,3002,59816,64927,124743,4138,3122,7260,931,891,1822,71,68,139,54,56,110,1056,1015,2071,48498,51722,100220,12320,13478,25798,58737,62693,121430,2478,3017,5495,55592,59943,115535,696,607,1303,8179,7951,16130,2714,2882,5596,723,943,1666,1298,2876,4174,22942,25727,48669,4973,5306,10279,13611,15068,28679,2987,2931,5918,2359,2632,4991,117,88,205,59296,64256,123552,5010,5246,10256
CED310,60573,64654,125227,3668,3539,7207,8377,7885,16262,4128,4043,8171,3246,3262,6508,6184,6691,12875,8068,8925,16993,8103,9003,17106,7686,8595,16281,6288,6826,13114,3705,4113,7818,1119,1773,2892,56662,61715,118377,3912,2940,6852,880,941,1821,51,42,93,28,30,58,959,1013,1972,45881,48816,94697,11402,12733,24135,55488,59284,114772,2208,2699,4907,52345,56219,108564,610,603,1213,7578,7171,14749,2592,2776,5368,740,1086,1826,1182,2456,3638,20679,23328,44007,4535,4778,9313,13537,15092,28629,3036,3055,6091,2743,2932,5675,100,112,212,55648,60345,115993,4961,5572,10533
CED311,76863,71259,148122,5937,5620,11557,11324,10721,22045,5109,4535,9644,4376,3999,8375,9794,9587,19381,10838,10441,21279,11397,10508,21905,9545,8070,17615,5689,4793,10482,2337,2193,4530,517,792,1309,71041,67132,138173,5821,4127,9948,3000,3071,6071,153,156,309,203,196,399,3356,3423,6779,62794,59124,121918,7959,7640,15599,68676,64663,133339,2662,2640,5302,66443,62756,129199,621,562,1183,9900,9399,19299,2588,2644,5232,352,637,989,1074,2275,3349,18691,21483,40174,5565,4979,10544,18936,16392,35328,4403,3317,7720,5170,3794,8964,230,163,393,68611,65710,134321,13946,6968,20914
CED312,71491,73469,144960,6073,5829,11902,10931,10574,21505,5679,5260,10939,4956,5019,9975,10006,10614,20620,10142,10820,20962,9080,9675,18755,7551,7845,15396,4569,4473,9042,1959,2391,4350,546,970,1516,68462,71104,139566,3029,2366,5395,1412,1507,2919,113,127,240,84,99,183,1609,1733,3342,49597,50833,100430,17851,18847,36698,61712,63247,124959,6136,6830,12966,58253,60388,118641,912,830,1742,9635,9354,18989,3356,3357,6713,829,1183,2012,1213,2648,3861,22396,25371,47767,5513,5399,10912,15313,15511,30824,3724,3264,6988,2782,2856,5638,264,296,560,67149,69686,136835,3200,3317,6517
CED313,70954,71690,142644,4468,4208,8676,7267,6790,14057,3870,3749,7619,6618,6825,13443,15429,15278,30707,12045,11617,23662,8746,8825,17571,6393,6428,12821,3368,3601,6969,2011,2798,4809,738,1571,2309,67515,68926,136441,3439,2764,6203,747,735,1482,76,75,151,38,50,88,861,860,1721,47589,49284,96873,18610,18696,37306,55297,56459,111756,11102,11758,22860,56272,58622,114894,719,670,1389,6566,6184,12750,2884,2916,5800,2650,3112,5762,3814,4806,8620,39571,40656,80227,3383,3011,6394,7480,8337,15817,1474,1357,2831,1999,2639,4638,248,332,580,64491,66898,131389,7343,6009,13352
CED314,67775,71840,139615,5093,5097,10190,10275,9767,20042,5245,5178,10423,4444,4473,8917,8298,8442,16740,8697,9472,18169,8845,9548,18393,7656,8208,15864,5293,5837,11130,2998,3979,6977,931,1838,2769,63465,68536,132001,4312,3302,7614,2252,2411,4663,76,99,175,48,71,119,2376,2581,4957,57052,60806,117858,7212,7459,14671,61246,65454,126700,3294,3368,6662,60639,64945,125584,639,642,1281,9331,8835,18166,3233,3544,6777,943,1310,2253,1903,2944,4847,21200,24350,45550,3993,4245,8238,14982,16121,31103,3316,3005,6321,4425,4560,8985,277,215,492,61273,66498,127771,5226,4931,10157
CED315,74369,74827,149196,5714,5554,11268,10465,9920,20385,5993,5747,11740,6376,6432,12808,11287,11549,22836,10540,10833,21373,9751,9805,19556,7622,7222,14844,4106,4174,8280,1978,2517,4495,537,1073,1610,69077,71408,140485,5292,3420,8712,4149,4381,8530,759,823,1582,715,719,1434,5623,5923,11546,59325,60300,119625,9522,9951,19473,64855,65915,130770,4253,4697,8950,64121,65362,129483,679,607,1286,9241,8812,18053,3474,3758,7232,1329,2089,3418,1709,3336,5045,25178,28204,53382,5660,5170,10830,14846,14745,29591,3312,2847,6159,3096,3134,6230,220,190,410,66150,69364,135514,8776,7288,16064
CED316,65313,69332,134645,4225,3920,8145,9176,8672,17848,4325,4161,8486,2974,3157,6131,5842,6613,12455,7351,8533,15884,8400,9506,17906,9099,9934,19033,8306,8335,16641,4409,4667,9076,1208,1833,3041,60517,65567,126084,4799,3763,8562,2029,2198,4227,104,114,218,141,119,260,2274,2431,4705,52539,55896,108435,9105,9872,18977,59745,63551,123296,2377,2729,5106,58303,62248,120551,618,540,1158,8159,7750,15909,2449,2567,5016,340,602,942,928,2412,3340,15808,18441,34249,4541,4835,9376,16427,18348,34775,4648,4625,9273,5311,5110,10421,229,197,426,59957,64805,124762,5767,5732,11499
CED317,79732,75387,155119,5803,5455,11258,11659,11099,22758,5407,4829,10236,4417,3935,8352,9056,8917,17973,10538,10454,20992,11490,10818,22308,10274,9218,19492,6902,6050,12952,3358,3304,6662,828,1308,2136,73600,70963,144563,6132,4424,10556,8607,8934,17541,853,743,1596,795,770,1565,10255,10447,20702,64254,61012,125266,8915,9182,18097,67988,65351,133339,5240,5480,10720,69059,66660,135719,565,550,1115,9911,9412,19323,2700,2741,5441,313,541,854,891,2283,3174,19321,21794,41115,5458,5135,10593,18535,16939,35474,4455,3679,8134,6281,5067,11348,460,399,859,69674,68993,138667,16594,10597,27191
CED318,81091,81185,162276,6551,6036,12587,11862,11410,23272,5539,5210,10749,4805,5189,9994,10864,12056,22920,12425,12969,25394,11851,11849,23700,9519,8793,18312,5076,4502,9578,2037,2173,4210,562,998,1560,75616,77154,152770,5476,4029,9505,6099,6634,12733,4823,5061,9884,2163,2334,4497,13085,14029,27114,59006,58897,117903,15182,16366,31548,61284,61261,122545,12735,14346,27081,67010,67518,134528,855,787,1642,9999,9755,19754,2945,2980,5925,620,1027,1647,1792,3798,5590,26906,30516,57422,6412,6132,12544,15067,14438,29505,3205,2775,5980,3258,3116,6374,332,388,720,71770,74669,146439,16691,14623,31314
CED319,71007,74645,145652,4956,4528,9484,8488,8119,16607,4616,4207,8823,5031,5098,10129,11099,11094,22193,10952,11409,22361,9309,9769,19078,7506,7867,15373,4660,5633,10293,3215,4464,7679,1176,2455,3631,67892,72123,140015,3114,2522,5636,1174,1181,2355,120,130,250,74,89,163,1368,1400,2768,51946,55114,107060,15470,16041,31511,59347,62211,121558,8296,9282,17578,60089,63944,124033,698,644,1342,7686,7385,15071,3149,3058,6207,1392,1798,3190,2269,3192,5461,31798,33357,65155,4230,3830,8060,11506,13274,24780,2282,2199,4481,3085,4292,7377,248,312,560,66536,70604,137140,3830,3882,7712
CED320,69817,71940,141757,5382,5094,10476,10544,10182,20726,5211,5099,10310,4232,4195,8427,8011,8681,16692,9268,10076,19344,8987,9483,18470,8299,8724,17023,6094,6102,12196,2967,3082,6049,822,1223,2045,66308,69268,135576,3508,2673,6181,1713,1701,3414,143,111,254,107,106,213,1963,1918,3881,54465,55802,110267,11142,12136,23278,62880,65272,128152,2668,3246,5914,59934,62658,122592,707,675,1382,9311,9019,18330,2958,3217,6175,559,839,1398,982,2375,3357,18869,21891,40760,5063,5184,10247,16581,17245,33826,4128,3919,8047,3800,3702,7502,176,146,322,64569,67903,132472,3972,3455,7427
CED321,74333,73498,147831,5636,5313,10949,11070,10495,21565,4713,4303,9016,3828,3553,7381,7676,8448,16124,9418,9659,19077,10209,10099,20308,9976,9390,19366,7184,6738,13922,3625,3834,7459,999,1665,2664,68572,68709,137281,5764,4787,10551,3604,3819,7423,111,127,238,99,123,222,3814,4069,7883,63754,63380,127134,5568,5905,11473,67945,67817,135762,2032,2134,4166,66764,66672,133436,615,565,1180,9582,9059,18641,2434,2535,4969,354,512,866,914,2185,3099,16916,21092,38008,4285,4619,8904,18783,17419,36202,4783,3650,8433,6971,5685,12656,355,243,598,66418,67027,133445,11977,7580,19557
CED322,68021,73050,141071,4408,4236,8644,8957,8408,17365,4823,4668,9491,4452,4657,9109,8562,9335,17897,9610,10492,20102,8994,10253,19247,8104,8901,17005,5651,6110,11761,3290,4078,7368,1170,1912,3082,64668,70309,134977,3353,2741,6094,838,800,1638,78,66,144,65,61,126,981,927,1908,47115,50371,97486,16499,18262,34761,58408,62405,120813,5605,6728,12333,55995,60690,116685,800,771,1571,8043,7537,15580,3208,3362,6570,1283,1683,2966,1693,3089,4782,25790,28610,54400,5284,5494,10778,13503,15302,28805,3025,3201,6226,2020,2332,4352,134,152,286,62572,67787,130359,6839,7529,14368
CED323,72546,75158,147704,3791,3662,7453,7367,7033,14400,4427,4328,8755,6085,6675,12760,11982,11552,23534,10186,9936,20122,9179,9870,19049,8645,9082,17727,6171,6629,12800,3445,4219,7664,1268,2172,3440,68946,72140,141086,3601,3016,6617,738,779,1517,60,49,109,27,35,62,825,863,1688,44266,45879,90145,21223,22806,44029,56628,58546,115174,9289,10606,19895,54338,57069,111407,626,670,1296,6348,6109,12457,2867,2855,5722,1888,2424,4312,2387,3554,5941,30211,32006,62217,5480,5438,10918,12651,13887,26538,3068,2981,6049,2168,2476,4644,230,199,429,64158,67941,132099,13734,13064,26798
CED324,72183,73794,145977,4778,4613,9391,8349,8063,16412,4900,4803,9703,7314,7048,14362,12627,12022,24649,10309,10543,20852,8993,9318,18311,7249,7632,14881,4377,4749,9126,2389,3221,5610,898,1783,2681,69345,71211,140556,2838,2585,5423,723,747,1470,55,78,133,61,61,122,839,886,1725,41447,42872,84319,26785,27506,54291,46072,47122,93194,22379,23529,45908,55379,57746,113125,648,691,1339,7448,7266,14714,3689,3843,7532,3717,3885,7602,3555,4176,7731,37717,38252,75969,3497,3151,6648,8425,9587,18012,1858,1824,3682,2437,3340,5777,508,672,1180,67314,69660,136974,4315,3744,8059
CED325,72032,72493,144525,6171,5837,12008,11255,10486,21741,5432,5323,10755,5132,4970,10102,10727,10903,21630,11021,11383,22404,9558,9544,19102,6946,6980,13926,3656,3918,7574,1650,2141,3791,484,1008,1492,69326,70418,139744,2706,2075,4781,1878,1881,3759,152,110,262,99,113,212,2129,2104,4233,44828,44670,89498,23749,24579,48328,49877,51210,101087,17073,18133,35206,56881,58741,115622,765,734,1499,9891,9267,19158,3472,3664,7136,1222,1475,2697,1821,2953,4774,27621,29201,56822,4693,4587,9280,10970,11835,22805,2463,2548,5011,2454,3119,5573,585,817,1402,66548,69226,135774,4638,2830,7468
CED326,67386,72192,139578,5185,4932,10117,9447,8964,18411,4713,4497,9210,4047,4102,8149,8413,9176,17589,9726,10540,20266,8803,9288,18091,7757,8548,16305,5282,6008,11290,3028,4101,7129,985,2035,3020,64416,69770,134186,2970,2422,5392,1372,1513,2885,94,92,186,74,81,155,1540,1686,3226,47868,51608,99476,15951,17113,33064,58462,62720,121182,5698,6424,12122,56049,60837,116886,714,704,1418,8451,7967,16418,2872,2982,5854,774,1094,1868,1285,2580,3865,23480,25930,49410,4657,4782,9439,13686,15678,29364,3185,3351,6536,3272,3959,7231,209,170,379,63313,68244,131557,3192,3597,6789
CED327,83011,84852,167863,7242,6950,14192,12865,12259,25124,6744,6293,13037,6466,6355,12821,12902,13404,26306,11512,12339,23851,10141,11075,21216,8577,9015,17592,4501,4262,8763,1583,1926,3509,478,975,1453,80025,82567,162592,2986,2285,5271,1782,1916,3698,217,190,407,151,151,302,2150,2257,4407,50949,51939,102888,27058,28300,55358,60551,61489,122040,17938,19294,37232,64972,67004,131976,966,883,1849,11076,10589,21665,4027,4094,8121,1426,1700,3126,2072,3180,5252,29931,32165,62096,5687,5673,11360,14718,15307,30025,3518,3105,6623,3239,3625,6864,547,674,1221,78438,80857,159295,3637,3611,7248
CED328,72686,75406,148092,4389,4101,8490,9488,8749,18237,6021,6019,12040,8289,8052,16341,10539,10296,20835,9899,10705,20604,8983,9872,18855,7554,8169,15723,4535,4763,9298,2220,2950,5170,767,1732,2499,69127,72637,141764,3559,2770,6329,514,457,971,65,61,126,29,34,63,608,552,1160,50082,52171,102253,19662,20420,40082,60554,62425,122979,9347,10437,19784,60599,62941,123540,878,823,1701,8914,8255,17169,4847,5125,9972,4479,4940,9419,3338,4370,7708,43189,44370,87559,3298,3298,6596,6802,8647,15449,1266,1356,2622,1013,1464,2477,90,105,195,66655,70312,136967,5153,5104,10257
