region_id,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
CED219,94859,95338,190197,8105,7587,15692,14909,14129,29038,7573,6859,14432,6680,6424,13104,14145,15063,29208,14639,15203,29842,12888,12895,25783,8790,8824,17614,4443,4588,9031,2142,2690,4832,544,1077,1621,92363,93073,185436,2497,2265,4762,500,539,1039,65,60,125,12,12,24,577,611,1188,54214,54476,108690,36394,36749,73143,58450,58607,117057,32767,33236,66003,78183,78418,156601,1333,1250,2583,13053,12412,25465,5491,5204,10695,1909,2128,4037,2286,3619,5905,32471,35681,68152,10155,9344,19499,13559,11938,25497,5495,5046,10541,4105,4985,9090,849,1236,2085,91130,91495,182625,2945,3159,6104
CED220,66111,67581,133692,4363,4033,8396,7633,7189,14822,4086,3559,7645,5129,4291,9420,10104,9617,19721,9837,10319,20156,8602,8880,17482,6778,7488,14266,4808,5382,10190,3517,4576,8093,1255,2247,3502,63982,65637,129619,2130,1942,4072,124,123,247,14,17,31,7,3,10,145,143,288,35966,36734,72700,26946,27951,54897,35903,37012,72915,27465,28233,55698,53392,55609,109001,961,831,1792,6817,6399,13216,3285,3013,6298,2284,2088,4372,2131,2858,4989,30197,30942,61139,5775,5455,11230,6545,6195,12740,2721,2930,5651,3882,5415,9297,938,1416,2354,62641,64230,126871,2725,2778,5503
CED221,63238,64981,128219,4019,3827,7846,8415,8103,16518,4690,4186,8876,3338,2889,6227,5965,6398,12363,7707,8308,16015,9106,9742,18848,9314,9162,18476,6226,6361,12587,3419,4033,7452,1039,1972,3011,58748,60990,119738,4490,3991,8481,709,776,1485,41,57,98,13,8,21,763,841,1604,54426,56039,110465,5900,6252,12152,58206,60048,118254,2588,2876,5464,58313,60456,118769,787,782,1569,7584,7399,14983,3270,3175,6445,730,854,1584,1300,2526,3826,16202,20387,36589,8624,9011,17635,12460,11026,23486,5289,4542,9831,4120,3988,8108,206,199,405,57373,60007,117380,8993,7338,16331
CED222,76418,79572,155990,5563,5192,10755,9898,9509,19407,5127,4838,9965,4991,4646,9637,10687,11127,21814,11821,12583,24404,10771,10868,21639,8299,8932,17231,5176,5697,10873,3002,4066,7068,1083,2116,3199,73549,77051,150600,2868,2521,5389,251,257,508,30,40,70,14,11,25,295,308,603,47968,49353,97321,24414,26330,50744,51610,53699,105309,21286,22571,43857,64538,67478,132016,1143,1025,2168,8718,8411,17129,3858,3812,7670,1725,1702,3427,1921,3031,4952,29676,32266,61942,8216,7844,16060,9752,9343,19095,3935,3902,7837,3577,5016,8593,825,1278,2103,71834,75007,146841,3351,3625,6976
CED223,62919,66671,129590,4314,4069,8383,7847,7414,15261,4235,3962,8197,4514,4232,8746,7938,8164,16102,9167,9789,18956,8795,9699,18494,7663,8438,16101,4734,5232,9966,2717,3646,6363,995,2025,3020,60299,64276,124575,2620,2395,5015,269,313,582,13,12,25,6,6,12,288,331,619,47277,50217,97494,13110,13851,26961,50335,53004,103339,10360,11498,21858,55835,59375,115210,951,932,1883,7243,6849,14092,3417,3333,6750,2066,2063,4129,1982,2891,4873,29048,31579,60627,6457,6609,13066,6653,6720,13373,2813,2920,5733,2325,3456,5781,285,335,620,59252,63023,122275,3045,3207,6252
CED224,62120,67319,129439,3200,3029,6229,7820,7552,15372,4906,4665,9571,5539,5361,10900,8843,8694,17537,7654,9122,16776,8860,9849,18709,7092,7714,14806,4268,4815,9083,2759,3780,6539,1180,2738,3918,59263,64643,123906,2858,2674,5532,74,80,154,9,8,17,3,3,6,86,91,177,41268,44721,85989,18024,19976,38000,44339,48197,92536,15216,16817,32033,51846,56650,108496,900,893,1793,7330,7091,14421,4385,4222,8607,3362,3183,6545,2416,3245,5661,37642,40372,78014,3882,4843,8725,3272,4023,7295,1450,1684,3134,1398,2132,3530,251,327,578,57191,62274,119465,3854,4154,8008
CED225,71997,73906,145903,5128,4780,9908,10730,9856,20586,5316,5345,10661,4617,4383,9000,8569,9099,17668,11187,11888,23075,10494,10941,21435,8319,8667,16986,4701,4927,9628,2252,2701,4953,684,1320,2004,69087,71448,140535,2911,2458,5369,272,269,541,13,22,35,8,9,17,293,300,593,53565,55079,108644,15262,15854,31116,61505,62898,124403,7751,8526,16277,63431,65306,128737,1054,1059,2113,9796,9053,18849,4018,4304,8322,1419,1555,2974,1572,2875,4447,24931,29707,54638,9415,9119,18534,11085,9660,20745,4342,3875,8217,2428,2871,5299,176,200,376,67846,69947,137793,2801,3042,5843
CED226,108425,109072,217497,9928,9484,19412,15906,15058,30964,7398,7217,14615,7802,7625,15427,18926,19933,38859,17434,17412,34846,13475,13663,27138,10102,10181,20283,4939,4808,9747,2003,2609,4612,513,1082,1595,104960,106023,210983,3466,3048,6514,806,814,1620,43,41,84,18,17,35,867,872,1739,68929,69700,138629,33352,33366,66718,73438,74216,147654,28722,29631,58353,86889,87613,174502,1523,1483,3006,13827,13065,26892,5100,5278,10378,2034,2321,4355,2816,4570,7386,36861,41339,78200,11744,11155,22899,15170,13498,28668,6209,5715,11924,4386,5215,9601,639,871,1510,101783,103436,205219,5594,4844,10438
CED227,63434,64737,128171,4182,3884,8066,8902,8451,17353,4507,4266,8773,3390,3141,6531,6230,6557,12787,7599,8121,15720,9039,9111,18150,8532,8164,16696,6005,6180,12185,3834,4596,8430,1215,2266,3481,59333,61148,120481,4098,3592,7690,1490,1736,3226,57,62,119,45,45,90,1592,1843,3435,54386,55847,110233,5421,5429,10850,56299,57904,114203,4265,4116,8381,57463,59089,116552,758,726,1484,7852,7459,15311,2943,2995,5938,453,659,1112,925,1709,2634,13178,17039,30217,8831,9019,17850,11639,10520,22159,5898,5143,11041,5754,5407,11161,328,377,705,58484,59775,118259,4243,4110,8353
CED228,63322,65669,128991,3848,3726,7574,7226,6857,14083,3890,3738,7628,4741,4398,9139,10073,9677,19750,9089,9585,18674,8176,8552,16728,6948,7505,14453,5036,5602,10638,3288,4122,7410,1007,1907,2914,61231,63640,124871,2089,2030,4119,168,181,349,26,28,54,9,7,16,203,216,419,36113,37683,73796,23291,24200,47491,33072,34358,67430,26766,28052,54818,51682,54524,106206,704,716,1420,6200,5969,12169,3065,3073,6138,1919,1939,3858,2128,2776,4904,26729,27707,54436,5631,5275,10906,6453,6101,12554,2819,2952,5771,4728,6431,11159,1012,1483,2495,59388,61664,121052,3386,3508,6894
