region_id,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
CED120,0,17,5016,5033,122,192,4139,4453,3615,935,3464,8014,6866,684,1710,9260,7176,598,1649,9423,6247,284,1257,7788,3415,91,759,4265,1453,17,507,1977,282,6,232,520,29176,2824,18733,50733,9,36,4679,4724,355,290,3563,4208,4840,1023,2683,8546,7452,716,2025,10193,7408,553,2201,10162,5695,235,2019,7949,2672,68,1543,4283,988,16,1438,2442,125,3,666,794,29544,2940,20817,53301,9,53,9695,9757,477,482,7702,8661,8455,1958,6147,16560,14318,1400,3735,19453,14584,1151,3850,19585,11942,519,3276,15737,6087,159,2302,8548,2441,33,1945,4419,407,9,898,1314,58720,5764,39550,104034
CED121,3,45,4341,4389,113,446,2409,2968,2206,1224,2088,5518,5134,1108,1812,8054,6017,921,2189,9127,6063,576,1981,8620,4371,230,1430,6031,1965,48,853,2866,362,8,277,647,26234,4606,17380,48220,7,140,3937,4084,264,673,1969,2906,3049,1233,1900,6182,5835,1176,2064,9075,6300,863,2207,9370,6056,495,2151,8702,3576,145,2060,5781,1347,32,1936,3315,194,3,907,1104,26628,4760,19131,50519,10,185,8278,8473,377,1119,4378,5874,5255,2457,3988,11700,10969,2284,3876,17129,12317,1784,4396,18497,12119,1071,4132,17322,7947,375,3490,11812,3312,80,2789,6181,556,11,1184,1751,52862,9366,36511,98739
CED122,6,47,4343,4396,165,747,2811,3723,3072,1823,2872,7767,5032,1242,2187,8461,5378,866,2280,8524,5258,446,1805,7509,3282,137,1113,4532,1538,42,647,2227,293,9,241,543,24024,5359,18299,47682,8,171,4070,4249,369,1101,2240,3710,3894,1786,2377,8057,5622,1158,2193,8973,5602,814,2257,8673,4985,359,2111,7455,2750,96,1688,4534,1108,29,1751,2888,116,3,797,916,24454,5517,19484,49455,14,218,8413,8645,534,1848,5051,7433,6966,3609,5249,15824,10654,2400,4380,17434,10980,1680,4537,17197,10243,805,3916,14964,6032,233,2801,9066,2646,71,2398,5115,409,12,1038,1459,48478,10876,37783,97137
CED123,0,14,3674,3688,93,399,5682,6174,3460,2354,6369,12183,6094,1396,2827,10317,5237,812,2459,8508,4156,412,2030,6598,2980,142,1337,4459,1976,26,818,2820,458,3,387,848,24454,5558,25583,55595,5,37,3552,3594,259,629,5218,6106,4656,2511,5755,12922,6571,1277,3373,11221,5122,668,3258,9048,3949,325,3012,7286,2697,87,2389,5173,1291,11,2337,3639,184,3,1229,1416,24734,5548,30123,60405,5,51,7226,7282,352,1028,10900,12280,8116,4865,12124,25105,12665,2673,6200,21538,10359,1480,5717,17556,8105,737,5042,13884,5677,229,3726,9632,3267,37,3155,6459,642,6,1616,2264,49188,11106,55706,116000
CED124,3,42,4882,4927,246,570,3884,4700,3947,1811,3994,9752,5990,1160,2538,9688,5691,715,2352,8758,5549,415,1768,7732,3085,116,1002,4203,1188,31,557,1776,224,5,187,416,25923,4865,21164,51952,6,102,4763,4871,486,905,3519,4910,5104,1821,3738,10663,6270,1044,2943,10257,5914,729,2807,9450,5201,348,2563,8112,2378,68,1796,4242,745,13,1473,2231,118,8,665,791,26222,5038,24267,55527,9,144,9645,9798,732,1475,7403,9610,9051,3632,7732,20415,12260,2204,5481,19945,11605,1444,5159,18208,10750,763,4331,15844,5463,184,2798,8445,1933,44,2030,4007,342,13,852,1207,52145,9903,45431,107479
CED125,0,47,3689,3736,87,352,1699,2138,1583,945,1609,4137,3524,933,1690,6147,4610,840,2233,7683,5532,716,2070,8318,5128,334,1517,6979,3075,94,1042,4211,643,13,485,1141,24182,4274,16034,44490,6,107,3337,3450,207,550,1407,2164,2129,982,1688,4799,4185,918,2123,7226,5204,909,2693,8806,5664,584,2435,8683,4688,262,2444,7394,2178,45,2531,4754,291,4,1334,1629,24552,4361,19992,48905,6,154,7026,7186,294,902,3106,4302,3712,1927,3297,8936,7709,1851,3813,13373,9814,1749,4926,16489,11196,1300,4505,17001,9816,596,3961,14373,5253,139,3573,8965,934,17,1819,2770,48734,8635,36026,93395
CED126,0,20,5130,5150,176,387,3728,4291,3614,1377,3490,8481,6271,991,1920,9182,6030,680,1656,8366,5528,415,1326,7269,2961,92,713,3766,1128,27,419,1574,206,4,139,349,25914,3993,18521,48428,12,65,4789,4866,389,609,3315,4313,4771,1404,3017,9192,6631,960,2478,10069,6168,694,2348,9210,5090,310,2191,7591,2316,64,1478,3858,721,13,1208,1942,110,0,539,649,26208,4119,21363,51690,12,85,9919,10016,565,996,7043,8604,8385,2781,6507,17673,12902,1951,4398,19251,12198,1374,4004,17576,10618,725,3517,14860,5277,156,2191,7624,1849,40,1627,3516,316,4,678,998,52122,8112,39884,100118
CED127,3,7,4064,4074,71,185,3086,3342,2390,1181,3008,6579,6599,1043,1741,9383,6522,851,1781,9154,5577,502,1447,7526,4247,187,910,5344,2113,40,643,2796,570,9,450,1029,28092,4005,17130,49227,3,18,3666,3687,159,357,2537,3053,3314,1300,2250,6864,7533,1074,1872,10479,6661,842,2346,9849,5344,415,2251,8010,3698,96,1921,5715,1565,20,2094,3679,277,5,1381,1663,28554,4127,20318,52999,6,25,7730,7761,230,542,5623,6395,5704,2481,5258,13443,14132,2117,3613,19862,13183,1693,4127,19003,10921,917,3698,15536,7945,283,2831,11059,3678,60,2737,6475,847,14,1831,2692,56646,8132,37448,102226
CED128,3,39,4478,4520,159,369,3067,3595,2606,1197,2515,6318,5346,1124,1894,8364,6042,941,2090,9073,5742,586,1852,8180,3400,211,1108,4719,1493,55,606,2154,308,7,258,573,25099,4529,17868,47496,4,79,4150,4233,285,570,2576,3431,3320,1271,2058,6649,6058,1194,2263,9515,6392,968,2715,10075,5417,538,2701,8656,2891,135,2147,5173,1015,22,1701,2738,150,8,894,1052,25532,4785,21205,51522,7,118,8628,8753,444,939,5643,7026,5926,2468,4573,12967,11404,2318,4157,17879,12434,1909,4805,19148,11159,1124,4553,16836,6291,346,3255,9892,2508,77,2307,4892,458,15,1152,1625,50631,9314,39073,99018
CED129,0,15,5449,5464,157,169,4778,5104,3585,657,4881,9123,5981,595,2386,8962,6931,466,1965,9362,6319,252,1429,8000,3654,80,808,4542,1630,21,526,2177,261,7,182,450,28518,2262,22404,53184,18,34,5072,5124,578,241,4179,4998,4985,706,3797,9488,6415,584,2582,9581,7156,443,2635,10234,5755,197,2300,8252,2785,63,1720,4568,920,7,1597,2524,103,0,572,675,28715,2275,24454,55444,18,49,10521,10588,735,410,8957,10102,8570,1363,8678,18611,12396,1179,4968,18543,14087,909,4600,19596,12074,449,3729,16252,6439,143,2528,9110,2550,28,2123,4701,364,7,754,1125,57233,4537,46858,108628
