region_id,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total
CED119,8052,2015,2051,2265,1708,1289,607,1357,42645,107,44,62,11,10,28,24,19,9,39,353,26306,7822,9870,2380,2458,2632,2063,1606,818,1999,57954
CED120,2744,662,696,806,626,497,349,796,21818,76,15,22,7,0,10,0,0,0,28,158,20417,3585,3687,862,919,1009,824,704,437,1308,33752
CED121,260,53,71,114,113,112,56,275,3198,16,3,4,3,0,0,0,4,0,8,38,9916,640,715,165,161,246,202,195,111,765,13116
CED122,341,181,140,175,131,141,109,264,2646,3,0,6,0,3,3,0,3,3,3,24,6076,612,853,316,302,376,284,347,244,669,10079
CED123,4714,1458,1780,2298,2646,2696,1585,1939,41497,150,18,35,4,13,14,18,13,11,45,321,29680,5827,7374,2184,2516,3157,3523,3668,2206,2892,63027
CED124,1820,432,568,555,451,365,201,797,14307,62,9,23,7,3,12,9,6,6,11,148,19894,2388,2699,651,784,782,641,526,300,1477,30142
CED125,197,56,79,89,82,55,28,111,2037,7,0,0,0,3,0,6,0,3,0,19,9399,661,808,184,233,222,209,167,79,668,12630
CED126,1205,317,387,431,370,250,155,477,13881,47,14,7,10,3,3,4,3,4,27,122,19441,2405,2032,490,590,619,546,404,238,1089,27854
CED127,1521,376,472,628,448,383,229,543,12569,45,6,11,6,6,9,3,0,0,16,102,20482,3816,4225,983,1058,1263,918,816,508,1476,35545
CED128,377,87,99,134,112,105,54,192,4520,21,3,8,0,0,0,0,0,0,7,39,15794,1170,1169,258,256,290,272,211,123,864,20407
CED129,5572,1331,1207,1369,1621,1010,676,1878,50035,213,59,60,12,6,12,18,14,10,43,447,37566,6322,6315,1461,1349,1489,1734,1104,747,2352,60439
CED130,3743,770,817,775,664,576,316,745,27304,95,31,16,5,3,0,3,3,6,22,184,25847,5434,5413,1087,1216,1263,1038,1004,616,1328,44246
CED131,335,118,147,235,230,290,232,170,2878,4,0,0,3,0,6,3,8,0,3,27,5656,596,744,250,233,360,354,409,311,521,9434
CED132,746,252,343,495,652,693,388,415,7361,21,7,11,3,0,0,9,4,7,33,95,8689,933,1428,457,502,721,886,1020,577,898,16111
CED133,4459,1327,1618,1987,1714,1955,996,1178,31621,75,23,21,7,9,13,16,9,10,31,214,26111,5773,7264,2070,2374,2916,2545,3061,1652,2039,55805
CED134,278,77,87,111,135,125,61,158,2353,10,3,4,0,0,3,0,0,0,3,23,7416,567,788,176,170,224,255,224,133,569,10522
