region_id,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total
CED409,3005,1261,1450,1711,1837,1480,701,1415,30597,112,22,21,21,11,14,14,12,19,74,320,26420,3050,3901,1616,1759,2070,2215,1788,883,2190,45892
CED410,2754,1227,1317,1881,2012,1692,690,1040,26759,82,9,24,9,11,11,21,26,8,37,238,24016,2163,3851,1549,1636,2223,2426,2035,871,1704,42474
CED411,1091,533,688,508,479,581,302,520,9406,34,0,10,16,9,4,4,9,6,21,113,22184,1065,1808,786,922,746,671,692,348,1564,30786
CED494,17,7,9,31,19,34,41,55,287,0,0,0,0,0,0,0,3,0,0,3,294,23,37,10,9,40,25,67,80,83,668
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,1091,502,604,765,573,421,306,962,8529,31,6,15,6,10,9,7,8,0,15,107,24567,2799,4705,2068,2512,3018,2042,1586,1106,2593,46996
CED502,1045,476,562,766,568,369,253,638,7882,23,0,9,3,6,13,0,7,3,26,90,23479,2194,3424,1365,1408,1799,1290,925,681,2018,38583
CED503,2867,943,1124,1282,980,728,393,792,20248,71,9,36,9,14,7,7,20,3,52,228,26546,4541,6315,2180,2578,2634,1957,1530,899,1994,51174
CED504,1872,694,939,1346,1680,1674,1141,676,16555,38,6,7,6,3,8,8,10,8,13,107,20835,3369,4759,1425,1882,2555,2955,3245,2447,1809,45281
CED505,890,477,689,846,697,741,487,2325,9614,36,6,10,3,4,6,0,3,3,12,83,12414,1714,2535,1115,1409,1813,1472,1572,1027,3208,28279
CED506,707,321,421,575,477,445,274,638,5913,17,0,0,0,0,0,7,4,10,13,51,14474,1455,2374,926,1158,1312,1051,970,640,1681,26041
CED507,1976,802,924,1182,1028,860,504,937,18304,63,11,17,3,6,12,11,17,12,35,187,24438,3468,4502,1580,1810,2280,1907,1688,1129,2082,44884
CED508,1965,912,1215,1341,1118,831,450,691,15444,51,10,19,3,7,13,7,14,0,28,152,26578,3206,4313,1640,2056,2291,1653,1430,858,1994,46019
CED509,1781,573,620,962,766,683,383,547,12206,45,6,11,3,8,3,0,6,6,9,97,26987,5372,8458,2741,2961,3418,2580,2338,1528,2213,58596
CED510,759,450,626,927,576,415,270,911,6992,15,0,8,3,3,6,6,6,3,8,58,14481,1444,2238,905,1265,1793,1089,1016,728,1917,26876
CED511,1398,561,558,696,500,340,218,1848,10508,27,6,10,3,3,3,6,7,6,7,78,22954,3257,5363,2225,2270,2318,1559,1100,703,3199,44948
CED512,2864,1218,1584,2109,2129,1828,1154,1274,27563,64,13,17,7,9,17,24,19,8,48,226,28325,3559,4728,1830,2293,3230,3116,2969,2118,2425,54593
CED513,3657,1313,1555,1911,1939,1354,791,1238,27601,75,18,25,3,15,9,21,5,12,41,224,25770,4070,5836,1904,2320,2912,2744,2211,1412,2264,51443
CED514,5022,2173,2723,4313,4064,3456,2293,1737,36810,58,19,51,15,21,60,52,25,22,59,382,25041,4329,7239,2944,3650,5458,5133,4551,3190,3077,64612
CED515,4093,1477,1747,2166,1723,1520,847,1651,28105,66,19,27,13,13,24,29,9,12,25,237,27797,5058,7256,2287,2630,3284,2667,2427,1456,2633,57495
CED594,46,23,23,34,26,84,172,149,673,0,0,0,0,0,0,0,0,0,0,0,826,107,130,53,58,77,95,218,496,225,2285
CED597,6,0,0,0,4,0,0,9,30,0,0,0,0,0,0,0,0,0,0,0,42,20,19,3,0,8,4,3,0,16,115
CED601,490,172,220,338,404,447,269,186,3791,8,0,6,3,0,0,0,3,6,3,29,6763,526,890,306,332,474,545,581,355,490,11262
CED602,194,58,74,128,111,73,44,87,1540,6,3,0,0,0,0,0,0,3,0,12,6086,427,509,143,148,232,222,170,99,384,8420
CED603,893,380,475,671,777,748,404,366,7451,17,0,5,4,6,6,0,3,3,10,54,8825,847,1490,515,607,851,932,924,535,716,16242
CED604,337,134,120,168,151,142,98,136,2755,6,0,4,0,0,4,3,3,4,3,27,8583,648,897,303,274,354,313,251,179,503,12305
CED605,112,49,48,30,44,43,10,54,1207,5,0,0,0,0,0,0,0,0,3,8,7245,375,526,148,174,124,111,104,31,383,9221
CED694,6,0,0,3,7,22,10,8,64,0,0,0,0,0,0,0,0,0,0,0,76,8,12,0,4,9,11,28,20,14,182
CED697,0,0,0,3,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,3,0,3,0,3,21
CED701,516,256,291,367,391,361,232,875,5029,14,4,0,6,0,0,5,3,4,13,49,5634,709,1139,408,472,581,644,678,498,1219,11982
CED702,1285,691,924,1154,1183,959,584,1409,13383,17,6,14,3,8,7,14,19,6,26,120,10745,1488,2140,981,1212,1553,1650,1389,881,1910,23949
CED794,17,0,6,3,13,46,19,15,154,0,0,0,0,0,0,0,0,0,0,0,178,28,27,3,10,11,29,87,45,39,457
CED797,3,0,0,0,3,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,3,0,3,3,0,6,29
CED801,1916,500,647,841,1069,775,505,752,17513,56,11,14,3,3,12,14,5,3,16,137,23535,2473,2971,779,876,1175,1416,1183,780,1560,36748
CED802,4701,1277,1645,1930,2328,2113,1393,1053,30060,70,20,31,13,15,12,29,22,8,31,251,23923,4116,6138,1643,2045,2369,2902,2711,1816,1771,49434
CED894,7,6,3,8,6,10,14,12,81,0,0,0,0,0,0,0,0,0,0,0,60,8,11,6,6,8,6,15,27,12,159
CED897,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
