region_id,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
CED330,9,3,3,0,5091,5106,173,11,9,0,3213,3406,2695,140,125,6,3576,6542,6596,405,692,25,2359,10077,7071,486,1251,75,1474,10357,6371,312,1210,182,574,8649,4116,213,723,266,257,5575,1598,48,190,294,112,2242,293,4,14,211,33,555,28922,1622,4217,1059,16689,52509,13,0,5,3,4975,4996,290,22,12,3,3062,3389,3775,222,216,11,3095,7319,7358,538,1009,68,1938,10911,7285,525,1524,196,946,10476,6137,316,1294,464,308,8519,3244,137,643,859,104,4987,975,30,152,989,55,2201,157,6,29,760,36,988,29234,1796,4884,3353,14519,53786,22,3,8,3,10066,10102,463,33,21,3,6275,6795,6470,362,341,17,6671,13861,13954,943,1701,93,4297,20988,14356,1011,2775,271,2420,20833,12508,628,2504,646,882,17168,7360,350,1366,1125,361,10562,2573,78,342,1283,167,4443,450,10,43,971,69,1543,58156,3418,9101,4412,31208,106295
CED394,0,0,0,3,263,266,15,3,0,4,552,574,169,57,21,8,964,1219,241,133,106,9,480,969,293,125,244,9,312,983,792,114,344,34,155,1439,545,80,226,42,38,931,106,11,35,37,11,200,7,5,4,3,5,24,2168,528,980,149,2780,6605,0,0,0,0,252,252,27,11,0,0,507,545,170,42,24,5,640,881,204,54,53,5,271,587,310,74,201,14,132,731,833,56,227,53,38,1207,392,22,75,50,13,552,52,7,7,27,3,96,7,4,0,17,0,28,1995,270,587,171,1856,4879,0,0,0,3,515,518,42,14,0,4,1059,1119,339,99,45,13,1604,2100,445,187,159,14,751,1556,603,199,445,23,444,1714,1625,170,571,87,193,2646,937,102,301,92,51,1483,158,18,42,64,14,296,14,9,4,20,5,52,4163,798,1567,320,4636,11484
CED397,0,0,0,0,12,12,0,0,0,0,36,36,9,0,0,0,40,49,14,0,6,0,20,40,27,0,5,0,13,45,25,0,12,0,3,40,12,4,3,0,3,22,11,4,0,3,0,18,0,0,0,3,0,3,98,8,26,6,127,265,0,0,0,0,5,5,4,0,0,0,14,18,3,0,0,0,13,16,5,0,3,0,11,19,18,3,3,4,7,35,21,0,7,3,0,31,12,0,11,11,0,34,6,0,3,14,3,26,0,0,3,3,0,6,69,3,30,35,53,190,0,0,0,0,17,17,4,0,0,0,50,54,12,0,0,0,53,65,19,0,9,0,31,59,45,3,8,4,20,80,46,0,19,3,3,71,24,4,14,11,3,56,17,4,3,17,3,44,0,0,3,6,0,9,167,11,56,41,180,455
CED401,10,8,0,5,4460,4483,232,15,12,6,7288,7553,4168,178,191,14,8835,13386,5791,302,691,19,3780,10583,5444,462,1364,60,2488,9818,4900,349,1492,156,1359,8256,3083,145,694,210,471,4603,1947,83,222,455,243,2950,649,24,67,476,81,1297,26224,1566,4733,1401,29005,62929,15,0,5,4,4338,4362,491,22,20,5,6958,7496,4948,212,282,34,7002,12478,5948,381,915,90,2762,10096,5505,528,1673,216,1924,9846,4720,357,2003,556,1012,8648,2646,143,951,965,384,5089,1469,62,417,2049,198,4195,346,20,114,2103,138,2721,26088,1725,6380,6022,24716,64931,25,8,5,9,8798,8845,723,37,32,11,14246,15049,9116,390,473,48,15837,25864,11739,683,1606,109,6542,20679,10949,990,3037,276,4412,19664,9620,706,3495,712,2371,16904,5729,288,1645,1175,855,9692,3416,145,639,2504,441,7145,995,44,181,2579,219,4018,52312,3291,11113,7423,53721,127860
CED402,10,0,4,4,4985,5003,177,12,3,3,3725,3920,2997,170,120,14,4648,7949,5595,365,752,32,3051,9795,6693,526,1524,88,2056,10887,7292,456,1590,226,835,10399,5149,233,766,373,340,6861,2740,73,267,567,186,3833,591,13,24,424,42,1094,31244,1848,5050,1731,19868,59741,18,0,3,6,4533,4560,337,37,13,8,2953,3348,3829,272,237,17,3582,7937,6054,484,994,84,2161,9777,7013,526,1669,232,1208,10648,7036,351,1414,704,362,9867,4540,168,620,1420,145,6893,1882,42,228,2160,84,4396,303,9,53,1807,56,2228,31012,1889,5231,6438,15084,59654,28,0,7,10,9518,9563,514,49,16,11,6678,7268,6826,442,357,31,8230,15886,11649,849,1746,116,5212,19572,13706,1052,3193,320,3264,21535,14328,807,3004,930,1197,20266,9689,401,1386,1793,485,13754,4622,115,495,2727,270,8229,894,22,77,2231,98,3322,62256,3737,10281,8169,34952,119395
CED403,4,3,5,3,4393,4408,89,3,8,5,4281,4386,2702,66,116,4,4717,7605,5454,261,464,15,2352,8546,5980,341,1066,62,1629,9078,5951,295,1157,123,888,8414,4276,127,611,233,288,5535,2841,57,210,473,114,3695,879,15,47,547,39,1527,28176,1168,3684,1465,18701,53194,12,0,0,3,4273,4288,228,18,3,7,4216,4472,3535,137,187,17,3845,7721,6005,339,826,61,1857,9088,6199,463,1631,181,1304,9778,5868,325,1852,461,716,9222,3946,110,879,1001,284,6220,2116,60,372,2261,181,4990,520,12,103,2398,120,3153,28429,1464,5853,6390,16796,58932,16,3,5,6,8666,8696,317,21,11,12,8497,8858,6237,203,303,21,8562,15326,11459,600,1290,76,4209,17634,12179,804,2697,243,2933,18856,11819,620,3009,584,1604,17636,8222,237,1490,1234,572,11755,4957,117,582,2734,295,8685,1399,27,150,2945,159,4680,56605,2632,9537,7855,35497,112126
CED404,27,3,3,0,4660,4693,197,12,4,5,3831,4049,2641,141,125,17,5006,7930,4843,371,682,31,3462,9389,6197,617,1617,93,2441,10965,6694,486,1757,241,988,10166,5212,277,910,458,494,7351,2535,110,306,630,226,3807,533,12,44,400,52,1041,28879,2029,5448,1875,21160,59391,38,0,0,7,4189,4234,358,35,6,7,3155,3561,3327,213,186,31,4008,7765,5235,436,886,99,2435,9091,6316,578,1625,284,1341,10144,6495,376,1437,686,414,9408,4427,157,665,1503,149,6901,1779,48,232,2189,79,4327,299,7,52,1532,41,1931,28274,1850,5089,6338,15811,57362,65,3,3,7,8849,8927,555,47,10,12,6986,7610,5968,354,311,48,9014,15695,10078,807,1568,130,5897,18480,12513,1195,3242,377,3782,21109,13189,862,3194,927,1402,19574,9639,434,1575,1961,643,14252,4314,158,538,2819,305,8134,832,19,96,1932,93,2972,57153,3879,10537,8213,36971,116753
CED405,7,4,4,0,3855,3870,157,14,6,4,5029,5210,3182,119,145,14,6160,9620,5136,304,684,26,3027,9177,5363,449,1270,54,2072,9208,5183,369,1371,142,944,8009,4103,167,693,273,356,5592,3103,83,258,563,184,4191,943,19,73,645,57,1737,27177,1528,4504,1721,21684,56614,16,3,3,4,3770,3796,341,24,14,3,4707,5089,3971,167,275,25,5084,9522,5402,375,906,77,2362,9122,5477,518,1723,211,1583,9512,5256,340,1782,606,765,8749,3895,163,983,1261,274,6576,2279,69,495,2583,165,5591,567,10,142,2533,141,3393,27204,1669,6323,7303,18851,61350,23,7,7,4,7625,7666,498,38,20,7,9736,10299,7153,286,420,39,11244,19142,10538,679,1590,103,5389,18299,10840,967,2993,265,3655,18720,10439,709,3153,748,1709,16758,7998,330,1676,1534,630,12168,5382,152,753,3146,349,9782,1510,29,215,3178,198,5130,54381,3197,10827,9024,40535,117964
CED406,8,3,3,4,5184,5202,166,13,0,0,4549,4728,3226,168,210,9,5910,9523,5750,419,846,21,3201,10237,6343,532,1520,86,1632,10113,6601,382,1512,181,539,9215,4304,141,663,281,132,5521,2173,54,207,406,52,2892,516,20,37,366,11,950,29087,1732,4998,1354,21210,58381,12,8,8,3,4853,4884,347,31,9,6,4185,4578,4322,325,346,25,4944,9962,6035,592,1336,86,2438,10487,6514,626,2226,206,1122,10694,6581,407,2056,561,401,10006,3683,147,893,1023,126,5872,1505,33,309,1585,52,3484,277,9,52,1251,39,1628,29276,2178,7235,4746,18160,61595,20,11,11,7,10037,10086,513,44,9,6,8734,9306,7548,493,556,34,10854,19485,11785,1011,2182,107,5639,20724,12857,1158,3746,292,2754,20807,13182,789,3568,742,940,19221,7987,288,1556,1304,258,11393,3678,87,516,1991,104,6376,793,29,89,1617,50,2578,58363,3910,12233,6100,39370,119976
CED407,7,6,3,3,4767,4786,153,13,8,3,4188,4365,3194,136,157,16,5071,8574,5472,360,712,35,2715,9294,6068,395,1215,76,1301,9055,6260,265,1016,175,388,8104,4342,107,475,295,116,5335,2111,41,159,444,43,2798,461,8,13,268,16,766,28068,1331,3758,1315,18605,53077,12,3,3,3,4400,4421,352,24,10,4,3756,4146,3970,228,255,17,3885,8355,5798,496,1104,70,1981,9449,6237,489,1764,222,974,9686,6262,314,1493,610,297,8976,3791,122,696,1138,90,5837,1485,46,217,1583,45,3376,226,6,45,1187,17,1481,28133,1728,5587,4834,15445,55727,19,9,6,6,9167,9207,505,37,18,7,7944,8511,7164,364,412,33,8956,16929,11270,856,1816,105,4696,18743,12305,884,2979,298,2275,18741,12522,579,2509,785,685,17080,8133,229,1171,1433,206,11172,3596,87,376,2027,88,6174,687,14,58,1455,33,2247,56201,3059,9345,6149,34050,108804
