region_id,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
CED308,138,4196,507,4841,171,4075,420,4666,459,8036,765,9260,809,8926,757,10492,858,8020,680,9558,827,6816,582,8225,552,4728,607,5887,271,2052,535,2858,64,603,241,908,4149,47452,5094,56695,195,3949,432,4576,232,4111,343,4686,792,8362,632,9786,1354,9271,679,11304,1512,8272,616,10400,1605,6817,594,9016,798,4641,685,6124,268,2322,720,3310,62,916,456,1434,6818,48661,5157,60636,333,8145,939,9417,403,8186,763,9352,1251,16398,1397,19046,2163,18197,1436,21796,2370,16292,1296,19958,2432,13633,1176,17241,1350,9369,1292,12011,539,4374,1255,6168,126,1519,697,2342,10967,96113,10251,117331
CED309,151,3696,392,4239,139,2904,261,3304,361,5775,416,6552,688,7524,511,8723,966,7656,516,9138,1022,6887,505,8414,580,4858,526,5964,322,2492,444,3258,100,804,222,1126,4329,42596,3793,50718,166,3604,327,4097,175,2791,154,3120,646,6124,353,7123,1242,8128,404,9774,1758,8169,424,10351,1843,6745,448,9036,934,4861,514,6309,351,2838,602,3791,85,1470,320,1875,7200,44730,3546,55476,317,7300,719,8336,314,5695,415,6424,1007,11899,769,13675,1930,15652,915,18497,2724,15825,940,19489,2865,13632,953,17450,1514,9719,1040,12273,673,5330,1046,7049,185,2274,542,3001,11529,87326,7339,106194
CED310,160,3524,444,4128,132,2846,268,3246,339,5417,426,6182,617,6857,595,8069,822,6750,531,8103,956,6262,468,7686,660,5100,529,6289,374,2779,551,3704,97,766,256,1119,4157,40301,4068,48526,159,3501,384,4044,206,2888,168,3262,635,5750,308,6693,1142,7304,478,8924,1619,6951,433,9003,1769,6397,430,8596,961,5248,619,6828,399,2998,715,4112,64,1307,402,1773,6954,42344,3937,53235,319,7025,828,8172,338,5734,436,6508,974,11167,734,12875,1759,14161,1073,16993,2441,13701,964,17106,2725,12659,898,16282,1621,10348,1148,13117,773,5777,1266,7816,161,2073,658,2892,11111,82645,8005,101761
CED311,187,4213,709,5109,150,3734,492,4376,443,8351,1000,9794,790,8990,1057,10837,1045,9257,1093,11395,892,7756,898,9546,514,4370,804,5688,192,1627,518,2337,32,337,147,516,4245,48635,6718,59598,194,3797,544,4535,201,3484,313,3998,837,8088,662,9587,1277,8443,723,10443,1666,8116,728,10510,1536,5935,598,8069,592,3563,636,4791,160,1533,499,2192,27,554,211,792,6490,43513,4914,54917,381,8010,1253,9644,351,7218,805,8374,1280,16439,1662,19381,2067,17433,1780,21280,2711,17373,1821,21905,2428,13691,1496,17615,1106,7933,1440,10479,352,3160,1017,4529,59,891,358,1308,10735,92148,11632,114515
CED312,178,4826,675,5679,213,4350,392,4955,586,8712,709,10007,813,8616,713,10142,935,7527,617,9079,882,6145,523,7550,465,3614,491,4570,188,1451,320,1959,46,359,140,545,4306,45600,4580,54486,232,4468,559,5259,332,4373,315,5020,1055,8957,601,10613,1484,8745,591,10820,1653,7481,542,9676,1555,5803,488,7846,559,3391,521,4471,197,1704,491,2392,29,704,238,971,7096,45626,4346,57068,410,9294,1234,10938,545,8723,707,9975,1641,17669,1310,20620,2297,17361,1304,20962,2588,15008,1159,18755,2437,11948,1011,15396,1024,7005,1012,9041,385,3155,811,4351,75,1063,378,1516,11402,91226,8926,111554
CED313,141,3341,389,3871,217,5773,629,6619,618,13495,1317,15430,834,10341,867,12042,931,7165,650,8746,779,5116,497,6392,318,2677,372,3367,186,1486,339,2011,53,498,187,738,4077,49892,5247,59216,135,3322,291,3748,301,6106,417,6824,892,13452,933,15277,1187,9814,617,11618,1495,6834,495,8824,1282,4724,421,6427,504,2730,369,3603,255,2056,486,2797,69,1113,390,1572,6120,50151,4419,60690,276,6663,680,7619,518,11879,1046,13443,1510,26947,2250,30707,2021,20155,1484,23660,2426,13999,1145,17570,2061,9840,918,12819,822,5407,741,6970,441,3542,825,4808,122,1611,577,2310,10197,100043,9666,119906
CED314,210,4498,538,5246,204,3916,324,4444,484,7208,608,8300,789,7320,587,8696,1005,7282,559,8846,929,6228,498,7655,573,4170,550,5293,281,2186,531,2998,67,580,284,931,4542,43388,4479,52409,228,4439,510,5177,278,3943,254,4475,882,7124,432,8438,1380,7646,447,9473,1799,7275,474,9548,1676,6041,492,8209,812,4438,588,5838,349,2813,816,3978,75,1214,549,1838,7479,44933,4562,56974,438,8937,1048,10423,482,7859,578,8919,1366,14332,1040,16738,2169,14966,1034,18169,2804,14557,1033,18394,2605,12269,990,15864,1385,8608,1138,11131,630,4999,1347,6976,142,1794,833,2769,12021,88321,9041,109383
CED315,192,5070,731,5993,237,5507,633,6377,569,9641,1075,11285,775,8816,949,10540,925,7893,933,9751,790,6129,704,7623,437,3175,493,4105,156,1473,350,1979,57,353,127,537,4138,48057,5995,58190,250,4913,583,5746,329,5622,480,6431,1003,9715,831,11549,1337,8746,752,10835,1554,7611,640,9805,1404,5318,499,7221,574,3110,489,4173,210,1845,463,2518,36,830,207,1073,6697,47710,4944,59351,442,9983,1314,11739,566,11129,1113,12808,1572,19356,1906,22834,2112,17562,1701,21375,2479,15504,1573,19556,2194,11447,1203,14844,1011,6285,982,8278,366,3318,813,4497,93,1183,334,1610,10835,95767,10939,117541
CED316,204,3615,505,4324,142,2574,258,2974,397,4993,454,5844,743,6043,566,7352,971,6834,596,8401,1158,7282,657,9097,898,6580,828,8306,430,3173,806,4409,99,798,312,1209,5042,41892,4982,51916,222,3520,419,4161,257,2688,212,3157,845,5410,357,6612,1459,6585,488,8532,1901,7083,521,9505,2167,7133,634,9934,1237,6112,988,8337,442,3215,1009,4666,64,1268,500,1832,8594,43014,5128,56736,426,7135,924,8485,399,5262,470,6131,1242,10403,811,12456,2202,12628,1054,15884,2872,13917,1117,17906,3325,14415,1291,19031,2135,12692,1816,16643,872,6388,1815,9075,163,2066,812,3041,13636,84906,10110,108652
CED317,233,4353,822,5408,180,3588,650,4418,524,7284,1247,9055,888,8340,1310,10538,1195,9064,1230,11489,1044,8169,1063,10276,575,5410,919,6904,268,2448,641,3357,44,586,196,826,4951,49242,8078,62271,266,3915,647,4828,276,3284,375,3935,874,7295,750,8919,1410,8143,901,10454,1858,8140,821,10819,1762,6730,725,9217,774,4517,757,6048,306,2322,676,3304,45,969,295,1309,7571,45315,5947,58833,499,8268,1469,10236,456,6872,1025,8353,1398,14579,1997,17974,2298,16483,2211,20992,3053,17204,2051,22308,2806,14899,1788,19493,1349,9927,1676,12952,574,4770,1317,6661,89,1555,491,2135,12522,94557,14025,121104
