region_id,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
CED111,87,35,534,493,136,1310,86,785,78,3544,227,267,785,569,349,543,163,498,37,3438,738,1219,1325,924,921,707,463,897,105,7299,1380,2131,1475,1420,1512,928,645,1216,170,10877,1839,2530,1727,1799,2040,1119,852,1624,196,13726,1470,1954,1162,975,1350,777,698,1109,148,9643,487,252,141,98,215,96,157,146,39,1631,121,28,15,4,16,17,11,23,24,259,10,0,3,3,0,0,0,3,7,26,6359,8416,7167,6285,6539,5497,3075,6301,804,50443
CED112,54,165,653,769,237,1189,82,692,65,3906,294,1200,1298,1411,839,1014,254,568,112,6990,1267,4097,2107,1499,1783,877,746,804,168,13348,1982,4192,2094,1550,2373,885,923,916,226,15141,2106,4081,2082,1454,2503,899,998,1072,234,15429,1139,2569,1190,692,1464,517,660,677,133,9041,190,414,152,84,209,96,109,136,42,1432,25,36,7,10,19,12,6,15,25,155,8,0,3,0,0,0,0,0,4,15,7065,16754,9586,7469,9427,5489,3778,4880,1009,65457
CED113,79,63,617,551,223,1616,94,899,74,4216,271,566,1219,820,521,971,245,685,58,5356,1081,2099,2047,1209,1499,944,693,1018,156,10746,1739,2450,2188,1608,2164,1122,894,1251,216,13632,1751,2528,1952,1532,2312,1211,1040,1372,208,13906,1013,1680,1135,842,1455,751,718,871,171,8636,210,276,156,90,212,132,156,163,40,1435,22,25,14,7,18,17,6,12,19,140,0,3,0,0,0,0,0,0,8,11,6166,9690,9328,6659,8404,6764,3846,6271,950,58078
CED114,57,55,702,667,247,1338,97,710,74,3947,233,374,1134,660,697,613,207,549,71,4538,1104,1982,1844,1061,1549,735,562,952,216,10005,2316,2627,1958,1493,2325,959,754,1148,278,13858,2690,2957,2023,1648,2602,1103,978,1508,307,15816,1978,2111,1258,928,1602,771,751,1097,176,10672,614,349,214,114,300,153,164,219,61,2188,157,54,17,4,26,10,10,19,19,316,17,4,0,0,0,0,0,6,4,31,9166,10513,9150,6575,9348,5682,3523,6208,1206,61371
CED115,89,64,742,512,199,1288,101,845,84,3924,319,496,1258,742,462,692,272,673,61,4975,1313,2020,1798,1081,1044,752,766,1055,140,9969,2294,2013,1626,1372,1692,839,1081,1360,190,12467,2904,2309,1782,1432,2018,943,1343,1797,204,14732,2328,1598,1084,897,1345,666,1111,1366,203,10598,962,318,195,142,278,126,213,263,82,2579,257,32,20,4,20,25,5,36,33,432,32,3,0,0,3,0,0,6,13,57,10498,8853,8505,6182,7061,5331,4892,7401,1010,59733
CED116,42,79,383,317,232,875,103,446,89,2566,234,836,939,816,1129,1006,431,668,207,6266,988,2405,1909,1024,2274,967,1267,1308,429,12571,1088,1511,2086,1037,1801,903,1830,1906,388,12550,1097,1101,2051,971,1741,874,2308,2619,394,13156,513,623,1086,453,822,410,1064,1267,187,6425,58,74,157,59,102,40,107,142,44,783,10,8,3,3,9,7,3,12,14,69,0,3,0,0,0,0,0,0,3,6,4030,6640,8614,4680,8110,5082,7113,8368,1755,54392
CED117,78,54,602,595,173,1250,71,660,59,3542,237,444,1142,743,366,663,166,476,74,4311,791,1591,1802,1051,894,719,459,693,131,8131,1484,2260,1871,1466,1611,932,771,1009,137,11541,1851,2762,1978,1677,2006,1053,879,1298,196,13700,1307,1992,1142,801,1312,666,716,844,122,8902,371,301,161,97,212,143,126,145,49,1605,59,38,16,8,19,15,8,12,21,196,6,0,0,0,0,0,0,0,19,25,6184,9442,8714,6438,6593,5441,3196,5137,808,51953
CED118,25,92,152,390,194,650,21,219,38,1781,389,1496,775,1283,1167,1200,134,481,135,7060,2859,8931,2257,1972,3352,1624,502,1071,336,22904,4005,8256,1907,1282,3090,1064,574,791,328,21297,2549,5408,1508,982,2274,796,661,914,209,15301,1049,2784,818,534,1386,409,528,766,131,8405,137,363,162,102,207,78,112,208,42,1411,19,32,18,10,9,18,5,18,14,143,0,4,3,0,0,6,0,0,3,16,11032,27366,7600,6555,11679,5845,2537,4468,1236,78318
CED119,49,114,502,423,285,1329,89,526,64,3381,349,1078,1082,858,1244,1119,381,535,137,6783,2238,5404,2655,1452,3591,1511,1338,1203,389,19781,2718,4815,2503,1497,3602,1315,1413,1298,352,19513,1858,3019,1927,1213,3041,996,1491,1390,279,15214,932,1585,1124,687,2012,674,916,973,137,9040,124,216,173,113,245,108,155,163,44,1341,6,19,0,6,12,5,11,10,9,78,4,0,0,0,0,0,0,0,0,4,8278,16250,9966,6249,14032,7057,5794,6098,1411,75135
CED120,55,123,743,697,373,1378,112,643,63,4187,349,1111,1448,1233,1219,1051,282,438,124,7255,1570,3701,2342,1385,2487,986,663,682,211,14027,2551,3616,2392,1513,3384,1100,937,808,274,16575,2676,3420,2136,1409,3641,1177,1025,960,269,16713,1444,2147,1310,679,2536,782,798,737,149,10582,155,328,240,114,384,149,180,141,38,1729,9,19,12,3,16,3,6,7,13,88,3,3,3,3,3,0,3,3,0,21,8812,14468,10626,7036,14043,6626,4006,4419,1141,71177
