CED_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED226,618,465,1082,267,154,421,456,651,1108,414,809,1229,1214,1634,2850,1581,931,2512,3089,987,4076,3571,1319,4890,4712,1508,6214,5009,1142,6156,4509,823,5330,4369,574,4947,8806,780,9586,5517,149,5672,3363,68,3437,2197,205,2406,3384,46,3432,5014,301,5316,798,563,1358,58896,13117,72018
CED227,355,393,753,251,271,520,338,1089,1426,323,1909,2233,1373,3972,5349,1243,1827,3067,3712,1559,5272,2946,1566,4510,3526,1313,4844,3473,732,4206,2276,557,2831,2395,334,2729,3694,415,4109,2037,73,2111,1059,39,1094,527,201,722,1050,28,1084,3509,214,3722,878,1238,2119,34948,17726,52681
CED228,560,582,1144,282,257,543,467,880,1342,341,1374,1712,1335,2417,3754,1148,1183,2335,2980,1171,4154,2505,1350,3847,3205,1487,4688,3028,1146,4175,2515,950,3460,2354,714,3069,4737,995,5734,3442,208,3652,2211,115,2323,1786,386,2170,4033,92,4127,3894,493,4392,801,737,1535,41626,16531,58164
CED229,425,350,773,210,169,380,363,555,919,314,893,1212,1114,1918,3030,1383,981,2364,2984,1008,3993,3001,1282,4284,4191,1499,5690,4568,1059,5630,4125,759,4877,4249,549,4797,8352,563,8918,5478,87,5567,3113,38,3150,1980,169,2150,3207,28,3238,4973,218,5189,864,627,1490,54889,12761,67648
CED230,382,410,791,249,245,494,372,1104,1479,372,1687,2057,1483,3619,5099,1496,1750,3246,3961,1520,5482,3287,1602,4885,4145,1472,5617,3962,885,4850,3067,620,3686,3178,388,3561,5038,481,5519,3126,66,3194,1594,29,1627,924,205,1124,1713,20,1730,4088,247,4334,863,1086,1952,43296,17438,60734
CED231,1407,6226,7630,365,1062,1429,701,2179,2873,431,2254,2687,1054,2632,3690,940,2054,2989,1546,2110,3656,1619,2669,4289,2112,3315,5431,2104,3004,5112,1955,2767,4720,2009,2205,4208,4642,4169,8815,3741,1017,4756,2926,744,3668,2570,2290,4862,6992,1136,8132,3483,2593,6077,467,1010,1475,41061,45435,86495
CED232,499,1419,1916,171,405,575,243,1081,1325,203,1444,1654,551,2068,2620,538,1525,2063,1132,1655,2789,1118,2274,3396,1716,2855,4572,1855,2635,4487,1570,2636,4203,1866,2164,4025,4428,3889,8316,3606,647,4258,2686,389,3077,2705,2409,5118,8065,478,8542,3547,1372,4922,429,837,1268,36921,32190,69108
CED233,602,470,1069,276,180,450,275,460,733,213,683,900,825,1414,2246,755,909,1664,2079,725,2806,1926,768,2692,2528,775,3306,2463,555,3013,2059,507,2562,2202,374,2575,4203,543,4740,3293,69,3359,2382,40,2419,1977,274,2248,5050,54,5104,3895,176,4070,557,365,918,37548,9324,46867
CED234,388,415,809,236,223,461,317,1034,1353,310,1684,1998,1438,3544,4976,1304,1691,2997,3776,1426,5204,2785,1586,4373,3629,1305,4927,3498,750,4243,2468,550,3016,2515,353,2875,4087,414,4502,2380,83,2467,1209,38,1242,612,159,778,1226,41,1267,3682,220,3902,888,1262,2147,36746,16783,53532
CED235,531,438,973,242,161,396,342,548,896,280,883,1157,1406,1744,3148,1236,769,2006,3376,793,4169,2752,1002,3753,3620,1027,4650,3706,713,4421,3118,497,3613,3032,365,3394,5707,421,6132,3788,87,3875,2287,42,2327,1383,107,1487,2391,30,2423,4122,212,4338,719,486,1208,44033,10323,54358
CED236,318,379,694,230,269,495,314,1123,1439,301,1764,2063,1326,3679,5003,1262,1804,3070,3505,1416,4920,2787,1524,4315,3421,1307,4732,3148,743,3890,2241,573,2822,2252,355,2604,3638,413,4054,2213,90,2298,1123,39,1162,632,224,855,1178,45,1222,3315,228,3540,743,1165,1908,33950,17151,51098
CED237,461,669,1129,213,311,525,316,1166,1484,263,1607,1868,1150,2885,4030,936,1474,2410,2609,1326,3934,2137,1617,3751,2875,2025,4903,2817,1722,4542,2430,1479,3910,2505,1184,3695,5289,1786,7071,4086,487,4578,2850,259,3109,1939,601,2541,3881,254,4134,3611,1247,4850,607,807,1415,40963,22907,63876
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,244,295,544,154,166,320,255,623,881,310,1098,1402,1013,2592,3608,1397,1203,2603,3239,1088,4331,2826,1368,4194,3673,1397,5072,3650,916,4566,2948,708,3651,2912,433,3343,5194,503,5695,3146,125,3266,1803,36,1836,952,111,1069,1441,26,1466,3670,288,3959,534,641,1175,39352,13622,52975
CED302,313,369,686,129,159,294,218,557,768,174,937,1112,685,2239,2924,773,1176,1951,2143,947,3096,1876,1037,2908,2668,1118,3788,2567,813,3376,2112,701,2810,2463,546,3010,5058,815,5874,4118,168,4286,2966,120,3088,2215,254,2473,4736,85,4822,3638,357,3992,426,511,937,39281,12921,52198
CED303,251,296,546,161,152,313,183,653,836,198,1025,1223,874,2496,3375,995,1242,2239,2829,1049,3876,2253,1053,3306,3033,1053,4082,2986,664,3651,2510,517,3026,2704,402,3107,5436,530,5970,3959,72,4033,2489,49,2538,1753,176,1920,3317,37,3354,3718,234,3954,534,571,1104,40171,12274,52446
CED304,397,993,1389,138,291,432,181,877,1061,143,1265,1401,469,2213,2676,529,1711,2236,1076,1597,2676,1218,2054,3274,1787,2616,4397,1995,2254,4249,1785,2081,3865,1944,1655,3591,4405,3054,7460,3423,652,4075,2683,426,3116,2717,1565,4287,8064,471,8538,3444,1471,4912,271,672,943,36659,27917,64582
CED305,300,337,636,197,199,398,263,791,1053,296,1157,1454,1047,2580,3631,1093,1141,2233,2677,1062,3743,2073,1169,3246,2653,1202,3852,2722,819,3542,2263,727,2984,2410,511,2921,4774,866,5634,3259,127,3382,1999,56,2059,1408,362,1768,2657,92,2748,4734,308,5041,684,817,1505,37506,14332,51836
CED306,316,394,706,187,211,405,296,869,1170,277,1319,1595,1047,2551,3591,1137,1332,2472,2709,1250,3963,2254,1402,3658,2979,1384,4361,3034,1007,4037,2368,777,3148,2571,538,3106,4943,845,5779,3419,152,3569,2198,85,2283,1330,280,1609,2537,93,2626,5082,428,5515,677,857,1537,39360,15768,55127
CED307,206,193,400,120,101,220,176,382,555,176,629,803,687,1528,2209,765,900,1668,2117,750,2869,2042,974,3020,2833,1006,3838,2939,702,3637,2716,566,3285,2760,363,3123,5833,533,6366,4245,94,4343,2765,41,2805,1859,137,2001,3561,31,3592,3596,226,3824,390,380,767,39781,9530,49315
CED308,426,433,858,174,181,350,254,618,875,271,1030,1306,1049,2529,3581,1243,1474,2717,3264,1256,4522,2772,1451,4226,3773,1454,5224,3824,949,4772,3051,712,3761,3150,505,3657,5872,743,6611,3776,162,3943,2323,61,2385,1589,299,1890,3041,69,3113,3942,464,4409,586,668,1251,44386,15075,59458
CED309,329,325,657,182,166,351,297,783,1075,249,1185,1437,1031,2839,3872,1157,1764,2921,3314,1396,4716,2861,1431,4295,3801,1364,5166,3793,915,4706,2840,638,3479,2817,472,3294,5021,625,5651,3193,132,3326,1928,60,1988,1242,250,1496,2306,57,2367,4000,457,4461,528,685,1216,40894,15557,56451
CED310,285,338,627,186,158,342,219,662,882,221,1200,1422,1084,2859,3945,1148,1649,2795,3457,1184,4641,2760,1240,3996,3576,1133,4708,3377,774,4151,2484,599,3082,2426,420,2843,4431,566,5000,2929,122,3055,1653,68,1715,1072,257,1329,2049,56,2110,3682,401,4086,520,673,1196,37546,14368,51910
CED311,431,414,844,283,222,507,340,925,1269,316,1251,1563,1331,2451,3781,1195,1050,2237,3090,1002,4085,2229,1130,3358,2776,1208,3989,2827,832,3660,2199,636,2841,2371,563,2936,4816,966,5782,3211,108,3327,1979,71,2046,1539,436,1980,2921,81,3007,4631,280,4907,749,755,1501,39225,14389,53614
CED312,316,269,585,130,110,238,263,487,753,282,864,1144,969,2070,3037,1263,1177,2436,2990,987,3977,2522,1111,3635,3531,1197,4724,3696,714,4414,3136,602,3738,3206,386,3596,6038,450,6488,3793,113,3903,2259,59,2319,1303,125,1427,2141,40,2184,3859,299,4157,566,532,1096,42250,11590,53842
