CED_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
CED211,2979,2379,1111,667,939,697,408,9187,627,669,391,245,292,199,97,2535,727,624,283,188,259,183,79,2344,3769,4030,2319,1404,1925,1032,505,14987,30,30,10,9,6,10,0,107,8141,7736,4119,2513,3422,2126,1092,29147,169,206,179,144,268,188,121,1270,61,134,87,72,117,50,34,555,54,87,64,46,64,34,21,379,350,561,430,355,517,254,167,2633,24,20,15,9,14,7,0,89,652,1009,776,628,982,536,339,4922,8791,8744,4898,3136,4398,2662,1435,34075
CED212,879,931,598,390,545,277,133,3746,752,816,427,229,374,165,73,2839,684,663,362,217,287,110,90,2420,4656,4315,2278,1370,1864,769,341,15597,18,36,19,12,17,0,7,111,6997,6758,3690,2218,3084,1327,643,24713,87,135,143,85,149,85,38,722,126,207,146,110,160,66,23,841,79,140,98,69,135,40,22,583,902,1153,770,505,762,293,123,4508,49,48,40,29,17,3,0,186,1241,1681,1198,796,1232,483,210,6844,8236,8446,4884,3017,4315,1813,854,31557
CED213,330,443,274,213,276,153,48,1740,521,645,398,218,281,106,45,2223,524,582,290,196,281,109,38,2020,5170,5351,2989,1827,2370,808,320,18827,39,33,26,17,15,4,3,137,6585,7057,3983,2470,3229,1176,456,24947,25,48,65,48,73,22,8,292,102,180,106,82,139,37,12,657,55,112,68,58,73,22,13,398,846,1333,863,619,751,219,75,4712,40,41,37,20,17,5,0,161,1070,1714,1135,823,1052,306,115,6221,7652,8777,5117,3297,4278,1474,571,31172
CED214,3214,2282,1039,621,966,745,444,9313,1118,967,439,235,304,147,100,3315,1059,767,316,195,256,148,82,2821,4198,3519,1620,973,1266,689,364,12627,62,31,9,15,16,4,0,139,9644,7567,3429,2043,2803,1732,991,28212,387,516,334,239,375,259,164,2272,165,192,127,78,127,54,34,774,86,125,71,64,78,46,16,484,384,604,359,266,407,192,109,2321,59,63,38,22,20,12,14,227,1075,1508,923,668,1007,567,334,6084,10723,9076,4345,2710,3812,2303,1324,34290
CED215,376,356,207,131,163,46,17,1300,231,260,177,108,146,37,7,971,254,261,120,104,120,35,10,915,4956,5160,2895,1838,2444,621,136,18052,53,56,25,27,18,3,0,183,5872,6088,3432,2206,2892,752,179,21418,42,55,51,35,47,20,4,256,84,101,65,45,74,20,3,392,37,56,41,44,61,18,8,258,1241,1586,914,725,950,200,45,5660,73,61,44,20,25,0,0,227,1481,1865,1113,876,1157,253,57,6796,7347,7957,4543,3079,4047,1004,235,28207
CED216,1696,2025,1214,753,1076,669,385,7811,903,1013,602,376,469,293,183,3850,880,1068,590,331,457,262,148,3744,3490,4266,2695,1724,2325,1450,844,16806,12,16,12,3,13,9,3,64,6979,8382,5123,3196,4344,2684,1567,32267,90,183,172,142,229,153,79,1045,63,124,107,72,123,83,58,627,52,96,75,55,90,47,43,461,191,429,345,282,389,247,149,2019,25,24,17,3,10,5,4,90,417,847,721,548,839,532,340,4248,7396,9228,5841,3749,5183,3217,1905,36513
CED217,5430,5315,2847,1777,2515,1643,853,20376,1040,999,542,289,411,185,86,3542,950,858,406,236,297,160,53,2968,5352,4864,2430,1463,1694,683,237,16719,78,91,46,26,22,11,5,271,12846,12130,6271,3788,4930,2688,1229,43875,715,1001,667,442,675,427,233,4167,203,251,153,111,155,62,34,966,155,207,124,63,116,41,25,728,1104,1405,796,475,626,215,74,4693,146,155,74,47,46,15,8,500,2319,3017,1817,1147,1624,761,377,11056,15164,15143,8091,4932,6558,3447,1597,54934
CED218,1862,1315,569,365,553,436,252,5351,670,661,380,218,322,203,121,2572,764,695,344,212,287,200,108,2607,3092,3667,2251,1351,1905,1258,745,14274,19,7,9,0,3,3,0,45,6405,6340,3554,2151,3071,2097,1229,24846,105,201,110,92,153,142,86,893,78,86,66,66,107,64,43,505,45,63,42,37,43,27,32,289,143,372,259,209,289,236,162,1665,21,18,11,7,8,6,3,73,390,732,498,406,599,470,322,3424,6794,7079,4051,2558,3671,2572,1553,28268
CED219,8138,7544,3812,2261,3241,2138,1123,28256,880,771,400,239,357,167,68,2879,872,728,338,181,255,107,53,2531,3970,3199,1714,1070,1399,514,205,12064,87,121,63,15,19,10,3,322,13944,12372,6328,3761,5273,2931,1443,46044,568,745,477,380,596,342,222,3334,211,255,167,117,158,42,27,977,106,166,115,73,102,46,25,629,929,1122,673,482,641,211,71,4143,95,88,52,42,44,7,0,328,1915,2378,1486,1092,1533,656,345,9411,15859,14748,7815,4853,6808,3586,1791,55456
CED220,3897,3323,1700,1083,1586,1197,700,13477,687,721,363,208,284,144,85,2496,801,682,289,173,269,144,69,2429,2663,2891,1551,981,1190,666,313,10254,30,35,15,9,14,13,6,114,8076,7656,3923,2452,3330,2158,1175,28771,353,520,386,296,453,354,196,2563,105,147,94,69,111,71,28,623,60,101,71,57,61,29,24,401,208,409,342,236,343,193,88,1818,54,53,30,15,23,12,4,192,783,1230,921,672,988,660,338,5590,8855,8884,4843,3123,4320,2825,1512,34355
