CED_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
CED139,16804,33191,322,1782,1691,7960,541,2524,8531,34673,11082,46943,615,2459,1073,3354,2802,8670,4483,14485,15569,61428,93,414,513,1874,255,943,2884,8226,3747,11460,201,609,521,1136,2192,4642,2916,6379,6659,17833,599,1244,39632,113702
CED140,15133,30022,239,1295,1500,6913,444,2015,8328,32461,10518,42685,927,3859,1360,4594,3321,10370,5602,18820,16123,61510,66,308,443,1520,239,841,2342,6275,3097,8939,317,971,675,1477,2725,5803,3710,8247,6809,17194,520,1067,38577,109793
CED141,16084,31973,281,1546,1594,7309,549,2440,8349,32560,10770,43856,905,3704,1342,4551,3546,11116,5798,19373,16562,63230,112,513,479,1657,274,957,2665,7264,3524,10388,285,897,664,1474,2771,5897,3720,8263,7245,18654,491,1005,40384,114863
CED142,24619,48328,19,103,427,1824,71,317,6528,22418,7047,24663,234,941,761,2419,1122,3437,2116,6791,9161,31453,17,93,152,508,75,258,1343,3216,1588,4075,114,334,674,1451,1586,3283,2371,5073,3965,9142,1650,3498,39393,92422
CED143,15141,29686,165,815,1798,8091,192,815,11473,43625,13625,53343,905,3620,1929,6590,2422,7532,5259,17743,18885,71084,23,97,302,972,70,209,1450,3572,1847,4847,233,725,637,1438,1626,3390,2500,5552,4348,10392,511,1071,38881,112240
CED144,11836,24058,542,3254,2281,11493,550,2643,11944,47794,15308,65184,1410,6326,1885,6711,4724,15875,8020,28906,23328,94088,136,688,492,1898,198,729,2214,6292,3040,9609,384,1295,864,2024,3293,7432,4543,10754,7577,20362,1033,2285,43784,140792
CED145,15569,30410,102,495,1264,5647,93,378,9104,33963,10560,40480,667,2607,1498,5013,1680,5109,3843,12730,14402,53206,15,50,221,693,44,132,1420,3353,1697,4226,165,494,624,1363,1395,2865,2179,4720,3883,8950,672,1389,34522,93956
CED146,9541,19562,684,4088,3021,14992,940,4668,11221,46158,15871,69906,1843,8149,1923,6926,5426,18623,9194,33697,25065,103607,171,841,659,2568,406,1542,2773,8356,4004,13304,471,1651,675,1633,3136,7350,4284,10625,8284,23937,628,1386,43513,148490
CED147,15834,31501,350,1986,1659,7708,637,2916,8874,35132,11522,47745,1023,4271,1341,4484,4060,13002,6423,21760,17943,69504,116,548,543,1947,317,1175,2838,7818,3819,11486,308,960,667,1510,2772,6001,3745,8477,7567,19958,500,1037,41841,122001
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,12383,24771,275,1495,1856,8465,357,1575,9042,34675,11535,46216,1467,6202,2112,7479,4325,14022,7907,27698,19445,73914,60,261,371,1279,152,523,1602,4276,2185,6337,384,1224,705,1648,2286,5069,3374,7940,5562,14274,510,1077,37889,114038
CED202,15549,30803,247,1406,1706,7926,432,1971,9189,36304,11570,47613,850,3565,1357,4487,2876,9054,5080,17104,16645,64711,85,396,487,1784,249,897,2782,7561,3609,10636,287,914,700,1543,2255,4777,3248,7230,6857,17869,520,1079,39577,114466
CED203,14843,29586,157,883,1477,6724,261,1185,10413,39082,12303,47875,857,3615,1447,5152,2946,9524,5252,18289,17557,66169,54,262,290,963,135,459,1840,4658,2324,6337,262,842,724,1647,2701,5927,3690,8423,6009,14757,1085,2284,39494,112787
CED204,15913,31473,279,1526,1596,7418,393,1788,8694,34301,10965,45030,684,2798,1377,4556,2691,8354,4751,15710,15712,60745,79,364,539,1913,213,748,2684,7171,3521,10194,277,842,710,1547,2187,4594,3174,6982,6690,17172,589,1214,38905,110604
CED205,13520,27204,253,1486,2046,9510,338,1580,10114,38578,12753,51151,1284,5438,2357,8237,3974,12745,7616,26417,20366,77570,83,406,487,1753,178,635,1858,4993,2603,7790,357,1190,882,2080,2686,5937,3919,9207,6524,16995,978,2109,41392,123878
CED206,11143,22487,661,3896,2600,12871,701,3440,10093,40972,14061,61176,1904,8437,2080,7498,5354,17962,9337,33892,23394,95070,168,807,593,2271,284,1085,2192,6349,3230,10517,525,1758,718,1714,3197,7342,4438,10818,7677,21329,698,1508,42909,140394
CED207,14033,27919,314,1770,1710,8073,482,2210,9370,36772,11882,48822,1240,5228,1395,4817,3933,12699,6563,22736,18451,71555,85,387,434,1482,197,666,2029,5420,2744,7952,356,1152,688,1549,2392,5147,3438,7844,6185,15802,451,951,39117,116231
CED208,14117,28239,140,716,1830,8155,199,878,10599,39720,12761,49462,1099,4583,2364,8268,3275,10291,6736,23140,19499,72604,46,225,389,1287,102,336,1510,3791,2044,5637,334,1021,1037,2391,2498,5363,3867,8775,5912,14413,1017,2205,40547,117459
CED209,16135,31829,250,1350,1860,8500,343,1541,10381,41041,12829,52428,932,3794,1600,5329,2776,8550,5305,17679,18139,70108,69,311,415,1418,133,460,1951,5184,2572,7375,251,771,651,1404,1786,3695,2687,5873,5256,13245,463,951,39990,116130
CED210,15154,30040,225,1279,1430,6660,340,1569,8289,32115,10285,41628,843,3507,1350,4593,3079,9661,5273,17757,15559,59385,110,488,524,1916,252,891,2829,7608,3709,10902,313,1039,775,1690,2655,5718,3741,8447,7458,19352,617,1275,38781,110050
CED211,13927,27775,183,1044,1823,8385,228,999,10812,41354,13045,51781,1059,4413,1893,6730,3101,9861,6061,21007,19108,72790,49,227,388,1306,101,338,1677,4261,2213,6136,316,994,837,1929,2430,5180,3576,8102,5784,14236,634,1343,39456,116150
CED212,14363,28441,237,1263,1506,6839,417,1859,8867,34371,11028,44336,953,3918,1404,4777,3300,10546,5654,19249,16687,63585,81,372,496,1697,219,747,2565,6704,3358,9514,384,1180,790,1763,2839,6036,4010,8976,7370,18495,586,1218,39009,111744
CED213,17834,35288,277,1491,1582,7271,489,2184,8741,34198,11087,45148,900,3634,1281,4239,3397,10757,5582,18631,16667,63778,69,294,418,1444,212,714,2442,6441,3136,8903,251,769,625,1370,2282,4809,3155,6953,6292,15857,409,841,41202,115763
CED214,15245,30504,231,1336,1470,6848,278,1314,11477,43096,13457,52592,954,4071,1542,5388,3187,10363,5683,19819,19142,72411,65,329,438,1537,153,541,2199,5813,2850,8222,346,1135,780,1816,2932,6494,4058,9443,6909,17665,1151,2460,42444,123048
CED215,16872,33209,211,1147,1352,6228,340,1506,7439,29393,9338,38273,614,2458,1129,3624,2659,8171,4397,14255,13732,52524,76,326,485,1746,209,738,2522,6908,3291,9721,206,632,588,1270,1869,3896,2668,5804,5957,15520,439,920,37003,102178
CED216,13464,26563,161,810,2238,9979,186,751,10890,41884,13473,53416,1273,5164,2754,9609,2850,8870,6872,23644,20340,77060,19,91,381,1210,59,185,1464,3603,1921,5088,256,770,847,1927,1790,3714,2886,6409,4813,11497,518,1085,39137,116210
CED217,13256,26840,548,3291,2805,13444,771,3628,15311,60385,19438,80745,1543,6729,1885,6720,4733,15690,8163,29139,27603,109881,186,911,783,3098,346,1288,3596,10473,4913,15765,512,1736,799,1909,3042,6952,4353,10597,9268,26367,746,1623,50870,164711
CED218,16559,32523,95,493,1609,7189,137,571,9093,34166,10936,42425,878,3542,2134,7473,2037,6299,5044,17313,15976,59739,22,87,257,844,51,163,1202,2948,1526,4037,199,631,711,1618,1635,3429,2545,5672,4076,9712,1033,2169,37648,104138
CED219,14249,28885,644,3921,2852,14133,785,3734,16063,63100,20351,84884,1649,7143,2145,7591,4794,15838,8579,30564,28929,115448,178,897,658,2556,339,1308,3087,8643,4262,13407,485,1639,784,1832,3153,7125,4425,10588,8686,23997,779,1674,52644,170008
CED220,12866,25911,209,1180,1779,8093,299,1354,10768,41152,13055,51769,1224,5192,1926,6809,3965,12797,7113,24799,20162,76565,64,294,426,1532,158,539,1890,4953,2539,7325,348,1115,861,1999,2800,6194,4006,9311,6546,16636,896,1957,40463,121076
CED221,16741,32938,237,1297,1434,6602,346,1559,7718,30478,9739,39941,619,2480,1155,3679,2423,7424,4195,13581,13932,53521,60,268,431,1538,175,601,2412,6490,3080,8902,196,605,559,1185,1713,3577,2476,5365,5553,14263,417,859,36645,101582
CED222,13738,27515,315,1766,1920,8881,421,1901,11488,44137,14148,56687,1213,5106,1858,6507,3644,11828,6716,23437,20863,80122,79,403,450,1565,172,589,2236,5853,2938,8409,363,1197,836,1910,2614,5691,3810,8797,6757,17205,667,1421,42019,126267
CED223,13136,26056,189,1059,1733,7916,250,1101,10127,39010,12294,49084,1269,5285,2028,7213,3571,11367,6868,23870,19164,72952,46,226,368,1211,123,423,1602,4080,2135,5936,318,969,735,1634,2285,4875,3332,7479,5472,13421,635,1336,38407,113762
CED224,12986,25652,156,843,2263,10162,137,584,9178,35355,11736,46940,1299,5390,2949,10457,2702,8351,6950,24200,18683,71143,23,107,410,1344,54,161,1279,3232,1759,4840,264,806,892,2058,1556,3267,2714,6132,4472,10969,873,1841,37027,109603
CED225,13090,26155,412,2329,2545,11867,501,2231,11900,46721,15360,63151,1604,6838,2154,7575,4061,13151,7815,27559,23176,90710,100,448,496,1724,180,659,1911,5124,2686,7960,345,1103,693,1603,2091,4526,3128,7225,5815,15185,462,970,42545,133023
CED226,16827,34021,511,3084,2978,14470,719,3356,21931,83850,26140,104763,1525,6565,2226,7717,4491,14671,8246,28954,34385,133717,188,972,755,2955,321,1203,3745,10613,5018,15740,455,1533,905,2069,3022,6856,4382,10460,9400,26197,831,1791,61445,195727
CED227,15861,31359,262,1464,1582,7354,375,1689,7139,28620,9354,39130,621,2484,1197,3784,2420,7493,4238,13757,13591,52890,77,366,426,1546,165,582,2317,6472,2985,8966,175,542,504,1084,1767,3754,2444,5382,5436,14347,491,1030,35382,99630
CED228,14234,28639,252,1462,1979,9172,359,1662,10114,38804,12707,51105,1322,5686,1965,7072,4149,13570,7440,26327,20142,77428,102,508,538,1978,191,712,2221,6030,3053,9227,428,1455,853,1997,3236,7268,4514,10713,7570,19941,1164,2510,43109,128516
CED229,17194,34365,524,2921,2859,13469,780,3602,17492,68505,21654,88497,1615,6956,2048,7115,4770,15474,8431,29551,30088,118048,144,666,676,2394,330,1170,3358,9259,4504,13482,473,1510,829,1873,2869,6327,4168,9710,8671,23193,601,1270,56560,176873
CED230,17712,35134,352,2037,1863,8871,513,2335,10401,41600,13129,54840,886,3735,1350,4485,3108,9764,5343,17989,18474,72837,122,597,542,1936,261,921,3042,8358,3968,11812,320,1013,717,1585,2341,4949,3373,7542,7338,19354,499,1038,44028,128365
CED231,21985,43127,47,262,771,3597,110,470,7840,28091,8760,32421,386,1552,1062,3570,1372,4298,2830,9426,11591,41845,45,215,334,1220,79,291,1882,4872,2336,6608,207,630,935,2065,1815,3879,2961,6574,5297,13185,2525,5282,41399,103440
CED232,19812,38720,87,579,933,4414,90,389,7990,29286,9108,34667,471,1896,1240,4157,1436,4380,3149,10435,12254,45103,12,73,194,617,29,97,1430,3309,1665,4101,157,465,740,1587,1370,2779,2270,4836,3935,8933,1185,2464,37185,95220
CED233,13402,26693,192,1028,2008,9086,263,1114,8903,34413,11364,45639,1606,6735,2550,9091,4418,14138,8579,29972,19942,75611,42,191,325,1100,73,248,1271,3259,1714,4805,280,872,746,1760,2053,4454,3079,7083,4792,11883,532,1149,38676,115346
CED234,16285,32236,313,1752,1682,8056,406,1864,7628,30663,10034,42332,685,2826,1181,3810,2721,8456,4589,15098,14619,57435,94,411,471,1738,198,707,2467,6824,3229,9687,223,714,553,1180,1983,4233,2752,6127,5985,15811,429,889,37315,106368
CED235,13651,27485,401,2262,2239,10569,569,2590,12008,46586,15213,62015,1660,7085,1918,6965,5455,17935,9033,31987,24251,94000,84,401,439,1608,246,907,2243,6185,3011,9093,435,1408,663,1573,3026,6813,4123,9792,7135,18893,744,1606,45780,141981
CED236,15466,30564,259,1450,1406,6571,331,1492,6930,27855,8935,37366,672,2762,1070,3426,2474,7607,4213,13799,13146,51169,60,257,339,1243,177,623,2040,5591,2624,7716,196,606,523,1117,1868,3937,2585,5657,5207,13364,426,884,34248,95987
CED237,16176,32202,237,1381,1496,7036,294,1327,11109,41851,13137,51601,940,3987,1386,4860,3081,10062,5405,18911,18542,70507,57,249,346,1203,105,378,1724,4387,2229,6225,258,837,654,1497,2799,6118,3716,8454,5944,14675,1187,2521,41841,119904
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,14186,28246,392,2303,1643,7903,655,3156,9683,38587,12370,51949,686,2866,1137,3720,3066,9807,4887,16393,17259,68335,154,768,617,2386,381,1435,3909,11249,5070,15844,256,811,589,1318,2468,5394,3314,7525,8384,23367,641,1365,40468,121316
CED302,14074,28042,250,1382,1954,8950,415,1857,10679,40884,13293,53066,1036,4386,1853,6360,3184,10089,6077,20832,19373,73896,80,357,413,1449,203,725,2202,5737,2901,8266,282,912,641,1440,2309,4994,3240,7342,6137,15611,723,1515,40308,119065
CED303,16302,32434,336,1837,1817,8329,544,2417,9149,35695,11851,48278,1069,4375,1639,5559,3693,11607,6397,21540,18243,69824,83,359,415,1475,212,719,2501,6716,3209,9276,277,865,612,1370,2212,4765,3104,7005,6310,16280,463,972,41327,119513
CED304,17509,34334,89,480,1288,5760,132,570,9032,33853,10544,40666,583,2405,1527,5258,1574,4874,3688,12534,14233,53194,26,109,253,810,54,164,1569,3625,1897,4713,159,475,702,1521,1377,2881,2232,4869,4132,9583,1195,2479,37066,99589
CED305,15281,29814,292,1605,1555,7135,601,2692,9489,37126,11939,48559,566,2272,1067,3325,2829,8700,4467,14291,16406,62851,81,373,437,1593,227,802,2757,7692,3506,10456,169,537,439,953,1858,3905,2468,5387,5974,15842,516,1083,38181,109589
CED306,16392,31911,288,1559,1634,7420,560,2486,9553,36777,12034,48244,697,2769,1268,3979,2936,8921,4898,15664,16932,63906,78,336,441,1576,270,965,2884,7966,3674,10844,185,587,472,999,1778,3735,2438,5312,6116,16157,526,1099,39960,113077
CED307,14254,28344,309,1749,2013,9282,544,2461,11008,43224,13873,56715,1090,4555,1689,5756,3571,11337,6350,21644,20220,78366,67,339,437,1493,192,655,2474,6593,3174,9088,243,768,595,1350,1924,4170,2757,6288,5926,15372,504,1064,40904,123148
CED308,17883,35608,292,1634,1766,8049,638,2937,10641,40838,13335,53460,967,4031,1622,5385,3311,10443,5900,19855,19238,73311,107,483,519,1826,283,961,3281,8813,4182,12087,297,946,741,1641,2648,5732,3681,8322,7865,20411,591,1240,45576,130568
CED309,18111,35804,253,1371,1629,7383,503,2221,9560,37058,11939,48032,682,2744,1335,4283,2901,8954,4914,15979,16860,64014,72,305,462,1585,207,714,2724,7210,3467,9816,191,596,680,1473,2067,4358,2939,6421,6401,16240,471,971,41850,117033
CED310,17246,34062,232,1253,1495,6756,488,2148,8055,31358,10272,41518,626,2569,1185,3827,2614,8089,4421,14485,14696,56009,56,251,444,1468,245,815,2403,6455,3150,8991,209,666,631,1405,2038,4330,2882,6403,6028,15392,435,919,38404,106380
CED311,16453,32224,318,1696,1732,7894,615,2774,10538,41701,13206,54063,569,2224,991,2961,2669,8101,4221,13285,17422,67350,64,290,389,1441,231,876,2737,7688,3425,10294,130,401,380,798,1630,3434,2137,4637,5563,14930,487,1007,39925,115515
CED312,14634,29388,443,2623,1853,8897,849,3934,11260,44658,14402,60113,922,3894,1311,4382,3797,12153,6026,20430,20428,80541,124,588,593,2209,385,1445,3698,10430,4797,14667,357,1173,553,1249,2570,5630,3481,8052,8285,22718,639,1351,43990,134006
CED313,15988,31558,125,685,1547,7029,192,848,9992,37368,11852,45934,663,2759,1589,5472,1777,5615,4036,13844,15893,59775,42,191,329,1081,104,339,1921,4617,2394,6226,174,556,747,1612,1696,3600,2617,5763,5009,11995,1114,2318,37999,105646
CED314,15863,31338,348,2028,1670,7974,505,2334,8965,36039,11486,48379,621,2541,1132,3601,2647,8167,4401,14311,15885,62693,96,474,521,1896,257,954,2691,7521,3565,10844,216,693,524,1120,1903,4018,2646,5833,6214,16674,552,1155,38516,111866
CED315,15323,29884,279,1589,1639,7636,565,2631,9797,37853,12273,49707,626,2562,1232,3994,2475,7629,4328,14185,16604,63888,109,556,600,2183,336,1290,3637,10104,4680,14137,247,780,689,1480,2144,4644,3078,6904,7754,21045,740,1553,40423,116372
CED316,19080,37798,247,1418,1239,5733,479,2178,6634,26137,8608,35464,431,1734,895,2834,2430,7510,3763,12084,12367,47547,87,423,498,1855,321,1200,3088,8643,4000,12120,199,638,500,1098,2174,4625,2871,6363,6872,18484,492,1016,38809,104839
CED317,16657,32848,316,1803,1449,6771,709,3426,8529,34004,11007,45997,514,2078,878,2660,2732,8547,4124,13287,15126,59284,121,589,456,1726,364,1481,3117,9112,4058,12915,173,579,419,853,2091,4554,2684,5988,6742,18901,594,1287,39123,112321
CED318,16266,31979,338,2041,1560,7243,730,3654,10390,40432,13020,53366,505,2054,1115,3447,2457,7662,4082,13161,17105,66532,130,640,512,1854,448,1828,4284,11961,5373,16294,219,668,727,1549,2387,5280,3328,7499,8701,23793,810,1779,42884,124077
CED319,15845,31548,235,1316,1592,7286,356,1591,10669,40294,12856,50482,811,3410,1554,5245,2737,8680,5100,17344,17952,67824,73,345,383,1301,195,661,2299,5845,2951,8155,269,860,685,1524,2578,5554,3533,7938,6481,16092,1000,2089,41278,117552
CED320,17149,34236,387,2212,1689,8061,753,3544,9352,37145,12180,50964,828,3448,1233,4064,3590,11357,5652,18867,17833,69830,136,629,552,2024,373,1372,3562,10094,4618,14120,263,842,639,1425,2376,5193,3276,7454,7893,21576,505,1052,43379,126698
CED321,17421,34354,258,1428,1462,6784,511,2256,8562,34386,10793,44854,480,1879,869,2564,2567,7830,3911,12269,14704,57130,76,332,406,1487,255,967,2736,7791,3471,10575,116,366,338,705,1794,3765,2254,4836,5720,15407,514,1063,38362,107952
CED322,15552,30835,262,1445,1500,6735,477,2143,9427,36102,11665,46424,772,3200,1450,4788,3039,9453,5258,17448,16923,63873,95,426,524,1764,211,695,2767,7144,3600,10035,296,927,842,1865,2541,5419,3683,8209,7281,18243,582,1200,40340,114147
CED323,17777,35245,158,853,1200,5425,390,1682,7832,29236,9583,37187,590,2420,1328,4367,2562,7967,4476,14758,14058,51945,59,265,437,1483,224,762,2750,6959,3465,9475,226,680,824,1772,2627,5550,3679,8003,7144,17481,742,1548,39722,106221
CED324,14024,28145,253,1556,1789,8442,310,1432,10665,40747,13017,52174,896,3750,1805,6212,2883,9127,5590,19092,18609,71265,73,367,385,1444,157,566,1968,5174,2579,7544,255,817,796,1887,2213,4810,3265,7512,5851,15057,1035,2231,39517,116698
CED325,12364,24880,495,3082,2101,10158,741,3530,11692,45811,15033,62577,1024,4385,1721,5840,3236,10371,5983,20592,21010,83170,139,730,630,2433,347,1279,3209,8995,4325,13443,382,1294,733,1668,2418,5382,3532,8350,7860,21789,786,1698,42021,131546
CED326,16472,32800,334,1953,1710,7943,624,2916,10838,41623,13509,54442,808,3351,1386,4624,3193,10106,5390,18079,18893,72523,107,488,559,2025,315,1118,3460,9454,4438,13092,285,902,688,1522,2713,5822,3689,8246,8128,21332,686,1410,44175,128068
CED327,13978,28246,530,3291,2063,10354,886,4252,12365,49255,15839,67156,1088,4683,1540,5216,3909,12681,6537,22584,22376,89736,204,1046,678,2621,449,1722,3927,11297,5254,16679,374,1258,739,1676,2953,6560,4062,9502,9316,26186,816,1758,46492,145929
CED328,14411,28354,213,1124,2029,9133,263,1147,10661,41418,13167,52824,999,4081,2324,8049,2651,8246,5974,20369,19145,73193,47,182,412,1371,92,321,1616,4107,2168,5978,231,728,802,1831,1539,3269,2571,5833,4736,11814,875,1826,39162,115185
CED329,18761,37055,259,1441,1343,6235,489,2228,7030,27833,9120,37736,478,1941,979,3082,2659,8221,4113,13246,13240,50982,84,403,451,1604,274,1002,2882,7969,3692,10974,189,610,558,1184,2220,4671,2964,6474,6654,17448,430,906,39081,106394
CED330,16183,32237,440,2524,1968,9321,808,3740,10035,40234,13250,55824,974,4083,1371,4525,3859,12237,6211,20847,19462,76666,97,455,425,1570,250,945,2562,7247,3338,10215,202,652,465,1028,1832,3973,2500,5657,5835,15871,417,899,41890,125677
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED401,15784,31081,145,829,1440,6571,191,850,9689,36171,11466,44420,833,3421,1821,6259,2321,7258,4976,16938,16442,61357,47,211,370,1308,100,357,1904,4689,2423,6564,264,848,864,1929,2102,4419,3234,7193,5659,13751,1077,2277,38955,108476
CED402,18285,36021,253,1367,1573,7236,426,1906,8165,32490,10416,42989,649,2627,1147,3677,2692,8319,4488,14618,14899,57612,75,354,425,1519,194,673,2593,7058,3295,9602,175,540,565,1214,1871,3905,2603,5657,5896,15261,465,989,39556,109875
CED403,15608,30802,197,1095,1728,7707,270,1190,9371,35745,11567,45734,1144,4705,2128,7305,3017,9371,6286,21381,17854,67115,62,253,407,1329,95,314,1780,4441,2343,6336,269,815,774,1691,2131,4464,3173,6968,5517,13300,648,1364,39637,112591
CED404,17289,33981,199,1132,1392,6339,439,1913,7457,29544,9492,38936,481,1902,928,2832,2266,6956,3684,11689,13167,50626,87,399,437,1523,240,894,2635,7409,3397,10220,174,544,501,1056,1778,3779,2456,5389,5851,15611,453,972,36765,101183
CED405,16496,32572,166,931,1361,6074,247,1083,8788,32886,10561,40972,1019,4206,1630,5664,3008,9485,5653,19350,16214,60328,42,213,321,1080,113,395,1888,4659,2372,6344,323,1017,760,1702,2477,5237,3562,7956,5933,14297,905,1899,39555,109100
CED406,15461,30590,241,1355,1515,6927,473,2075,9139,34857,11363,45210,925,3791,1395,4658,3331,10406,5649,18857,17014,64068,82,366,620,2068,263,926,3343,8812,4304,12177,344,1045,809,1759,2526,5321,3680,8122,7989,20290,535,1116,40995,116066
