CED_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
CED511,17252,33746,288,1608,1494,6773,642,2942,9472,37280,11902,48599,545,2162,905,2760,2577,7907,4025,12833,15928,61431,60,297,374,1314,252,1002,2529,7123,3212,9736,152,452,420,880,1726,3686,2301,5020,5511,14758,506,1086,39201,111029
CED512,17373,33984,438,2442,2411,11107,865,3897,13776,52625,17496,70062,1114,4570,1666,5454,3307,10245,6087,20268,23581,90333,142,686,613,2200,302,1099,3449,9597,4507,13578,336,1078,712,1593,1980,4220,3033,6887,7538,20464,534,1123,49031,145916
CED513,17188,33600,144,810,1157,5193,195,852,8851,32638,10358,39498,706,2923,1387,4747,2338,7339,4434,15010,14789,54509,43,193,265,901,103,337,1682,4147,2094,5585,197,618,609,1337,1899,4019,2707,5980,4796,11562,918,1944,37694,101614
CED514,15571,30814,180,1043,1452,6787,274,1238,9768,36750,11670,45816,841,3566,1476,5080,2630,8267,4951,16917,16622,62733,58,294,320,1094,148,517,2041,5308,2569,7221,256,802,678,1534,2254,4745,3191,7082,5763,14302,911,1968,38862,109821
CED515,16661,32843,186,1064,1231,5688,308,1389,9777,36344,11505,44477,650,2673,1291,4400,2255,7063,4200,14138,15705,58619,56,289,324,1123,134,488,1966,5170,2479,7069,255,806,695,1533,2085,4416,3025,6755,5510,13823,1451,3081,39323,108358
CED516,13446,26552,209,1149,2161,9684,268,1186,8801,33962,11436,45983,1339,5449,2348,8073,3433,10651,7121,24175,18553,70157,36,164,399,1366,103,339,1442,3797,1983,5667,283,897,692,1594,1742,3693,2714,6185,4699,11852,668,1463,37366,110020
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,10785,21276,172,938,1058,4882,276,1200,5490,21417,6995,28441,469,1904,861,2811,1761,5439,3091,10157,10089,38594,52,248,358,1290,148,532,2007,5292,2566,7362,158,474,491,1061,1490,3150,2139,4685,4704,12044,420,876,25991,72792
CED602,11517,22723,155,865,997,4650,310,1388,5084,19837,6547,26735,403,1631,762,2332,1799,5512,2963,9474,9507,36213,61,278,362,1240,149,493,2069,5550,2640,7564,152,464,434,926,1409,2946,1998,4336,4640,11898,269,556,25937,71385
CED603,10345,20336,135,737,985,4550,206,958,5509,20973,6838,27216,414,1690,1047,3445,1582,4862,3038,9990,9875,37205,55,255,369,1245,123,430,1950,5015,2504,6940,186,581,595,1259,1466,3077,2244,4918,4746,11857,489,1019,25454,70417
CED604,12182,24055,183,1017,1158,5295,294,1286,6423,24904,8053,32495,501,2068,1071,3529,1984,6114,3564,11714,11613,44210,46,188,381,1283,151,503,1951,5048,2527,7026,175,546,533,1153,1472,3119,2184,4814,4714,11840,316,666,28830,80771
CED605,13018,25729,192,1054,1053,4829,392,1761,5247,20578,6884,28226,457,1828,798,2543,2056,6367,3307,10739,10199,38961,53,226,341,1216,184,655,2102,5704,2673,7795,123,374,371,792,1458,3028,1955,4195,4628,11991,290,590,28125,77277
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,7969,16099,251,1719,872,4370,907,5398,7119,28882,9148,40368,272,1204,451,1393,1415,4740,2137,7339,11287,47708,84,499,242,962,508,2715,2266,6914,3099,11093,81,261,225,482,1198,3096,1501,3838,4596,14926,549,1427,24406,80163
CED702,10336,20301,210,1143,1144,5285,373,1714,8205,31189,9930,39332,443,1772,799,2546,1598,5036,2837,9357,12769,48691,50,224,284,1031,162,616,1797,4859,2288,6725,122,373,358,757,1236,2682,1715,3813,4007,10542,470,1013,27579,80543
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED801,19604,38589,288,1586,2164,9769,429,1868,12594,48367,15475,61588,1243,5102,2438,8121,3701,11429,7377,24649,22850,86240,78,348,505,1707,199,675,2597,6719,3376,9458,356,1084,946,2054,2572,5432,3865,8574,7243,18032,649,1351,50352,144213
CED802,19101,37754,265,1506,2274,10317,445,1961,16333,61931,19313,75712,987,4027,2124,7213,2912,9053,6020,20297,25339,96009,92,458,508,1775,178,616,2820,7272,3600,10120,314,982,825,1795,2247,4797,3392,7567,6994,17689,822,1720,52256,153174
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
