CED_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED509,29,56,195,254,318,508,931,1003,471,3757,12,33,127,152,148,129,83,92,43,825,469,829,1940,1708,1617,1395,1228,998,605,10789,4290,8992,19386,19481,20205,17209,13013,6491,2319,111393
CED510,20,12,54,62,99,229,473,540,328,1816,3,13,18,29,33,30,28,35,24,211,339,368,757,854,870,917,727,554,321,5698,4508,9184,15485,18837,21704,19171,12039,4881,1948,107745
CED511,85,89,225,275,364,709,1379,1430,681,5241,11,18,73,77,94,89,89,73,46,570,803,879,2452,2187,2561,2543,1998,1423,753,15601,4660,7815,19174,19342,22276,21521,15450,7642,2787,120671
CED512,39,44,157,234,262,461,810,779,294,3073,7,21,90,108,123,95,64,69,24,602,740,1035,2520,2349,2163,1619,1416,1019,612,13481,5863,11739,28215,26348,24897,17186,12097,5596,1690,133623
CED513,21,34,147,184,257,479,953,1326,868,4271,0,35,118,69,144,144,152,225,129,1022,431,1112,3420,1887,1551,1462,1292,1083,900,13138,3438,11039,32881,22595,19029,16355,11172,6360,3289,126155
CED514,47,84,284,371,396,663,1317,1692,795,5648,15,59,184,224,227,244,206,344,136,1641,336,591,2092,1459,1220,1110,1148,1088,756,9803,3438,9304,27512,21173,18083,15645,12255,7840,3182,118431
CED515,28,75,234,272,329,500,795,1118,689,4037,6,81,259,152,165,144,118,116,80,1125,564,1321,3285,2043,1658,1553,1396,1258,1204,14283,4811,15524,34477,22724,18601,16342,11267,6672,3731,134149
CED516,15,16,64,94,143,328,594,850,566,2672,3,8,62,60,57,89,80,93,58,507,251,351,780,712,842,827,816,992,978,6553,4161,9172,15068,17299,18823,17618,12925,7301,3977,106354
CED594,3,6,4,11,20,34,52,14,3,142,0,4,5,4,4,6,0,3,0,30,43,131,374,308,348,209,125,26,5,1570,132,503,1306,910,957,973,633,98,23,5534
CED597,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,24,16,15,8,0,0,0,72,0,20,126,126,105,43,8,3,3,429
CED601,49,80,146,165,257,493,815,988,865,3855,7,36,78,113,127,77,55,48,26,572,405,487,856,839,1050,1124,1297,900,508,7469,3204,6985,11803,11903,13656,13260,10747,5785,2552,79897
CED602,31,33,113,143,237,645,1049,1303,880,4431,6,18,23,29,55,36,38,23,17,247,329,324,648,681,1004,1229,1366,1130,533,7246,3004,5176,10090,10809,13548,13953,11443,6235,2293,76563
CED603,39,63,168,157,177,389,616,822,704,3129,11,29,73,96,123,88,64,52,27,565,322,469,990,825,951,1050,984,826,465,6886,2885,7664,14510,12687,13523,13208,9627,5507,2703,82307
CED604,35,41,69,92,175,410,630,738,587,2767,3,3,15,31,38,40,25,20,5,192,268,317,751,768,872,1023,1093,881,396,6371,2559,5065,11482,12916,14284,14880,11756,6116,2387,81448
CED605,39,26,100,104,266,730,1206,1072,637,4180,10,7,11,20,39,49,50,48,22,258,449,398,797,914,1306,1604,1657,1055,377,8559,3100,4808,9913,11330,14848,16696,13674,5927,1823,82121
CED694,3,3,0,4,9,3,3,0,0,32,0,0,0,0,0,0,0,0,0,3,10,22,44,33,37,15,18,3,0,187,48,90,183,147,135,113,84,12,3,825
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,8,23,5,15,12,7,0,0,73
CED701,502,604,1248,1183,1265,1245,928,330,82,7385,56,78,189,172,294,330,326,212,60,1733,1242,1737,3954,3166,3024,2147,1060,325,90,16741,4664,8270,19508,16547,16306,12000,5574,1660,380,84911
CED702,37,40,190,275,376,555,683,407,129,2682,4,31,72,73,87,132,95,75,31,599,563,1009,2852,1909,1643,1432,873,354,136,10774,2951,8239,23358,17964,14861,11185,5996,2126,560,87231
CED794,0,0,8,25,39,25,26,3,0,124,0,0,7,0,11,3,3,0,0,18,3,66,182,140,157,110,58,15,0,737,24,183,457,396,461,440,278,38,0,2275
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,9,0,3,30,19,9,3,0,3,0,71
CED801,31,52,115,155,254,521,851,809,468,3271,6,19,58,73,80,87,103,105,44,572,511,906,2224,1670,1620,1483,1364,1134,908,11824,6050,14620,29147,26244,26987,23291,16525,8258,3747,154874
CED802,36,65,146,208,285,583,866,813,432,3423,4,40,120,105,138,130,105,131,54,824,526,1039,2103,1634,1287,1116,924,729,497,9851,5229,16727,36999,32297,24238,18442,13133,6212,2448,155721
CED894,0,0,0,3,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,9,7,16,27,19,17,6,3,0,102,30,79,108,107,68,78,24,8,3,502
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,3,10,0,5,9,11,13,0,0,46
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
