CED_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
CED305,3,10,4,29,12,10,11,7,5,88,0,0,0,7,5,17,14,13,7,55,0,0,3,7,3,3,3,0,0,20,3,6,4,23,3,0,0,0,0,39,0,3,0,0,0,0,0,0,0,5,0,4,3,21,12,12,3,0,0,52,0,0,0,0,4,12,33,11,8,67,0,0,0,0,0,0,3,0,0,7,0,0,14,67,10,3,4,0,0,101,0,11,6,42,3,7,0,0,0,63,0,0,0,8,10,30,48,22,7,137,16,106,149,473,311,328,168,34,7,1580,0,0,0,9,3,9,10,3,3,36,3,14,7,14,3,0,0,0,0,42,0,8,7,52,26,18,0,0,0,111,13,92,69,242,54,17,7,0,0,493,0,0,0,5,0,3,3,0,0,13,0,12,5,23,26,41,43,18,5,179,0,0,0,8,7,3,3,0,0,17,0,47,71,137,98,25,13,11,0,404
CED306,0,13,5,59,11,16,15,9,3,138,0,4,15,32,14,28,99,94,49,340,0,4,22,37,3,0,0,0,0,65,4,10,37,109,7,3,0,0,0,172,0,0,0,3,0,0,0,0,0,4,0,0,7,48,10,11,3,0,0,84,0,0,0,0,3,25,42,23,9,103,0,0,0,7,4,0,0,0,0,19,0,0,0,3,3,0,0,0,0,13,0,0,0,36,3,0,0,0,0,46,0,3,3,16,25,26,63,34,3,178,16,133,182,635,420,419,228,46,8,2080,0,0,0,8,7,4,11,3,0,30,0,3,3,16,5,5,0,0,0,34,0,12,10,46,33,26,5,0,0,133,22,127,117,299,112,28,3,0,0,714,0,0,0,15,6,6,0,0,0,33,0,7,7,42,40,57,59,27,7,238,0,4,0,14,9,9,0,0,0,29,3,88,149,216,155,70,23,5,3,717
CED307,4,14,11,87,41,27,28,10,4,220,0,0,0,29,18,41,54,29,14,186,3,3,13,8,5,5,0,0,0,45,0,7,0,14,0,0,0,0,0,27,3,0,0,5,0,6,0,0,0,13,0,3,4,36,25,23,10,4,0,105,0,0,0,3,0,11,12,0,0,25,0,0,0,3,3,3,3,0,0,14,0,0,9,31,3,12,3,0,0,55,0,4,3,21,0,0,0,0,0,25,0,3,11,24,42,48,76,28,11,243,26,252,347,1055,622,415,199,52,16,2976,0,0,6,19,18,14,12,7,0,73,3,0,0,13,0,0,3,0,0,21,0,9,21,87,70,39,9,8,0,247,3,38,64,158,80,27,9,3,0,385,0,0,0,20,7,23,13,0,0,68,0,18,10,81,81,78,93,39,3,410,0,0,4,21,18,7,3,0,0,67,7,92,172,339,235,95,45,17,4,1002
CED308,0,19,14,70,32,27,16,13,3,205,0,3,3,28,23,42,71,43,14,227,3,25,22,88,51,32,25,6,3,268,10,35,61,168,76,38,15,7,4,407,0,0,3,13,11,11,13,6,3,53,3,12,35,63,48,35,25,4,0,224,0,0,0,3,6,18,27,14,5,69,0,0,0,18,13,8,14,0,3,59,0,0,0,3,0,5,0,0,0,9,0,4,3,34,0,0,0,0,0,42,0,3,6,11,32,33,104,51,23,269,83,753,1030,2545,1277,1001,736,297,66,7793,0,3,8,18,15,16,26,14,3,97,3,13,17,78,19,3,5,4,0,144,0,3,5,42,42,26,6,5,0,137,3,37,59,158,66,35,19,8,0,376,0,3,0,21,11,28,21,10,0,102,0,22,27,91,100,84,116,62,16,521,4,11,30,47,22,26,10,4,0,152,11,107,182,352,236,155,79,33,4,1167
CED309,4,22,8,59,32,22,20,16,11,197,0,7,3,21,9,34,25,31,13,147,0,10,9,14,5,0,0,0,0,41,8,8,9,64,3,0,0,0,0,95,0,0,0,0,3,0,0,0,0,9,0,6,5,29,22,17,6,0,0,86,0,0,0,0,3,8,16,14,0,46,0,0,0,4,0,4,5,3,0,26,0,0,0,4,3,0,0,0,0,11,0,0,3,28,0,0,0,0,0,36,0,6,10,33,29,50,102,74,18,321,22,196,262,899,606,618,404,173,54,3232,0,8,5,19,16,22,24,15,5,110,0,3,0,24,0,0,0,0,0,32,0,4,7,55,47,26,5,4,0,157,7,17,23,74,19,5,3,0,0,146,0,3,3,19,3,12,8,6,5,61,0,17,17,59,82,84,108,57,19,457,0,3,3,9,14,7,3,3,0,46,7,63,120,242,161,115,62,38,4,803
CED310,4,23,10,42,24,17,34,14,13,179,0,8,3,26,14,17,44,34,18,161,3,9,8,17,7,3,3,3,0,50,3,7,15,48,0,0,0,0,0,83,0,0,0,4,3,7,0,0,0,13,0,3,5,18,16,10,7,3,3,71,0,0,0,0,3,10,21,11,0,47,0,0,0,5,7,7,3,0,0,21,0,0,0,3,0,3,0,7,0,17,0,6,4,53,0,3,0,0,0,69,0,7,6,23,40,51,83,61,21,289,26,188,264,828,522,564,445,184,58,3082,0,3,3,10,9,17,23,18,3,94,0,3,0,4,3,0,3,0,0,12,0,10,11,49,33,19,3,8,0,139,4,21,21,51,16,6,4,3,0,120,0,0,3,17,3,8,10,6,4,52,3,18,23,55,60,62,114,62,15,416,3,7,0,13,4,4,0,3,0,39,3,45,72,198,113,72,44,27,9,582
CED311,3,7,4,39,16,6,11,9,0,101,3,0,6,13,4,8,30,17,3,90,0,0,0,3,0,0,0,0,0,6,0,5,17,64,3,0,0,0,0,91,0,0,0,4,0,0,0,0,0,3,0,6,3,25,17,10,0,0,0,65,0,0,0,0,3,6,15,3,0,24,0,0,0,0,8,0,3,0,0,13,0,0,10,29,5,0,0,0,0,48,0,0,4,28,0,0,0,0,0,32,0,0,4,12,14,42,73,30,6,177,22,172,216,701,471,452,249,54,4,2336,0,0,0,3,10,4,3,4,0,24,0,7,5,18,0,0,0,0,0,30,0,13,11,44,29,11,3,0,0,116,16,146,87,253,98,19,4,3,0,631,0,0,0,3,0,13,13,0,3,35,0,6,11,32,42,57,52,24,0,214,0,0,0,5,4,4,6,0,0,22,0,66,97,176,153,50,17,3,0,561
CED312,0,11,13,62,25,21,28,12,4,178,0,0,8,7,14,33,54,26,9,143,0,10,17,25,14,4,7,0,0,81,4,21,25,75,28,13,6,3,0,174,0,0,3,15,12,12,9,0,0,49,0,4,19,43,29,27,17,10,3,156,0,3,0,4,3,9,16,7,0,47,0,0,3,9,5,6,6,3,0,42,0,3,13,12,10,4,0,3,0,45,0,3,8,16,8,0,0,0,0,26,0,3,8,26,26,52,111,56,19,296,97,815,1093,2619,1186,797,443,137,35,7233,0,3,0,13,18,16,23,9,0,86,4,17,15,39,8,9,7,0,0,90,3,20,18,82,53,42,11,11,0,241,9,50,68,159,70,36,19,3,3,413,0,4,0,29,10,29,17,3,3,102,0,17,30,54,76,93,103,52,20,449,0,12,9,29,10,15,12,0,0,74,0,42,122,265,160,101,64,21,4,774
CED313,4,23,19,397,52,22,26,10,10,566,3,12,34,110,21,38,64,67,32,378,5,23,58,123,25,9,6,0,0,247,5,17,122,347,32,18,4,3,0,543,0,0,0,17,17,8,7,9,0,58,3,16,116,174,47,37,14,3,0,410,0,0,0,0,3,4,3,4,0,19,0,0,0,18,0,3,0,0,0,27,0,0,9,20,4,4,5,0,0,43,3,4,91,224,11,0,0,0,0,331,7,11,10,58,25,33,27,19,3,187,26,113,259,1184,478,339,156,41,3,2603,0,0,4,53,12,7,9,4,0,91,4,10,20,79,5,3,0,0,0,121,3,10,23,89,64,31,6,5,0,238,10,25,40,203,41,17,8,0,0,341,0,0,3,44,17,22,9,3,3,107,6,15,12,157,88,93,43,28,11,456,3,19,41,84,13,7,3,3,0,188,4,23,81,343,97,47,18,10,0,622
CED314,0,3,7,35,10,19,10,18,3,102,0,4,0,8,8,10,21,12,8,71,0,13,8,6,0,0,0,0,0,32,4,10,13,67,4,0,0,0,0,101,0,0,0,0,0,3,3,0,0,6,6,8,13,47,26,18,0,5,0,114,0,0,0,3,3,3,8,0,0,18,0,0,0,3,0,3,0,0,0,6,0,0,4,0,0,0,0,0,0,6,0,9,17,101,4,0,0,0,0,137,0,0,4,13,13,33,48,35,16,173,3,73,106,326,208,193,110,36,19,1068,0,0,0,6,5,10,11,3,3,35,5,22,28,51,10,0,0,0,0,123,0,3,37,48,58,16,3,4,0,174,8,60,56,161,49,20,0,0,0,352,0,0,0,10,0,4,0,4,0,23,0,0,3,16,26,39,57,32,6,181,3,11,7,31,17,11,3,3,0,86,6,41,70,123,84,53,30,21,0,427
