CED_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
CED315,0,7,6,61,21,13,14,8,4,131,0,10,4,28,14,22,46,50,20,199,0,3,6,7,6,3,0,0,0,27,0,4,8,63,10,0,0,0,0,84,0,0,0,0,3,0,0,0,0,7,5,3,11,49,45,24,7,4,0,145,0,0,0,0,3,7,14,4,0,24,0,3,0,12,6,0,4,0,0,16,0,6,6,22,8,0,7,0,0,42,0,8,6,35,0,0,0,0,0,55,0,3,3,21,19,35,56,20,4,161,20,110,185,579,340,346,178,66,9,1829,0,0,4,9,6,7,19,4,3,52,0,4,3,30,3,3,0,0,0,42,4,36,78,124,71,44,13,4,0,365,6,88,101,187,90,30,5,9,0,511,0,0,5,7,3,6,7,0,4,30,0,9,12,42,37,67,61,34,7,273,0,6,4,23,15,11,0,3,0,59,0,27,98,120,66,48,15,9,0,390
CED316,0,10,6,19,15,14,23,16,7,111,0,0,10,30,11,17,51,75,23,222,0,0,12,11,0,3,0,0,0,34,0,5,19,60,4,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,5,8,39,19,5,5,0,0,75,0,0,0,3,4,18,30,18,3,81,0,0,0,5,3,4,6,4,0,19,0,0,0,12,0,0,7,0,0,19,0,0,4,51,3,0,0,0,0,56,0,0,3,14,16,46,148,78,26,337,12,95,90,327,285,358,381,147,27,1720,0,3,0,5,5,13,17,16,3,60,3,3,0,27,0,0,0,0,0,37,0,6,11,17,17,19,5,3,0,81,4,39,23,60,11,12,3,0,0,155,0,0,0,3,3,7,12,7,3,32,0,3,7,22,48,71,127,73,14,362,0,4,3,8,5,0,3,0,0,24,3,35,37,76,67,55,39,23,0,332
CED317,0,3,3,33,17,15,31,8,5,112,0,0,11,38,13,79,201,285,145,774,5,9,13,38,0,0,3,0,0,73,0,0,24,53,4,3,3,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,9,9,7,0,55,0,0,0,3,3,8,23,12,7,56,0,0,3,8,3,0,0,0,0,16,0,0,0,3,0,0,0,0,0,12,0,0,0,17,0,0,0,0,0,21,0,0,3,17,17,43,77,36,13,200,22,115,137,460,342,358,227,61,4,1726,0,4,0,4,3,4,6,7,0,37,0,4,3,12,3,3,0,0,0,26,4,32,41,111,66,60,14,7,0,336,11,70,53,136,62,16,8,3,3,352,0,0,0,5,3,6,6,0,0,24,0,0,11,14,19,39,74,18,5,183,0,0,0,5,3,3,0,0,0,16,4,23,20,89,44,25,13,3,0,223
CED318,0,18,9,65,37,35,34,5,3,203,0,8,22,86,44,37,76,73,28,364,8,66,59,212,97,26,21,4,0,489,8,17,68,295,29,5,0,0,0,433,0,0,0,4,0,0,8,0,0,9,8,8,13,50,29,26,9,5,0,148,0,0,3,0,7,12,18,4,0,44,0,3,0,3,9,9,12,4,3,39,0,3,5,35,3,3,0,0,0,55,5,62,64,31,6,0,0,0,0,165,0,6,5,54,48,74,90,37,5,326,15,144,198,704,545,526,319,85,13,2554,0,3,0,13,13,13,20,7,0,75,0,3,3,20,3,4,0,0,0,34,20,160,175,294,184,110,42,8,0,988,14,67,71,220,75,45,15,3,3,504,0,0,0,31,9,19,9,3,3,80,3,11,18,82,77,89,58,30,4,368,0,3,6,9,18,6,3,0,0,55,3,32,50,126,79,51,28,13,0,381
CED319,6,18,18,153,47,28,22,14,12,315,3,3,3,45,45,76,142,152,79,546,10,16,17,27,15,7,0,0,0,89,0,22,41,134,20,9,0,0,0,226,0,3,0,12,8,3,3,0,0,21,12,9,26,88,46,38,30,10,3,257,0,5,3,4,7,4,7,12,3,35,0,0,7,4,6,0,3,0,0,28,0,4,22,77,27,10,3,4,0,146,3,19,52,157,9,0,0,0,0,244,0,4,5,30,19,23,45,25,8,173,35,213,326,1175,517,408,216,58,20,2976,0,3,3,26,16,9,14,8,3,76,0,7,18,48,3,3,0,0,0,81,0,24,76,96,73,44,20,16,0,357,14,88,118,327,154,59,18,7,0,795,0,0,3,30,3,28,17,6,6,93,0,14,17,70,68,63,58,43,14,343,0,9,19,48,13,10,0,3,0,104,3,30,56,218,76,46,37,12,0,476
CED320,0,9,3,45,18,22,28,22,3,151,0,4,3,10,9,11,44,40,20,140,0,6,14,16,3,0,0,0,0,46,4,0,55,153,5,4,0,0,0,224,0,0,0,3,7,0,3,0,0,15,0,0,0,20,22,22,3,3,0,70,0,0,3,3,3,17,19,12,0,53,0,0,0,7,7,9,5,3,0,36,0,0,3,7,0,3,0,0,0,19,0,3,0,0,0,0,0,0,0,4,0,4,3,18,24,50,127,64,19,304,27,300,418,1109,642,527,375,139,39,3584,0,0,0,9,15,18,21,18,0,73,0,0,3,6,0,0,4,0,0,21,7,19,38,75,49,33,8,4,0,233,3,45,49,111,45,18,10,4,0,290,0,0,5,8,6,18,13,8,3,61,0,6,13,46,78,75,105,53,11,379,0,0,0,7,12,3,3,0,0,31,5,45,71,144,95,58,39,13,0,480
CED321,0,0,3,42,18,10,18,3,3,105,0,0,0,6,3,25,62,39,16,156,0,0,3,0,0,0,0,0,0,9,0,0,20,43,3,0,0,0,0,66,0,0,0,3,0,3,3,3,0,12,0,3,0,18,7,6,0,3,0,40,0,0,0,0,0,7,15,8,0,24,0,3,0,3,0,0,0,0,0,3,0,0,0,9,4,0,0,0,0,11,0,3,0,22,0,3,0,0,0,27,0,0,0,14,13,41,76,31,12,188,7,39,63,250,224,254,200,71,3,1107,0,0,0,5,5,11,8,3,0,33,0,0,0,16,0,0,0,0,0,12,4,5,10,16,24,11,5,3,0,70,9,98,73,219,78,7,4,0,0,500,0,0,0,5,0,0,4,3,4,22,0,3,3,22,12,25,48,16,15,141,0,3,0,4,3,3,0,0,0,15,3,27,35,96,53,33,17,3,0,270
CED322,0,27,8,66,28,29,29,26,14,227,0,0,9,26,23,34,45,50,22,216,3,59,50,128,61,28,19,4,0,360,5,38,45,70,38,14,4,0,0,214,0,0,0,13,9,8,8,5,3,44,0,13,39,51,33,40,19,9,0,209,0,0,0,0,0,12,39,29,6,84,0,0,3,10,16,3,4,4,0,45,0,0,0,3,0,0,4,0,0,5,0,0,0,16,0,0,0,0,0,19,0,5,11,18,28,27,90,52,22,252,22,295,488,1472,844,691,455,193,56,4524,0,3,4,13,12,11,21,9,0,80,0,3,0,20,3,0,0,0,0,26,0,8,13,47,25,19,8,3,0,127,6,20,50,90,45,21,20,7,0,256,0,3,0,16,7,18,23,17,12,102,0,25,15,79,74,81,91,64,27,459,3,6,8,29,16,14,8,0,0,81,8,79,144,303,154,133,64,25,8,927
CED323,0,7,15,107,27,17,28,19,13,235,0,12,22,92,32,51,118,94,39,469,10,58,107,289,89,56,59,16,3,689,9,42,157,383,96,42,23,14,0,758,0,0,3,4,25,9,9,5,3,56,0,11,18,87,46,38,9,6,3,234,0,0,0,3,0,12,21,10,3,53,0,3,3,17,9,13,5,0,4,46,0,0,5,5,0,0,3,4,0,22,0,7,79,153,3,0,0,0,0,239,0,0,3,30,27,41,85,69,27,283,39,278,618,2007,962,903,678,258,62,5809,0,0,3,30,11,13,16,9,4,86,0,4,13,33,6,0,3,0,0,54,0,4,17,46,43,23,4,3,0,137,6,39,54,206,68,31,12,4,0,426,0,0,3,34,12,38,28,27,11,155,0,14,16,59,69,72,115,61,18,419,3,6,15,36,10,23,13,11,0,109,5,29,86,225,107,91,73,38,6,650
CED324,3,7,3,87,17,18,25,4,3,173,3,3,5,51,13,25,48,37,11,195,4,20,32,84,21,12,6,0,0,194,29,96,286,998,167,70,33,17,0,1699,0,0,6,18,11,11,9,3,0,53,10,42,122,355,122,122,79,33,3,883,0,0,0,0,3,0,12,0,0,20,0,0,3,9,6,0,0,0,0,27,0,7,12,32,3,9,12,4,3,77,0,4,14,84,3,0,0,0,0,106,0,0,6,33,17,21,52,29,14,163,34,208,370,854,394,293,142,56,8,2360,0,0,0,14,15,16,12,9,0,71,18,50,111,379,41,23,0,3,0,626,0,25,54,101,72,48,31,22,11,353,9,56,113,254,106,59,19,8,3,624,0,3,5,36,14,21,13,12,4,99,3,8,5,65,52,67,47,41,23,314,8,13,25,98,27,18,16,3,0,208,6,19,103,219,88,81,41,16,4,576
CED325,0,9,12,67,25,27,15,13,0,168,0,5,3,19,17,23,32,31,16,147,0,12,17,16,9,7,0,0,0,62,3,16,47,114,42,14,9,7,0,246,0,0,0,12,16,14,9,4,3,59,3,23,31,135,53,61,47,16,7,380,0,0,0,4,0,14,18,8,3,47,0,0,0,10,0,6,9,0,0,27,0,4,12,45,9,11,8,3,0,91,0,6,10,58,3,9,0,0,0,84,0,5,6,29,23,54,96,39,16,269,90,683,915,1864,701,466,213,49,11,5008,0,6,0,19,18,16,30,8,0,99,3,8,16,63,13,5,3,0,0,107,0,20,21,66,27,21,9,0,0,161,9,94,128,336,167,73,18,7,3,824,0,4,4,36,17,38,21,10,15,143,3,17,14,71,94,97,68,46,10,423,3,19,25,48,29,28,13,3,0,163,3,65,137,278,161,94,57,15,4,822
CED326,6,19,16,86,30,16,24,23,10,225,0,3,0,24,16,36,76,60,19,237,3,12,8,22,11,3,3,0,0,62,3,13,6,70,10,10,3,0,0,110,0,0,0,3,0,4,6,0,0,18,0,4,20,62,26,23,16,0,3,161,0,0,0,4,3,4,18,10,0,40,0,3,3,14,0,3,7,0,3,37,0,0,4,13,8,5,0,3,0,35,0,13,15,100,11,0,0,0,0,135,0,4,5,19,23,39,88,55,19,253,65,586,702,1629,799,581,362,143,43,4900,0,4,3,23,18,19,25,14,7,107,0,5,4,41,7,3,0,0,0,67,3,17,32,98,65,38,14,3,0,279,17,101,148,360,160,63,24,3,0,879,0,0,0,15,6,19,14,3,5,66,5,22,21,80,84,90,100,75,18,496,3,14,11,32,17,13,7,3,0,95,10,128,156,345,232,91,57,18,5,1046
CED327,0,11,6,59,25,17,26,6,5,150,0,0,5,9,20,16,37,32,17,137,0,12,10,28,13,4,3,0,0,69,19,61,83,353,105,34,7,3,0,665,0,6,4,42,32,16,15,10,0,123,25,50,74,242,93,72,51,15,0,623,0,0,0,3,0,8,13,13,0,34,0,0,0,4,4,10,6,0,0,31,3,48,115,302,74,39,31,6,0,618,0,0,3,28,3,0,0,0,0,33,0,3,3,14,21,42,67,35,16,192,136,930,1274,2364,933,728,368,70,22,6827,0,0,0,7,8,10,22,5,3,58,17,78,84,262,65,31,13,0,0,553,3,24,35,101,103,70,39,18,3,398,8,68,128,338,149,87,37,3,0,820,0,0,3,26,22,38,22,3,3,113,0,10,14,37,82,83,69,35,12,344,0,14,23,72,28,34,16,3,0,186,4,43,121,192,157,106,55,12,3,686
CED328,3,36,17,159,47,33,36,13,7,342,0,6,13,51,18,22,35,31,19,200,6,27,52,54,19,8,14,0,0,177,7,60,101,138,50,9,10,3,0,378,0,0,0,9,3,0,3,3,0,30,13,33,317,200,68,70,50,36,0,789,0,0,0,0,5,0,3,3,0,12,0,3,3,13,4,10,4,0,0,40,0,0,0,17,7,3,3,0,0,35,0,8,22,96,3,3,0,0,0,133,3,11,9,43,54,40,66,27,10,255,16,153,246,685,377,286,157,59,16,1989,0,6,7,29,21,17,16,9,0,106,3,12,12,59,6,0,0,0,0,94,0,18,39,74,75,39,8,13,0,269,0,26,47,105,25,14,3,5,0,232,0,8,4,39,14,23,5,3,12,102,0,36,33,107,128,80,71,40,13,505,4,34,237,182,22,18,13,6,0,510,10,135,316,489,307,202,103,29,5,1604
CED329,3,3,3,21,14,17,24,11,5,98,0,0,6,28,16,19,24,21,8,117,0,4,3,13,0,3,3,0,0,30,3,0,4,17,0,0,0,0,0,28,0,0,0,0,5,0,0,0,0,12,0,4,3,12,13,12,6,0,0,49,0,0,0,0,3,4,27,3,0,37,0,0,0,0,3,4,4,3,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,9,0,7,6,21,31,55,111,70,15,317,3,89,94,417,374,438,404,153,26,1999,0,0,0,3,6,4,15,11,0,42,0,0,0,0,0,5,0,0,0,9,0,3,9,31,35,31,5,5,0,108,3,16,19,39,6,3,3,0,0,92,0,0,0,0,0,7,8,4,7,33,0,6,5,31,36,78,95,53,14,318,0,7,4,6,13,5,7,0,0,33,0,21,46,90,78,57,58,26,7,382
CED330,0,12,12,47,21,27,26,13,0,150,0,0,4,15,8,27,35,16,7,111,0,14,23,30,10,11,3,3,0,92,4,3,24,101,4,5,4,0,0,148,0,0,0,3,3,0,5,0,0,11,0,0,12,15,21,20,6,4,0,90,0,0,0,0,8,17,21,6,0,48,0,0,0,7,5,6,5,0,0,23,0,3,6,27,0,0,0,3,0,44,0,0,0,3,0,0,0,0,0,9,0,6,9,36,46,72,116,52,14,348,9,180,306,1045,742,571,360,104,12,3329,0,0,0,4,9,10,13,11,0,55,3,0,0,15,3,3,0,0,0,24,0,12,9,53,38,40,11,3,0,160,0,17,15,54,6,10,8,0,0,102,0,0,6,23,14,11,6,3,3,67,3,4,18,57,89,76,81,28,7,357,0,3,18,17,10,8,4,0,0,65,0,38,85,138,146,78,38,16,3,539
CED394,0,0,6,12,0,0,0,0,0,15,0,0,19,19,3,0,0,0,0,43,0,0,4,5,0,0,0,0,0,11,0,0,3,18,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,0,17,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,6,0,0,4,9,4,5,23,3,0,46,0,5,15,80,46,74,67,10,0,300,0,0,0,4,0,0,3,0,0,9,0,0,0,6,0,0,0,0,0,9,0,0,0,7,7,3,0,0,0,23,3,0,4,6,0,0,0,0,0,15,0,0,0,8,0,0,0,0,0,6,0,0,3,13,3,11,13,4,0,46,0,0,0,0,0,0,0,0,0,7,0,0,3,17,10,0,3,0,0,33
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED401,3,5,4,69,27,17,20,15,3,167,7,5,14,74,73,163,275,328,144,1090,9,12,31,56,7,8,7,3,0,133,4,43,93,196,33,9,3,0,0,388,0,4,6,25,11,16,15,6,0,83,6,27,408,364,55,46,44,16,7,973,0,0,0,7,8,16,24,12,8,77,0,0,0,11,0,0,0,0,0,15,0,17,14,60,6,3,0,0,0,108,0,22,20,163,8,0,0,0,0,212,0,3,7,21,18,44,69,26,4,185,4,49,69,210,126,122,77,31,14,702,0,0,0,16,11,16,22,5,3,76,25,69,83,287,30,7,4,7,0,512,0,0,3,26,18,6,4,0,3,73,6,49,62,227,57,26,9,9,0,464,0,5,3,65,21,57,31,12,23,213,0,12,16,49,72,127,78,36,15,402,4,21,107,126,29,22,19,0,0,317,3,14,51,99,44,32,21,5,4,270
CED402,0,3,0,20,8,8,12,8,0,53,0,4,13,17,23,49,55,108,43,306,0,3,0,6,0,0,0,0,0,12,0,4,18,24,0,0,0,0,0,41,0,0,0,4,6,5,4,0,0,18,0,7,4,25,7,13,0,0,0,56,0,0,0,0,0,9,3,0,0,13,0,0,0,0,0,0,0,0,0,4,0,6,16,54,16,8,3,0,0,105,0,0,0,6,0,0,0,0,0,6,0,0,8,17,18,63,151,57,17,322,5,47,65,201,162,123,76,27,3,719,0,0,3,0,3,10,9,6,3,37,3,13,9,35,8,0,0,0,0,70,0,0,0,3,11,4,0,0,0,18,7,88,58,203,31,6,0,0,0,399,0,0,0,3,0,3,7,7,5,28,0,7,9,17,46,71,69,54,8,280,0,0,0,6,3,0,0,0,0,13,0,20,28,54,40,18,10,6,7,180
CED403,0,18,13,80,34,26,32,17,8,223,0,3,7,18,31,66,127,109,38,399,0,6,15,19,4,5,3,0,0,61,0,31,53,76,23,6,0,4,0,188,0,3,3,13,16,23,18,8,4,95,4,26,45,104,59,49,40,13,3,335,0,0,0,0,0,16,10,11,3,42,0,0,0,4,0,0,0,0,0,8,0,0,0,12,0,3,3,3,0,19,0,14,14,129,8,3,3,0,0,166,0,7,3,23,34,67,113,73,22,352,7,24,29,191,117,106,67,31,4,580,0,0,4,10,11,22,21,14,3,89,11,19,29,71,16,12,0,3,0,158,0,7,6,20,16,7,3,5,0,60,0,34,54,112,45,20,3,3,0,269,0,0,6,52,41,60,41,15,18,226,0,16,37,99,111,126,133,54,32,610,5,16,26,58,13,19,15,4,0,161,4,57,76,127,96,48,28,14,3,446
CED404,0,3,4,18,10,13,18,17,3,78,0,0,0,6,12,23,67,71,22,197,0,3,0,0,0,0,0,0,0,8,0,0,3,12,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,3,0,20,9,4,0,3,0,37,0,0,0,0,0,9,8,5,0,26,0,0,0,0,0,0,3,0,0,8,0,0,0,3,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,5,0,4,0,10,9,58,123,53,14,272,0,24,33,149,106,113,78,18,3,513,0,0,0,4,8,25,20,11,0,66,4,8,0,19,0,0,0,0,0,32,0,0,3,9,7,4,0,0,0,26,6,51,42,102,50,16,0,0,0,260,0,0,0,4,3,14,7,14,7,47,0,5,0,28,87,106,114,71,19,429,0,0,0,0,0,4,0,0,0,9,0,36,29,79,57,17,11,5,0,231
CED405,0,15,11,92,28,32,22,23,6,239,0,4,14,73,93,199,431,440,177,1431,3,5,14,21,6,3,0,0,0,56,0,19,29,50,19,3,0,0,0,125,0,5,4,19,6,23,9,12,7,80,3,18,76,151,46,30,27,5,0,355,0,0,0,3,3,19,54,13,4,100,0,0,0,3,4,3,3,5,0,20,0,0,7,12,0,0,0,0,0,20,5,10,49,246,5,5,0,0,0,333,3,3,8,17,12,30,67,39,12,192,8,24,44,204,110,93,56,23,3,558,0,0,0,11,10,13,17,10,4,75,12,35,43,138,20,5,0,3,0,250,0,0,0,16,10,11,0,0,0,40,9,44,81,231,75,27,12,8,3,502,0,3,7,45,21,62,43,14,25,216,3,18,16,89,96,121,98,53,18,500,0,14,8,42,18,17,10,0,3,110,0,22,48,108,52,27,20,5,0,287
CED406,0,16,3,53,32,33,36,21,6,194,0,0,3,17,24,41,68,52,14,210,0,3,3,3,3,0,0,0,0,20,0,5,13,17,3,0,0,0,0,44,0,0,7,15,23,18,5,11,0,78,0,7,14,27,15,17,19,0,0,91,0,0,0,0,4,10,22,6,0,46,0,0,0,3,0,3,3,0,3,16,0,0,0,0,0,3,0,0,0,5,0,0,0,11,0,0,0,0,0,13,0,10,8,22,27,88,157,61,24,397,9,23,36,265,149,141,89,20,0,729,0,4,7,19,25,23,36,22,3,144,0,11,25,40,23,13,0,0,0,120,0,3,0,22,12,7,0,0,0,50,6,42,56,104,37,31,10,3,3,288,0,5,5,63,50,79,61,14,4,283,0,37,56,137,158,204,152,117,27,895,3,7,3,20,9,5,3,0,0,58,0,54,78,146,100,32,26,7,4,455
CED407,3,6,4,28,17,21,38,23,13,152,0,0,3,28,50,153,222,144,72,668,3,0,8,6,3,3,0,0,0,30,0,18,21,91,28,0,0,0,0,162,0,3,9,42,25,21,21,7,0,127,3,22,35,121,36,26,24,6,0,274,0,0,0,6,8,31,42,32,11,126,0,0,3,0,3,5,0,0,0,16,0,8,22,31,9,0,0,3,0,77,0,18,18,66,0,0,0,0,0,110,0,3,5,16,23,58,134,50,19,302,3,42,40,163,84,92,48,16,6,483,0,4,0,10,17,30,36,28,6,127,11,57,25,117,13,0,0,0,0,224,0,0,4,18,8,4,0,0,0,34,11,63,83,204,85,36,16,4,0,509,0,0,10,67,47,87,51,26,11,297,3,3,21,65,119,144,157,101,26,646,0,11,6,28,6,6,4,0,0,65,3,30,61,95,66,37,24,7,0,318
CED408,0,12,7,22,25,21,27,17,6,137,0,0,3,13,20,60,109,69,22,290,0,11,0,11,5,3,0,0,0,22,0,5,10,4,0,0,0,0,0,16,0,0,0,3,6,3,0,0,0,12,0,9,8,22,18,23,11,5,0,96,0,0,0,0,3,14,14,8,0,34,0,0,0,4,0,0,0,0,0,4,0,0,3,0,0,0,0,0,3,6,0,0,0,3,6,0,0,0,0,7,0,4,3,19,36,104,185,71,18,443,0,29,36,146,146,146,89,35,3,633,0,3,3,7,13,21,21,18,3,89,0,0,0,0,0,0,0,0,0,3,0,0,0,15,18,11,3,0,0,46,3,19,26,38,15,3,0,0,0,102,0,0,0,18,11,18,9,3,7,73,0,18,9,50,74,100,139,48,25,471,0,7,3,9,10,3,7,7,0,44,0,25,53,65,54,59,30,9,0,309
CED409,0,8,12,32,13,25,21,10,4,145,0,7,9,53,83,206,319,404,183,1267,0,3,3,9,5,0,0,0,0,21,0,3,6,33,3,0,3,0,0,48,3,3,6,21,12,16,16,7,0,87,8,32,34,88,16,12,8,0,0,199,0,0,0,0,11,22,38,28,7,106,0,0,0,7,0,0,0,0,0,10,0,26,46,109,30,9,4,0,0,224,10,56,93,74,8,0,0,0,0,239,0,0,7,17,18,48,74,35,9,201,5,44,69,222,130,101,56,10,3,638,0,3,3,5,15,15,25,8,0,84,18,81,36,122,14,0,0,0,0,272,0,0,0,14,16,4,4,0,0,40,13,122,187,479,176,81,13,0,3,1074,0,3,6,85,42,112,66,49,39,408,0,6,16,43,86,113,101,62,21,454,0,9,7,15,8,9,8,0,0,51,0,10,26,64,21,20,11,4,0,160
CED410,3,11,5,32,20,27,24,16,8,146,3,10,23,96,164,476,796,936,309,2812,3,12,19,33,9,0,6,3,0,90,10,95,131,229,109,37,3,3,0,619,3,7,4,34,22,36,29,19,9,163,8,78,142,314,133,90,140,45,7,965,0,0,0,3,6,11,21,14,4,64,0,0,0,5,3,0,0,0,0,15,0,4,0,6,3,5,0,0,0,15,0,9,14,107,0,3,0,0,0,132,0,3,9,19,22,27,84,54,18,237,8,40,58,146,82,78,64,16,12,501,0,0,0,14,12,17,23,5,5,80,11,41,28,96,16,8,0,0,0,200,0,3,0,8,10,8,3,0,0,32,7,48,56,161,45,21,5,4,0,354,0,3,6,59,32,61,42,29,29,263,3,9,16,42,60,73,93,59,30,378,11,44,43,84,31,27,32,13,3,288,3,29,47,87,76,47,27,7,3,328
