CED_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
CED111,9576,15044,4154,377,29150,6094,1114,36357,592,339,395,37,1370,1408,166,2946,1005,909,761,59,2739,1747,312,4794,1595,1248,1158,100,4107,3156,484,7739,924,579,549,71,2130,2385,445,4956,586,286,244,44,1161,1400,391,2953,1260,420,260,71,2009,1398,477,3891,3,3,7,0,10,11,5,27,2774,1291,1060,185,5310,5195,1320,11821,34,16,17,8,66,123,7,194,0,0,6,0,9,15,0,19,0,0,0,0,0,4,0,4,38,51,39,3,124,73,23,222,71,66,61,8,202,213,28,443,105,49,25,3,182,205,15,408,14122,17694,6456,675,38950,14860,2956,56765
CED112,11491,15904,6424,461,34274,8053,1247,43577,1112,324,517,45,1998,2495,123,4606,504,418,518,23,1465,1004,120,2591,1615,738,1033,69,3460,3492,243,7194,430,139,264,26,857,1349,73,2275,110,35,71,3,226,257,30,512,189,64,86,7,347,298,23,672,4,4,3,0,14,18,0,31,733,244,426,33,1442,1926,127,3496,40,9,19,0,69,154,13,238,15,12,19,0,40,41,3,85,0,6,3,0,7,9,0,10,26,44,29,0,104,27,3,136,79,74,70,0,219,231,21,472,44,37,20,6,102,146,3,246,13960,16991,7972,573,39504,13845,1642,54982
CED113,14744,14640,4355,316,34052,9864,920,44839,652,338,273,20,1280,1702,99,3086,490,273,230,30,1023,883,93,1996,1133,610,509,52,2307,2583,189,5079,319,174,175,16,679,1303,111,2091,113,82,30,4,231,330,35,593,188,125,61,12,382,534,46,964,5,7,0,0,12,8,0,16,622,388,263,32,1303,2168,195,3664,37,14,7,0,52,116,0,169,71,27,16,0,105,161,13,279,23,16,9,0,45,48,3,95,33,22,14,3,69,46,3,121,166,71,37,5,278,362,20,660,162,113,38,7,320,215,19,556,16826,15817,5205,411,38259,15196,1339,54799
CED114,16161,15692,5544,444,37841,12645,1370,51859,681,323,367,38,1412,2552,209,4168,81,35,44,3,162,274,37,466,760,358,410,44,1567,2823,246,4633,422,251,208,31,915,1522,135,2571,13,9,0,0,25,58,3,84,7,0,0,0,4,21,0,31,3,0,0,0,6,6,0,11,442,262,214,34,948,1613,141,2698,56,9,10,0,81,151,9,240,88,12,8,0,112,149,20,283,12,10,0,0,25,22,0,41,58,50,13,7,128,66,17,208,205,91,35,9,336,389,47,773,99,85,29,3,213,139,12,367,17668,16488,6228,527,40912,17603,1816,60325
CED115,5601,14881,5253,588,26320,3671,581,30568,173,334,292,23,828,420,18,1267,695,1822,1178,107,3793,890,132,4819,868,2157,1463,128,4620,1316,155,6088,351,589,456,56,1459,948,93,2500,978,1595,999,136,3708,1628,280,5613,594,1003,489,67,2143,643,132,2920,13,29,19,3,67,37,9,112,1935,3224,1962,256,7377,3256,513,11149,0,3,0,0,3,3,0,3,0,0,0,0,3,0,0,3,0,0,3,0,6,4,0,11,38,95,42,11,181,54,15,257,43,101,47,11,194,65,15,273,30,46,31,5,106,56,9,172,8473,20397,8755,993,38617,8360,1274,48247
CED116,17617,12960,5521,368,36459,11466,1184,49112,645,173,258,29,1111,1589,81,2781,471,167,206,6,845,752,61,1660,1119,338,468,35,1958,2336,143,4440,375,132,215,21,735,1264,69,2074,37,11,6,0,51,68,3,123,71,0,3,0,80,135,3,215,0,3,3,0,3,19,0,19,482,143,221,26,876,1482,75,2431,80,21,24,3,124,202,8,336,255,33,24,9,322,488,12,823,5,6,0,0,9,15,0,23,20,20,14,0,52,22,8,80,359,76,68,11,508,723,32,1263,111,79,34,0,228,166,26,423,19689,13599,6302,437,40037,16171,1462,57667
CED117,3059,5316,1450,197,10023,2181,945,13148,2809,3628,911,159,7507,2370,920,10801,2534,3213,801,115,6663,1793,861,9317,5347,6843,1709,276,14174,4161,1781,20121,1779,960,562,127,3421,3075,828,7323,2377,1287,622,157,4443,3518,886,8847,1766,799,310,89,2962,2262,513,5728,77,36,28,7,150,122,35,311,5999,3074,1525,378,10972,8975,2266,22216,0,0,0,0,4,3,0,5,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,5,255,155,89,27,518,285,186,986,257,154,89,27,523,289,182,996,89,57,16,3,169,179,37,387,14753,15450,4785,882,35869,15784,5213,56867
CED118,7397,19183,4365,474,31407,4882,899,37187,966,2474,542,42,4019,838,87,4941,1047,3219,794,77,5135,897,139,6175,2007,5692,1338,121,9156,1730,226,11113,153,289,80,5,529,362,22,909,79,156,46,8,287,73,14,370,556,747,170,35,1512,432,88,2027,8,7,3,0,14,20,0,35,790,1195,301,53,2341,885,119,3345,0,0,3,0,4,0,0,3,8,3,8,0,22,49,0,70,7,5,0,0,16,11,0,24,15,26,7,6,55,16,9,75,28,38,20,6,94,76,8,176,34,77,18,0,131,59,10,198,10256,26173,6046,651,43128,7628,1263,52020
CED119,8941,19339,3325,316,31924,3919,407,36256,284,352,175,11,826,469,18,1315,893,1381,671,41,2986,920,101,4015,1179,1738,845,53,3811,1395,127,5327,273,187,135,7,597,718,35,1347,783,479,370,40,1673,1155,139,2973,298,172,98,11,578,334,43,953,11,8,3,0,16,6,0,21,1358,842,603,67,2865,2217,211,5293,5,0,0,0,9,7,0,18,6,12,7,0,26,53,3,88,0,0,0,0,0,3,0,3,20,24,15,0,64,28,6,97,37,36,28,0,102,94,14,208,20,26,12,3,67,38,5,112,11538,21982,4806,441,38763,7665,759,47189
CED120,13046,18920,5162,379,37509,7909,822,46231,482,152,170,21,823,1189,38,2048,129,127,123,6,382,266,23,670,613,274,292,26,1206,1456,59,2718,84,26,54,5,176,444,24,635,18,3,4,0,26,82,3,106,4,0,0,0,4,0,0,4,4,0,3,0,8,6,0,16,108,27,60,4,210,527,21,758,21,13,5,0,43,89,0,133,17,9,5,0,28,49,4,81,11,22,4,4,44,23,0,64,29,28,8,0,56,40,0,96,81,65,19,10,169,203,3,381,59,61,18,0,137,81,9,225,13909,19346,5551,426,39229,10176,912,50315
