CED_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
CED314,2003,880,1051,1930,853,965,1813,873,955,1832,887,898,1780,4473,4882,9356,782,902,1689,836,895,1728,746,860,1603,811,858,1667,780,813,1592,3958,4329,8285,732,844,1582,736,861,1599,723,740,1466,692,814,1502,819,823,1638,3701,4089,7791,676,674,1350,583,748,1333,597,633,1231,527,645,1175,473,610,1085,2852,3317,6171,514,510,1027,464,503,971,388,519,908,380,458,838,363,484,845,2111,2483,4595,1471,1977,3440,828,1407,2237,345,662,1008,58,191,246,8,14,23,72144,76722,148866
CED315,2025,994,949,1944,894,939,1833,914,979,1892,818,845,1659,4587,4764,9351,783,855,1636,794,796,1586,720,754,1476,801,790,1589,738,702,1444,3833,3895,7730,744,714,1460,690,704,1395,664,677,1340,666,593,1264,678,667,1348,3447,3357,6799,548,480,1023,486,530,1015,441,441,878,404,460,857,377,437,808,2251,2339,4590,370,414,780,328,357,688,304,347,651,287,333,619,235,311,540,1522,1760,3282,896,1201,2095,557,793,1345,155,349,504,45,84,133,3,9,12,79638,80362,159998
CED316,2015,908,1047,1951,918,1000,1918,952,1092,2039,947,1064,2012,4639,5298,9933,926,1089,2011,949,1100,2052,964,1084,2045,1025,1058,2083,1047,1124,2170,4916,5452,10370,1057,1133,2184,986,1161,2150,1151,1121,2277,1134,1162,2295,1183,1322,2501,5508,5900,11405,1021,1052,2071,1082,1014,2100,1015,937,1951,829,900,1730,861,823,1680,4806,4721,9528,761,868,1633,740,702,1444,654,720,1378,618,630,1248,585,632,1221,3363,3555,6916,2142,2291,4428,1097,1429,2524,361,675,1039,69,163,238,13,16,28,68723,72991,141716
CED317,2278,1219,1054,2277,1137,1108,2246,1066,1070,2134,1093,1012,2100,5680,5348,11030,1090,1016,2104,1043,989,2038,999,991,1996,1029,964,1992,1011,841,1853,5170,4805,9978,1021,878,1896,991,904,1894,995,779,1779,851,846,1700,973,856,1823,4831,4259,9095,778,661,1438,779,705,1491,781,651,1433,636,591,1228,614,641,1257,3594,3246,6843,589,537,1125,543,471,1012,492,484,978,467,440,905,436,383,821,2523,2318,4842,1568,1520,3089,803,1015,1817,247,455,706,56,93,151,10,17,29,79306,76089,155394
CED318,2378,1165,1233,2398,1116,1192,2309,1174,1140,2314,1108,1028,2136,5766,5768,11532,1048,1089,2136,1008,987,2001,996,1059,2058,1028,880,1914,942,879,1826,5034,4896,9929,973,857,1828,879,755,1634,822,766,1592,840,787,1626,802,714,1520,4323,3875,8198,719,659,1380,626,537,1165,586,565,1149,521,473,991,463,412,881,2908,2657,5561,407,387,791,368,381,750,374,300,674,313,297,612,274,310,586,1738,1680,3418,1029,1087,2115,516,782,1301,179,371,550,29,110,134,4,11,12,87018,88427,175449
CED319,1971,890,946,1836,882,888,1774,796,899,1693,783,833,1613,4300,4594,8895,817,883,1695,769,802,1563,694,813,1509,717,788,1505,724,741,1465,3717,4023,7743,681,710,1389,620,687,1307,638,641,1281,608,718,1323,635,710,1346,3175,3470,6648,516,591,1109,496,604,1103,456,585,1040,463,540,1004,446,537,979,2373,2856,5229,417,521,937,391,484,872,386,525,911,330,450,778,315,465,778,1834,2445,4276,1359,1997,3352,917,1558,2474,370,806,1169,62,212,278,7,32,41,75537,79842,155375
CED320,2030,1003,1009,2009,885,1049,1939,934,991,1928,908,978,1886,4708,5085,9799,913,940,1850,913,1013,1920,861,994,1855,922,1042,1963,965,992,1958,4577,4978,9552,914,1021,1933,922,997,1916,938,944,1878,907,939,1844,970,969,1938,4645,4861,9504,858,830,1694,805,824,1628,690,735,1421,670,684,1358,632,666,1300,3660,3740,7407,556,519,1074,542,517,1050,481,512,996,450,429,887,402,404,805,2425,2382,4811,1353,1521,2875,824,1018,1844,286,467,755,46,134,184,0,17,18,79019,81576,160594
CED321,2195,1025,1024,2047,1059,1046,2103,1052,1044,2091,1063,1030,2089,5290,5243,10525,1040,1032,2074,1013,963,1975,980,892,1874,1035,1033,2062,1007,972,1976,5070,4887,9958,1080,923,2001,1029,951,1986,1000,886,1888,1010,901,1906,1031,919,1952,5148,4575,9726,849,739,1590,845,861,1706,735,720,1455,672,674,1348,675,645,1317,3774,3636,7412,648,557,1203,608,599,1214,535,524,1059,456,478,937,459,458,919,2709,2618,5326,1635,1748,3379,852,1209,2065,291,528,824,69,143,216,11,16,31,75110,74157,149266
CED322,2078,867,1019,1887,917,1031,1946,844,1054,1898,848,1014,1864,4415,5253,9671,849,912,1753,815,950,1766,835,974,1813,779,918,1699,778,909,1687,4059,4665,8720,842,900,1739,790,884,1677,789,816,1605,852,859,1713,865,887,1756,4141,4351,8492,668,764,1438,650,721,1365,598,710,1308,518,602,1122,517,575,1089,2958,3371,6325,511,540,1049,440,509,949,492,531,1028,479,464,934,362,443,803,2290,2482,4768,1516,1876,3387,960,1508,2460,417,797,1210,101,178,279,3,24,25,72748,78829,151581
CED323,2158,916,1017,1934,974,1034,2009,878,1036,1914,933,992,1925,4721,5214,9940,940,997,1939,841,931,1777,855,945,1801,862,965,1831,888,897,1784,4389,4736,9132,873,945,1821,875,978,1859,876,973,1852,957,851,1807,913,1006,1918,4502,4758,9256,819,893,1710,756,867,1624,717,785,1508,613,648,1261,648,650,1294,3555,3845,7397,575,664,1243,546,623,1167,531,555,1088,467,504,974,453,484,937,2565,2839,5406,1655,1943,3592,977,1477,2449,430,773,1209,83,203,290,8,23,28,78597,82137,160734
