CED_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED497,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
CED501,58662,59658,118314,2874,3146,6026,253,202,450,268,215,480,239,242,477,101,90,191,8482,8953,17433,38,44,85,81,81,169,22,33,56,3,0,6,9487,9866,19347,837,915,1749,173,155,327,13364,14086,27443,8748,7060,15809,80769,80798,161566
CED502,63845,64425,128269,2059,2193,4256,127,133,267,113,91,202,115,116,225,55,53,103,8271,8489,16764,10,9,22,34,25,55,12,4,20,3,0,3,8749,8914,17665,1294,1594,2889,179,162,339,12278,12873,25148,7099,5721,12816,83221,83019,166235
CED503,53413,55037,108449,2273,2576,4849,121,134,254,114,111,219,164,162,328,43,45,86,7511,8079,15588,32,49,83,40,49,96,3,3,7,0,0,3,8029,8642,16676,521,564,1086,160,165,323,10984,11952,22934,6824,6064,12890,71221,73050,144270
CED504,58778,59772,118549,1551,1633,3187,80,108,181,76,84,159,86,78,167,32,38,67,5874,5854,11728,5,7,16,19,16,35,7,11,18,3,0,7,6182,6196,12382,843,979,1825,119,133,252,8703,8946,17646,4867,4523,9395,72346,73237,145586
CED505,50721,53904,104625,2250,2374,4618,257,271,531,226,255,477,173,178,350,69,68,135,7101,7558,14660,20,20,34,43,40,83,27,29,53,3,6,4,7918,8414,16339,2015,2162,4176,105,115,217,12288,13063,25348,5803,5917,11720,68805,72878,141683
CED506,65257,56529,121780,6297,6244,12539,477,313,786,409,291,704,1074,539,1614,196,125,317,8118,6839,14957,90,70,154,209,184,401,17,14,29,10,6,19,10593,8393,18981,833,802,1633,523,489,1013,18243,15924,34164,13955,9421,23368,97446,81868,179315
CED507,54499,56163,110665,3705,4082,7781,91,97,191,101,118,217,151,137,284,35,47,80,5632,6094,11728,20,26,45,43,55,100,3,6,6,7,9,14,6085,6587,12669,585,666,1247,151,155,311,10526,11491,22012,6955,6404,13362,71981,74053,146030
CED508,54440,57003,111445,1751,1788,3537,160,165,327,128,148,280,150,157,312,54,65,117,7478,7963,15446,25,41,65,48,41,92,27,29,55,3,0,3,8082,8611,16687,1082,1196,2281,139,157,297,11053,11758,22805,6344,6195,12545,71834,74955,146794
CED509,55364,55336,110696,1596,1550,3146,73,71,147,89,91,182,83,95,184,50,44,93,6238,6300,12537,11,16,26,49,40,91,5,13,23,4,3,5,6606,6682,13282,782,960,1739,173,146,319,9158,9331,18487,7467,5250,12718,71989,69913,141903
