CED_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
CED309,0,118,..,7,0,7,0,7,..,13,0,13,3,15,..,26,4,31,3,33,..,64,4,69,0,73,..,53,4,60,0,67,..,20,0,20,0,20,..,19,3,22,0,22,..,116,0,119,0,121,..,68,0,72,3,69,..,157,3,157,3,162,..,40,0,40,0,40,..,378,8,391,9,392,..,192,10,206,0,206,..,14,0,14,0,14,..,171,32,205,0,204,..,7,0,13,0,13,..,46,15,61,0,66,..,735,99,832,24,853,..,4027,389,4421,67,4493,..,198,12,211,4159,4367,70780,4228,407,4631,4228,79645,136631,..,..,..,..,136631,..,524,4,528,3,532,..,90,15,109,0,109,..,28,0,32,0,32,..,123,27,152,0,150,..,277,87,365,10,381,..,14,3,21,0,21,..,413,119,539,12,546,..,44,4,48,0,52,..,366,5,371,0,370,..,424,16,441,0,444,..,859,31,881,3,887
CED310,0,83,..,8,0,9,0,9,..,9,0,9,0,9,..,15,0,15,0,15,..,50,0,54,0,53,..,57,6,68,0,67,..,8,0,8,0,8,..,4,0,5,0,5,..,82,3,87,0,87,..,50,7,54,0,54,..,135,5,141,0,141,..,20,0,24,3,20,..,286,12,301,3,307,..,144,15,154,0,153,..,10,0,10,0,10,..,131,19,147,0,147,..,3,0,6,0,4,..,49,10,62,3,64,..,682,76,754,23,775,..,3364,350,3718,50,3768,..,154,5,168,3952,4116,64536,3520,358,3883,4004,72424,125255,..,..,..,..,125255,..,284,0,284,0,288,..,58,8,64,0,64,..,6,0,6,0,6,..,100,44,145,4,150,..,289,107,398,3,399,..,12,7,13,0,13,..,403,151,560,7,564,..,51,4,56,0,56,..,346,7,351,0,350,..,370,11,383,3,384,..,658,19,677,8,680
CED311,0,83,..,3,0,3,0,3,..,13,0,13,0,13,..,17,0,23,0,23,..,25,0,33,0,33,..,42,7,53,0,53,..,11,0,11,0,11,..,12,0,16,0,16,..,262,16,283,8,288,..,32,3,40,0,40,..,379,23,405,8,407,..,51,0,46,0,46,..,721,44,771,14,784,..,90,15,104,4,111,..,60,12,69,0,67,..,115,16,126,0,128,..,5,0,5,0,5,..,48,49,104,0,106,..,628,80,704,27,733,..,3243,455,3697,59,3757,..,183,18,200,6016,6213,65599,3428,470,3899,6068,75568,134403,..,..,..,..,134403,..,640,3,644,3,647,..,107,16,119,4,124,..,121,7,128,15,137,..,56,26,79,0,79,..,250,149,404,3,408,..,6,15,18,0,20,..,315,188,496,4,505,..,38,4,36,0,36,..,115,3,119,0,117,..,122,10,131,0,131,..,260,9,266,3,270
CED312,0,219,..,22,3,20,0,20,..,28,0,31,0,27,..,49,19,67,0,73,..,126,11,135,0,133,..,149,21,169,0,174,..,506,26,530,8,540,..,105,20,119,0,119,..,231,15,240,3,246,..,90,9,95,0,95,..,377,14,390,0,389,..,60,8,64,0,67,..,754,37,788,6,794,..,331,44,372,3,374,..,53,3,60,0,60,..,115,16,136,0,136,..,110,20,135,0,135,..,158,95,252,0,253,..,2198,519,2714,47,2760,..,7952,1423,9378,116,9494,..,246,28,276,4778,5053,69828,8201,1456,9651,4895,84380,137686,..,..,..,..,137686,..,475,9,486,3,486,..,437,166,601,3,610,..,39,4,41,0,42,..,295,110,409,3,413,..,909,368,1278,9,1287,..,64,22,87,0,90,..,1273,500,1778,9,1791,..,191,24,214,4,219,..,297,10,308,4,308,..,309,16,322,4,332,..,513,15,528,10,547
CED313,6,703,..,23,4,24,0,24,..,9,0,9,0,9,..,238,46,288,5,291,..,163,16,180,0,185,..,242,22,262,0,262,..,42,0,42,0,42,..,109,26,136,0,140,..,190,5,198,3,197,..,121,3,123,0,125,..,294,4,302,0,302,..,86,5,83,0,83,..,693,14,708,3,712,..,906,131,1038,3,1042,..,110,16,126,0,125,..,279,79,362,0,362,..,52,6,60,0,60,..,517,173,686,0,688,..,1814,307,2115,45,2165,..,13048,2060,15108,122,15230,..,172,26,201,4805,5011,59720,13224,2091,15309,4926,79957,118345,..,..,..,..,118345,..,265,4,274,4,277,..,625,95,714,7,721,..,23,0,23,0,23,..,1150,215,1366,8,1375,..,2795,527,3324,20,3336,..,131,49,174,0,176,..,4076,786,4861,32,4887,..,144,19,158,0,157,..,247,6,255,3,257,..,807,35,842,9,853,..,697,22,713,4,716
CED314,3,102,..,3,0,3,0,3,..,4,0,4,0,4,..,60,11,74,0,74,..,24,0,28,0,26,..,32,4,36,3,39,..,18,3,19,0,19,..,20,0,16,0,16,..,207,9,217,7,218,..,35,0,35,0,35,..,246,4,250,4,257,..,52,4,54,0,54,..,540,17,556,5,562,..,107,16,125,0,125,..,47,3,49,0,49,..,59,7,66,0,71,..,6,0,6,0,6,..,40,13,60,0,60,..,1060,331,1393,19,1407,..,4198,820,5018,62,5082,..,177,15,195,4746,4939,66698,4378,838,5215,4806,76722,129025,..,..,..,..,129025,..,418,5,426,4,434,..,703,171,878,7,879,..,63,0,62,0,62,..,145,50,193,3,193,..,623,249,873,14,884,..,45,11,52,0,52,..,807,306,1114,16,1127,..,34,3,39,0,39,..,126,8,136,0,136,..,177,16,188,0,188,..,246,13,264,5,266
CED315,0,100,..,0,0,0,0,6,..,9,0,9,0,9,..,33,3,36,0,36,..,36,4,34,0,34,..,52,7,61,0,60,..,28,3,32,0,33,..,15,0,15,0,15,..,259,15,276,0,276,..,64,9,75,0,75,..,454,17,471,7,476,..,77,0,79,0,79,..,863,47,905,6,912,..,175,12,184,0,186,..,65,3,70,0,76,..,120,21,141,0,141,..,7,0,7,0,7,..,109,46,146,0,153,..,1523,322,1843,50,1898,..,5305,737,6044,95,6142,..,165,22,187,5193,5378,68844,5476,758,6230,5294,80362,136657,..,..,..,..,136657,..,333,0,335,0,332,..,195,24,220,4,220,..,443,23,467,32,494,..,240,61,298,3,300,..,376,93,473,3,473,..,22,3,27,0,27,..,642,156,798,10,804,..,37,5,39,0,38,..,116,3,121,0,121,..,254,18,267,5,271,..,449,14,466,7,471
CED316,4,76,..,4,0,4,0,4,..,18,3,19,3,20,..,12,0,12,0,12,..,28,3,26,0,26,..,40,0,37,0,37,..,14,0,14,0,14,..,8,0,9,0,9,..,149,3,151,6,158,..,27,4,33,0,33,..,205,12,211,0,216,..,43,3,44,0,44,..,414,23,438,3,444,..,60,7,69,3,68,..,31,0,33,0,33,..,97,16,114,0,112,..,47,6,54,0,54,..,54,39,95,0,93,..,512,92,602,17,617,..,2903,476,3378,51,3429,..,193,10,202,4698,4896,64663,3097,484,3579,4747,72991,125712,..,..,..,..,125712,..,248,9,260,3,257,..,73,3,78,3,84,..,56,0,57,0,57,..,102,47,143,0,143,..,302,188,485,0,488,..,24,8,31,0,33,..,429,239,664,0,669,..,45,5,48,0,48,..,236,8,242,3,245,..,208,16,217,3,218,..,499,14,514,13,527
CED317,0,49,..,0,0,0,0,0,..,31,4,36,3,35,..,8,0,8,0,8,..,32,3,31,0,35,..,25,3,28,0,28,..,42,3,45,3,43,..,10,0,6,0,9,..,262,13,275,8,281,..,46,3,46,0,50,..,261,9,275,5,278,..,65,3,67,0,67,..,636,29,659,16,677,..,61,13,78,0,80,..,26,3,28,0,28,..,86,20,101,3,103,..,4,0,4,0,4,..,24,14,35,0,39,..,1001,179,1179,45,1225,..,4774,785,5561,171,5735,..,239,22,262,6528,6792,63569,5008,807,5819,6701,76089,129373,..,..,..,..,129373,..,203,3,208,0,208,..,16,0,19,0,19,..,737,47,785,131,915,..,78,28,109,3,109,..,194,107,302,7,308,..,8,4,7,0,7,..,284,137,420,12,426,..,91,14,106,0,109,..,172,7,180,0,177,..,170,30,198,0,199,..,496,17,511,4,514
CED318,0,514,..,3,0,4,0,4,..,19,0,19,0,19,..,35,3,39,0,39,..,64,7,74,0,74,..,80,12,85,0,85,..,58,3,64,3,68,..,32,0,34,3,32,..,274,6,277,4,278,..,110,10,122,0,119,..,534,22,555,0,557,..,103,3,101,3,103,..,1009,45,1051,14,1062,..,203,20,220,7,225,..,45,0,45,0,45,..,272,51,325,3,329,..,15,0,19,0,19,..,117,40,160,0,160,..,2950,518,3469,79,3544,..,14534,2300,16832,351,17181,..,289,65,352,7956,8310,62936,14821,2367,17187,8307,88427,126306,..,..,..,..,126306,..,269,7,276,3,284,..,121,16,139,7,147,..,9013,1110,10128,400,10523,..,402,114,518,3,518,..,922,270,1195,10,1210,..,75,31,101,0,105,..,1402,414,1816,16,1829,..,98,9,109,4,116,..,401,17,417,6,422,..,576,42,625,6,627,..,1104,30,1137,8,1148
CED319,4,329,..,32,3,37,0,37,..,23,0,28,0,28,..,163,35,203,0,201,..,133,19,150,10,157,..,99,25,121,3,121,..,241,9,253,6,257,..,28,4,28,0,28,..,398,8,406,3,406,..,122,15,137,0,137,..,664,22,678,9,685,..,112,4,113,0,120,..,1290,52,1340,9,1347,..,441,50,488,0,489,..,134,20,157,0,157,..,186,42,231,10,240,..,18,3,21,0,21,..,182,59,244,0,244,..,1785,375,2156,49,2208,..,10529,1600,12128,165,12289,..,167,19,188,3909,4098,63459,10693,1623,12312,4071,79842,124397,..,..,..,..,124397,..,251,3,257,0,257,..,286,43,334,8,338,..,74,13,84,0,86,..,848,247,1097,7,1104,..,1396,298,1691,3,1699,..,97,27,122,0,122,..,2337,575,2906,11,2916,..,91,14,101,0,102,..,173,12,189,9,195,..,398,14,417,0,417,..,483,13,497,12,504
CED320,0,154,..,4,0,4,0,4,..,22,0,22,0,22,..,12,3,10,0,10,..,71,8,76,0,75,..,49,8,52,0,52,..,313,23,342,8,348,..,17,4,24,0,24,..,191,5,199,3,199,..,47,9,52,0,52,..,318,21,341,9,347,..,57,3,54,0,54,..,609,33,645,10,652,..,132,17,148,0,148,..,13,0,15,0,15,..,101,19,121,3,119,..,11,0,12,0,12,..,71,41,109,3,112,..,771,137,907,31,934,..,3846,776,4622,92,4714,..,222,14,239,5013,5255,71605,4072,795,4865,5110,81576,140950,..,..,..,..,140950,..,350,7,360,0,357,..,118,20,146,5,148,..,53,4,54,5,58,..,150,90,231,3,233,..,326,375,698,5,707,..,24,20,42,3,42,..,501,481,973,10,991,..,66,8,71,0,71,..,255,7,267,3,266,..,240,14,256,6,255,..,387,9,395,4,401
CED321,0,50,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,10,0,10,..,22,6,24,0,29,..,25,0,25,0,25,..,11,0,13,0,13,..,17,4,19,0,19,..,247,11,257,3,255,..,9,0,13,0,13,..,295,10,306,0,304,..,43,4,45,0,42,..,592,19,619,3,619,..,64,11,78,0,78,..,13,0,9,0,9,..,47,8,55,0,55,..,7,0,3,0,3,..,44,44,91,5,92,..,327,55,384,16,400,..,2210,364,2578,43,2625,..,213,27,236,5620,5858,65681,2423,392,2818,5660,74157,131785,..,..,..,..,131785,..,326,4,334,0,332,..,49,4,51,0,51,..,58,3,56,3,60,..,58,30,88,0,93,..,180,123,303,6,305,..,7,13,19,0,19,..,250,161,409,5,415,..,41,5,52,0,51,..,97,3,103,0,101,..,95,6,102,4,106,..,262,10,273,0,273
CED322,0,271,..,52,4,52,0,57,..,49,0,48,0,48,..,71,5,76,0,76,..,148,20,165,0,165,..,122,19,144,3,145,..,18,0,19,0,19,..,122,27,145,0,149,..,152,0,152,3,159,..,99,4,103,4,102,..,250,6,262,0,258,..,65,3,65,0,65,..,563,14,577,10,588,..,386,36,419,6,427,..,32,0,31,0,31,..,200,52,248,0,250,..,51,8,60,0,60,..,81,17,96,4,98,..,1258,131,1389,15,1406,..,7312,1083,8397,92,8483,..,192,18,214,4811,5023,65318,7508,1107,8609,4900,78829,126477,..,..,..,..,126477,..,346,3,349,0,352,..,229,11,248,0,248,..,23,0,27,0,27,..,722,236,953,7,962,..,1681,471,2152,13,2165,..,72,19,94,0,94,..,2478,727,3205,20,3225,..,210,18,228,0,228,..,266,10,273,4,272,..,581,36,616,7,625,..,542,12,554,13,568
CED323,6,837,..,42,3,51,0,51,..,36,0,36,0,32,..,142,18,167,0,164,..,186,18,208,0,207,..,271,39,308,3,311,..,55,0,52,0,52,..,153,26,179,0,179,..,275,9,286,0,286,..,125,9,131,3,134,..,377,12,389,0,386,..,68,5,81,0,81,..,851,40,889,3,886,..,578,79,655,8,665,..,31,0,35,0,35,..,322,97,421,0,421,..,41,3,51,0,51,..,182,47,229,0,230,..,1876,226,2106,41,2143,..,11941,2295,14236,129,14365,..,245,24,272,6769,7043,60724,12193,2323,14513,6898,82137,119556,..,..,..,..,119556,..,236,6,240,0,246,..,692,123,811,6,821,..,12,0,18,4,18,..,859,266,1129,12,1134,..,2740,922,3659,22,3684,..,183,69,254,0,256,..,3776,1260,5040,29,5074,..,355,49,404,9,408,..,271,3,275,0,276,..,744,36,776,11,794,..,743,20,769,9,773
CED324,11,1849,..,39,9,49,0,49,..,6,0,6,0,6,..,196,70,264,5,268,..,156,13,169,0,169,..,188,42,224,3,226,..,149,9,156,0,157,..,263,65,332,4,330,..,263,8,269,0,271,..,305,33,340,0,343,..,442,14,456,3,463,..,122,3,124,0,125,..,1137,60,1192,7,1204,..,587,83,667,3,668,..,241,30,274,0,273,..,211,49,261,3,264,..,51,3,57,0,57,..,1092,468,1558,8,1568,..,2547,714,3256,78,3336,..,22870,6432,29301,236,29535,..,156,47,204,3846,4042,46123,23026,6473,29497,4084,79706,92076,..,..,..,..,92076,..,167,3,168,0,170,..,1188,280,1467,9,1475,..,28,0,28,0,28,..,4160,1324,5486,23,5514,..,12559,4641,17199,65,17265,..,581,277,854,9,857,..,17299,6243,23537,92,23633,..,255,44,299,5,303,..,202,6,206,3,206,..,421,25,444,8,452,..,442,22,459,4,465
CED325,0,329,..,32,11,46,0,46,..,17,0,13,0,19,..,281,64,345,0,342,..,160,24,183,0,186,..,134,17,150,0,152,..,1893,166,2061,31,2092,..,193,31,228,0,224,..,339,10,347,0,353,..,135,10,147,0,150,..,591,16,607,10,615,..,105,8,114,0,114,..,1169,47,1220,12,1225,..,661,125,781,3,780,..,356,46,400,3,399,..,139,30,171,7,180,..,26,4,36,0,36,..,3854,2636,6486,43,6534,..,3310,942,4252,105,4355,..,18154,5229,23382,272,23650,..,190,42,225,4905,5130,53052,18338,5271,23608,5176,81842,105391,..,..,..,..,105391,..,428,4,436,6,438,..,1020,215,1240,12,1253,..,63,0,69,3,70,..,822,242,1062,5,1071,..,1946,655,2598,19,2622,..,117,50,173,0,173,..,2886,942,3830,24,3857,..,116,26,140,0,140,..,275,7,286,0,284,..,380,22,403,4,404,..,447,8,458,5,463
CED326,0,161,..,17,0,19,0,19,..,32,0,32,0,34,..,151,16,165,0,165,..,90,10,99,0,99,..,133,14,147,0,147,..,539,28,572,3,576,..,42,5,49,0,49,..,406,14,413,7,419,..,91,4,97,3,103,..,650,10,663,5,670,..,85,0,84,3,85,..,1228,30,1259,17,1279,..,319,33,357,3,354,..,93,6,98,0,98,..,153,29,181,3,182,..,21,4,20,0,20,..,94,31,123,0,128,..,1707,252,1955,47,2004,..,8836,1043,9881,120,10004,..,227,18,243,4611,4849,69848,9061,1064,10123,4733,84709,135101,..,..,..,..,135101,..,729,16,743,4,748,..,248,52,297,4,303,..,59,0,64,0,64,..,470,148,620,4,621,..,900,283,1183,7,1186,..,74,25,102,0,102,..,1447,452,1902,5,1909,..,91,12,104,0,104,..,218,3,218,3,221,..,360,22,380,3,381,..,446,19,466,4,469
CED327,6,890,..,103,5,110,0,110,..,20,3,19,3,25,..,153,69,223,7,225,..,116,20,138,3,140,..,115,6,127,0,127,..,1601,117,1718,30,1745,..,310,56,363,4,364,..,483,8,491,3,495,..,223,30,251,4,256,..,623,22,650,6,650,..,133,3,134,3,144,..,1460,71,1535,15,1551,..,564,95,658,3,663,..,177,27,208,0,205,..,187,35,226,4,228,..,89,17,99,0,105,..,542,244,788,3,792,..,4967,1859,6820,145,6972,..,20884,5488,26373,309,26684,..,247,64,309,4954,5263,58602,21126,5555,26681,5261,90544,116601,..,..,..,..,116601,..,300,3,299,0,300,..,1741,426,2160,26,2188,..,50,0,50,3,55,..,2495,764,3255,23,3276,..,6546,2432,8979,45,9016,..,330,146,476,0,471,..,9372,3335,12710,63,12769,..,443,63,511,3,509,..,149,0,151,3,155,..,289,14,303,4,312,..,349,8,360,4,359
CED328,7,468,..,48,6,50,0,50,..,5,0,5,0,5,..,286,26,308,0,308,..,143,3,145,0,141,..,190,24,219,0,219,..,18,0,18,0,18,..,47,8,53,0,53,..,108,0,108,3,107,..,354,29,380,3,384,..,174,5,183,0,183,..,349,6,356,3,357,..,986,39,1022,6,1035,..,649,73,719,9,727,..,190,4,192,0,197,..,187,30,217,0,217,..,21,0,25,0,25,..,312,49,362,0,362,..,1320,166,1487,38,1522,..,11975,1359,13335,109,13443,..,157,13,169,3277,3440,62539,12125,1369,13497,3388,79422,123541,..,..,..,..,123541,..,656,4,665,3,669,..,360,107,470,3,473,..,18,0,18,0,18,..,1293,175,1469,7,1473,..,4830,702,5534,26,5559,..,305,80,386,0,382,..,6426,958,7381,34,7414,..,53,7,67,0,67,..,346,12,354,3,353,..,788,29,813,11,823,..,983,31,1009,10,1020
CED329,0,21,..,7,0,10,0,10,..,11,0,11,0,11,..,3,0,3,0,3,..,39,3,45,0,44,..,28,4,37,0,40,..,4,0,4,0,7,..,9,0,9,0,9,..,118,0,120,0,120,..,37,10,42,4,45,..,170,10,180,0,182,..,45,3,43,0,47,..,366,18,388,8,393,..,104,4,108,0,111,..,12,0,13,0,13,..,96,17,108,0,108,..,0,0,0,0,0,..,31,21,50,0,50,..,418,70,488,16,498,..,2504,224,2728,40,2772,..,165,10,175,4908,5081,64917,2667,234,2902,4944,72763,128228,..,..,..,..,128228,..,191,7,195,0,196,..,26,3,31,0,33,..,87,4,87,0,87,..,63,14,81,4,78,..,143,46,190,4,194,..,10,3,16,0,16,..,220,69,286,3,292,..,37,4,45,0,45,..,233,3,235,3,241,..,312,11,328,0,331,..,693,15,712,3,721
CED330,3,137,..,6,0,6,0,6,..,17,0,18,0,23,..,9,0,9,0,9,..,64,10,72,3,75,..,85,12,92,0,92,..,60,3,67,0,68,..,28,6,34,0,34,..,92,3,90,4,93,..,60,9,67,6,76,..,118,3,117,3,122,..,39,3,36,0,36,..,302,13,316,11,330,..,149,13,161,0,159,..,20,0,20,0,20,..,83,9,96,0,96,..,12,5,12,0,12,..,94,47,140,0,141,..,800,167,975,9,981,..,3760,677,4439,46,4493,..,184,11,196,5181,5380,68617,3947,689,4638,5235,78484,136827,..,..,..,..,136827,..,336,3,338,0,341,..,170,58,232,0,228,..,49,0,49,0,49,..,214,29,241,0,246,..,549,291,838,11,852,..,33,22,54,0,54,..,792,341,1130,14,1147,..,108,7,116,0,120,..,269,4,273,0,273,..,231,13,247,0,251,..,565,18,584,0,579
CED394,0,25,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,6,0,6,0,6,..,12,0,12,0,12,..,11,0,11,0,11,..,4,0,6,0,6,..,39,0,41,0,41,..,35,0,35,0,35,..,3,0,7,0,7,..,5,3,9,0,12,..,0,0,0,0,0,..,11,6,23,0,23,..,106,20,130,3,132,..,514,136,650,5,657,..,10,0,10,966,979,3934,528,136,658,978,5572,8697,..,..,..,..,8697,..,13,0,13,0,17,..,18,3,16,0,18,..,28,3,29,0,29,..,29,9,41,0,46,..,130,90,214,0,216,..,8,7,13,0,13,..,167,101,271,3,275,..,3,0,3,0,3,..,43,0,48,0,48,..,99,8,112,0,108,..,72,4,79,0,80
CED397,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,3,0,3,8,15,56,15,0,15,8,87,110,..,..,..,..,110,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
CED401,0,460,..,18,0,24,0,24,..,48,7,52,0,52,..,346,123,470,4,475,..,312,62,369,0,376,..,202,45,249,0,249,..,0,0,0,0,0,..,192,43,234,0,238,..,213,7,221,6,225,..,136,7,142,0,142,..,293,7,300,3,303,..,207,3,212,0,216,..,846,26,874,9,886,..,415,56,470,6,472,..,204,12,220,3,223,..,212,45,254,3,259,..,48,0,52,0,52,..,1298,494,1792,10,1807,..,2380,824,3203,72,3273,..,19896,4600,24500,245,24739,..,173,68,241,4263,4503,53133,20074,4664,24740,4504,82378,105154,..,..,..,..,105154,..,133,0,133,0,133,..,1113,261,1370,17,1383,..,133,10,142,3,145,..,1940,494,2433,22,2454,..,6396,1641,8037,41,8080,..,491,222,714,3,719,..,8827,2359,11190,65,11251,..,369,59,427,3,426,..,200,0,201,0,201,..,496,23,524,3,522,..,613,26,637,3,637
