CED_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
CED302,0,5,6,28,43,43,88,59,6,13,15,4,18,3,12,347,3,21,64,29,68,214,578,835,180,215,257,273,315,165,144,3366,0,0,23,53,0,22,29,9,0,0,0,0,0,0,5,151,0,8,19,16,0,6,6,8,0,0,0,3,0,0,4,80,0,0,10,28,63,338,203,103,16,22,9,5,9,13,5,824,0,124,70,59,48,45,67,57,7,11,7,3,9,3,14,528,4,97,145,60,20,10,15,9,3,8,3,0,0,0,16,396,0,3,3,33,74,234,148,98,12,25,26,24,33,18,22,754,0,19,20,76,48,135,363,1003,147,136,161,174,160,89,82,2611,0,9,15,5,19,46,128,60,9,8,15,5,13,3,11,355,0,6,0,0,19,48,44,129,37,35,54,11,12,3,12,419,0,0,0,0,0,6,36,19,3,0,8,5,0,0,0,72,0,11,28,49,44,72,106,186
CED303,5,0,18,42,34,63,73,29,4,11,11,3,3,0,5,307,3,11,29,7,8,45,110,104,9,32,26,19,32,16,14,467,0,4,28,72,6,9,20,7,0,3,0,0,0,0,3,156,0,7,10,13,0,9,6,9,0,0,0,0,0,0,0,63,0,0,7,23,33,78,75,41,7,3,10,3,4,4,3,296,0,195,103,85,112,53,71,58,9,3,6,4,7,3,19,734,0,14,31,25,10,4,5,0,0,0,3,6,0,0,0,92,0,5,0,17,21,31,17,18,5,7,0,3,0,0,3,133,0,15,14,40,20,45,104,249,33,21,26,41,21,14,32,676,0,25,13,13,18,6,51,8,0,4,0,0,0,8,4,163,0,3,0,0,11,21,16,8,3,10,6,0,0,0,0,73,0,0,0,0,0,0,9,0,0,0,4,7,0,0,0,22,5,15,23,59,41,54,61,79
CED304,0,3,11,51,71,68,97,157,41,48,51,53,58,32,16,756,3,8,21,23,50,178,325,510,155,189,307,497,610,370,214,3459,0,3,23,20,3,15,19,3,0,0,0,3,0,0,0,97,0,5,4,0,3,4,3,14,0,3,3,8,9,9,0,83,0,3,15,19,47,84,64,36,12,7,4,6,18,12,7,324,0,84,36,37,52,55,88,94,20,21,30,34,49,28,18,635,5,17,25,13,0,5,8,0,0,0,0,0,0,0,3,81,0,0,12,30,64,152,118,106,32,56,63,97,79,69,41,923,0,8,13,88,37,100,253,819,129,212,325,397,424,349,84,3242,0,13,11,10,14,34,79,52,15,12,20,25,45,28,3,369,0,0,4,3,7,24,51,139,52,101,46,49,50,29,10,575,0,0,0,0,0,6,7,13,0,5,16,10,0,30,0,96,0,20,23,43,63,118,111,165
CED305,0,0,3,20,24,18,17,31,3,14,6,3,12,0,8,155,0,0,0,6,8,10,33,71,10,15,14,20,32,11,15,247,0,0,7,3,6,0,3,0,0,0,0,0,0,0,0,25,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,15,0,0,7,11,18,26,23,15,0,8,4,3,3,3,3,124,0,64,53,53,40,17,45,28,0,5,9,3,0,3,12,334,0,5,3,3,3,0,0,0,0,0,0,0,3,0,0,21,0,0,0,4,5,14,3,15,0,0,0,0,0,0,3,55,0,5,5,7,4,10,72,292,36,52,31,44,37,27,16,636,0,6,7,4,6,5,14,17,14,6,5,3,0,0,0,106,0,0,0,0,3,3,9,9,10,5,0,0,3,0,0,43,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,8,0,12,14,29,10,13,10,26
CED306,0,0,6,31,22,25,49,47,21,20,11,9,10,12,9,273,0,6,8,6,5,27,57,120,14,24,21,18,22,15,20,371,0,3,8,10,0,0,8,0,0,0,0,0,3,0,0,36,0,0,0,0,0,5,0,3,4,0,3,3,0,0,0,29,0,0,8,11,16,37,32,52,9,22,13,12,16,3,6,246,0,122,91,54,40,32,50,61,12,10,8,13,10,7,18,536,0,5,18,14,0,0,0,0,0,0,0,0,0,0,0,47,0,0,3,8,8,13,12,11,0,0,5,11,13,0,10,94,0,0,9,13,9,25,118,426,49,63,54,63,31,20,25,913,0,5,7,10,4,8,26,35,5,3,15,5,9,3,3,143,0,0,0,0,3,0,8,0,3,7,4,9,0,0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,11,23,22,18,34,40
CED307,0,4,7,42,35,44,63,47,14,10,4,3,3,6,12,294,0,4,3,3,9,36,75,103,15,24,19,18,39,18,6,377,0,3,3,20,3,15,3,3,0,0,0,0,0,0,0,48,0,5,0,7,0,3,16,19,0,4,0,0,0,0,0,54,0,3,3,21,42,150,167,95,23,17,10,6,8,3,3,562,0,114,57,62,69,52,87,88,4,10,6,3,4,3,17,580,0,12,7,3,0,4,3,0,0,0,0,0,0,0,0,35,0,3,3,12,10,31,23,14,3,7,5,5,8,3,4,116,0,6,11,62,28,35,139,385,20,24,51,53,33,30,35,929,0,3,14,9,12,19,34,27,5,3,0,3,8,0,3,135,0,0,0,3,4,8,13,33,3,9,5,3,0,0,0,77,0,0,0,0,3,8,17,6,0,7,0,0,0,57,0,99,0,11,16,53,36,54,83,79
CED308,0,7,12,55,29,52,73,67,15,21,10,11,17,21,8,403,0,18,8,11,27,145,421,604,96,147,195,215,235,116,106,2346,0,0,54,81,14,35,52,4,0,3,0,0,0,0,9,253,0,21,19,38,12,25,19,24,0,4,8,0,3,0,4,184,3,6,3,20,42,56,58,76,7,9,7,12,8,0,12,302,0,202,165,97,104,78,107,58,3,0,9,11,8,0,14,865,0,33,48,47,7,7,4,0,0,0,3,0,0,0,4,156,0,0,11,19,40,76,76,34,12,18,15,24,10,8,11,344,0,21,19,48,18,62,183,425,46,56,72,88,30,38,22,1116,0,10,17,10,23,42,110,45,3,10,9,11,10,7,11,320,0,0,3,3,23,46,53,84,10,30,23,20,5,7,0,304,0,0,0,12,0,13,36,33,9,0,17,16,0,0,4,143,0,11,20,61,32,52,65,57
CED309,3,3,20,75,54,73,88,104,38,28,21,22,25,3,9,562,0,4,8,4,10,24,22,66,24,10,24,15,18,6,13,259,0,3,27,33,5,3,3,0,0,0,0,0,0,3,0,83,0,10,11,13,0,3,5,4,3,0,3,0,0,0,4,61,0,3,8,18,17,25,36,14,5,8,0,7,3,0,4,158,0,175,171,108,138,80,110,82,10,20,15,15,13,17,31,976,0,9,14,8,4,0,8,0,0,4,3,3,0,0,3,57,0,0,3,8,19,12,18,16,10,3,8,3,6,4,0,113,0,18,19,41,3,9,40,270,19,24,71,78,59,24,32,698,0,11,16,6,19,11,36,29,3,9,5,5,6,3,3,160,0,0,0,0,5,0,4,16,7,9,7,0,7,3,0,62,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,3,7,18,55,21,46,39,69
CED310,0,3,17,60,50,51,68,78,18,40,36,22,3,13,14,478,7,4,7,5,14,17,37,61,8,10,12,14,30,18,11,256,0,0,31,25,0,7,3,3,0,0,0,0,0,0,3,69,0,10,13,9,0,0,5,0,0,0,4,5,3,0,0,57,0,4,10,16,13,29,38,15,4,9,0,0,0,0,3,141,0,175,140,106,118,63,87,66,6,13,13,4,8,13,26,838,0,9,8,12,3,3,3,0,0,0,0,0,0,0,0,45,0,3,0,14,3,16,6,4,3,4,3,4,9,3,13,91,0,12,13,38,6,15,36,269,16,39,41,34,35,23,12,591,0,14,22,14,6,3,24,25,7,9,0,5,16,0,3,146,0,0,0,9,0,3,6,9,9,0,4,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,3,19,25,67,40,34,42,64
CED311,0,8,6,17,14,22,22,31,8,5,9,9,8,3,10,170,3,3,24,0,3,5,42,67,8,4,13,21,30,17,20,261,0,0,12,18,3,4,0,0,0,0,4,0,0,0,0,52,0,3,0,3,0,0,0,0,8,3,5,13,15,3,9,59,0,0,0,7,14,28,47,33,15,16,19,3,8,7,7,211,0,84,93,70,54,19,38,28,4,13,7,5,9,3,17,443,0,3,9,15,0,0,3,0,0,5,0,0,0,0,0,34,4,0,0,3,3,3,5,3,3,3,3,3,4,0,7,40,0,5,4,3,6,6,65,311,51,51,46,69,47,22,21,704,0,3,3,3,8,3,18,13,7,8,8,3,4,0,10,99,0,0,0,0,3,5,0,9,6,12,4,5,6,3,0,53,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,24,0,8,8,31,8,19,15,37
