CED_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
CED312,0,5,4,18,29,46,48,30,11,11,8,13,3,0,6,240,5,9,36,9,15,65,153,162,25,15,44,45,51,51,52,741,0,3,30,70,4,20,33,3,0,0,0,3,0,0,3,171,0,9,13,11,3,18,12,12,0,3,0,0,7,0,0,80,0,3,11,25,44,148,184,113,15,22,23,10,20,3,21,651,0,162,147,98,124,54,68,44,4,4,4,3,9,3,25,748,0,12,28,23,10,6,8,3,0,0,0,0,0,0,3,98,0,3,3,9,17,49,36,17,3,8,6,0,6,3,5,161,0,16,9,40,17,46,105,436,36,42,79,93,60,26,40,1051,3,12,14,16,29,27,63,25,13,3,0,3,3,0,9,214,0,0,0,0,3,7,18,14,17,25,30,11,3,0,0,135,0,0,0,3,4,3,24,15,0,5,27,0,3,63,14,164,0,10,22,70,45,41,38,61
CED313,0,3,9,49,59,63,86,106,46,29,32,67,49,37,22,663,7,42,66,14,37,151,274,397,81,126,158,225,262,230,96,2166,0,0,15,24,4,11,49,3,3,0,4,0,0,0,4,119,0,18,23,12,3,16,11,11,4,5,8,6,8,0,6,133,0,0,3,28,60,110,69,29,6,4,11,4,3,3,11,349,0,107,52,50,62,48,109,118,25,34,16,24,33,23,18,727,13,110,282,120,30,14,18,5,0,11,5,0,8,0,60,673,0,0,7,20,55,139,93,81,17,19,31,36,48,40,21,608,0,10,13,35,41,85,284,1148,130,179,272,403,340,226,112,3281,0,6,13,18,9,28,75,51,20,16,9,9,27,19,5,303,0,3,0,5,6,33,46,129,68,73,133,54,40,31,18,648,0,0,0,0,0,10,25,32,12,5,9,3,0,7,0,111,3,13,24,59,59,103,112,251
CED314,3,0,17,28,18,29,29,36,10,7,24,10,9,0,5,225,0,4,0,3,14,22,99,185,29,28,33,36,35,39,30,570,0,0,9,17,0,0,3,0,0,0,0,0,0,0,0,30,0,0,0,0,0,6,17,14,3,4,8,3,0,3,0,57,3,0,4,3,12,32,52,56,4,5,10,3,0,0,3,192,0,89,56,49,37,31,25,34,3,4,8,0,0,3,12,358,0,4,0,9,0,0,0,0,0,0,3,0,0,0,0,15,0,0,3,6,14,22,20,14,0,0,0,4,4,0,0,90,3,3,8,19,15,18,76,412,53,49,104,112,189,156,37,1244,0,6,4,0,7,6,14,15,7,3,0,0,5,3,4,77,0,0,0,7,10,10,16,19,0,9,37,20,14,0,0,130,0,0,0,3,0,0,3,35,17,22,91,101,67,0,0,346,0,10,17,31,16,28,20,17
CED315,0,0,14,43,30,39,52,69,21,18,23,20,24,21,5,373,4,4,13,13,14,26,45,105,9,12,22,22,38,29,18,372,0,3,11,10,5,4,3,3,0,0,0,0,0,0,0,38,0,3,6,0,0,9,7,11,0,0,0,0,5,0,0,45,3,0,7,12,28,43,58,51,3,3,0,4,8,8,6,238,0,114,81,71,55,51,59,90,13,7,16,12,6,8,23,595,0,16,34,19,4,7,4,8,0,6,0,0,0,0,7,101,0,0,4,7,6,22,20,22,5,3,7,9,3,15,3,123,0,4,5,28,11,21,111,441,73,75,49,106,66,37,25,1053,0,6,8,3,4,15,17,48,0,4,11,3,21,8,3,152,0,0,0,0,3,6,8,15,9,14,4,7,4,5,0,70,0,0,0,0,0,0,14,11,0,0,15,13,4,0,0,64,0,12,14,35,22,31,34,48
CED316,0,4,6,49,22,33,37,33,4,16,9,9,0,3,7,229,3,11,9,3,0,16,25,53,15,11,14,20,14,6,13,197,0,3,23,33,3,4,3,0,0,0,0,0,0,0,0,72,0,3,11,8,3,5,7,10,0,3,8,3,0,0,0,61,0,4,6,18,14,43,33,30,4,7,3,6,9,3,6,174,3,212,173,138,86,57,37,30,3,3,0,13,6,5,24,797,0,8,8,9,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,6,5,10,11,5,0,9,3,9,14,17,15,106,0,14,3,25,7,12,48,166,24,19,45,32,36,23,12,465,3,19,15,17,5,13,28,12,3,3,0,0,4,0,11,125,0,0,0,3,0,0,0,10,0,9,3,0,0,0,0,23,0,0,0,3,0,3,0,0,0,0,0,3,10,0,0,16,0,15,22,54,20,18,20,11
CED317,0,0,14,44,25,31,33,15,3,12,10,3,7,0,9,207,3,5,3,0,5,6,19,38,0,7,18,12,6,0,11,148,0,10,55,20,3,0,3,0,0,0,0,0,0,0,0,101,0,0,3,3,4,0,0,4,0,0,0,0,0,0,3,15,0,0,12,17,15,31,30,52,7,16,14,10,14,0,10,210,3,119,125,91,84,64,55,42,8,11,3,18,14,7,35,683,0,20,23,6,3,0,0,0,0,0,0,0,0,0,3,60,0,3,3,0,8,4,0,0,0,0,3,3,4,3,9,50,0,12,17,32,31,48,68,419,31,55,66,83,74,38,42,1016,0,11,18,23,9,21,24,19,6,4,3,0,0,0,7,146,0,0,0,4,0,0,0,0,0,4,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,40,15,23,19,29
CED318,0,6,18,75,57,64,96,102,25,20,32,23,21,26,18,573,5,6,13,8,17,63,127,218,54,60,47,57,64,25,42,801,0,3,49,36,9,9,3,10,0,0,0,0,0,0,9,119,0,8,14,3,5,7,13,4,0,0,0,3,4,0,3,66,3,3,8,26,36,34,56,65,5,0,16,4,8,0,7,278,0,148,151,131,134,144,196,151,26,15,6,23,21,11,41,1189,0,14,17,19,7,0,3,0,0,0,0,0,0,0,0,62,0,4,10,13,35,36,41,22,22,4,12,14,11,3,4,242,0,8,13,38,19,66,92,572,56,71,94,122,97,59,57,1370,4,10,22,31,39,21,63,50,9,14,7,4,15,15,8,307,0,0,0,9,8,18,6,9,3,9,0,3,4,0,0,76,0,0,3,0,0,0,0,3,0,0,7,4,0,0,0,24,0,5,25,58,31,75,60,58
CED319,0,0,11,27,25,54,70,61,9,12,10,13,12,3,7,326,3,7,26,28,62,158,240,322,58,64,61,77,96,64,49,1320,0,3,23,28,6,10,14,0,0,0,0,0,0,0,0,88,0,6,14,3,7,8,20,0,0,3,0,3,0,0,0,59,0,0,17,44,70,282,183,110,20,21,20,28,14,5,26,841,0,118,50,48,54,41,64,81,14,8,12,11,4,3,25,517,0,27,22,21,0,8,5,0,0,4,4,0,0,0,3,95,0,8,3,30,58,111,103,43,5,4,9,18,15,7,10,430,3,13,16,98,64,181,364,1830,201,209,313,483,329,223,139,4470,0,5,13,9,16,24,60,60,8,15,9,6,6,10,10,278,0,0,0,0,12,11,30,94,72,63,56,29,22,7,32,418,0,0,3,0,0,4,8,17,9,7,6,10,0,5,4,63,5,32,20,58,41,71,78,136
CED320,0,3,3,35,32,35,44,35,7,3,3,3,0,3,3,220,0,6,12,3,4,19,33,76,7,11,7,13,17,19,21,261,0,4,21,37,3,4,5,0,0,0,0,0,0,0,0,77,0,10,9,3,7,0,3,0,0,0,0,0,0,0,3,31,0,0,6,16,45,96,71,39,10,8,8,3,8,8,12,332,0,181,120,86,105,54,54,37,3,9,3,7,3,3,12,654,0,12,15,9,0,0,0,0,0,10,0,0,0,0,0,53,0,4,3,7,13,12,13,8,3,7,4,10,25,15,19,148,0,13,5,31,13,25,51,137,16,17,26,21,35,13,9,401,0,10,14,16,14,10,22,20,0,0,3,3,6,0,3,130,0,0,0,4,3,3,6,3,0,3,3,0,0,0,0,29,0,0,0,0,0,0,13,9,3,0,0,0,0,0,3,36,3,12,12,58,48,30,30,63
CED321,0,3,12,20,10,18,27,15,6,3,0,6,12,3,3,144,0,3,3,0,4,12,24,38,11,4,13,12,13,9,15,151,0,3,16,31,9,4,0,0,0,0,0,0,0,0,4,59,0,0,4,3,0,0,0,3,3,0,0,0,0,3,0,18,0,3,5,3,8,18,24,20,0,9,6,5,0,0,0,110,0,94,87,66,62,23,20,28,3,9,9,3,9,9,9,414,0,9,3,3,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,4,6,3,6,0,4,4,4,0,0,3,33,0,8,6,7,4,0,20,210,5,28,28,30,28,11,24,401,0,11,3,3,4,3,8,8,0,0,0,4,4,3,0,59,0,0,0,3,0,0,4,4,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,8,23,17,24,15,36
CED322,0,3,10,51,45,68,128,121,18,20,26,32,64,33,15,642,0,12,19,9,42,184,303,373,58,76,105,159,195,70,79,1691,0,12,41,64,9,25,22,5,0,0,0,0,0,0,12,194,0,22,41,20,12,15,17,9,0,0,0,0,3,0,4,153,0,3,10,12,30,60,41,32,5,6,3,4,11,3,3,226,0,182,127,70,74,45,88,39,7,9,11,13,7,8,24,701,0,17,33,21,0,9,12,3,4,3,0,3,0,0,3,115,0,4,3,14,41,136,87,24,5,6,16,25,17,10,13,408,0,15,11,34,17,49,138,212,22,40,23,60,54,39,34,750,0,13,12,18,29,36,69,19,3,9,6,9,9,0,10,241,0,0,0,4,25,16,19,29,4,4,3,10,3,5,0,133,0,0,0,3,0,3,9,9,3,0,0,0,3,0,0,27,0,20,33,68,34,52,72,75
CED323,0,0,20,39,52,63,104,75,24,35,27,44,52,52,19,602,0,9,15,15,43,175,418,551,103,148,259,318,289,136,184,2657,0,16,98,114,11,35,37,10,5,0,3,0,0,0,13,351,0,35,70,46,12,33,10,28,10,4,8,4,0,4,4,258,0,3,11,22,33,55,53,43,0,11,5,3,11,3,10,273,3,213,160,112,123,66,92,62,9,17,11,12,11,17,38,935,3,40,89,65,12,5,7,10,9,7,0,0,4,3,12,254,0,0,6,21,66,92,99,62,18,21,40,57,50,34,66,631,0,26,14,39,31,65,123,769,60,71,162,273,172,115,66,1967,3,6,10,17,35,36,62,52,12,20,18,14,13,12,13,317,0,0,0,7,39,50,33,64,30,41,41,29,31,7,4,369,0,3,3,3,4,6,25,12,0,3,9,9,3,0,3,91,0,11,24,56,51,37,39,77
CED324,0,0,8,43,41,38,65,53,21,26,3,15,17,0,4,342,6,18,66,43,135,825,2066,2889,606,665,908,951,1004,600,522,11311,0,0,38,92,12,38,68,4,3,0,3,0,3,0,3,257,0,3,9,13,3,18,29,15,3,10,11,11,8,12,3,152,4,3,4,40,65,253,203,105,19,16,18,29,8,14,17,811,0,179,52,47,50,59,69,55,16,9,12,4,12,10,21,597,12,57,130,68,15,15,7,8,7,14,6,5,3,0,11,345,0,0,12,41,152,600,426,228,63,71,96,81,95,39,67,1974,0,10,10,59,55,199,532,2107,198,289,464,747,689,382,188,5937,0,6,20,27,51,90,197,107,31,21,21,23,23,17,13,655,0,3,0,7,20,32,58,95,88,90,168,34,36,13,14,646,0,0,0,0,3,18,79,98,27,20,24,37,15,3,3,333,0,8,19,39,31,49,35,62
CED325,0,0,12,32,20,46,54,44,11,7,15,4,11,4,9,266,3,10,15,6,39,205,360,489,83,84,94,100,84,62,50,1690,0,3,15,62,8,14,24,0,0,0,0,0,0,0,5,135,0,9,6,9,3,5,37,26,8,3,6,3,0,0,8,118,0,3,5,27,102,405,334,225,31,25,42,22,39,16,37,1324,0,216,81,63,96,53,58,69,8,0,7,3,9,4,16,692,0,4,9,14,4,10,3,0,0,0,0,3,3,0,3,48,0,3,4,14,51,141,69,34,0,3,3,3,3,4,11,359,0,13,10,63,60,134,624,1442,156,116,157,169,133,86,84,3242,0,10,21,26,40,88,102,72,14,11,7,0,7,4,10,411,0,0,0,5,23,66,119,147,60,96,69,13,13,7,14,625,0,0,0,5,3,14,69,84,24,16,7,16,6,18,8,272,0,9,21,48,33,51,34,46
CED326,0,4,12,43,30,29,69,84,22,11,5,23,7,4,8,339,3,10,20,4,14,116,177,246,40,44,55,44,33,42,36,890,0,3,23,37,3,10,11,8,0,0,0,0,0,0,0,96,0,11,16,12,7,4,7,14,4,3,7,0,3,3,8,106,0,3,9,24,72,222,264,156,45,19,13,11,11,9,23,889,0,156,99,86,76,41,76,74,14,4,14,8,3,0,8,664,0,14,26,26,4,3,3,3,0,3,3,0,0,0,8,94,0,0,12,16,45,69,47,13,3,3,8,8,11,3,6,255,3,13,15,56,42,108,412,1337,118,122,118,134,108,78,91,2756,0,11,11,13,13,17,65,43,4,5,7,3,5,4,7,198,0,0,0,0,7,10,34,83,45,42,13,0,10,0,4,257,0,0,0,3,3,0,16,3,0,0,3,0,6,58,7,103,0,11,21,67,32,54,66,106
CED327,0,4,3,23,34,41,30,36,7,7,3,9,11,3,4,214,0,7,33,20,69,358,1303,1960,343,328,330,345,301,181,253,5823,0,0,45,153,26,65,116,4,0,4,0,3,3,0,17,426,0,7,7,14,10,40,54,44,3,21,11,7,3,6,8,244,3,0,8,33,114,474,464,296,37,48,47,45,27,14,30,1638,0,169,78,84,84,29,64,29,0,4,4,3,3,0,20,580,0,13,49,28,11,10,15,3,3,0,0,0,0,0,10,135,0,0,7,23,101,452,349,156,31,42,30,26,42,21,28,1318,0,15,12,74,71,144,543,1619,138,141,235,248,219,143,112,3711,0,13,17,16,44,77,165,97,21,13,23,13,13,3,9,526,0,0,0,0,7,26,60,84,34,72,166,60,16,14,9,557,0,0,0,0,4,23,110,154,21,18,68,17,10,65,32,513,0,9,19,47,34,53,34,52
CED328,0,3,14,53,57,72,132,81,36,26,32,54,48,41,15,677,3,15,17,11,35,178,383,537,149,237,287,505,770,694,184,4017,0,4,10,23,4,0,6,4,3,3,0,0,0,0,4,61,0,6,5,9,3,3,8,8,3,0,3,3,3,5,0,58,0,0,5,13,54,81,51,23,7,3,9,6,4,4,3,261,7,140,57,55,89,78,145,125,15,25,14,18,17,19,26,820,4,20,3,10,8,7,7,4,3,3,0,5,0,0,0,74,6,11,7,38,69,167,142,94,21,60,40,67,69,38,20,849,3,17,15,111,71,169,343,503,123,107,161,193,225,147,60,2246,0,17,24,18,35,31,96,65,22,24,54,55,181,128,13,768,0,0,3,6,46,60,63,156,62,45,56,23,22,22,14,576,0,0,3,4,9,4,24,16,4,6,4,21,3,13,4,107,0,11,12,61,57,110,92,149
CED329,0,3,20,51,34,39,41,32,10,21,3,8,8,0,8,278,0,3,6,3,5,8,24,37,8,10,9,7,14,5,4,140,0,0,15,27,0,5,0,0,0,0,0,0,0,0,3,54,0,6,10,7,3,0,0,3,0,0,0,0,0,0,0,30,0,0,3,16,14,25,19,9,6,4,4,0,0,0,10,108,0,179,186,137,128,84,106,54,3,8,12,0,5,4,31,933,0,8,12,8,0,3,3,0,0,0,0,0,0,0,0,37,0,0,5,6,8,8,5,5,0,0,0,0,3,0,0,51,4,7,10,31,11,21,27,97,8,16,12,15,6,22,3,295,0,17,12,9,5,12,15,18,0,5,6,3,7,3,8,125,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,9,21,44,26,21,23,24
CED330,0,3,13,37,28,35,48,45,3,4,20,13,10,5,4,265,0,3,16,0,0,20,55,47,17,13,14,36,28,30,20,291,0,3,24,44,3,9,13,0,0,0,0,0,0,0,3,102,0,7,11,8,0,3,9,0,0,0,3,0,0,0,0,39,0,3,9,16,24,34,40,36,10,0,0,0,0,0,5,183,0,133,146,110,143,44,84,30,3,5,8,3,7,3,23,739,0,3,3,5,6,0,0,0,0,0,0,0,0,0,3,24,0,3,3,6,15,12,24,25,8,14,3,11,10,7,13,156,0,6,8,29,12,19,35,140,10,14,22,41,29,12,22,415,0,9,13,13,6,13,28,19,7,0,4,11,9,10,7,159,0,0,0,3,8,0,3,3,0,0,3,0,0,0,8,34,0,0,0,0,0,0,12,12,3,0,0,10,0,0,4,47,3,6,16,54,26,30,54,48
CED394,0,0,0,6,0,3,3,6,3,0,0,0,20,14,6,58,0,0,0,0,0,4,3,9,0,4,5,11,16,25,20,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,3,0,0,0,0,0,0,0,3,14,0,10,13,6,3,3,3,0,0,0,0,5,13,22,7,97,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,17,0,3,3,0,3,3,9,7,0,0,0,6,3,15,3,62,0,0,0,0,0,0,3,0,0,0,3,0,0,3,4,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,3,0,3,0,3
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED401,0,4,11,25,38,38,70,60,14,13,19,21,27,9,6,358,3,3,24,6,55,225,616,1351,330,472,636,1203,1281,606,364,7171,0,22,82,105,19,43,53,4,3,0,0,0,0,0,4,325,0,19,25,8,6,3,16,12,9,5,11,21,12,7,0,153,0,3,9,8,17,37,20,19,3,0,3,3,3,0,3,132,0,336,140,54,48,40,68,41,14,8,3,10,11,14,35,836,5,417,1071,354,50,35,17,7,5,12,16,4,4,0,95,2078,0,0,11,25,46,97,120,158,58,84,121,120,138,68,54,1093,3,27,13,92,40,98,385,2496,264,340,413,517,710,509,168,6059,0,4,5,8,14,31,50,45,12,11,20,22,38,16,4,300,0,0,0,7,31,50,108,166,47,111,159,104,77,46,22,948,0,0,3,0,0,10,103,69,29,15,12,27,14,7,5,279,0,8,33,70,27,54,30,35
CED402,0,0,7,15,11,5,21,12,0,0,0,0,3,3,3,84,0,0,7,3,0,9,64,125,8,20,20,81,101,22,48,495,0,3,55,39,7,3,0,0,0,0,0,0,0,0,10,113,0,3,0,0,0,5,0,3,0,0,0,3,0,0,0,24,0,0,3,0,3,5,6,11,8,5,0,4,0,11,0,60,3,286,161,66,43,26,28,22,10,3,3,6,3,5,24,685,5,56,217,71,14,8,0,0,0,0,5,0,0,0,25,412,0,0,0,4,4,3,3,3,3,0,7,11,27,8,14,79,0,9,6,25,40,58,104,267,12,26,39,34,37,12,36,707,0,7,3,0,3,8,6,10,0,0,3,0,7,3,0,49,0,0,0,0,0,3,0,7,0,6,4,0,0,4,0,28,0,0,0,0,0,0,8,3,0,0,0,0,0,0,5,18,0,10,20,19,6,9,8,14
CED403,0,3,16,29,56,48,72,42,6,8,4,10,16,11,8,334,3,3,11,11,35,109,339,775,159,159,190,292,305,221,107,2721,3,16,57,54,3,19,15,0,0,0,0,0,0,0,3,166,0,22,29,14,4,9,8,3,4,3,0,9,3,7,3,121,0,4,6,11,10,24,13,14,3,0,0,0,3,0,0,96,4,375,190,90,75,53,69,67,16,11,0,5,5,10,26,993,4,136,378,134,22,15,13,6,8,7,5,0,0,3,20,745,0,3,3,16,42,71,57,50,10,10,13,16,21,5,7,329,3,27,25,98,32,89,257,773,57,87,106,100,129,63,45,1891,0,8,16,7,12,23,52,32,17,17,33,45,112,63,16,459,0,0,0,0,39,116,133,105,36,50,80,44,36,40,18,692,0,0,0,3,0,3,18,17,6,0,13,15,15,0,0,90,3,19,33,80,33,59,53,61
CED404,0,3,7,20,9,4,13,14,3,0,0,5,0,0,0,88,0,0,5,4,0,3,16,32,4,6,4,0,5,3,4,100,3,6,80,74,9,3,0,0,0,0,0,0,0,0,3,179,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,3,10,8,19,3,0,3,3,0,7,3,65,0,218,181,127,32,6,6,9,3,8,0,5,11,0,20,624,3,23,78,51,9,7,3,0,0,0,0,0,0,0,15,205,0,0,0,4,3,3,0,3,0,0,0,0,0,3,3,17,0,6,6,18,7,19,54,191,22,29,29,27,26,4,6,440,0,3,0,3,3,3,18,13,0,5,5,3,3,0,7,69,0,0,0,0,0,3,7,4,7,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,50,10,7,4,11
CED405,0,3,8,28,33,33,51,35,14,7,10,17,17,6,4,272,0,9,32,23,62,146,419,890,175,198,215,366,370,182,137,3210,3,22,115,113,16,22,103,5,0,0,0,0,0,0,29,429,0,38,43,17,8,36,16,67,9,19,36,14,27,9,8,344,0,3,10,3,15,18,11,30,0,8,0,4,8,0,3,105,0,382,156,84,45,29,58,42,15,17,19,3,14,7,19,893,6,357,1142,393,72,39,25,9,9,33,8,16,7,7,68,2194,0,4,11,12,28,67,76,78,10,21,29,44,30,14,17,440,0,17,20,116,29,85,284,1691,151,198,296,376,514,347,132,4252,0,3,6,6,13,22,40,31,8,10,3,17,62,46,0,267,0,0,0,0,16,47,83,67,39,46,85,30,30,14,9,461,0,0,0,0,0,11,65,30,12,14,17,3,0,0,4,160,0,19,40,56,29,53,36,70
CED406,0,0,12,23,28,18,42,26,5,7,5,5,4,0,4,175,0,3,9,6,15,36,102,249,32,49,26,44,59,25,22,678,0,5,29,79,9,17,29,0,0,3,0,0,0,0,0,178,0,10,14,19,17,28,28,43,13,14,0,0,0,0,4,185,0,0,4,8,15,46,42,13,0,0,0,4,0,0,0,145,0,322,228,169,120,56,58,52,3,6,12,5,3,3,29,1061,0,25,72,46,15,3,3,0,10,0,0,0,0,0,13,195,3,0,3,8,15,13,12,12,3,0,3,5,0,4,0,77,0,15,21,76,26,24,121,407,22,43,43,36,16,9,20,884,0,9,14,16,8,18,28,14,3,0,5,0,5,0,5,133,0,0,0,0,14,51,73,42,16,16,18,8,5,0,9,262,0,0,0,0,0,0,20,14,9,0,0,0,0,0,0,51,0,5,44,101,30,46,30,57
CED407,0,3,3,23,10,12,32,26,0,10,9,3,3,6,7,151,0,3,22,3,49,85,308,624,115,117,118,188,150,97,78,1957,0,17,66,145,7,37,79,0,0,0,0,4,0,0,8,365,0,19,20,10,3,11,5,25,11,13,12,15,3,4,0,142,0,0,5,4,8,38,33,32,0,7,6,4,4,0,4,153,3,422,301,138,58,40,45,17,10,3,9,3,7,3,26,1082,0,74,147,96,18,9,6,4,3,3,0,0,0,0,20,384,0,0,7,10,8,49,51,32,8,15,23,31,59,35,23,346,0,21,25,73,32,78,327,1643,184,167,167,161,170,150,81,3270,0,6,14,9,15,15,43,35,6,4,4,9,0,0,7,176,0,0,3,4,8,26,128,128,40,88,83,20,40,3,7,587,0,0,0,0,0,18,135,89,20,8,28,12,10,4,13,350,5,12,45,101,42,25,26,24
CED408,0,0,9,44,51,27,51,27,0,5,3,6,0,0,8,240,0,3,14,4,3,10,52,77,7,11,9,8,17,5,5,228,0,19,6,27,3,3,3,0,0,0,0,0,0,0,3,65,0,10,4,0,3,3,3,0,0,0,0,0,0,0,0,25,0,3,4,4,9,8,7,3,0,0,4,0,0,0,0,41,0,351,245,138,113,100,89,52,7,3,10,3,4,3,30,1149,0,23,46,12,9,3,0,0,0,0,0,0,0,0,0,99,0,0,5,7,10,11,15,7,0,10,3,3,0,0,0,67,3,20,17,35,15,19,32,81,4,8,3,7,15,12,15,288,0,3,14,4,3,8,16,5,3,0,5,3,8,0,3,80,0,0,0,0,17,18,7,6,0,5,0,0,0,0,3,53,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,3,9,54,71,20,29,34,21
