CED_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
CED406,43101,3049,880,122,87,47230,5670,1529,460,86,22,7756,954,218,53,13,6,1242,49726,4791,1397,215,109,56230
CED407,41613,3799,1492,38,61,47005,5609,1205,485,10,13,7327,830,148,45,0,12,1040,48059,5144,2025,47,89,55363
CED408,42584,1273,309,239,179,44579,6042,698,220,113,57,7131,861,81,12,19,24,1000,49486,2054,539,375,257,52708
CED409,37148,7947,2447,171,133,47847,7871,3254,1144,70,35,12376,1083,356,149,7,17,1616,46106,11551,3741,253,189,61833
CED410,34866,8607,3902,51,126,47554,5686,2100,1216,26,10,9036,699,322,176,3,17,1210,41245,11021,5292,78,155,57793
CED411,42286,4579,556,204,147,47771,8024,2711,513,86,51,11391,1151,362,69,20,15,1616,51466,7657,1131,311,211,60781
CED494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,44203,2345,898,170,70,47689,4905,996,437,80,10,6431,1025,151,57,12,15,1258,50126,3493,1393,262,99,55369
CED502,43435,4704,352,59,58,48609,4749,1369,114,30,11,6268,1001,263,9,4,9,1280,49179,6329,478,94,80,56159
CED503,39489,3105,926,354,110,43986,5162,1311,391,201,19,7079,915,191,63,48,33,1248,45574,4604,1383,604,159,52321
CED504,38670,3673,100,118,34,42595,3821,1143,58,95,3,5112,819,154,10,15,3,1000,43304,4968,168,232,37,48709
CED505,28941,10739,7750,26,86,47542,1876,1282,1646,0,10,4810,571,284,295,0,19,1170,31393,12301,9689,31,117,53527
CED506,37106,2593,1246,1392,328,42672,8052,1310,469,609,126,10563,1363,201,94,218,101,1983,46518,4105,1812,2219,560,55216
CED507,39579,2821,555,548,172,43673,5526,1278,387,302,29,7524,933,167,51,46,39,1230,46038,4260,996,902,238,52427
CED508,35787,7315,2846,185,116,46260,4097,1835,641,73,17,6662,795,255,106,9,97,1267,40680,9414,3595,272,231,54191
CED509,38733,3138,407,254,101,42631,4806,1170,141,106,14,6246,893,154,24,23,18,1109,44433,4456,572,388,133,49978
CED510,40213,3274,888,53,46,44469,2352,710,227,25,3,3313,630,104,45,6,8,794,43191,4090,1153,84,61,48576
CED511,39375,2331,340,465,286,42799,8897,1292,243,258,79,10773,1253,208,38,55,53,1618,49527,3831,628,777,422,55185
CED512,48327,3895,259,151,138,52772,4894,812,91,52,27,5879,1046,142,19,16,30,1263,54266,4852,376,221,193,59909
CED513,28705,8662,12971,86,146,50568,3697,1647,1977,16,32,7363,711,262,382,19,19,1395,33119,10570,15324,124,201,59326
CED514,27396,17400,2228,34,104,47159,4160,3335,764,12,15,8276,655,610,130,0,17,1413,32208,21343,3119,44,136,56856
CED515,32052,13493,5515,41,160,51253,4368,2300,1020,13,29,7732,896,520,279,3,33,1736,37311,16318,6813,59,220,60718
CED516,35482,6225,1173,17,83,42983,2871,1217,365,0,8,4462,595,196,56,0,15,859,38949,7633,1591,17,103,48299
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,26615,1971,1807,113,113,30628,5600,946,997,38,38,7621,759,127,117,5,22,1043,32974,3050,2926,159,175,39289
CED602,26718,1338,283,157,98,28588,7146,1247,267,112,23,8801,839,153,34,17,16,1061,34710,2741,584,287,142,38452
CED603,25571,2440,4302,135,93,32545,4459,813,1622,30,12,6937,645,125,202,11,21,1007,30680,3379,6132,174,131,40488
CED604,31106,1022,492,157,77,32855,5227,469,266,61,10,6035,710,67,31,17,10,835,37045,1563,786,239,90,39726
CED605,28307,317,467,216,134,29446,8302,303,326,106,43,9091,985,33,40,19,15,1092,37594,656,835,340,195,39625
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,15627,2398,1015,1046,268,20352,5101,790,432,423,76,6828,907,160,101,209,48,1428,21638,3347,1548,1675,395,28604
CED702,19302,3546,8140,346,124,31462,1845,866,1416,81,26,4233,648,169,370,76,38,1292,21793,4585,9927,497,184,36987
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED801,44353,8778,10141,82,99,63447,3381,1469,1171,69,18,6097,849,285,319,17,14,1476,48577,10521,11627,169,130,71018
CED802,43749,12981,8606,25,119,65485,3151,1387,938,3,21,5491,845,387,247,8,9,1498,47746,14757,9783,36,153,72475
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
