CED_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
CED318,8,70,4601,4674,89,766,3214,4073,2441,2671,4219,9329,4765,2177,3022,9970,5214,1788,3327,10330,4749,1176,3089,9017,3537,454,2064,6056,1385,77,787,2250,229,15,267,517,22421,9203,24590,56212,6,159,4211,4379,200,1078,3012,4291,3477,3044,4173,10696,5663,2253,3710,11622,5537,1699,4001,11234,4577,922,3584,9084,2762,276,2458,5497,848,52,1341,2238,100,6,674,780,23166,9497,27155,59819,17,234,8803,9055,295,1842,6225,8367,5914,5720,8386,20022,10425,4428,6733,21589,10744,3491,7331,21563,9330,2095,6670,18100,6297,736,4520,11554,2233,125,2125,4488,338,24,943,1300,45584,18702,51746,116033
CED319,0,35,3938,3970,124,739,3918,4785,3865,2556,4682,11099,6225,1491,2559,10279,5414,1059,2688,9157,4411,610,2292,7314,3271,252,1544,5069,1934,68,818,2815,609,13,434,1054,25866,6824,22867,55558,6,97,3836,3932,283,992,3578,4850,5014,2595,4021,11631,6480,1486,2932,10901,5553,1036,3244,9833,4182,522,3204,7911,2944,190,2659,5790,1535,33,2312,3879,283,3,1487,1779,26284,6958,27274,60519,8,130,7772,7905,408,1737,7498,9635,8878,5154,8700,22731,12707,2982,5489,21184,10968,2091,5932,18989,8592,1134,5502,15228,6218,436,4204,10862,3470,100,3125,6701,892,18,1923,2833,52147,13778,50146,116075
CED320,4,78,4809,4894,168,799,3348,4319,2842,1970,3319,8131,4812,1468,2210,8484,5539,1139,2330,9008,5517,716,2007,8239,5235,456,1649,7343,2349,111,881,3339,487,18,390,894,26957,6765,20937,54655,12,148,4635,4800,336,1125,2969,4437,3714,2100,3199,9002,5359,1426,2725,9511,5933,1158,3002,10088,5667,684,2658,9008,4663,350,2664,7674,1597,83,1728,3408,208,5,847,1063,27484,7085,24429,58993,11,234,9444,9692,511,1928,6318,8757,6557,4071,6510,17138,10167,2896,4930,17998,11472,2295,5328,19094,11177,1404,4663,17244,9896,810,4318,15024,3952,191,2606,6749,698,22,1236,1958,54439,13843,45367,113653
CED321,7,83,3698,3789,158,749,2276,3180,2479,1628,2396,6502,4114,995,1801,6914,5043,962,2402,8409,5497,676,2587,8764,4955,377,2149,7483,2397,130,1168,3689,472,17,392,886,25118,5619,18874,49611,3,214,3181,3399,287,1028,1859,3173,3316,1658,2333,7307,4809,1070,2001,7878,5456,956,2371,8782,5735,591,2396,8721,4269,332,2370,6969,1586,62,1979,3628,212,11,976,1196,25680,5906,19470,51066,10,295,6882,7184,444,1771,4139,6354,5795,3294,4723,13810,8923,2062,3805,14798,10497,1915,4775,17189,11233,1269,4980,17484,9226,703,4523,14459,3977,186,3151,7315,680,28,1374,2082,50799,11527,38343,100669
CED322,4,31,4262,4294,59,451,3326,3844,2374,1989,3522,7886,5262,1418,2154,8830,5312,1067,2238,8615,4802,671,2043,7523,4369,424,1454,6248,2289,119,872,3276,607,22,427,1053,25081,6188,20290,51563,8,58,4094,4160,142,708,3073,3923,3352,2173,3279,8810,5838,1363,2904,10111,5598,1039,3309,9948,4909,647,3339,8898,3829,282,2732,6848,1614,61,2037,3709,298,9,1218,1528,25583,6345,25994,57926,11,84,8358,8454,205,1157,6401,7765,5723,4168,6804,16694,11104,2782,5061,18942,10908,2103,5548,18562,9709,1319,5384,16412,8198,713,4179,13093,3901,179,2912,6989,903,34,1646,2578,50664,12536,46290,109483
CED323,3,57,3686,3750,123,747,4214,5089,2566,2755,5455,10783,4387,1528,3152,9064,4502,1072,3080,8654,4428,752,2550,7735,4337,487,2121,6950,2336,150,1076,3558,602,27,507,1138,23289,7585,25849,56723,10,100,3619,3727,262,1190,4054,5506,3514,2841,4782,11145,4748,1296,3251,9297,4831,1075,3703,9603,4456,662,3512,8629,3879,329,3259,7470,1593,74,2340,4003,301,12,1409,1716,23587,7571,29935,61095,8,156,7305,7479,385,1938,8270,10587,6083,5599,10241,21927,9133,2822,6407,18366,9331,2151,6780,18260,8881,1410,6065,16361,8215,821,5384,14422,3926,223,3417,7565,901,39,1912,2854,46871,15156,55785,117810
CED324,3,29,4498,4528,140,521,6217,6875,4415,1928,6900,13250,6382,1081,2733,10187,5447,790,2196,8434,4590,449,1773,6810,3470,180,1111,4752,1679,43,610,2333,460,16,316,792,26584,5029,26349,57963,12,53,4170,4239,350,739,5363,6448,5628,2057,5218,12909,6689,1017,2638,10339,5431,715,2859,9007,4413,397,2648,7462,3018,123,2067,5207,1182,34,1610,2821,213,3,1047,1264,26931,5139,27624,59698,14,82,8664,8764,484,1259,11580,13325,10046,3990,12125,26158,13066,2096,5365,20525,10881,1502,5056,17441,9005,847,4423,14277,6484,300,3180,9959,2858,76,2211,5153,671,16,1366,2056,53513,10176,53973,117663
CED325,9,42,5384,5434,183,607,4180,4970,4014,1956,4059,10026,6563,1291,2427,10279,6134,968,2309,9404,4937,488,1757,7181,3193,216,997,4407,1290,38,485,1809,282,8,224,514,26599,5607,21808,54013,12,90,5030,5135,413,880,3684,4984,5563,2119,3668,11355,6929,1302,2890,11124,6179,888,3151,10220,4388,422,2623,7427,2644,139,1954,4733,833,25,1391,2249,133,0,600,737,27099,5868,24994,57962,19,127,10412,10564,602,1483,7863,9950,9580,4071,7727,21387,13487,2595,5314,21403,12314,1853,5455,19629,9320,913,4374,14608,5833,349,2951,9135,2123,64,1872,4057,421,7,822,1245,53698,11474,46802,111976
CED326,7,66,4595,4662,159,701,3469,4321,3501,2180,3483,9162,5883,1502,2458,9849,5554,1173,2663,9388,4919,630,2040,7592,4414,355,1534,6300,2286,98,846,3229,535,15,440,984,27255,6719,21512,55487,6,123,4295,4427,319,1032,3016,4359,4656,2284,3393,10335,6461,1569,3061,11090,5641,1080,3447,10169,4876,614,3178,8665,4031,268,3093,7391,1679,62,2375,4114,240,13,1322,1571,27899,7045,27178,62126,7,195,8890,9092,476,1728,6482,8684,8161,4467,6870,19498,12338,3077,5520,20938,11197,2249,6112,19557,9797,1243,5214,16254,8444,621,4628,13696,3965,159,3223,7345,774,20,1761,2556,55155,13765,48689,117611
CED327,6,66,5930,5998,258,647,5077,5985,4913,2248,5419,12590,6852,1450,3038,11344,5982,1043,2506,9535,5415,634,2006,8055,3890,263,1289,5451,1295,53,514,1867,248,6,192,446,28857,6416,25985,61260,23,111,5395,5529,574,926,4128,5630,6349,2422,4700,13464,7077,1427,3464,11969,6022,1029,3464,10518,5210,505,3026,8741,3103,183,2272,5551,787,39,1248,2069,101,4,525,631,29238,6645,28219,64097,25,172,11325,11529,830,1580,9206,11611,11263,4672,10117,26048,13929,2882,6507,23316,12006,2075,5968,20051,10624,1137,5033,16796,6995,447,3563,11002,2078,91,1757,3932,347,16,714,1077,58096,13063,54199,125358
