CED_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
CED126,161,384,242,160,247,99,62,1359,14,3,6,5,3,6,0,44,10,10,13,4,4,3,0,49,314,707,540,406,669,300,170,3109,3,21,10,9,14,3,4,61,8,18,14,5,7,3,0,55,16,35,19,11,20,9,4,123,327,744,561,422,689,304,176,3228,138,206,115,78,100,39,24,707,6,3,0,5,7,3,0,25,473,949,681,504,800,348,206,3958
CED127,246,480,348,225,311,88,36,1732,27,18,21,10,14,0,4,95,6,13,12,9,9,3,0,42,413,832,703,524,786,245,139,3646,21,33,14,28,27,6,3,137,36,62,39,16,20,6,3,178,51,94,55,45,50,11,10,315,463,924,761,566,839,256,146,3962,561,532,268,187,196,47,20,1822,6,9,5,4,11,0,0,37,1032,1459,1039,763,1043,309,167,5814
CED128,207,417,294,212,278,132,48,1583,27,21,10,3,17,6,3,93,15,18,15,16,19,12,8,96,476,886,667,501,701,342,175,3746,29,45,31,32,46,20,8,206,60,115,68,49,61,17,7,382,91,161,96,80,102,39,22,589,569,1048,763,579,804,378,195,4336,947,993,520,334,415,254,151,3606,27,22,11,8,0,4,0,77,1540,2061,1288,921,1226,639,350,8022
CED129,136,265,218,163,211,105,55,1151,18,12,5,7,11,3,3,61,0,7,8,5,3,0,0,33,280,661,572,449,643,347,186,3133,6,16,16,11,29,9,0,83,16,33,13,14,13,3,3,95,18,47,28,26,35,16,4,177,305,708,596,470,678,360,190,3309,173,191,142,91,129,80,45,860,5,3,7,7,9,0,0,29,482,907,750,571,817,441,234,4196
CED130,330,568,420,285,342,34,6,1983,44,31,19,20,29,5,3,155,28,24,13,14,10,5,0,92,572,1013,787,592,766,101,25,3858,58,119,72,60,60,3,3,375,95,138,63,20,36,10,0,365,152,253,139,81,95,14,3,738,724,1265,922,675,859,117,33,4596,1159,1076,543,316,271,58,12,3439,21,20,18,19,7,0,0,87,1907,2361,1484,1010,1144,173,41,8123
CED131,272,511,356,224,299,97,54,1820,20,32,25,17,27,7,7,135,11,14,9,3,3,5,0,50,441,958,730,527,809,307,161,3925,26,74,44,35,39,10,8,238,45,84,37,23,23,12,5,242,70,158,83,60,65,24,11,476,514,1122,815,588,873,327,172,4405,685,596,337,228,223,57,39,2172,16,14,6,10,3,3,0,55,1212,1736,1154,827,1106,391,209,6631
CED132,108,222,165,99,164,91,47,899,25,7,9,3,4,7,3,55,8,10,3,0,0,3,3,27,307,649,464,322,518,343,233,2838,3,21,11,11,21,13,4,78,7,14,15,11,8,5,3,70,12,31,24,20,30,22,7,151,321,677,492,344,547,366,244,2989,118,210,128,96,110,112,67,854,0,3,3,0,0,0,0,3,440,892,623,443,658,475,315,3847
CED133,267,637,471,321,435,86,24,2234,35,49,21,15,21,4,0,154,17,21,17,8,16,0,0,80,465,1099,871,634,950,175,56,4241,33,121,71,54,64,10,5,352,63,142,64,39,44,10,3,360,96,260,131,91,110,23,6,716,561,1360,1007,726,1053,198,56,4960,1155,1139,597,362,354,78,26,3716,10,26,14,10,9,0,0,77,1727,2529,1620,1100,1418,270,84,8749
CED134,426,650,360,238,265,40,10,1984,50,32,24,13,8,3,0,130,23,31,25,26,29,0,0,129,730,1224,753,533,681,106,27,4055,57,137,104,64,48,5,0,417,104,160,47,56,35,6,0,407,160,296,147,122,87,10,0,829,891,1521,899,658,768,116,26,4880,1559,1254,605,355,316,34,10,4131,54,63,36,15,12,0,0,187,2511,2837,1543,1034,1090,149,32,9195
CED135,181,300,215,152,241,121,75,1275,14,11,0,3,14,7,6,69,18,24,10,11,17,20,3,96,395,661,487,360,600,376,206,3094,19,47,20,26,27,18,6,163,32,89,51,24,27,18,12,243,49,134,69,49,52,33,15,405,448,786,561,413,651,407,228,3501,684,584,324,229,312,179,122,2433,5,19,3,4,7,4,3,43,1130,1394,894,644,967,593,356,5973
