CED_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
CED321,..,15276,15276,19204,1338,20543,7008,180,7193,6455,41,6496,3353,16,3371,1752,3,1753,37775,16857,54631
CED322,..,12827,12827,17404,2191,19588,8894,488,9380,8501,136,8637,3164,29,3193,1332,10,1346,39293,15680,54977
CED323,..,18340,18340,19796,3516,23317,8561,989,9544,6919,323,7239,2498,107,2603,1080,63,1144,38855,23329,62189
CED324,..,10856,10856,14178,2001,16175,8651,1010,9653,8922,573,9500,3957,287,4238,2353,175,2527,38056,14893,52950
CED325,..,8949,8949,13654,1325,14979,9570,279,9851,9845,74,9919,4348,25,4371,3030,13,3039,40446,10659,51109
CED326,..,14332,14332,18601,1590,20190,9729,295,10026,8959,76,9036,3763,17,3786,1971,8,1980,43023,16328,59353
CED327,..,9576,9576,14874,1637,16510,10379,392,10772,10239,151,10397,4971,65,5039,3890,40,3931,44364,11860,56220
CED328,..,10426,10426,15594,2350,17944,8231,1236,9463,9611,520,10128,3837,197,4032,1263,100,1359,38535,14818,53354
CED329,..,14396,14396,20568,1656,22222,7148,222,7373,6219,51,6272,2741,13,2754,1563,7,1564,38241,16343,54584
CED330,..,8440,8440,16040,1161,17205,8140,193,8339,8778,83,8865,4274,48,4318,2850,34,2884,40082,9959,50044
CED394,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED397,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED401,..,20418,20418,18105,3031,21131,8485,1258,9740,8049,503,8547,2722,149,2870,1032,104,1142,38394,25467,63864
CED402,..,17013,17013,20631,1181,21811,7218,169,7381,6961,63,7023,3101,31,3125,1248,37,1287,39157,18489,57640
CED403,..,14113,14113,17807,1297,19101,8267,472,8739,9068,159,9225,3036,61,3099,969,20,993,39146,16122,55275
CED404,..,17887,17887,19519,1154,20673,6623,95,6721,5935,21,5956,2861,3,2869,1310,0,1311,36254,19160,55417
CED405,..,19951,19951,19039,1989,21029,8416,601,9021,8074,231,8303,2609,60,2667,868,42,911,39006,22869,61881
CED406,..,14305,14305,18442,1303,19744,9225,163,9389,8568,42,8611,3012,8,3020,1156,3,1165,40401,15831,56230
CED407,..,13031,13031,18282,1202,19486,9014,216,9232,8855,70,8929,3227,29,3262,1410,19,1430,40794,14574,55363
CED408,..,12789,12789,19731,893,20627,7214,86,7299,7758,24,7785,3072,5,3075,1125,3,1129,38904,13804,52708
CED409,..,17348,17348,17703,1749,19457,9949,326,10274,8973,114,9089,3500,44,3545,2107,24,2130,42239,19600,61833
CED410,..,16338,16338,17633,1345,18979,8591,384,8975,8998,184,9184,3148,63,3208,1084,28,1114,39463,18334,57793
CED411,..,15935,15935,18807,1482,20292,9274,215,9489,8643,53,8704,3970,17,3990,2369,7,2376,43063,17719,60781
CED494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED497,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,..,11418,11418,16884,1275,18157,9563,182,9744,9769,58,9830,4177,17,4193,2027,3,2032,42423,12944,55369
