CED_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
CED232,1079,1013,2089,2119,1997,4118,441,451,885,1381,1290,2665,3936,3731,7672,900,813,1714,318,356,678,1545,1579,3118,2760,2754,5513,249,260,511,326,423,745,134,136,268,422,568,989,4,11,16,1138,1391,2532,2899,3556,6455,1434,1701,3133,233,332,563,1253,1746,3000,20,20,43,5834,7354,13195,339,388,728,476,781,1260,13,14,30,835,1183,2016,7900,8009,15906,23487,25434,48916
CED233,1105,1061,2167,3754,3483,7232,1133,1034,2168,644,604,1248,5529,5120,10648,2661,2399,5059,1123,1067,2184,1405,1342,2748,5191,4802,9991,277,216,499,159,232,387,366,121,484,273,355,632,12,6,16,1085,929,2017,2622,2748,5377,555,639,1191,262,255,514,475,730,1208,14,35,48,3925,4409,8333,172,189,363,323,571,891,4,11,12,501,768,1264,2882,3234,6113,20207,20327,40533
CED234,1096,998,2092,3964,3606,7566,1723,1733,3458,349,325,674,6030,5666,11695,2673,2558,5224,1520,1487,3006,588,538,1122,4772,4578,9355,163,245,406,107,237,344,449,277,724,284,611,899,13,14,27,1015,1388,2403,301,540,842,98,263,365,46,147,197,201,556,753,6,7,13,648,1520,2171,165,174,339,171,413,582,12,3,21,346,596,943,6951,6891,13839,20864,21634,42502
CED235,1439,1267,2706,4764,4397,9164,1867,1805,3674,423,466,885,7054,6670,13720,3321,3126,6441,1711,1710,3418,476,469,950,5507,5305,10814,467,408,869,248,408,661,501,209,711,438,515,952,15,6,27,1670,1553,3219,2442,2859,5298,813,901,1715,233,264,494,463,737,1198,15,21,41,3961,4786,8741,334,392,718,348,638,979,17,20,38,697,1047,1740,4579,4801,9377,24896,25421,50320
CED236,966,892,1856,3639,3257,6896,1443,1493,2929,332,290,621,5411,5037,10446,2548,2378,4925,1201,1360,2565,444,444,890,4198,4183,8378,158,200,360,39,150,191,355,212,570,253,518,769,12,19,28,819,1098,1916,308,579,886,122,248,371,57,114,172,239,551,785,3,10,16,727,1501,2224,72,121,193,167,345,510,11,15,27,251,476,734,6688,5775,12465,19053,18965,38020
CED237,1376,1237,2618,3590,3228,6818,1568,1561,3120,547,638,1184,5704,5424,11127,2353,2130,4484,972,1040,2011,546,609,1163,3879,3780,7659,401,303,702,373,383,756,277,157,432,485,518,1006,13,14,31,1550,1374,2929,3022,3413,6434,1935,2022,3950,256,388,647,1055,1730,2784,22,21,48,6284,7572,13864,383,370,753,443,667,1107,15,20,32,844,1055,1895,5565,5698,11266,25204,26149,51349
CED294,27,25,49,63,82,139,9,10,17,7,8,23,76,101,179,49,53,102,5,3,4,20,8,30,67,66,137,16,25,43,11,22,35,7,4,13,13,27,38,0,3,4,55,82,139,78,125,206,43,45,90,6,15,23,12,29,43,3,0,4,147,220,366,18,26,49,36,30,66,0,0,0,58,63,114,1310,734,2042,1743,1279,3025
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6
CED301,1074,988,2065,5865,5524,11394,977,1008,1989,751,821,1570,7590,7361,14953,3236,3142,6376,1112,917,2033,1022,1040,2062,5371,5101,10472,204,328,529,142,406,552,290,328,625,369,784,1154,4,12,21,1012,1868,2881,789,1163,1948,337,625,968,136,244,371,515,983,1497,9,9,16,1788,3016,4799,177,262,438,252,572,827,6,10,15,437,846,1282,6175,6030,12210,23445,25211,48650
CED302,1009,926,1934,4135,4020,8159,1549,1411,2956,920,921,1839,6605,6354,12961,2469,2407,4875,1573,1199,2779,1092,1241,2333,5137,4846,9983,257,269,520,166,287,451,272,183,458,375,598,970,12,10,20,1076,1343,2425,2311,2797,5111,610,785,1398,268,321,588,710,1174,1889,10,23,33,3920,5098,9016,166,227,395,271,445,715,6,0,10,448,671,1120,3827,3874,7699,22014,23123,45140
