CED_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
CED313,888,894,1780,3329,3139,6469,1566,1555,3124,544,500,1043,5437,5197,10634,1762,1531,3290,1392,1467,2861,1147,988,2134,4301,3984,8285,322,317,641,329,526,852,215,174,392,426,607,1034,11,8,21,1309,1631,2937,3502,4040,7545,1745,1830,3570,377,484,865,1323,1874,3197,16,22,37,6966,8248,15213,325,399,727,363,597,962,6,6,18,700,1008,1711,5466,5250,10712,25063,26212,51272
CED314,914,875,1788,4351,4232,8584,1363,1445,2813,996,1120,2114,6712,6798,13511,2738,2571,5306,1328,1301,2631,1255,1389,2644,5316,5258,10581,170,259,424,111,296,408,309,292,608,379,689,1062,10,15,19,977,1547,2522,979,1170,2149,593,644,1237,250,410,657,711,1231,1942,12,11,19,2540,3458,6003,145,176,318,290,536,829,4,9,18,444,727,1164,5411,5686,11090,22311,24345,46657
CED315,1032,906,1937,4381,4186,8565,2055,2064,4116,668,703,1374,7104,6958,14062,2846,2681,5529,1544,1611,3155,942,782,1722,5337,5068,10406,234,224,460,151,378,531,291,278,570,384,779,1163,12,13,26,1069,1672,2743,1757,2846,4606,695,1070,1764,187,324,508,751,1396,2145,13,23,28,3402,5659,9054,166,222,385,261,542,805,7,14,20,435,776,1218,6833,5933,12758,25212,26971,52181
CED316,732,651,1382,4142,3901,8042,872,911,1781,781,678,1457,5793,5490,11275,2804,2633,5435,813,858,1666,720,645,1363,4334,4134,8468,103,153,254,101,258,355,182,236,416,234,566,801,18,13,31,634,1224,1859,300,508,811,205,476,673,91,172,265,310,837,1146,3,7,9,903,1997,2905,124,174,294,212,379,594,10,8,18,348,562,908,5556,5652,11207,18312,19702,38016
CED317,789,744,1534,5221,4725,9947,1501,1572,3073,326,330,655,7046,6628,13671,3250,3167,6412,1336,1231,2564,416,382,793,4997,4777,9777,81,104,180,72,191,267,186,239,425,244,604,845,15,10,23,589,1151,1737,196,416,611,93,286,381,76,138,208,339,789,1129,0,6,5,706,1638,2342,99,113,211,180,420,597,13,3,13,281,546,829,9267,7877,17144,23679,23350,47029
CED318,1064,1009,2074,5383,4970,10354,1922,1975,3900,736,660,1401,8049,7609,15657,3605,3454,7060,1498,1348,2842,509,562,1074,5612,5364,10981,153,182,332,222,438,665,236,256,491,429,817,1251,19,22,39,1062,1718,2777,696,1028,1720,452,855,1309,110,233,350,593,1281,1877,10,18,31,1866,3419,5282,200,258,456,287,593,879,13,8,19,498,864,1357,9366,9149,18517,27518,29123,56644
CED319,982,849,1839,3834,3601,7442,1955,1930,3881,318,357,672,6104,5887,11992,2234,2066,4308,1850,1572,3424,494,640,1139,4579,4284,8865,267,270,539,209,346,551,270,209,479,411,652,1061,10,4,16,1163,1477,2646,1785,2314,4091,688,920,1611,234,306,542,875,1406,2282,13,18,24,3592,4962,8554,185,232,423,268,494,764,3,12,11,455,741,1201,4204,4618,8826,21086,22828,43918
CED320,1018,922,1944,5911,5472,11382,741,790,1528,976,944,1917,7623,7202,14827,3810,3784,7592,782,807,1593,714,701,1416,5304,5295,10598,195,321,524,116,408,526,298,303,599,303,740,1041,11,13,24,918,1785,2706,698,1140,1840,217,530,745,117,190,312,347,739,1088,3,5,12,1381,2609,3995,174,256,429,270,612,887,8,12,27,450,888,1338,6401,5952,12353,23104,24657,47761
CED321,785,750,1534,4891,4479,9374,1412,1383,2793,595,514,1107,6905,6372,13278,3347,3153,6501,733,654,1387,572,499,1070,4653,4304,8953,97,137,232,55,150,206,269,297,562,271,672,948,14,9,31,704,1269,1978,171,316,483,104,237,338,56,163,224,286,769,1056,7,8,16,619,1492,2117,75,112,186,166,382,543,8,15,23,253,508,755,7457,6973,14429,21373,21672,43044
CED322,1027,1015,2042,4251,3917,8170,797,808,1606,1217,1240,2459,6266,5966,12233,2924,2693,5608,651,610,1265,1335,1299,2637,4913,4596,9507,171,201,370,143,291,434,346,222,562,423,651,1080,3,5,14,1092,1367,2457,1612,2077,3690,596,816,1407,157,310,465,514,991,1505,15,18,34,2890,4203,7098,152,200,354,259,535,789,3,3,4,412,734,1150,5087,5687,10773,21690,23573,45267
CED323,904,831,1731,3062,2857,5920,770,805,1574,975,933,1904,4802,4595,9399,2248,2159,4407,556,499,1051,1172,1280,2454,3983,3933,7912,284,332,615,365,604,973,296,230,525,488,745,1233,12,15,27,1444,1926,3374,2092,2669,4759,990,1106,2094,205,290,488,526,919,1449,24,21,42,3829,5008,8833,346,474,820,455,739,1185,9,11,15,809,1220,2025,7708,7578,15285,23479,25088,48566
CED324,1031,970,1997,4280,4113,8393,1103,1049,2149,615,654,1269,5993,5820,11816,2485,2363,4847,1121,996,2123,868,1052,1921,4471,4414,8892,483,411,895,504,660,1160,240,165,403,388,632,1015,10,17,26,1620,1880,3501,4451,4618,9072,1963,1752,3715,309,361,671,908,1245,2154,19,27,42,7647,8000,15654,468,488,958,377,563,938,11,14,27,858,1068,1924,4531,4560,9093,26159,26710,52869
CED325,1223,1077,2299,5718,5365,11091,1238,1206,2445,1023,996,2022,7981,7578,15555,3915,3765,7682,995,974,1972,1017,995,2006,5928,5730,11654,352,393,747,290,531,821,217,266,486,413,778,1198,10,18,25,1284,1985,3275,1830,2128,3956,534,753,1288,202,289,493,691,1018,1710,4,18,23,3259,4217,7472,221,290,510,312,580,893,16,15,35,549,884,1440,8027,5832,13864,28252,27300,55551
CED326,1075,1036,2110,5036,4630,9664,1439,1381,2821,932,933,1867,7412,6942,14351,3286,3103,6385,1043,995,2044,895,919,1822,5223,5017,10248,211,266,476,153,338,484,296,240,536,346,799,1137,11,13,21,1014,1652,2661,1036,1468,2500,342,638,981,133,243,375,573,1008,1574,4,12,18,2083,3368,5454,175,234,405,277,610,889,7,9,15,459,849,1311,4961,5487,10446,22226,24348,46581
CED327,1307,1244,2553,6694,6305,13000,1144,1190,2335,963,977,1939,8804,8465,17266,4575,4454,9028,874,792,1663,930,914,1851,6383,6162,12546,392,487,884,387,675,1062,304,276,582,454,778,1239,12,19,34,1558,2242,3792,1744,2038,3786,711,848,1557,181,245,422,539,823,1360,20,13,33,3200,3968,7166,295,375,669,321,681,1007,14,8,24,632,1068,1702,6070,6109,12180,27955,29249,57204
CED328,1084,994,2081,4952,4606,9563,1304,1199,2502,690,531,1226,6946,6339,13288,2509,2230,4741,1231,1544,2781,1754,1274,3032,5497,5053,10551,193,214,414,140,248,384,204,158,364,322,462,785,9,7,16,873,1094,1961,6279,7328,13608,1891,1885,3773,416,512,927,1084,1520,2599,21,31,45,9685,11272,20957,166,216,385,233,415,649,7,4,16,412,639,1051,3620,3760,7382,28125,29151,57277
CED329,716,654,1363,4367,3892,8254,644,666,1311,815,783,1602,5828,5337,11166,3112,2923,6040,720,687,1409,835,803,1636,4670,4407,9082,100,112,213,96,204,293,217,218,431,215,591,803,4,4,13,636,1127,1762,316,496,815,175,450,624,74,134,211,237,725,962,0,4,3,809,1812,2620,123,187,305,207,429,637,15,9,20,340,622,956,6585,6075,12659,19583,20026,39611
CED330,965,914,1886,5446,4988,10432,1204,1134,2338,1160,1150,2312,7808,7268,15081,3652,3556,7212,765,815,1587,1335,1279,2615,5753,5657,11408,156,223,382,78,244,322,350,290,638,303,677,987,13,7,21,900,1446,2348,849,1510,2361,254,494,751,115,217,330,379,869,1246,4,12,12,1606,3100,4703,126,175,303,185,503,692,5,8,14,319,688,1004,6509,6112,12621,23873,25187,49060
CED394,19,15,31,91,93,182,8,10,21,34,29,66,129,133,264,54,47,97,6,0,4,12,12,21,70,59,128,12,10,22,11,17,24,8,19,33,17,25,41,3,7,9,53,80,136,53,75,127,40,63,100,12,10,19,26,22,52,3,5,9,126,171,301,20,29,51,18,39,57,0,3,5,41,71,112,1598,1045,2650,2039,1581,3621
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,12,21,14,18,33
CED401,973,945,1921,3357,3258,6610,1355,1371,2719,1141,1106,2241,5848,5727,11577,1475,1274,2747,981,1059,2040,1545,1355,2896,3996,3684,7684,383,348,737,413,574,990,201,154,353,544,808,1343,15,8,18,1551,1893,3448,5027,5527,10553,2054,1961,4019,322,379,700,1065,1381,2449,26,26,57,8499,9279,17776,274,300,574,343,503,842,7,6,15,623,809,1434,5564,5067,10630,27064,27399,54467
CED402,889,803,1691,5227,4768,9989,959,863,1817,925,858,1781,7106,6484,13587,3324,3295,6623,384,379,761,499,484,982,4212,4155,8371,137,152,282,85,237,324,352,312,666,327,676,1002,10,9,22,914,1381,2293,234,479,714,95,240,338,40,84,119,202,531,734,4,10,13,575,1341,1918,99,116,217,181,352,532,9,4,9,285,473,757,6581,5576,12152,20559,20217,40773
CED403,944,849,1793,4154,4053,8204,1014,1019,2033,1100,1135,2234,6263,6201,12468,2154,2139,4295,942,925,1869,1317,1254,2566,4408,4326,8735,199,206,404,201,268,472,307,181,487,449,654,1108,6,7,9,1165,1318,2484,2348,3063,5411,1100,1307,2411,209,287,497,722,1217,1940,16,25,37,4399,5899,10298,152,159,309,229,375,602,13,10,25,393,545,937,3204,3420,6624,20778,22555,43340
CED404,897,820,1713,4802,4421,9221,1037,999,2032,510,549,1055,6342,5965,12308,2921,2724,5640,636,678,1310,261,329,598,3821,3727,7547,95,153,244,91,233,325,268,256,529,333,650,984,18,10,27,805,1304,2115,103,278,377,77,250,328,37,105,133,212,526,735,4,11,14,431,1167,1594,75,101,175,102,310,406,7,9,12,183,411,593,7258,6247,13506,19743,19646,39386
CED405,831,787,1618,3292,2991,6285,1505,1539,3039,743,741,1483,5539,5273,10807,1654,1595,3247,1190,1204,2396,728,692,1422,3574,3490,7067,266,235,504,268,392,660,262,183,447,502,631,1133,13,10,24,1319,1457,2771,2418,2847,5264,975,1193,2162,264,301,564,646,1013,1661,10,21,33,4309,5371,9679,183,189,368,283,444,730,3,12,15,463,642,1111,4003,4449,8459,20030,21475,41505
CED406,928,906,1831,5064,4583,9647,1013,1024,2036,973,967,1937,7042,6577,13621,2874,2839,5716,658,611,1264,782,810,1597,4319,4259,8577,212,248,461,136,344,487,359,287,642,449,744,1192,14,6,21,1170,1637,2801,922,1325,2245,397,583,980,145,188,333,423,847,1269,4,13,19,1890,2957,4853,95,194,291,228,441,669,9,15,17,332,649,982,4182,4471,8651,19867,21455,41318
CED407,890,868,1759,4479,4141,8626,1126,1016,2143,1239,1200,2437,6847,6359,13205,2421,2265,4687,833,853,1682,1073,1080,2147,4324,4192,8516,291,277,568,230,348,580,355,244,599,481,774,1255,13,13,26,1365,1658,3028,1717,1941,3656,629,726,1354,199,257,455,502,903,1414,9,15,21,3048,3849,6901,223,233,460,248,461,708,7,13,21,479,710,1193,3970,3735,7705,20932,21363,42301
CED408,822,818,1636,4362,4090,8448,489,494,985,1578,1542,3113,6424,6122,12550,2277,2254,4526,485,439,924,1491,1535,3030,4254,4227,8478,135,187,318,69,239,301,358,233,591,315,619,934,7,12,15,881,1282,2162,867,1233,2106,276,418,699,121,160,289,398,847,1242,8,11,17,1672,2676,4351,87,102,188,144,327,474,7,3,8,234,427,666,4322,4452,8775,18617,20009,38624
CED409,1034,1011,2041,4578,4280,8856,2077,2035,4108,625,694,1321,7286,7007,14290,2715,2522,5236,1379,1442,2820,574,567,1135,4665,4526,9194,350,366,716,382,562,941,280,282,563,507,952,1454,16,17,35,1532,2184,3711,1646,2085,3727,652,758,1414,186,251,437,507,834,1341,7,26,36,2997,3948,6949,241,326,566,291,548,845,11,8,19,548,891,1435,4920,5129,10046,22970,24687,47660
CED410,966,907,1876,4090,3721,7808,1481,1379,2861,833,838,1668,6405,5936,12342,2239,1985,4220,1151,1226,2377,1081,1222,2301,4472,4428,8902,261,217,484,259,419,670,228,175,400,428,669,1103,9,9,18,1185,1499,2681,2714,2923,5631,1016,1166,2182,246,268,510,689,1055,1738,18,20,35,4681,5429,10106,148,204,349,267,406,671,9,3,8,421,616,1029,3244,3529,6773,21370,22338,43710
CED411,1232,1169,2407,5598,5172,10769,1221,1197,2416,1675,1621,3299,8491,7998,16484,3009,2704,5712,959,1065,2029,1217,1149,2371,5187,4924,10107,315,358,681,277,563,842,385,401,783,534,982,1517,15,20,30,1534,2323,3858,833,1243,2070,319,519,832,121,203,325,343,686,1021,4,10,15,1610,2654,4270,206,317,523,231,548,775,12,16,26,452,873,1325,6293,6187,12483,24793,26138,50932
CED494,5,8,8,28,30,55,0,3,5,0,5,8,29,43,76,34,38,70,0,0,0,4,6,15,39,47,86,4,5,12,7,10,20,0,4,3,3,7,10,0,0,0,21,24,43,22,12,35,16,19,33,0,3,3,7,9,12,0,0,0,40,38,81,11,10,21,7,3,13,0,0,0,18,11,29,403,220,625,552,393,946
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,1133,1052,2189,6096,5636,11730,931,997,1922,1204,1182,2384,8230,7811,16040,3580,3409,6995,758,766,1520,1170,1168,2344,5508,5346,10856,389,386,776,145,366,517,468,316,789,393,692,1087,12,20,30,1412,1784,3194,812,1257,2070,281,647,925,141,248,389,456,899,1353,5,12,15,1695,3059,4754,159,227,388,238,604,837,11,11,23,406,835,1246,7811,6248,14064,26205,26136,52345
CED502,1267,1255,2521,5873,5426,11296,1008,1005,2012,1248,1256,2510,8135,7680,15823,3839,3635,7471,824,823,1644,1136,1231,2369,5805,5679,11486,468,433,899,318,502,823,437,308,750,452,768,1213,19,13,35,1689,2027,3715,1616,1929,3541,557,768,1320,215,287,500,546,886,1432,11,22,38,2936,3888,6826,259,286,540,314,584,891,12,14,28,575,882,1460,6269,4987,11254,26676,26403,53078
CED503,860,831,1691,4369,4035,8406,917,974,1898,1141,1119,2262,6422,6130,12559,2572,2430,5002,759,812,1574,1235,1310,2547,4567,4556,9120,260,314,577,91,252,348,421,262,684,279,506,785,11,8,20,1061,1342,2407,622,985,1607,176,461,631,109,186,294,283,683,963,6,6,14,1193,2319,3512,110,189,292,164,459,629,15,3,20,284,650,940,5951,5283,11235,20347,21114,41462
CED504,983,1012,1996,4942,4600,9548,1281,1315,2598,878,903,1778,7096,6824,13925,3591,3239,6832,1082,1109,2192,924,968,1891,5590,5319,10914,410,344,762,230,359,592,403,209,614,391,631,1027,26,20,46,1465,1572,3037,1550,1859,3409,394,563,953,212,309,521,435,751,1182,14,21,30,2592,3504,6096,238,243,478,283,537,819,10,15,25,527,794,1328,4199,4042,8243,22464,23073,45534
CED505,924,821,1742,3963,3664,7625,964,915,1881,1102,1104,2206,6032,5677,11713,1763,1647,3410,896,1068,1965,2652,2248,4902,5320,4959,10282,196,174,367,226,256,489,167,101,270,302,451,753,3,3,8,896,987,1887,3552,3570,7120,1281,1297,2580,325,324,651,872,1245,2117,23,28,50,6050,6461,12517,143,155,300,226,440,665,4,9,10,373,598,973,4699,4810,9501,24294,24322,48611
CED506,1247,1079,2320,6085,5720,11805,1488,1466,2958,524,560,1087,8105,7748,15847,3488,3105,6592,926,989,1914,399,395,794,4817,4482,9299,155,174,333,97,179,272,339,316,655,579,1000,1579,18,29,44,1187,1691,2885,99,263,357,129,291,422,35,133,165,482,912,1394,6,5,13,750,1604,2355,159,109,266,175,383,560,10,10,23,351,501,849,14437,10023,24463,30889,27127,58016
CED507,984,868,1849,4699,4411,9113,1192,1169,2356,1024,986,2009,6919,6563,13481,3339,3223,6562,961,1015,1973,929,927,1850,5227,5165,10392,204,263,466,109,273,386,441,243,684,303,706,1012,12,12,25,1070,1502,2574,176,426,600,139,400,538,49,128,177,264,793,1054,0,9,9,635,1753,2383,87,144,232,181,362,545,5,7,11,278,515,789,6308,5871,12177,21410,22231,43641
CED508,909,950,1851,4555,4170,8727,1243,1295,2530,478,535,1012,6276,5994,12273,2173,2100,4277,1534,1693,3225,655,702,1362,4360,4500,8857,364,261,627,229,303,532,340,197,541,372,565,938,8,6,21,1313,1335,2650,1430,1967,3404,636,963,1601,214,302,514,697,1192,1887,7,18,25,2994,4442,7434,156,160,314,263,461,729,4,15,19,424,635,1054,5413,5394,10807,21682,23251,44935
CED509,888,798,1683,4232,3842,8074,1022,910,1927,998,990,1987,6253,5739,11991,2520,2489,5010,1274,1178,2453,1232,1096,2329,5027,4763,9790,334,315,649,183,320,503,403,222,626,339,620,964,8,7,12,1269,1486,2757,975,1329,2302,340,527,865,177,231,414,419,810,1227,17,21,30,1924,2911,4838,159,186,342,223,470,699,12,3,13,391,658,1055,6719,4730,11447,22471,21096,43566
CED510,913,791,1708,4582,4272,8856,1235,1215,2452,920,959,1886,6742,6453,13190,2741,2557,5301,1151,1177,2324,1518,1460,2975,5414,5196,10607,277,271,550,104,202,308,457,174,626,314,455,775,8,12,13,1160,1108,2265,2061,2303,4363,501,648,1146,258,365,627,546,954,1508,9,15,27,3374,4289,7659,94,132,231,194,362,558,8,0,10,297,499,797,3166,2899,6067,21070,21227,42301
CED511,985,883,1866,5186,5025,10209,902,962,1862,649,644,1292,6734,6627,13359,3547,3307,6855,611,643,1255,702,708,1407,4858,4661,9517,215,189,407,76,173,243,380,354,734,364,867,1225,15,16,31,1044,1590,2640,201,223,426,146,223,368,47,106,152,267,652,919,3,0,7,668,1208,1874,73,116,190,137,300,435,5,5,13,220,417,637,9108,7802,16912,23620,23194,46807
CED512,1318,1213,2529,6523,6104,12629,1387,1293,2683,1447,1265,2712,9356,8659,18021,3764,3548,7313,1336,1357,2694,1543,1489,3035,6647,6391,13035,379,415,791,173,345,513,553,331,884,423,790,1213,16,12,28,1544,1885,3425,1051,1511,2560,338,687,1029,190,292,485,514,962,1479,12,16,24,2102,3468,5565,185,263,449,256,635,893,6,12,16,449,911,1362,7727,7638,15366,29140,30160,59307
CED513,753,694,1446,3015,2655,5674,1229,1168,2393,515,558,1071,4757,4382,9139,1562,1557,3111,1064,949,2017,615,874,1494,3244,3385,6624,386,337,722,506,676,1182,237,178,419,502,704,1207,11,11,27,1642,1913,3553,2080,2314,4390,1057,1084,2142,249,332,573,1021,1350,2372,19,25,44,4420,5102,9525,321,393,712,383,610,997,3,10,14,707,1017,1719,6680,6413,13094,22204,22901,45102
CED514,870,835,1701,3272,3147,6419,1449,1476,2919,669,688,1357,5383,5313,10698,1888,1740,3631,1223,1203,2430,786,1096,1878,3896,4043,7935,398,324,722,443,564,1008,287,146,433,450,685,1134,22,18,37,1605,1734,3334,1780,1987,3771,828,878,1705,242,297,542,682,963,1644,11,33,42,3548,4160,7711,288,305,591,344,580,928,13,9,25,648,892,1539,5141,5392,10528,21082,22368,43458
CED515,829,748,1575,3042,3038,6083,1331,1206,2543,849,799,1655,5228,5049,10271,1736,1616,3357,1346,1050,2396,944,862,1800,4025,3534,7559,661,482,1144,612,746,1357,338,213,555,521,705,1224,14,11,26,2144,2165,4310,3882,3809,7691,1927,1650,3580,316,385,703,887,1141,2030,26,18,43,7042,7005,14040,450,357,810,420,629,1051,9,9,22,881,992,1879,7330,6999,14330,27473,26487,53961
CED516,781,774,1561,4586,4106,8699,950,965,1910,377,438,818,5915,5505,11423,3330,3074,6401,1179,1302,2487,910,886,1792,5420,5265,10684,309,202,514,214,267,487,292,112,398,280,439,726,9,6,14,1110,1030,2137,2830,2995,5830,780,869,1648,298,312,608,604,851,1453,14,19,39,4524,5046,9577,117,160,279,232,346,582,7,4,7,355,520,869,3149,3340,6488,21249,21475,42728
CED594,14,7,17,51,51,96,13,3,16,13,14,26,72,70,139,21,26,49,0,3,7,3,3,7,27,35,61,5,7,9,14,10,28,3,3,11,14,14,30,0,0,0,34,40,67,27,34,61,25,14,38,4,3,8,9,19,25,0,0,0,67,70,128,8,10,20,14,11,27,0,0,0,28,16,43,982,607,1592,1215,838,2049
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,3,0,3,70,8,75,87,6,94
CED601,437,375,807,3314,3071,6381,644,687,1333,517,499,1009,4469,4254,8724,1894,1809,3704,539,540,1074,599,604,1200,3030,2956,5985,349,337,684,183,253,442,268,226,494,257,476,734,9,5,20,1067,1300,2364,1012,1047,2056,471,477,946,80,129,205,322,677,998,6,11,16,1886,2342,4224,90,90,183,132,232,366,3,3,5,221,326,553,3822,3985,7804,14927,15534,30463
CED602,349,292,649,3143,3008,6152,850,797,1653,360,338,701,4351,4143,8496,1939,1910,3849,585,593,1175,266,238,498,2786,2738,5528,328,393,721,78,184,260,270,188,454,249,389,642,9,3,15,930,1158,2092,151,296,447,100,216,316,38,78,119,210,486,695,3,8,5,497,1083,1578,50,87,140,95,205,301,7,5,7,152,300,449,3661,3904,7569,12729,13630,26355
CED603,382,381,763,2882,2602,5483,771,856,1627,530,491,1021,4180,3950,8132,1651,1475,3126,615,730,1342,735,750,1487,2999,2955,5959,278,297,568,199,280,482,231,161,390,318,436,755,9,15,17,1030,1187,2219,1700,1831,3532,1022,987,2009,147,194,337,585,1034,1625,10,10,17,3464,4057,7524,97,122,220,175,300,471,6,4,14,280,421,706,3502,3658,7155,15849,16615,32464
CED604,418,392,811,3274,2965,6239,1049,1105,2156,585,599,1181,4906,4672,9575,1883,1631,3518,871,903,1771,552,522,1072,3302,3055,6357,301,263,562,74,153,234,282,154,433,299,467,770,7,11,18,961,1050,2013,568,694,1268,220,354,579,77,114,190,412,874,1290,9,11,20,1289,2051,3341,78,100,181,146,268,411,3,11,12,223,374,601,3402,3135,6536,14512,14732,29240
CED605,345,354,703,3578,3382,6959,695,609,1305,283,272,549,4558,4259,8813,1962,1794,3755,633,629,1263,296,286,580,2887,2709,5602,313,343,659,47,152,200,249,163,405,220,421,639,14,9,23,844,1081,1924,202,327,526,88,170,254,24,60,86,169,497,665,3,4,8,478,1054,1540,89,109,193,81,215,294,7,3,12,171,327,498,4505,4571,9077,13794,14358,28150
CED694,3,3,4,8,12,18,3,0,4,3,0,8,9,17,24,4,6,13,0,3,3,0,3,3,4,12,20,3,9,8,0,0,0,0,4,7,0,0,0,0,0,0,3,9,13,5,8,17,12,3,17,0,0,0,0,6,3,0,0,0,20,21,39,0,0,0,3,3,5,0,0,0,3,3,5,119,61,181,165,121,285
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,7
CED701,988,988,1980,4455,4101,8556,699,647,1346,562,556,1114,5709,5306,11015,2175,2002,4171,562,467,1025,754,750,1511,3491,3218,6707,67,48,114,49,79,133,165,114,280,252,480,737,17,6,22,554,731,1287,91,162,251,126,239,362,58,129,182,414,1005,1419,10,10,15,693,1545,2239,91,76,167,140,262,403,13,12,26,244,346,593,11252,7683,18934,22933,19821,42754
CED702,898,863,1762,3450,3285,6737,689,589,1279,730,713,1443,4863,4591,9453,2125,2044,4171,516,523,1041,651,757,1404,3288,3322,6613,88,73,163,94,132,222,171,160,332,369,626,996,7,9,22,733,1000,1738,637,767,1410,577,854,1432,184,313,495,844,1604,2451,8,19,31,2255,3561,5809,106,123,234,239,555,794,10,11,21,359,691,1045,6354,5777,12130,18760,19791,38554
CED794,3,0,3,22,25,48,3,0,5,3,6,10,32,35,62,5,7,11,0,0,0,0,0,3,7,3,13,17,5,27,3,0,6,3,0,3,3,3,8,0,0,0,25,11,39,3,0,3,0,7,8,0,0,0,6,3,10,0,0,0,12,13,18,9,14,16,4,4,7,0,0,0,10,14,22,449,379,822,527,450,986
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,13,16,7,23
