CED_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
CED237,35774,99503,7811,16657,9032,22149,16840,38808,5117,9235,1678,2869,3924,6741,27,74,10742,18917,5,24,3,3,0,0,269,630,280,659,236,569,63876,158462,6241,..,70114,158462
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED301,47893,134345,2324,3972,1289,2657,3618,6627,780,1183,97,154,39,67,7,14,921,1425,239,376,30,63,16,33,56,127,341,602,209,446,52975,143449,4803,..,57773,143449
CED302,42001,120664,1686,2877,4703,11203,6383,14080,1441,2213,1015,1885,557,1128,11,17,3018,5247,203,287,412,656,3,6,44,120,661,1072,136,290,52198,141341,3972,..,56171,141341
CED303,44559,125246,2457,3956,2468,4945,4931,8901,1882,2928,251,451,225,365,3,0,2362,3742,119,167,221,324,8,24,20,36,370,555,223,424,52446,138873,5317,..,57762,138873
CED304,26504,75529,437,763,3879,8248,4320,9008,7265,12360,9580,17080,16285,31126,26,50,33154,60615,16,37,22,33,53,65,87,185,168,320,441,805,64582,146282,9149,..,73728,146282
CED305,45421,120810,2056,3430,858,1442,2919,4872,2078,3359,118,191,164,275,23,33,2381,3863,444,752,165,269,81,159,53,132,743,1324,370,705,51836,131573,10601,..,62438,131573
CED306,45777,121154,2877,4923,1588,2984,4464,7906,2750,4624,427,713,344,609,11,19,3522,5968,628,1091,125,217,103,218,64,144,918,1668,454,896,55127,137594,8690,..,63820,137594
CED307,42703,126607,2526,4229,2902,6591,5421,10825,811,1314,25,46,61,69,5,10,897,1443,130,187,73,94,10,29,10,19,223,328,70,170,49315,139369,3042,..,52356,139369
CED308,37604,110843,6513,13367,7700,18180,14213,31538,1219,2217,2593,4651,3061,6016,3,7,6881,12894,318,478,173,283,10,31,14,51,521,845,237,517,59458,156635,5399,..,64858,156635
CED309,41488,114614,3550,5925,3896,8049,7451,13977,3044,5428,1147,2154,2119,3968,31,41,6341,11586,476,767,338,492,23,45,30,89,870,1397,306,676,56451,142251,6139,..,62590,142251
CED310,38257,104860,4372,7323,1710,3602,6081,10928,1908,3277,1340,2441,3298,6181,23,45,6573,11945,326,520,327,458,23,34,42,108,725,1122,278,514,51910,129364,7393,..,59307,129364
CED311,48008,128062,918,1574,689,1375,1608,2954,1852,2990,162,247,249,391,11,21,2271,3653,761,1302,110,226,234,434,95,224,1205,2186,524,1191,53614,138043,12296,..,65905,138043
CED312,45770,138047,2549,5030,3370,7896,5916,12922,1423,2763,134,215,12,18,9,15,1579,3015,247,351,160,205,12,26,12,32,433,612,139,366,53842,154965,3683,..,57522,154965
CED313,30091,86913,580,1114,6184,13471,6759,14579,6806,12050,7842,14259,7967,15372,19,55,22635,41741,6,9,20,40,0,0,166,424,186,478,294,605,59957,144308,6962,..,66924,144308
CED314,44154,119155,5039,8175,1368,2401,6402,10577,2440,4093,58,76,73,119,4,11,2578,4297,101,174,13,31,25,43,107,296,242,540,346,700,53736,135267,5725,..,59460,135267
CED315,44626,123837,3862,6204,2668,4859,6530,11058,1897,3156,1151,1939,1453,2645,4,7,4512,7753,256,452,106,190,31,69,32,87,429,797,211,401,56302,143836,7400,..,63697,143836
CED316,45712,115140,3313,5262,1478,2548,4791,7811,2098,3237,192,310,322,556,4,5,2616,4111,694,1121,306,453,72,156,75,167,1140,1899,333,634,54602,129585,7503,..,62107,129585
CED317,47421,125189,1775,3443,325,575,2098,4026,2520,4458,37,68,77,124,12,22,2646,4669,894,1556,123,182,203,467,273,587,1493,2792,506,1166,54158,137834,9192,..,63348,137834
CED318,42801,122454,3345,6463,2963,5682,6305,12143,5709,10292,3259,6349,1093,2110,11,32,10080,18781,370,687,266,434,108,218,124,308,869,1639,506,955,60555,155963,7943,..,68501,155963
CED319,42205,115040,1948,3179,4910,10523,6855,13708,4281,7335,3273,5958,2259,3936,6,13,9822,17249,23,34,115,141,3,9,57,111,203,301,217,453,59299,146740,4895,..,64189,146740
CED320,46919,134670,3639,6970,2217,4178,5853,11150,981,1357,275,438,163,267,21,38,1434,2109,394,560,234,341,22,57,32,95,683,1047,171,373,55062,149341,4760,..,59825,149341
CED321,49845,124175,1732,2724,131,250,1866,2976,1576,2412,3,3,10,22,11,22,1598,2464,528,921,103,196,90,179,157,360,886,1652,435,1040,54631,132303,10596,..,65225,132303
CED322,31939,92440,3530,7016,9159,21744,12688,28755,2531,4248,4076,7390,3396,6208,16,32,10014,17879,111,212,21,41,10,18,36,90,185,359,154,340,54977,139769,5834,..,60809,139769
CED323,26662,74898,4130,7567,7923,17943,12049,25507,4252,8104,6570,11950,11654,21997,14,26,22490,42076,353,474,247,358,0,0,21,60,622,889,361,642,62189,144003,10823,..,73012,144003
CED324,40197,121326,1179,2611,6220,16265,7400,18870,2572,4647,1707,3140,622,1176,11,16,4917,8976,3,8,81,112,3,6,33,87,120,216,316,595,52950,149983,4056,..,57005,149983
CED325,45284,138592,1505,2859,3318,8148,4828,11008,471,612,96,196,8,17,4,17,575,842,179,234,3,6,3,3,103,323,287,571,133,303,51109,151304,3188,..,54291,151304
CED326,45978,128527,2925,4961,4288,9762,7213,14726,2795,4339,884,1361,1790,3077,7,14,5481,8786,257,374,189,252,6,6,26,65,482,702,203,410,59353,153154,4785,..,64140,153154
CED327,46445,146907,1604,3424,6546,16200,8156,19623,1010,1901,94,226,41,85,39,89,1189,2304,130,199,28,38,3,7,118,363,279,616,149,309,56220,169752,3775,..,59997,169752
CED328,38980,114716,583,923,2043,4552,2629,5474,2921,5824,5062,10295,3529,7190,3,12,11513,23321,3,5,3,12,3,4,28,76,38,92,198,444,53354,144047,4370,..,57728,144047
CED329,47150,118613,2070,3204,1850,3327,3924,6526,1759,2761,438,754,100,177,6,13,2305,3705,459,722,173,259,149,310,69,147,854,1443,355,807,54584,131092,9366,..,63949,131092
CED330,47261,138816,957,1746,352,749,1303,2499,423,770,45,62,3,5,10,41,482,869,255,368,102,196,46,112,246,657,648,1333,342,724,50044,144239,3917,..,53962,144239
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED401,34251,91121,10424,20040,6791,14633,17219,34676,6696,11869,1477,2641,3710,6602,25,43,11900,21158,21,32,5,18,14,18,183,420,218,491,269,568,63864,148009,8058,..,71919,148009
CED402,51121,124284,3780,6507,84,161,3862,6667,1755,2555,4,5,16,23,3,3,1776,2585,205,316,190,313,50,84,109,226,549,943,327,715,57640,135198,13437,..,71082,135198
CED403,42466,112024,7364,13791,1971,4558,9329,18348,2948,4874,191,414,22,30,9,18,3166,5343,72,97,8,20,3,6,45,117,131,239,176,372,55275,136325,4766,..,60042,136325
CED404,46359,110257,6269,11930,152,369,6421,12291,1421,1976,26,30,0,3,3,6,1451,2019,372,576,100,170,93,145,181,393,751,1287,438,926,55417,126781,19929,..,75352,126781
CED405,36519,93965,11194,20706,4255,9794,15448,30498,7228,12122,1368,2286,980,1659,9,16,9580,16085,23,36,6,19,8,10,66,132,100,201,230,508,61881,141259,7479,..,69359,141259
CED406,49726,127728,4232,6625,560,1223,4791,7847,1294,2026,39,60,51,86,9,17,1397,2186,76,112,120,164,12,22,9,32,215,335,109,226,56230,138327,5296,..,61527,138327
CED407,48059,127062,3494,5989,1657,3946,5144,9939,1334,2177,373,721,318,564,0,7,2025,3466,11,43,3,3,0,3,31,69,47,117,89,189,55363,140778,3983,..,59345,140778
CED408,49486,123429,1801,2676,251,466,2054,3147,471,640,53,72,11,20,9,13,539,759,156,255,111,161,23,49,76,179,375,637,257,532,52708,128500,12404,..,65107,128500
CED409,46106,125159,9146,18087,2405,5597,11551,23686,2970,4947,268,474,473,800,31,44,3741,6264,87,145,60,85,4,9,94,249,253,487,189,412,61833,156009,5545,..,67385,156009
CED410,41245,109202,8604,16650,2417,5391,11021,22047,5028,8887,188,250,68,104,4,14,5292,9261,39,51,13,19,3,7,28,53,78,134,155,389,57793,141031,5673,..,63471,141031
CED411,51466,137901,6909,13370,745,1565,7657,14940,1065,1649,64,97,0,3,4,4,1131,1753,136,203,68,109,23,58,85,186,311,556,211,486,60781,155632,5665,..,66449,155632
CED494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED501,50126,139016,2840,4972,651,1187,3493,6155,1123,1689,142,256,128,207,0,0,1393,2153,152,230,17,43,9,21,89,245,262,538,99,238,55369,148103,7146,..,62516,148103
CED502,49179,144444,6033,12814,302,735,6329,13544,365,726,107,230,0,0,0,0,478,955,64,82,4,8,0,3,24,75,94,168,80,177,56159,159283,5328,..,61486,159283
CED503,45574,120737,3634,5961,967,1855,4604,7819,989,1469,142,273,245,460,4,11,1383,2209,363,506,141,207,42,100,60,156,604,959,159,338,52321,132060,11552,..,63870,132060
CED504,43304,128805,4474,9273,493,1134,4968,10413,161,242,0,4,0,0,3,7,168,252,71,86,153,206,0,0,10,32,232,323,37,103,48709,139902,3526,..,52232,139902
CED505,31393,87601,6605,12585,5696,12559,12301,25145,3750,6406,3231,5357,2707,4556,8,9,9689,16330,6,3,0,3,0,0,24,52,31,61,117,248,53527,129389,7512,..,61042,129389
CED506,46518,127814,3356,6247,750,1743,4105,7982,1614,2839,90,144,96,172,9,17,1812,3173,1459,2612,179,294,258,554,325,808,2219,4269,560,1183,55216,144419,17510,..,72727,144419
CED507,46038,120239,3688,6326,578,1139,4260,7464,866,1270,87,148,37,66,9,12,996,1502,310,482,469,732,65,136,59,113,902,1465,238,518,52427,131186,12102,..,64526,131186
