CED_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
CED101,0,0,0,3,0,0,0,4,0,475,7,494,0,7,0,0,0,4,0,14,4,152,0,185,0,4,0,0,0,3,0,37,0,98,0,148,0,0,0,0,0,11,0,31,0,48,0,92,3,12,0,7,0,11,0,54,7,561,7,656,0,15,0,3,0,42,0,95,4,177,3,348,12,51,3,22,0,95,0,104,9,1352,8,1654,9,66,0,31,3,143,4,118,13,470,7,859,45,103,11,111,4,215,14,100,25,497,7,1127,115,85,6,202,13,162,12,87,9,319,8,1018,151,39,6,197,11,137,9,48,3,123,4,730,221,31,7,139,7,119,4,37,13,126,3,713,700,54,11,269,38,206,7,63,11,153,0,1511,519,26,13,157,27,88,14,28,3,68,0,937,396,17,6,79,15,35,0,15,5,26,3,599,259,8,4,37,4,54,0,8,6,11,0,393,438,27,3,116,19,51,6,20
CED102,7,0,0,0,0,3,0,10,3,628,6,652,3,5,0,0,0,0,0,14,3,213,0,248,0,3,0,0,0,6,0,47,7,99,0,159,0,0,0,0,0,4,0,67,3,63,0,136,4,26,0,0,0,14,0,79,8,664,3,808,6,25,0,5,0,47,5,96,3,180,0,376,12,94,0,23,0,127,3,127,12,1481,18,1895,16,123,3,51,3,210,8,148,17,409,5,992,56,189,10,178,12,293,18,132,20,381,4,1287,202,132,9,326,15,214,13,87,24,226,3,1255,192,70,9,270,19,167,11,39,16,58,4,850,342,43,14,248,21,117,10,35,4,75,3,906,1045,68,22,341,47,230,14,30,8,121,9,1933,766,31,9,204,37,60,5,22,3,32,0,1169,534,20,8,93,22,45,3,11,5,26,3,756,350,10,3,45,15,50,4,5,3,15,3,497,598,18,10,102,25,63,0,17
CED103,6,0,0,0,0,3,0,6,0,653,0,672,0,3,0,0,0,0,0,16,3,202,0,226,0,4,0,0,0,4,0,51,0,96,0,165,0,0,0,0,0,5,0,27,0,43,0,79,3,8,5,3,0,5,0,72,0,501,6,609,3,21,0,5,0,37,3,98,7,165,0,343,11,50,0,11,0,82,4,99,11,1000,3,1270,16,60,0,47,3,158,5,120,13,434,3,855,36,102,0,126,3,224,11,106,13,522,9,1153,116,83,4,211,10,203,9,81,14,378,3,1120,142,46,6,181,13,198,5,63,12,155,0,820,255,39,3,183,16,164,7,56,13,137,4,867,806,59,14,331,32,293,7,73,9,218,4,1850,761,40,12,249,32,135,9,40,11,80,0,1362,579,17,3,121,23,55,3,23,8,48,0,874,408,16,7,45,12,111,0,9,7,31,0,648,769,29,16,179,36,127,3,24
CED104,4,3,0,0,0,3,0,8,0,316,0,341,3,4,0,0,0,0,0,8,0,126,3,142,0,3,0,0,0,4,0,21,3,55,0,95,0,0,0,0,0,0,0,10,0,26,0,36,0,12,3,3,0,3,0,30,9,348,0,412,0,9,0,5,0,17,0,52,5,109,7,215,10,38,0,10,0,27,4,104,4,846,8,1053,19,22,0,38,0,67,0,110,7,578,0,842,36,76,5,65,3,112,11,136,19,700,3,1156,56,62,6,105,4,103,3,114,9,574,3,1037,70,29,0,99,3,113,3,84,8,208,0,624,96,46,0,128,12,121,8,60,9,220,3,697,354,63,7,216,27,206,14,89,14,315,9,1310,355,45,11,205,27,97,6,76,11,144,3,978,309,29,5,168,7,44,7,22,0,71,0,668,256,15,4,68,4,120,5,22,3,62,0,557,633,53,10,296,37,181,16,63
CED105,4,0,0,0,0,6,0,7,0,472,3,489,0,3,0,0,0,0,0,4,7,121,4,141,0,0,0,0,0,3,0,31,3,111,0,155,0,0,0,0,0,4,0,50,3,72,4,131,3,7,0,3,0,21,4,61,12,679,4,796,0,16,0,7,0,69,0,97,10,204,0,408,10,76,6,23,3,154,5,137,19,1320,17,1766,18,67,0,55,3,240,7,106,21,313,9,846,48,106,7,136,5,273,13,99,11,313,6,1010,118,67,8,180,13,176,4,60,13,184,13,830,127,30,4,137,14,147,5,37,8,56,4,566,199,31,6,114,16,94,7,16,5,52,3,539,492,38,4,167,30,140,8,35,6,61,0,967,277,11,8,70,10,46,0,6,7,22,0,465,160,4,0,41,3,15,0,3,0,11,0,245,91,0,0,7,0,21,0,0,3,8,0,138,121,7,4,36,4,16,0,4
CED106,6,5,0,0,0,8,0,10,3,443,0,475,0,8,0,0,0,0,0,11,0,153,0,177,3,0,0,0,0,3,0,18,0,75,0,104,0,0,0,0,0,3,0,13,0,30,0,45,3,5,0,3,0,6,0,24,4,297,0,354,0,11,0,4,0,23,0,45,4,130,3,223,5,33,0,15,0,39,3,70,10,577,7,754,8,47,4,22,3,76,0,79,11,377,11,641,23,72,7,70,4,115,6,109,12,571,0,994,50,62,0,116,0,118,5,112,11,497,0,979,71,41,4,110,7,90,3,81,5,250,0,674,143,45,3,109,7,90,7,68,10,320,0,803,435,72,17,200,19,255,3,121,13,429,0,1576,453,50,16,203,20,104,4,83,5,301,0,1242,383,26,3,130,19,55,3,58,10,195,3,874,300,18,8,61,9,175,4,38,4,106,0,722,900,107,18,399,39,299,12,181
CED107,13,7,0,12,0,7,0,3,0,135,6,186,10,5,4,11,0,4,0,11,5,105,0,151,8,5,0,3,0,7,0,23,3,63,3,110,0,0,0,3,0,3,0,14,0,49,0,67,31,15,0,18,0,21,0,62,7,637,7,805,6,26,0,18,3,36,3,109,6,192,3,406,55,63,5,41,3,102,9,182,29,1828,31,2350,51,74,18,96,4,196,9,167,17,627,7,1267,89,106,15,249,15,216,15,193,23,680,15,1614,271,118,11,326,22,204,13,109,26,419,8,1525,207,51,7,262,20,149,5,55,12,123,0,889,322,60,16,240,17,145,6,46,12,116,3,985,740,81,24,400,42,193,14,66,29,157,9,1753,520,32,11,259,28,76,6,20,8,59,4,1018,384,16,13,134,13,27,7,12,7,39,0,657,164,7,9,45,14,50,0,13,5,17,3,326,318,29,3,171,19,52,5,21
CED108,0,0,0,0,0,7,0,3,0,339,3,347,0,3,0,0,0,6,0,6,0,78,3,97,0,0,0,0,0,3,0,23,0,74,4,100,0,0,0,0,0,4,0,14,0,37,0,63,3,9,3,0,0,9,0,42,3,503,4,581,0,12,3,4,3,49,0,73,7,168,0,324,5,24,4,11,0,111,0,97,16,1258,26,1549,14,40,0,31,3,241,4,106,17,291,4,741,35,40,6,125,10,268,3,85,19,305,8,901,161,59,9,178,11,221,6,43,16,174,4,884,169,26,7,163,17,155,3,24,9,48,4,623,278,13,7,152,11,112,4,21,6,40,3,669,779,29,12,220,47,143,9,23,8,48,3,1327,486,14,13,102,16,36,4,5,3,12,0,696,267,10,0,51,17,12,0,10,5,9,0,371,122,0,5,9,0,14,0,7,3,0,0,166,157,6,0,33,5,14,0,0
CED109,3,0,0,0,0,7,0,5,0,224,4,244,0,3,0,0,0,0,0,5,0,97,0,111,0,5,0,0,0,0,0,17,0,51,4,74,0,0,0,0,0,0,0,10,0,32,0,41,0,10,0,5,0,16,0,36,0,417,6,480,0,3,0,3,0,13,0,64,7,146,4,244,4,29,0,4,0,42,0,84,6,1060,11,1252,9,33,0,19,0,90,4,105,12,564,3,855,37,70,3,81,6,127,11,135,12,658,7,1144,85,85,8,132,10,128,9,99,14,491,0,1062,96,38,3,136,11,124,8,71,10,178,0,682,170,42,6,146,12,103,5,63,7,195,0,754,606,82,18,285,36,203,10,104,25,247,5,1610,634,32,15,216,34,62,10,47,8,122,0,1173,524,25,9,136,14,38,3,8,7,78,3,851,328,21,7,52,14,97,3,23,5,46,0,590,607,52,17,214,42,84,3,47
CED110,3,0,0,0,0,3,0,8,0,169,8,192,3,3,0,0,0,4,0,17,0,103,0,136,0,3,0,3,0,4,0,18,3,79,0,119,0,3,0,0,0,4,0,14,0,55,4,85,15,29,3,10,0,14,5,72,8,835,6,1010,10,30,0,10,0,34,3,129,24,357,6,597,38,99,11,45,3,99,6,243,25,3109,51,3728,51,128,8,93,9,182,16,283,29,1137,18,1949,81,179,17,228,11,209,19,231,24,1198,11,2200,214,157,19,403,26,176,33,162,23,782,18,2006,181,82,10,264,17,116,14,76,18,220,4,993,284,59,18,253,18,99,9,51,5,246,3,1042,542,83,14,371,37,173,20,69,19,227,8,1558,388,39,14,211,23,70,14,16,9,96,0,876,183,26,5,79,13,18,5,14,3,42,0,391,109,6,0,34,9,40,0,3,7,20,0,223,195,22,10,93,13,44,3,26
