CED_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED111,0,8,6,26,24,15,3,0,0,77,11,56,42,287,98,156,64,13,8,731,0,3,3,60,21,74,39,37,43,276,3,14,14,80,179,221,245,158,69,989,9,15,16,33,9,17,7,9,0,108,0,28,63,190,80,81,51,25,4,512,0,0,5,43,63,87,83,96,25,408,3,12,53,107,31,24,15,9,3,263,3,5,15,49,13,4,4,0,0,97,11,57,109,242,55,26,11,3,0,516,0,4,14,178,364,522,587,375,80,2133,0,10,10,80,177,60,66,45,0,452,6,46,93,196,93,65,65,15,6,586,10,34,184,234,115,134,59,21,13,800,0,12,8,34,73,77,51,35,17,299,0,4,18,43,19,10,8,0,0,104,109,342,452,1288,714,602,547,453,221,4721,400,652,1098,2207,1208,1245,1130,809,442,9181,8904,18244,22576,40069,20198,18403,13888,8895,4206,155380
CED112,0,3,3,32,40,24,4,3,0,113,9,52,73,317,178,158,59,12,9,862,0,4,4,37,16,26,28,10,13,128,0,13,11,91,122,192,207,152,58,843,0,3,0,10,19,17,6,0,4,63,0,32,57,195,114,79,62,35,15,586,0,0,0,6,8,13,17,13,3,64,0,0,0,37,15,13,14,11,0,89,0,6,9,17,5,6,0,0,0,43,4,19,25,107,41,27,0,0,0,227,0,0,0,3,5,7,5,5,0,16,0,0,0,8,3,5,3,3,0,20,5,38,32,114,81,71,41,12,0,395,0,15,7,80,17,14,0,0,0,135,0,6,0,32,35,39,65,30,5,220,0,7,18,44,19,15,8,8,3,132,16,57,80,469,344,338,375,231,66,1975,400,872,970,2135,1400,1411,1338,1038,740,10300,9414,20542,18667,35890,20162,19082,15900,9592,4809,154067
CED113,0,0,0,51,64,28,9,0,0,154,4,80,69,265,112,117,29,14,4,698,0,0,0,45,5,43,26,21,25,169,0,11,3,58,97,147,190,83,22,609,3,4,8,24,29,23,3,3,0,98,3,37,54,148,102,75,41,22,4,495,0,0,0,6,26,24,37,38,6,146,3,12,5,49,29,20,19,4,0,140,0,0,24,81,3,3,0,0,0,107,7,20,27,107,34,27,11,0,0,230,3,4,19,120,124,131,83,36,16,543,0,6,3,11,18,4,0,0,0,42,19,70,52,166,90,117,99,18,3,631,0,0,11,68,35,21,4,3,0,150,0,0,3,16,41,31,28,18,3,147,0,3,3,35,19,22,19,0,0,103,12,58,79,527,350,381,417,287,106,2217,475,1080,1148,2799,2017,2088,1640,957,497,12698,8177,18454,15693,33623,21977,21968,16469,7961,3218,147532
CED114,0,4,5,20,19,6,3,0,0,63,22,80,88,355,127,110,47,10,4,846,0,0,0,8,3,12,8,3,16,50,0,0,10,41,62,88,132,85,27,442,3,0,3,13,10,5,4,0,0,45,3,33,58,117,80,41,30,8,6,392,0,0,0,0,7,10,16,13,6,54,5,26,15,104,27,13,6,4,0,203,0,3,44,198,3,0,0,0,0,240,6,13,27,73,40,16,5,0,0,177,0,0,0,3,0,3,3,0,0,10,3,0,12,43,27,14,10,0,0,102,6,25,25,64,29,39,21,6,0,228,0,6,3,32,7,4,3,0,0,61,0,3,0,13,16,21,30,10,0,91,0,9,15,40,22,13,0,0,0,109,20,93,141,578,311,244,204,153,52,1792,716,1522,1524,3383,2020,2459,2123,1453,677,15879,10127,21264,19165,36812,21197,22380,18021,10596,4422,163980
CED115,0,3,0,12,5,0,0,0,0,22,17,84,194,808,334,401,276,53,31,2196,3,0,3,88,61,145,88,59,66,515,0,0,0,13,16,50,50,30,18,175,0,5,9,22,11,28,12,5,3,92,3,7,13,37,26,18,13,11,0,129,0,0,13,204,154,232,206,125,31,973,4,15,19,73,41,36,38,14,3,246,0,0,14,56,18,30,14,0,0,135,13,59,137,703,138,109,44,6,3,1211,5,10,20,149,148,201,167,71,18,797,11,14,27,95,121,86,72,18,3,445,6,22,33,55,7,18,5,0,0,151,126,497,1713,8477,6059,5029,1900,807,390,24999,0,0,0,0,3,4,10,5,4,27,3,17,29,50,28,0,0,0,0,126,126,576,922,3089,2158,2004,1508,782,318,11485,767,1288,1375,3408,1523,1444,936,499,226,11454,10547,20783,23826,44846,22004,20231,12353,6702,2947,164235
CED116,0,0,0,22,31,24,3,3,0,89,10,36,31,165,91,91,42,12,0,487,0,0,0,25,5,36,36,26,18,145,4,15,10,49,86,198,274,173,71,881,0,3,0,19,16,10,13,5,0,67,0,17,19,95,73,70,120,25,3,428,0,0,0,0,9,22,23,33,5,101,0,10,0,30,11,4,12,4,3,67,0,0,4,10,0,0,0,0,0,10,5,17,20,97,28,12,12,0,0,200,0,0,0,0,10,24,16,6,0,60,0,0,0,6,8,0,3,0,0,22,4,39,35,103,68,93,101,22,7,479,0,0,9,66,25,10,8,0,0,119,0,3,4,20,32,55,79,37,15,245,0,3,6,18,6,17,10,4,0,69,18,34,42,271,231,320,462,312,94,1788,385,908,1019,2216,1636,1964,2069,1323,629,12150,7411,16822,14777,28497,18836,23941,22881,12371,4897,150436
CED117,0,0,3,57,34,21,5,3,0,130,9,64,119,840,219,192,121,25,12,1590,3,0,12,191,30,80,39,21,21,397,0,10,15,293,165,132,103,39,7,775,7,27,34,158,56,32,23,10,3,350,0,10,59,401,136,101,58,13,4,778,0,0,0,19,31,33,27,28,6,144,0,0,19,132,42,46,21,13,9,283,0,9,27,191,19,23,10,3,0,285,8,29,122,824,109,79,30,6,3,1206,0,3,3,38,25,38,40,35,3,193,0,7,18,148,67,46,44,10,0,344,48,115,117,585,210,112,76,23,6,1287,12,48,271,815,340,426,163,76,53,2202,0,0,3,90,53,30,26,6,0,214,0,0,5,53,28,7,3,0,0,97,45,132,357,2511,921,781,831,492,212,6274,561,791,1149,4854,1633,1240,846,458,201,11732,9087,14225,15454,56828,20915,15134,10097,5375,2391,149513
CED118,0,0,10,39,18,17,7,0,0,93,40,301,542,2598,1350,1055,436,96,61,6483,0,3,7,119,60,103,72,27,24,414,0,19,14,67,96,82,90,54,17,454,11,65,66,103,61,51,30,14,5,408,7,89,181,446,250,165,91,41,9,1272,0,0,0,48,35,61,59,54,15,269,35,217,385,2083,845,590,302,122,32,4601,8,3,17,103,19,36,17,0,3,207,7,24,37,155,53,28,9,7,0,311,0,0,0,16,11,12,15,3,0,62,0,7,42,226,202,105,55,17,0,661,19,98,120,174,75,49,20,4,0,557,3,3,12,181,83,87,28,8,0,415,0,5,0,11,15,18,16,12,3,76,0,9,57,87,45,23,3,0,0,230,71,320,695,1971,1007,808,531,313,102,5811,515,865,821,2499,1017,877,621,372,195,7784,13730,24834,21127,55950,21184,16390,10398,4744,1711,170067
CED119,0,6,3,31,31,23,5,0,0,100,3,45,69,458,224,242,86,13,15,1159,0,0,3,87,40,95,46,20,12,309,0,17,16,100,108,147,143,77,20,634,7,16,12,51,36,40,20,0,0,181,0,39,71,272,165,144,106,43,6,837,0,0,0,13,40,37,28,16,6,140,3,11,13,61,43,57,24,8,3,225,0,4,6,44,11,8,5,0,0,80,3,15,30,165,38,13,8,4,0,294,0,3,11,94,108,127,103,33,11,474,0,0,3,29,34,11,3,3,0,93,9,51,56,141,88,57,39,12,3,460,6,18,30,275,150,124,31,16,3,648,0,0,10,36,38,24,20,14,4,150,0,7,11,44,18,4,4,3,0,94,22,158,202,1177,672,543,436,221,95,3515,250,484,548,1397,737,667,520,337,195,5130,9871,20048,18108,38183,20171,17172,12202,5699,2827,144289
CED120,0,0,0,23,27,16,0,7,0,74,3,40,41,204,100,97,38,6,3,542,0,3,0,53,17,36,38,12,11,170,3,14,26,107,124,195,186,86,27,762,0,11,11,13,23,15,8,3,0,91,0,19,40,177,87,66,57,17,0,465,0,0,0,10,20,27,14,12,3,94,0,7,5,36,21,17,9,3,0,102,0,0,0,30,12,7,3,0,0,56,0,11,18,94,25,17,5,0,0,170,0,0,0,18,25,18,9,3,3,75,0,0,3,10,14,4,3,0,0,33,4,49,30,94,71,65,37,12,4,367,4,4,11,72,34,14,3,0,0,143,0,0,5,22,46,32,38,12,10,174,0,7,17,45,20,21,3,0,0,120,13,69,94,554,415,341,304,166,88,2044,434,870,934,2210,1399,1341,1116,694,271,9261,10094,21369,18567,37808,20761,18488,14126,6738,2705,150643
CED121,0,3,6,44,30,32,6,4,0,133,13,59,59,259,116,100,42,7,4,655,0,0,0,20,0,15,25,12,15,92,0,11,7,45,67,116,175,83,36,547,0,0,7,14,8,11,7,3,0,50,0,49,86,148,114,64,47,31,7,538,0,0,0,3,6,11,17,5,4,53,0,14,4,47,17,14,11,6,0,112,0,0,3,25,0,0,0,0,0,32,6,11,23,124,36,14,8,0,0,219,0,0,0,7,4,7,10,9,3,41,0,0,3,5,5,0,4,0,0,24,4,37,39,106,54,42,45,8,0,342,6,7,7,59,10,15,0,0,0,102,0,4,0,13,25,18,36,18,5,124,0,4,17,41,26,20,9,0,0,117,3,59,74,330,203,193,220,134,77,1293,435,992,907,2353,1431,1491,1421,765,417,10215,10244,20415,19012,38155,20372,20001,16168,8549,3882,156796
CED122,0,9,8,43,54,26,15,11,4,158,7,88,214,1023,366,311,128,53,13,2211,3,9,9,243,68,137,99,40,29,623,3,12,44,351,147,148,115,57,14,907,19,33,249,303,65,77,53,17,9,825,6,58,187,683,451,174,137,80,24,1804,0,0,4,29,38,55,29,29,14,203,0,4,69,164,51,41,43,10,4,391,7,8,94,295,51,56,30,9,3,558,8,36,160,609,128,95,30,4,4,1072,0,0,0,24,13,20,19,15,0,87,0,8,21,125,164,102,67,34,8,527,28,99,153,486,154,75,51,10,4,1067,9,33,149,427,141,138,62,29,7,981,4,8,5,104,38,20,19,7,4,210,0,3,20,79,37,19,6,4,0,167,116,322,948,4865,1483,1434,1373,776,316,11629,596,913,2026,4688,1567,1344,1083,692,413,13319,9752,16917,28577,59879,21337,16421,12274,7566,3521,176238
CED123,0,3,4,38,16,10,5,0,0,78,21,142,243,1171,538,466,181,49,27,2836,3,5,4,85,29,64,60,35,34,318,0,9,16,105,173,241,199,106,38,881,8,14,6,40,19,32,12,9,0,147,6,24,55,213,106,100,49,31,3,587,0,0,5,14,32,56,48,38,9,207,5,32,44,247,117,98,57,21,6,636,0,3,5,60,7,16,4,0,0,97,4,26,33,171,66,28,5,0,0,347,0,0,0,8,29,23,26,12,3,100,0,0,4,39,36,27,15,7,0,129,4,21,28,118,45,44,30,11,4,304,0,21,31,181,56,23,9,7,0,334,0,0,0,17,40,34,42,10,4,145,3,19,48,112,36,13,4,3,0,235,16,184,414,1409,792,586,496,234,114,4250,626,989,1239,3002,1338,1251,975,519,186,10112,12555,22777,22652,49722,20599,18094,12518,5505,2105,166528
CED124,0,0,0,17,23,27,8,6,0,81,3,25,27,131,88,83,36,5,3,408,0,3,0,15,3,16,26,15,4,84,0,10,6,29,58,119,199,94,29,547,0,0,0,9,4,11,0,0,0,32,0,23,20,55,54,68,77,21,9,326,0,0,0,0,0,3,18,13,0,42,0,0,0,12,14,6,9,3,0,47,0,0,0,4,0,0,0,0,0,11,0,20,10,49,23,16,4,0,0,123,0,0,0,0,3,4,3,0,0,8,0,0,0,3,4,0,0,3,0,9,3,28,17,59,56,54,70,15,4,314,0,0,3,19,5,5,3,0,0,40,0,0,0,13,12,21,33,19,3,110,0,0,15,20,14,19,6,3,0,73,11,30,33,146,150,190,252,152,57,1018,361,874,887,1895,1623,1968,2112,1316,685,11713,6885,17047,13914,25288,19225,22976,23034,12290,4814,145480
CED125,0,3,13,36,22,13,4,0,0,88,12,170,331,1386,736,584,247,65,28,3561,0,0,10,122,57,113,76,22,16,424,0,13,14,90,121,243,218,100,16,807,0,5,11,35,18,26,9,4,0,120,4,25,88,322,173,169,141,43,5,971,0,0,3,29,48,38,44,27,6,187,12,44,37,212,101,75,44,18,7,550,0,3,9,63,4,14,0,0,0,98,9,20,48,274,94,56,31,0,0,527,0,0,3,40,62,47,34,7,0,196,0,3,6,29,16,7,5,3,0,83,8,23,39,118,51,27,32,6,0,317,3,18,46,303,140,127,33,14,3,686,0,0,4,23,23,41,28,12,4,141,0,15,46,78,43,15,5,0,0,203,40,247,458,2274,1556,1276,783,356,83,7054,651,1178,1318,2910,1258,1256,962,414,216,10163,12449,23455,22700,47094,19928,18450,11839,4663,1445,162017
CED126,0,0,0,34,51,29,9,6,3,124,10,39,97,452,221,149,37,23,3,1034,4,4,3,96,34,62,45,11,18,279,5,43,38,193,187,174,179,109,47,968,11,42,40,54,45,41,13,11,0,265,8,128,189,666,427,256,145,69,32,1915,0,0,9,60,64,81,58,69,28,362,0,0,6,28,23,20,12,5,0,94,0,3,6,31,4,3,5,0,0,65,3,23,51,189,94,46,6,7,0,416,0,0,0,5,5,11,8,0,0,34,0,0,5,30,31,23,24,8,3,129,21,105,136,294,206,170,113,39,7,1096,0,7,28,119,51,43,8,3,0,257,0,0,9,97,67,46,35,22,11,289,0,0,11,63,46,40,16,0,3,178,57,217,284,2168,924,634,521,291,123,5227,336,652,667,1770,1035,987,936,697,445,7532,8869,19941,16384,35567,21976,17794,14760,8722,4599,148613
CED127,0,0,4,21,39,30,7,8,0,107,4,33,42,200,109,80,39,10,3,520,0,0,4,48,31,66,37,16,8,219,0,20,13,81,138,182,218,106,28,790,0,7,10,26,22,16,9,4,0,100,0,21,49,157,115,87,71,22,8,537,0,0,0,6,27,34,23,10,0,104,0,0,3,27,22,21,11,12,0,98,3,7,4,18,5,5,5,0,0,47,6,11,22,110,22,27,11,0,0,210,0,0,0,13,7,23,17,13,0,81,0,0,0,3,5,7,3,3,0,27,11,42,36,134,114,116,103,31,6,586,4,4,51,89,24,13,7,0,0,189,0,0,4,24,47,38,58,27,9,202,0,0,4,14,16,16,3,0,0,60,13,52,93,469,365,362,412,200,94,2059,333,704,824,1758,1296,1251,1106,555,209,8030,8333,18598,17365,32803,20530,19585,14838,6747,2641,141439
CED128,0,0,3,13,12,6,5,0,0,36,16,150,261,1284,684,628,298,63,32,3424,0,0,0,77,44,102,52,51,41,362,0,3,4,33,57,107,84,43,15,346,0,10,18,26,15,20,13,4,0,103,3,14,31,99,80,70,53,8,3,360,0,0,3,44,58,75,70,55,14,322,3,23,50,323,136,158,93,29,25,837,0,3,7,72,11,26,10,0,0,134,4,48,79,275,73,46,17,3,0,547,0,3,7,44,37,65,79,16,7,259,23,19,53,359,298,165,114,32,6,1073,3,36,23,76,19,22,13,0,0,195,20,83,295,2063,1459,1303,482,220,63,6001,0,0,0,10,11,19,7,9,3,55,0,7,19,25,9,7,3,0,0,71,126,554,858,3024,1801,1371,1048,624,181,9588,599,1058,1089,2786,1305,1175,859,516,256,9634,12029,22374,22902,47414,21122,18494,12374,6462,2522,165693
CED129,0,0,8,41,36,23,4,0,3,113,8,92,177,881,522,535,296,44,28,2581,0,6,6,120,74,137,61,31,20,454,0,29,20,88,101,113,126,66,26,564,17,102,77,140,100,83,59,18,4,594,31,226,331,758,464,276,129,56,15,2277,0,0,0,16,42,23,28,23,4,135,11,102,142,705,586,457,207,94,30,2316,9,7,22,204,57,79,35,7,0,422,8,16,53,183,55,33,8,0,3,364,0,0,0,4,8,15,5,4,0,41,0,3,5,80,114,41,19,17,4,290,33,145,256,219,93,65,38,6,0,861,3,18,23,231,149,120,37,4,4,585,0,8,5,25,21,30,15,14,3,114,0,0,27,74,66,26,11,0,0,211,55,287,360,1327,808,654,482,266,88,4319,226,470,425,1275,686,555,520,291,124,4563,10156,23289,19331,41091,21531,17049,12973,5830,2203,153449
CED130,0,7,6,46,30,16,3,0,0,116,14,106,121,411,127,79,34,7,0,898,0,0,0,6,3,10,12,4,6,41,0,15,14,32,63,65,91,51,30,354,0,15,9,13,23,17,7,3,0,90,3,34,47,116,72,49,28,12,4,362,0,0,0,0,3,4,3,3,0,11,3,14,14,69,17,12,7,4,0,131,6,5,33,145,0,3,0,0,0,191,4,13,15,54,13,9,0,0,0,108,0,0,0,0,0,3,0,0,0,3,0,0,0,5,3,3,0,0,0,13,7,34,56,128,70,75,56,25,8,453,3,18,30,111,15,10,0,0,0,188,0,9,4,13,21,11,16,11,3,83,0,0,12,23,29,13,4,3,0,87,35,121,109,422,159,136,118,77,15,1185,634,1335,1537,3092,1907,2218,1928,1285,600,14541,9304,20428,18923,34106,19694,20899,17303,9745,3784,154184
CED131,0,4,12,43,30,20,7,0,0,108,15,60,75,314,143,128,48,16,0,799,0,3,3,51,32,40,46,45,48,269,0,21,8,108,63,107,109,74,39,533,4,12,71,42,21,10,6,8,0,175,3,17,78,172,81,61,11,20,0,442,0,0,0,4,31,44,39,41,12,171,4,18,26,119,36,21,8,4,0,233,3,3,18,76,6,3,0,0,0,110,4,21,49,133,42,18,0,0,0,267,0,0,9,39,109,189,168,126,25,668,0,0,0,15,8,6,3,0,0,34,16,55,88,245,77,60,34,10,3,596,11,37,55,178,44,43,8,3,6,382,0,7,6,24,33,31,20,7,12,149,0,10,56,64,7,16,0,0,0,159,72,237,378,1077,305,247,233,141,83,2764,250,442,853,2006,983,981,766,549,358,7187,8996,16949,22370,43370,19552,18016,12538,7197,3958,152948
CED132,0,9,6,76,76,66,33,36,18,303,20,88,120,950,243,158,103,24,12,1721,4,10,12,264,38,94,60,35,39,547,4,14,23,230,161,115,112,47,24,734,40,128,79,313,116,88,73,28,7,880,13,46,122,875,316,288,175,67,47,1964,0,0,0,36,27,32,13,17,3,126,5,3,19,244,85,56,46,21,8,490,17,31,94,662,86,102,58,11,0,1060,13,43,83,657,110,51,26,4,0,992,0,0,3,26,28,19,20,32,3,127,0,5,0,90,42,33,11,19,4,221,86,281,189,614,285,200,107,38,16,1819,5,10,56,333,110,69,47,16,3,653,0,3,6,77,46,34,33,8,7,231,0,3,11,90,41,39,18,3,0,199,91,293,357,3127,760,604,551,379,258,6412,459,639,855,3724,1172,1043,816,492,351,9550,9986,17412,16487,56348,21153,16834,12884,6673,3750,161526
CED133,0,3,9,53,54,40,6,5,3,166,11,58,41,184,124,95,38,4,0,556,0,0,0,9,5,18,7,9,6,57,0,8,3,40,70,99,153,68,25,470,0,0,0,12,18,7,4,0,0,42,5,29,37,106,90,83,55,24,12,430,0,0,0,0,3,6,4,3,0,24,3,3,0,23,14,6,7,8,3,69,0,3,25,97,4,7,0,0,0,128,4,15,13,59,36,19,3,0,0,151,0,0,0,3,0,0,3,0,0,6,0,0,0,0,3,0,0,0,0,6,4,32,21,111,64,86,95,22,9,438,0,7,11,46,11,11,0,0,0,88,0,0,4,9,13,24,37,19,4,107,0,4,12,21,19,16,17,0,0,101,16,78,89,301,176,232,227,106,35,1253,510,1160,1350,2698,2006,2383,1905,1154,482,13637,8378,19747,17054,31807,21741,25385,19895,10599,4499,159107
CED134,0,10,3,30,22,12,0,0,0,83,12,70,58,268,106,65,27,9,3,621,0,0,0,11,3,12,4,0,6,30,0,6,5,24,28,52,51,31,5,204,0,3,0,8,4,4,8,3,0,32,3,28,41,112,51,40,15,14,3,303,0,0,0,0,4,8,21,17,3,63,7,19,19,87,35,11,7,3,0,201,0,3,8,25,0,0,0,0,0,29,0,10,0,52,13,7,0,0,0,83,0,0,0,0,3,4,9,4,0,10,0,0,0,7,3,3,0,0,0,15,3,21,10,58,28,44,37,19,12,225,4,3,5,51,8,3,4,0,0,81,0,0,0,9,4,3,14,7,3,46,0,19,13,51,21,9,7,0,0,118,13,43,46,208,92,117,127,84,23,742,891,1607,1570,3849,2419,2464,2085,1270,533,16697,10761,20634,17313,36062,20224,20434,15701,9117,3535,153769
CED135,0,6,7,35,11,15,4,0,0,84,30,190,315,1751,601,486,235,65,38,3715,0,0,5,113,46,112,58,33,25,387,0,3,9,37,42,47,76,45,30,283,17,44,43,141,47,67,32,14,0,402,3,15,53,174,76,74,45,12,8,454,0,0,3,44,41,36,30,19,3,177,35,198,291,1791,691,447,264,145,34,3901,0,12,63,327,49,67,27,0,0,547,8,14,74,329,61,57,15,8,0,570,0,0,3,25,15,13,15,6,3,86,0,9,47,276,286,172,119,39,7,954,36,104,49,147,35,36,28,0,4,436,5,21,80,513,352,370,141,65,29,1570,0,0,0,17,14,5,8,7,0,50,0,22,33,111,19,9,3,0,0,194,123,401,636,2776,1020,759,589,315,119,6736,882,1118,1325,4865,1404,1184,835,548,311,12474,14782,21210,22035,70379,20671,17198,10944,6357,2743,186320
CED136,0,3,5,21,17,12,5,0,0,62,5,71,43,247,147,96,45,9,3,671,0,0,0,20,6,26,27,23,24,130,0,24,14,62,86,143,180,108,27,647,0,5,3,11,9,11,0,0,0,47,3,54,60,183,114,52,52,19,3,547,0,0,0,6,10,7,18,13,7,59,0,0,3,33,9,8,4,0,0,54,0,9,12,78,0,0,0,0,0,106,11,17,23,85,30,22,0,3,0,187,0,0,0,3,7,3,7,6,0,23,0,0,3,7,4,9,0,0,0,26,13,42,31,91,55,36,39,7,0,322,0,3,18,42,18,7,0,3,0,97,3,3,6,23,51,34,44,20,11,194,0,18,17,73,24,11,9,0,0,144,9,30,48,318,160,193,224,103,40,1120,470,909,982,2322,1395,1502,1515,1017,525,10629,10344,20625,18540,37895,19874,19513,17015,8638,3193,155634
CED137,0,3,9,48,32,27,15,4,9,144,14,82,129,1197,301,256,126,33,14,2159,0,4,4,138,29,80,48,48,29,381,4,3,9,105,62,68,76,44,21,394,25,64,65,205,52,72,46,28,5,551,3,25,56,331,126,97,56,27,4,730,0,0,3,26,27,35,26,27,10,151,4,45,129,753,367,382,232,137,87,2147,14,19,109,697,71,85,47,9,0,1059,9,36,110,671,79,49,10,4,0,965,0,0,3,30,29,14,15,4,0,106,3,5,23,195,167,124,72,30,16,635,47,88,67,195,75,49,54,11,3,591,7,38,278,1103,688,613,260,113,39,3143,0,0,3,30,19,13,12,8,5,79,0,0,16,56,17,19,4,3,0,109,86,275,417,2501,824,639,519,342,202,5800,652,812,1576,4779,1327,1118,831,510,300,11899,10677,16614,24833,66644,21809,18076,11880,7162,3644,181347
CED138,0,0,7,72,62,40,15,7,0,208,14,54,49,220,110,102,41,12,6,612,0,0,0,43,11,24,17,10,9,109,4,15,12,75,90,135,207,158,75,778,0,4,3,17,21,19,11,0,0,87,0,21,42,175,125,116,106,37,13,630,0,0,0,3,12,12,24,15,8,72,0,3,3,18,12,18,10,4,3,65,0,4,4,34,6,0,3,0,0,47,6,25,49,120,46,30,7,0,0,288,0,0,0,3,0,0,0,0,4,11,0,0,0,14,4,3,3,0,0,28,13,52,67,196,144,148,143,30,12,791,0,5,4,38,13,7,0,0,3,78,0,5,6,36,27,49,50,37,16,219,0,3,6,28,22,24,16,3,0,107,22,96,101,783,337,297,300,166,82,2184,514,1225,1075,2995,2085,2432,1954,1216,784,14286,7804,17634,14508,32296,20930,23705,19363,11113,5565,152913
CED139,6,10,13,24,22,19,5,0,0,95,17,117,69,345,98,66,33,3,0,742,0,0,0,10,8,3,8,14,10,46,4,3,19,29,56,45,93,42,14,296,0,3,6,9,12,4,3,0,0,52,0,45,57,110,70,39,24,10,3,369,0,0,0,4,4,10,10,10,4,49,3,17,11,102,23,11,5,3,0,176,0,0,23,100,10,0,0,0,0,134,0,11,8,31,20,6,3,0,0,80,0,0,0,0,0,0,0,0,0,6,0,0,0,5,3,4,3,0,0,20,3,14,22,56,41,36,33,7,3,216,0,3,5,74,11,16,3,0,0,116,0,0,3,8,7,8,19,5,3,56,0,9,15,34,19,20,7,0,0,108,17,91,112,381,114,135,144,67,34,1098,520,1210,1392,2721,1808,1930,1748,1204,536,13063,9696,21002,19528,35163,19692,20150,16545,9775,4237,155793
