CED_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
CED314,3,28,0,0,5,30,53,22,105,1778,1432,143,3349,221,191,411,3761,2399,53,6214
CED315,6,35,8,3,13,45,54,32,138,2467,1486,194,4150,415,279,691,4843,2856,63,7754
CED316,17,32,7,11,14,51,73,49,174,1376,1445,154,2977,381,264,650,3622,3172,77,6872
CED317,14,44,9,3,10,57,95,65,217,1727,1240,185,3158,342,220,560,3718,2900,119,6742
CED318,11,51,7,0,7,56,119,57,231,2518,1932,217,4674,381,265,649,5319,3267,111,8701
CED319,8,20,0,0,0,24,35,44,104,2322,1354,163,3840,143,133,279,4116,2289,77,6481
CED320,7,39,5,5,12,51,77,34,157,2066,1684,224,3974,334,282,620,4588,3241,58,7893
CED321,18,45,4,6,11,50,78,48,184,1381,1179,154,2714,207,172,381,3095,2537,87,5720
CED322,16,37,0,3,5,45,53,30,122,2261,2016,194,4468,185,203,388,4859,2358,61,7281
CED323,17,40,3,0,3,46,46,30,129,2092,1753,184,4029,201,234,439,4464,2614,69,7144
CED324,7,34,3,5,8,35,34,27,96,1934,1131,140,3201,177,144,321,3528,2260,68,5851
CED325,6,45,9,6,15,59,51,61,168,2507,1467,160,4137,341,238,577,4716,3049,95,7860
CED326,14,52,8,8,13,65,51,44,163,2468,1739,241,4451,273,292,566,5020,3028,78,8128
CED327,14,48,6,3,5,54,75,62,192,2678,1777,221,4678,429,314,744,5415,3804,100,9316
CED328,9,24,0,0,3,24,12,11,50,1849,1105,110,3063,112,88,199,3267,1440,25,4736
CED329,10,29,0,5,10,34,58,48,139,1292,1549,130,2971,295,227,522,3497,3063,95,6654
CED330,9,42,4,0,4,44,53,37,137,1556,1325,145,3028,220,179,398,3425,2330,72,5835
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED401,3,14,0,8,8,25,46,22,96,1763,1220,138,3117,150,122,268,3386,2219,53,5659
CED402,3,34,9,3,9,47,69,48,161,1463,1516,142,3122,216,166,388,3511,2310,75,5896
CED403,3,16,3,0,3,18,24,20,61,1868,1424,154,3448,111,116,230,3675,1809,35,5517
CED404,11,36,7,3,5,46,123,77,244,1204,1320,160,2679,249,216,462,3143,2595,115,5851
CED405,7,26,3,0,4,34,44,14,86,1711,1473,142,3331,134,135,275,3599,2285,45,5933
CED406,5,41,0,8,4,46,70,64,179,1996,2131,229,4359,267,237,505,4860,3040,88,7989
CED407,6,42,8,0,10,49,38,24,108,2117,1763,152,4036,213,174,388,4422,2286,38,6744
CED408,5,38,5,3,7,38,18,21,79,1397,1510,119,3023,93,109,203,3221,1547,41,4810
CED409,7,39,3,3,6,44,109,57,218,2321,1983,221,4529,299,291,594,5122,4229,110,9453
CED410,3,20,0,0,0,25,37,27,82,1802,1403,136,3344,135,137,272,3616,2193,46,5851
CED411,15,47,3,6,10,59,118,67,245,1958,1970,266,4198,450,345,795,4994,4324,112,9424
CED494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,13,31,6,4,9,36,46,32,117,2066,1616,193,3863,403,279,680,4550,2616,68,7224
CED502,5,41,3,3,6,46,53,43,145,2159,1617,181,3966,341,296,633,4604,2719,79,7396
CED503,11,40,4,0,4,40,49,32,124,1456,1364,185,3001,250,216,462,3461,2259,55,5777
CED504,7,24,0,0,0,25,34,34,96,1954,1524,168,3644,249,169,417,4061,2172,63,6300
CED505,4,17,0,0,0,17,19,13,48,1419,1131,92,2649,114,118,233,2876,1325,25,4223
CED506,10,41,3,8,7,52,121,99,274,1693,1078,186,2957,282,204,481,3441,2559,141,6141
CED507,9,25,0,3,5,29,49,25,102,1519,1686,186,3393,192,214,407,3798,1934,60,5793
CED508,7,30,3,0,5,34,50,22,107,1876,1576,150,3595,192,168,358,3952,1928,51,5937
CED509,11,19,6,0,6,26,50,37,118,1911,1355,155,3420,230,159,388,3806,2108,71,5983
CED510,7,38,0,3,3,43,25,6,76,1749,1294,132,3165,133,125,259,3423,1304,25,4750
CED511,12,35,4,5,5,39,73,76,184,1437,1306,145,2886,196,158,353,3244,2150,123,5511
CED512,12,45,6,12,16,57,55,42,148,2435,1781,225,4436,326,281,603,5041,2423,74,7538
CED513,7,15,0,0,3,19,32,16,66,1546,1118,113,2777,151,165,310,3094,1668,39,4796
CED514,13,30,5,0,6,31,47,42,121,1656,1341,157,3152,210,174,381,3531,2171,66,5763
CED515,7,16,3,0,5,19,34,30,88,1678,1222,126,3025,215,185,402,3421,2025,58,5510
CED516,8,20,0,4,5,30,23,8,61,1595,1137,128,2860,104,117,222,3081,1587,30,4699
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,10,25,4,0,4,27,44,25,100,1125,1198,142,2461,155,136,287,2752,1901,51,4704
CED602,8,27,0,3,4,33,63,38,138,1018,1096,130,2238,170,151,319,2557,2011,67,4640
CED603,7,21,0,0,3,21,30,23,76,1350,1229,121,2693,102,119,215,2914,1793,39,4746
CED604,0,14,0,4,6,24,38,14,74,1354,1277,142,2770,82,126,212,2982,1687,37,4714
CED605,7,25,3,4,8,36,60,24,116,930,1089,151,2166,142,128,268,2437,2130,69,4628
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,13,60,13,11,20,79,132,122,335,1306,565,154,2027,243,109,349,2377,2048,170,4596
CED702,10,31,0,0,3,34,42,39,123,1804,592,138,2537,116,73,185,2725,1215,70,4007
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED801,3,26,0,0,0,26,33,19,72,3195,1367,216,4778,131,96,226,5007,2187,50,7243
CED802,5,26,0,0,0,31,37,20,89,3013,1336,216,4566,129,118,246,4807,2142,43,6994
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
