CED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED410,21,21,42,2579,3315,5899,12,7,21,6,14,19,117,61,184,23834,19892,43726,1125,2236,3361,311,7,320,289,28,314,745,185,933,305,108,409,579,578,1154,29928,26452,56376,48,22,74,0,0,0,0,0,0,16,6,22,0,0,3,3,0,3,71,35,107,0,0,0,19,18,29,247,319,564,62,183,242,40,26,64,364,538,906,281,168,446,716,745,1456,10,11,23,34,29,65,19,10,27,65,53,112,1275,1568,2844,2330,4217,6543,256,233,484,34559,33264,67826
CED411,533,692,1223,320,333,655,8,4,15,3,7,10,28,27,53,26609,20999,47605,1422,1512,2930,615,22,631,240,13,250,148,28,177,335,108,444,791,633,1427,31041,24375,55423,137,129,263,0,0,0,8,10,18,144,212,359,26,32,60,15,3,21,330,389,719,0,0,0,0,0,0,42,84,123,12,44,62,7,4,9,58,135,196,267,115,380,659,640,1297,34,96,136,4,4,16,8,0,13,50,104,155,1184,1440,2622,2787,4335,7122,371,335,702,36092,31228,67322
CED494,3,3,4,22,12,34,0,0,0,0,0,0,3,0,3,251,102,355,37,49,85,6,0,9,5,0,6,3,3,6,11,3,21,26,24,50,372,200,577,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,3,0,3,3,0,4,8,3,17,0,0,0,0,0,0,0,0,0,0,4,4,14,11,18,64,47,112,8,0,10,465,263,734
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
CED501,1077,1346,2423,1377,444,1824,10,7,19,10,0,11,39,21,61,24930,20888,45816,1798,1689,3490,458,9,474,296,20,315,183,60,245,1224,251,1471,552,510,1062,31956,25244,57202,528,552,1083,0,0,0,0,0,0,477,535,1013,76,93,163,43,15,55,1124,1187,2312,0,0,0,0,0,0,23,22,41,39,39,75,26,3,32,90,66,151,312,105,411,1525,1357,2876,244,310,558,18,6,27,11,3,18,281,320,602,618,1366,1989,3817,4394,8207,457,306,766,38650,32994,71643
CED502,997,1087,2076,960,551,1517,7,6,16,7,3,5,97,26,120,29628,23251,52882,1730,2021,3755,546,15,558,285,15,302,211,49,258,684,152,839,386,380,766,35545,27553,63099,849,733,1580,0,0,0,0,0,0,403,473,878,68,105,176,29,9,40,1356,1323,2677,4,0,4,0,0,0,47,59,100,29,68,98,22,6,30,99,128,228,317,144,457,1767,1589,3359,211,301,513,19,5,26,5,4,13,238,314,545,722,1329,2053,3117,4047,7167,427,297,727,41818,35137,76954
CED503,435,454,891,1132,255,1386,6,0,9,5,4,5,25,24,50,20390,18520,38905,1544,1285,2836,732,33,766,237,26,266,122,49,171,870,192,1063,599,547,1148,26100,21395,47498,157,175,331,0,0,0,0,0,0,273,298,571,22,45,67,24,10,26,469,528,998,0,0,0,0,0,0,21,27,47,18,25,35,23,3,30,66,55,116,352,105,462,884,688,1574,139,160,298,25,6,31,16,5,21,175,166,349,1042,1795,2833,3593,3817,7411,434,273,711,32238,28137,60374
CED504,624,801,1428,985,644,1630,12,0,14,7,0,5,94,46,140,26358,21469,47829,1699,1994,3687,596,23,620,266,17,285,203,28,228,592,130,725,338,334,679,31776,25495,57274,452,441,886,0,0,0,0,0,0,474,420,900,50,74,128,18,8,25,1000,941,1944,0,0,3,0,0,0,63,71,140,33,62,96,15,9,22,125,143,267,292,122,412,1413,1203,2617,167,207,374,15,9,18,14,3,22,195,219,414,760,1463,2221,2677,3767,6446,395,327,719,37219,32475,69698
CED505,1388,1296,2685,1935,1464,3392,9,6,16,17,9,25,97,52,150,21604,19077,40673,1008,1764,2771,141,3,146,361,55,417,1444,456,1899,495,186,672,1415,1366,2783,29904,25722,55624,475,486,967,0,0,4,0,3,5,189,230,427,26,54,77,48,18,66,742,794,1541,0,0,0,0,0,0,70,74,137,27,67,93,50,17,69,149,158,303,252,132,380,1147,1085,2229,99,102,202,24,11,34,10,4,19,135,116,254,1860,2397,4254,2486,3920,6403,304,267,574,35829,33510,69344
CED506,29,14,46,6496,866,7363,25,3,23,3,3,3,93,63,155,24851,20297,45148,2997,2307,5307,801,23,820,537,193,730,722,439,1162,1788,463,2256,3270,3270,6538,41619,27938,69555,3,8,7,0,0,0,0,0,0,9,10,11,4,0,4,5,0,5,22,11,30,3,0,3,0,0,0,59,23,84,23,14,39,56,10,68,148,48,194,353,166,518,522,225,744,4,3,6,53,18,65,38,15,51,98,30,129,1765,2084,3844,4176,3918,8096,1238,610,1848,49412,34812,84223
CED507,23,11,32,1031,206,1238,6,3,6,3,5,9,23,26,53,22994,20885,43879,1946,1795,3744,440,14,449,215,41,262,428,205,629,607,169,768,905,866,1768,28611,24233,52849,3,9,12,0,0,0,0,0,0,25,19,39,3,4,6,4,0,4,36,29,70,0,0,0,0,0,0,64,12,78,13,23,37,39,5,43,117,45,159,314,117,426,463,189,656,3,0,3,25,4,34,16,4,23,48,17,58,1393,2112,3503,3657,4320,7982,477,350,830,34652,31222,65875
CED508,963,1140,2102,1213,842,2059,15,7,24,7,10,14,59,32,93,25337,22212,47547,1376,1686,3063,401,9,413,337,46,381,646,263,908,665,161,831,682,736,1415,31714,27141,58856,688,652,1342,0,0,0,0,0,3,436,484,914,56,96,154,80,35,115,1265,1264,2532,3,9,10,3,0,3,35,58,91,34,76,108,28,11,34,100,147,250,274,133,409,1643,1555,3194,194,237,432,21,9,30,10,4,18,226,246,472,1066,1823,2890,2887,4356,7245,379,336,713,37917,35459,73375
CED509,582,780,1359,933,525,1452,9,5,8,7,0,9,62,38,98,24371,19847,44212,1469,1637,3109,699,24,726,277,20,296,288,63,349,642,182,826,514,526,1037,29847,23638,53485,214,257,477,0,0,0,0,0,0,397,412,811,38,74,108,31,10,41,679,759,1435,0,0,0,0,0,0,43,65,106,25,47,74,19,11,32,88,117,207,280,123,408,1049,1002,2053,104,132,240,17,4,25,18,8,19,137,143,286,977,1584,2562,3005,3732,6734,422,279,705,35443,30379,65823
CED510,1654,1531,3186,660,259,920,6,11,18,7,0,3,60,29,90,24654,22124,46774,1312,1603,2917,548,9,562,285,18,302,375,70,447,653,130,781,458,483,937,30677,26267,56946,918,555,1477,0,0,0,0,0,0,578,533,1114,83,111,189,104,17,118,1688,1224,2904,0,0,0,0,0,0,22,25,42,18,31,44,19,3,18,61,50,112,294,123,416,2040,1396,3431,209,197,404,3,4,6,8,7,15,223,209,425,1259,2047,3304,3092,4477,7563,363,249,613,37648,34636,72287
CED511,7,4,13,1319,272,1586,9,8,17,4,0,3,68,83,146,23839,19926,43764,2084,1903,3991,680,31,710,301,72,370,356,108,468,711,224,931,1943,1728,3667,31314,24346,55660,0,5,6,0,0,0,0,0,0,4,9,11,0,0,0,0,0,4,11,13,20,0,0,0,0,0,0,88,22,114,16,9,28,18,9,26,125,37,162,272,117,394,413,164,575,0,0,0,16,7,15,16,7,24,35,12,48,2529,2622,5151,3239,3882,7121,623,418,1037,38153,31446,69597
CED512,952,1067,2020,1263,415,1681,7,3,11,3,0,4,75,33,103,29092,25443,54535,2021,2166,4187,933,34,968,303,30,331,185,63,248,1113,240,1358,856,691,1545,36812,30178,66990,510,520,1033,0,0,0,3,0,3,509,604,1114,63,92,156,27,9,35,1106,1227,2333,0,0,0,0,0,0,33,43,73,24,49,75,31,7,39,91,100,189,398,135,536,1599,1461,3059,190,269,461,20,9,32,15,7,23,227,286,518,1387,2377,3766,4115,5068,9183,547,424,977,44688,39796,84487
CED513,1449,1510,2958,3421,3474,6896,13,4,13,6,10,16,137,88,228,23553,19345,42898,1296,2071,3362,292,6,307,384,82,468,1424,469,1892,648,199,848,2511,2250,4763,35134,29518,64654,531,575,1111,3,0,4,0,0,0,138,202,347,33,63,102,56,32,85,764,880,1647,0,3,3,0,0,0,111,110,219,58,95,158,64,39,103,241,247,482,298,154,451,1304,1277,2584,106,117,226,32,22,52,28,3,33,162,147,309,1286,1614,2898,2908,4222,7129,408,306,712,41207,37080,78282
CED514,599,644,1242,1677,1758,3437,0,3,6,6,3,10,138,62,197,26085,21364,47446,1354,2043,3404,370,8,374,343,45,390,570,114,683,519,166,692,398,434,832,32065,26647,58716,578,608,1188,0,0,0,0,0,0,277,270,547,39,75,109,25,10,40,921,964,1881,0,0,0,0,0,0,78,108,186,46,83,128,27,18,47,157,206,371,254,143,394,1327,1313,2644,158,164,318,21,13,40,22,7,28,197,185,383,1061,1402,2461,2479,3839,6312,376,286,660,37502,33673,71179
CED515,954,1032,1981,2950,2994,5947,41,12,50,6,7,16,174,81,255,27554,21195,48750,1545,2209,3747,340,12,353,345,42,390,974,261,1230,662,218,879,862,849,1710,36402,28905,65301,434,515,948,0,0,0,0,0,0,175,174,345,33,50,86,36,15,45,677,757,1428,10,6,17,0,0,0,125,114,238,64,128,187,65,21,93,263,273,535,352,184,532,1288,1214,2499,121,141,266,43,25,69,14,5,21,177,175,352,1087,1431,2522,3028,4077,7102,461,287,746,42438,36086,78527
CED516,729,650,1383,1265,941,2205,7,0,12,8,6,14,67,19,83,22175,19179,41349,1059,1601,2662,231,4,238,225,20,243,712,171,889,440,120,563,451,521,970,27371,23231,50603,1012,750,1769,0,0,0,0,0,0,264,283,546,28,79,109,56,11,69,1360,1129,2491,0,0,0,3,0,3,52,70,114,38,57,92,13,13,31,99,140,240,228,128,358,1696,1392,3085,189,183,369,17,8,26,8,0,11,212,195,405,1290,1750,3041,2520,3848,6364,253,221,476,33341,30623,63971
CED594,11,14,24,175,34,207,3,0,3,0,0,0,3,0,3,398,200,603,91,53,138,28,6,32,7,3,9,11,7,12,72,25,97,113,130,244,899,472,1371,9,8,21,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,14,12,30,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,3,4,5,5,15,28,20,48,3,0,3,0,3,3,0,0,0,5,3,8,16,33,48,135,99,229,46,17,69,1128,648,1773
CED597,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,12,0,13,3,0,3,0,0,0,0,0,0,0,0,0,218,11,226,55,5,56,296,11,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,3,6,14,0,14,316,17,334
CED601,3,0,5,238,256,488,10,3,9,0,3,3,92,77,165,15754,13819,29574,1033,1402,2434,259,7,261,217,34,249,221,63,291,180,69,248,989,981,1971,18990,16713,35707,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,7,0,0,0,0,0,0,9,20,36,14,28,45,10,8,17,37,63,99,196,116,310,237,184,417,0,3,7,4,6,10,15,6,24,24,12,33,709,890,1597,1801,3010,4810,210,182,392,21962,21002,42959
CED602,5,3,10,155,93,241,8,3,9,4,5,7,22,60,82,14371,12881,27257,984,1167,2152,360,12,365,196,41,237,113,32,143,220,77,299,760,718,1479,17203,15090,32291,0,0,0,0,0,0,0,0,0,4,3,13,0,3,3,0,0,0,6,7,15,0,0,0,0,0,0,14,3,22,3,6,8,4,5,7,22,16,38,133,55,185,162,72,236,0,0,3,0,3,3,6,4,13,10,5,16,828,918,1749,1887,2741,4633,240,221,463,20333,19053,39390
CED603,13,7,23,992,1295,2292,3,3,5,3,11,18,150,95,240,13968,11929,25900,1139,2022,3160,198,3,198,312,45,357,679,222,898,170,87,257,2217,2326,4546,19839,18056,37897,0,0,3,0,0,0,0,0,0,6,3,14,0,0,0,0,0,0,10,5,18,0,0,0,0,0,0,35,82,121,39,86,126,25,26,51,98,199,299,209,154,362,320,357,677,3,0,3,25,16,37,10,7,18,36,24,60,907,1045,1952,1935,3322,5261,221,212,429,23256,23012,46271
CED604,8,3,17,794,1057,1848,3,0,9,0,0,3,25,19,46,16366,14490,30859,1033,1781,2816,304,7,315,243,29,271,193,46,239,199,77,275,482,432,913,19666,17952,37616,3,0,3,0,0,0,0,0,0,3,3,5,0,0,0,4,0,4,8,6,20,0,0,0,0,0,0,52,147,198,45,84,128,4,16,17,98,240,340,213,137,350,321,389,712,3,0,3,5,24,31,12,9,18,28,30,51,974,1154,2130,1934,3550,5480,231,168,398,23147,23242,46383
CED605,3,3,5,167,173,344,3,4,7,4,3,5,26,10,32,14855,12815,27671,934,1018,1949,536,11,550,159,17,179,57,16,77,234,76,306,810,697,1509,17791,14844,32637,3,0,3,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,6,3,6,0,0,0,0,0,0,14,48,65,10,17,34,3,0,4,32,66,101,141,69,210,179,137,314,3,0,3,5,5,10,6,4,10,14,11,22,1361,1349,2705,1951,3078,5027,312,257,572,21602,19674,41280
CED694,0,0,0,9,8,10,0,0,0,0,0,0,0,0,0,72,43,113,16,8,23,0,0,0,4,0,4,4,0,8,3,0,10,9,11,18,120,72,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,45,3,0,3,152,98,247
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,19,0,0,0,0,0,0,0,0,0,0,0,0,21,0,18,7,0,7,33,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,0,0,0,38,9,47
CED701,6,6,13,1349,337,1683,47,21,65,0,0,0,52,60,105,12282,10870,23150,1454,1643,3099,317,13,334,354,108,467,637,460,1093,403,175,578,2798,3172,5968,19701,16862,36559,3,0,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,3,9,10,17,31,0,0,0,209,39,249,19,26,39,28,6,31,268,89,356,246,171,420,516,265,779,3,0,4,24,13,31,27,18,47,48,35,84,608,771,1375,1449,1650,3095,436,384,818,22759,19954,42719
CED702,19,12,35,1993,1185,3181,10,3,11,7,6,12,92,83,175,21161,18015,39174,1587,2296,3881,207,9,220,794,163,958,900,557,1460,430,148,580,1355,1257,2617,28544,23744,52289,0,0,3,0,0,0,0,0,0,7,3,15,0,0,0,0,0,0,16,7,19,0,0,0,0,0,0,604,103,708,65,96,159,111,24,134,785,221,1004,318,178,501,1113,406,1520,4,0,3,33,27,54,23,16,35,56,41,92,453,816,1269,2093,2495,4589,381,287,669,32638,27795,60432
CED794,0,0,0,57,12,64,0,0,0,0,0,0,0,0,0,79,48,127,19,21,42,6,0,6,6,0,6,4,6,15,19,21,39,66,78,142,259,193,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,4,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,5,0,5,9,14,26,40,41,75,8,3,9,320,252,574
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,22,0,0,0,21,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,22,4,28
CED801,60,23,81,2386,2558,4941,12,6,16,11,11,26,89,65,156,33500,30364,63865,1957,3835,5795,533,20,554,801,92,893,1535,562,2097,443,169,605,3469,2857,6323,44791,40564,85353,9,4,11,0,0,0,0,0,0,23,13,36,0,3,0,3,0,3,32,16,49,0,3,3,0,0,0,155,226,377,113,208,314,71,69,138,337,499,835,435,296,731,802,817,1618,10,9,23,37,38,75,22,11,36,70,62,129,1560,1861,3417,3642,6074,9721,337,297,632,51207,49667,100874
CED802,42,24,70,3542,3724,7264,18,7,20,13,12,27,103,57,161,36188,31310,67502,2172,4387,6557,487,9,488,973,121,1093,2198,1071,3272,303,164,464,1583,1482,3069,47614,42362,89978,9,3,13,0,0,0,0,0,3,29,14,42,0,3,3,5,0,4,47,25,69,0,0,0,0,0,0,252,238,485,144,221,363,87,64,148,489,515,1008,519,357,875,1051,903,1950,20,4,22,49,43,99,35,11,50,106,67,170,1196,1752,2947,3670,6344,10021,315,279,595,53954,51702,105655
CED894,0,0,0,8,14,19,0,0,0,0,0,0,0,0,0,51,49,104,3,11,16,3,0,3,0,0,0,4,5,10,0,0,3,10,9,18,89,87,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,9,19,0,3,0,102,101,202
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,8,8,11
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
