CED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED316,10,11,16,312,124,433,16,8,30,0,0,3,28,34,65,17183,16780,33966,1373,1823,3197,518,8,524,437,35,478,322,115,435,215,81,292,662,643,1306,21089,19669,40753,0,3,3,0,0,0,0,0,0,7,7,16,0,0,0,0,0,0,11,9,23,4,4,7,0,0,0,15,5,22,8,6,11,4,3,5,29,20,55,193,123,318,239,153,388,3,3,3,14,3,12,5,4,12,22,10,32,872,1311,2184,1982,2947,4934,275,274,550,24471,24359,48835
CED317,4,3,8,751,334,1085,12,9,19,3,0,3,67,74,143,21387,19325,40714,2065,2082,4147,830,43,873,469,62,529,371,124,497,609,236,843,2164,1822,3982,28736,24107,52845,0,0,0,0,0,0,0,0,0,3,3,6,4,0,3,3,0,0,10,5,18,3,0,3,0,0,0,64,21,82,16,17,31,14,0,11,89,42,134,261,130,390,363,177,534,3,0,3,14,4,22,31,7,37,44,14,59,2141,2317,4454,2626,3298,5919,543,438,974,34441,30344,64785
CED318,16,12,23,637,673,1310,58,28,88,8,5,10,119,118,244,25805,24854,50653,2057,2982,5042,473,20,492,590,119,713,1092,518,1610,792,259,1049,2280,2383,4660,33926,31960,65885,0,0,0,0,0,0,0,0,0,9,6,19,0,3,3,0,0,0,13,10,24,9,6,8,0,0,0,19,13,35,43,70,114,31,32,63,97,116,220,400,260,661,510,390,899,3,0,3,30,23,49,40,17,56,74,37,108,1309,1848,3165,3079,4064,7143,468,379,845,39364,38678,78047
CED319,2507,3046,5556,1686,2165,3849,10,4,8,9,5,12,100,60,161,25064,21142,46203,1478,2246,3729,514,13,524,844,100,946,671,142,808,318,126,446,901,949,1846,34102,29996,64092,326,377,705,3,3,3,0,0,0,554,663,1218,80,160,245,71,24,88,1032,1231,2264,8,4,5,0,3,3,94,144,235,51,115,166,19,17,39,171,278,450,308,156,458,1510,1665,3173,99,130,237,21,21,38,12,8,18,137,160,293,1288,1828,3121,2915,4839,7751,317,243,560,40263,38726,78986
CED320,1003,1157,2157,274,163,441,7,3,9,8,0,10,23,19,40,23116,20282,43399,1808,1999,3809,1130,16,1150,571,63,630,176,56,228,297,110,410,474,536,1010,28894,24402,53295,116,125,245,0,0,0,0,0,0,336,403,736,85,77,162,81,7,91,622,612,1234,0,3,4,0,0,0,25,7,37,10,32,41,9,0,13,48,46,92,298,136,437,970,792,1760,105,118,226,10,0,19,13,3,11,126,124,257,1106,1890,2995,2945,4021,6973,339,270,608,34382,31507,65884
CED321,10,13,21,249,73,328,3,0,7,0,0,3,30,41,72,20828,18011,38843,1718,1716,3440,1005,40,1043,360,70,433,345,139,484,507,226,737,2220,1993,4209,27284,22334,49620,3,0,3,0,0,0,0,0,0,9,5,13,0,0,0,0,0,0,12,4,19,0,0,0,0,0,0,18,7,21,3,3,6,7,4,11,27,11,41,266,98,368,311,118,431,6,7,8,4,0,10,42,9,54,53,16,71,3680,3375,7059,2400,3470,5871,504,394,901,34238,29716,63948
CED322,310,211,524,443,507,944,12,3,17,13,18,26,37,28,70,25763,24463,50227,1427,1780,3208,444,15,460,459,56,512,483,210,694,318,150,469,726,821,1547,30440,28256,58695,37,46,86,0,0,0,0,0,3,133,80,210,13,16,33,25,3,26,213,137,354,0,0,0,42,76,117,22,27,49,23,57,78,4,6,15,97,164,259,270,176,446,578,478,1058,67,40,107,24,17,34,13,4,16,106,60,163,1833,2632,4464,2633,4067,6697,305,289,590,35893,35776,71668
CED323,368,288,656,506,601,1104,16,5,27,646,871,1514,79,62,139,26026,22592,48618,1482,2021,3499,418,11,432,565,81,645,690,299,986,425,232,662,1695,1897,3596,32908,28973,61880,84,96,185,0,0,0,17,11,27,139,95,237,23,14,38,21,5,24,285,226,509,3,0,0,138,200,340,23,19,39,12,39,53,13,13,21,190,268,458,388,250,640,863,743,1600,82,53,141,31,45,79,20,18,41,135,122,256,1911,2424,4341,2614,4049,6662,357,314,672,38794,36616,75412
CED324,2134,2109,4239,2463,3208,5670,12,3,16,4,7,13,120,65,180,24281,18021,42305,1433,2486,3918,365,11,374,544,65,612,1016,264,1280,257,133,391,838,898,1736,33459,27277,60734,349,387,741,0,0,0,0,0,0,195,222,412,58,72,128,75,24,96,679,704,1382,6,0,6,0,0,3,201,199,401,76,177,252,40,23,64,319,406,726,326,173,504,1326,1288,2614,126,105,226,18,32,56,9,4,12,157,138,295,1485,1863,3349,2680,4167,6852,279,216,500,39381,34954,74343
CED325,1373,1713,3083,630,820,1455,8,3,13,0,3,4,65,36,96,26486,20913,47401,1658,2579,4239,468,15,487,609,58,664,360,47,408,238,120,365,366,404,772,32253,26729,58983,301,286,587,0,3,4,0,0,0,593,556,1151,92,137,230,61,14,76,1046,1003,2047,0,0,4,0,0,0,54,77,123,28,86,110,10,8,21,91,172,266,310,180,487,1443,1354,2802,142,180,322,9,8,22,16,6,19,165,193,361,993,1680,2676,2403,3862,6265,351,277,628,37612,34100,71716
CED326,1095,1265,2364,649,802,1450,12,4,14,3,3,7,65,45,107,25614,22064,47682,1656,2139,3787,618,9,631,694,62,760,259,62,326,314,133,446,549,633,1178,31527,27216,58747,271,231,503,0,0,0,0,0,3,659,681,1339,78,126,209,45,9,54,1060,1045,2103,5,5,9,0,0,0,31,52,81,45,75,121,17,9,21,92,139,234,302,159,457,1455,1340,2793,149,142,292,15,16,37,16,9,20,179,172,344,1109,1760,2871,2859,4489,7352,310,283,592,37441,35261,72703
CED327,343,399,740,1754,2360,4117,10,3,8,4,0,4,92,52,140,29943,22567,52511,2125,2722,4850,721,17,733,619,38,661,185,31,216,277,129,405,388,407,797,36459,28717,65184,119,138,259,0,0,0,0,0,0,131,135,262,25,52,71,12,6,17,290,326,610,6,5,12,0,0,0,288,373,661,80,214,298,26,19,43,397,609,1011,356,172,531,1038,1108,2149,65,77,141,30,36,66,9,3,13,106,118,222,916,1545,2465,2671,3946,6621,420,330,747,41620,35769,77387
CED328,1980,1957,3938,2350,2563,4917,92,101,197,11,3,10,103,55,162,21568,19124,40692,1178,2095,3276,258,0,265,835,90,921,1658,415,2074,303,140,444,1686,1310,2999,32036,27849,59888,390,366,749,7,4,13,0,0,0,388,336,726,84,98,188,44,17,60,919,821,1742,29,22,51,0,0,3,181,227,412,71,139,205,52,37,88,337,427,761,409,217,627,1659,1465,3129,152,128,278,42,31,66,24,18,38,216,171,385,2173,2689,4857,2861,5092,7956,217,181,396,39154,37447,76603
