Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"CED (UR) by LFSP Labour Force Status"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"LFSP Labour Force Status","Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work","Not in the labour force","Not stated","Not applicable","Total",
"CED (UR)",
"Calwell",40282,22599,3790,3737,2869,50873,7810,33453,165410,
"Casey",42239,24397,3919,1730,1647,35786,5671,27378,142764,
"Chisholm",42579,26592,3306,2704,4021,53196,6945,25088,164432,
"Corangamite",39819,27365,4215,1762,1797,41087,6916,29773,152745,
"Corio",37094,23413,3775,2850,2004,46483,8051,26242,149917,
"Deakin",42664,24197,3204,2137,2191,40398,5217,26752,146766,
"Dunkley",40247,23403,3491,2387,1944,41146,7383,26378,146376,
"Flinders",37855,25358,4071,1954,1585,47399,8570,26700,153496,
"Gellibrand",49824,24816,4006,3805,2913,42694,9043,28777,165874,
"Gippsland",32481,21167,4028,2965,1644,45753,9949,25036,143030,
"Goldstein",42904,25234,3050,1732,1998,38737,6205,27761,147624,
"Gorton",53647,25947,4765,4451,3235,47858,8674,46113,194692,
"Higgins",53630,24750,3301,2352,2411,36868,8777,21855,153939,
"Holt",57041,27101,4665,4300,3395,49032,8530,45804,199865,
"Hotham",42433,23506,3220,2703,2465,43789,6211,26957,151284,
"Indi",36551,22179,4094,1914,1365,40215,8681,25184,140185,
"Isaacs",48035,23876,3831,2676,2304,40360,7210,30368,158653,
"Jagajaga",41648,24737,3298,1879,1991,36136,5479,26136,141300,
"Kooyong",43272,25033,3061,1857,2427,39359,6176,24214,145397,
"La Trobe",48363,26638,3806,2261,2263,34784,5593,33255,156961,
"Lalor",68716,30908,5415,5466,4042,51146,9733,56553,231980,
"Mallee",34971,19921,3822,2252,1386,41565,9787,24885,138597,
"Maribyrnong",46146,24875,4008,3552,2907,48120,9058,27746,166420,
"McEwen",62545,31601,5561,3500,2764,46011,9446,49117,210529,
"McMillan",41704,25371,4495,2820,2046,47746,9401,33744,167327,
"Melbourne",69629,31648,4923,4201,6210,53754,18931,19288,208588,
"Melbourne Ports",61631,23702,3707,2825,2260,33217,14124,19236,160704,
"Menzies",38183,23270,2898,1861,2104,41729,4681,22810,137534,
"Murray",36141,20584,4179,2157,1448,44121,9922,26825,145367,
"Scullin",46165,25419,4138,3246,2617,47298,6486,32590,167967,
"Wannon",32845,21053,3966,1941,1230,41080,8328,23320,133777,
"Wills",52374,27485,4152,3268,2856,43374,8793,27329,169648,
"No usual address (Vic.)",1196,641,195,411,202,2293,1886,747,7572,
"Migratory - Offshore - Shipping (Vic.)",18,0,3,0,0,0,5,4,26,
"Blair",41977,19969,3647,4029,2243,40858,8452,35143,156321,
"Bonner",46746,23414,3464,2699,2215,36249,5957,28889,149634,
"Bowman",43931,22884,3344,2640,1930,39016,5666,27610,147011,
"Brisbane",60963,27358,3884,3114,2906,31169,12281,22219,163890,
"Capricornia",43267,19429,4047,3774,1889,35574,11544,31192,150717,
"Dawson",47141,21218,4131,4148,2063,36164,10987,30463,156313,
"Dickson",45987,23240,3567,2689,2030,31879,5093,31729,146216,
"Fadden",47583,26307,3609,3562,2729,43232,10244,32325,169599,
"Fairfax",38908,26405,3359,2863,2350,43331,7780,28470,153467,
"Fisher",34190,23087,3316,2582,2165,43047,7015,24763,140168,
"Flynn",44256,19158,4198,4600,1799,35869,11303,34296,155484,
"Forde",47932,22754,3814,4073,2425,39346,8014,37182,165537,
"Griffith",57193,26280,3655,2855,2645,30689,9082,25197,157606,
"Groom",41798,21294,3434,2917,1930,38573,8448,30474,148864,
"Herbert",47136,21914,4090,4789,2769,36424,10029,32852,159999,
"Hinkler",27865,18164,2804,4040,2080,53524,8732,24507,141717,
"Kennedy",41403,19179,4204,3893,1601,41530,11831,31751,155394,
"Leichhardt",48854,24785,4406,4491,2525,39552,14250,36581,175451,
"Lilley",51186,23958,3845,2904,2141,36818,6972,27559,155380,
"Longman",40140,22050,3697,3967,2468,46810,8530,32937,160600,
"Maranoa",40956,19064,3934,2569,1253,41086,10395,30010,149264,
"McPherson",41831,26336,3501,2547,2225,39043,8630,27462,151575,
"Moncrieff",44332,27553,3522,3432,2696,43287,13073,22842,160732,
"Moreton",44704,26129,3500,3593,3277,41931,7052,27883,158070,
"Oxley",46256,21827,3630,4201,2778,39421,8093,36999,163207,
"Petrie",46033,22773,3889,3756,2503,43409,7934,32964,163268,
