CED_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
CED512,22,53,229,11,76,181,565,0,61,9,11,5,3,89,17,340,86,21,35,5,504,38,304,157,35,41,4,576,67,125,199,26,28,3,450,216,160,262,9,63,3,714,1570,138,626,22,66,15,2434,3800,54,1400,4,100,16,5372,1039,3,411,0,39,8,1501,281,3,99,0,7,0,395,90,0,27,0,0,0,122,37,0,8,0,0,0,50,10,0,12,0,0,0,22,29,0,23,0,0,0,54,88,66,113,5,45,9,326,7305,1317,3665,139,502,255,13183
CED513,36,126,323,22,29,160,695,9,177,19,51,3,3,258,41,893,133,68,18,4,1161,98,312,247,168,21,7,858,209,131,250,30,14,5,635,749,109,452,31,38,9,1381,2114,123,1018,30,98,10,3394,4391,58,1683,13,128,12,6279,3158,9,993,3,63,11,4249,1279,0,369,3,25,4,1687,462,0,126,5,14,3,608,233,3,52,0,14,3,305,102,0,22,0,0,0,133,129,4,52,0,10,0,191,170,95,205,39,42,15,568,13194,2040,5948,454,515,261,22418
CED514,22,138,286,26,15,162,647,0,158,12,16,3,0,187,29,973,136,74,21,3,1239,76,403,222,96,17,3,818,105,160,155,19,18,8,462,536,119,310,11,54,3,1035,2357,115,1123,18,129,20,3760,4039,37,1949,11,265,34,6337,1254,12,572,0,44,9,1886,500,3,184,0,7,0,689,280,0,88,0,4,0,376,111,0,30,0,3,0,150,54,0,14,0,0,0,70,50,3,27,0,3,0,87,120,145,173,34,25,31,532,9537,2276,5275,310,610,283,18283
CED515,35,230,373,21,36,182,878,10,233,30,26,3,3,306,73,1329,234,123,37,23,1827,146,514,332,155,50,13,1216,170,213,248,26,14,3,671,617,227,354,31,45,3,1278,2425,143,1200,23,113,14,3913,5608,77,2089,13,223,26,8029,2629,13,902,8,85,9,3652,743,4,252,3,11,3,1026,295,3,108,0,3,0,412,155,0,48,0,4,0,207,88,4,11,0,7,0,112,100,3,49,0,3,0,153,177,175,245,30,49,33,705,13256,3180,6481,466,681,319,24384
CED516,12,36,290,9,12,131,483,0,57,15,5,7,0,85,20,351,118,26,10,7,534,34,136,126,16,13,4,327,64,51,93,9,5,3,228,109,40,158,7,26,0,344,620,31,423,12,31,6,1127,1970,24,997,7,54,6,3056,1503,3,584,3,31,3,2130,654,0,210,0,12,0,877,272,0,86,0,3,0,357,132,0,35,0,0,0,166,72,0,20,0,0,0,93,126,0,33,0,10,0,171,65,48,124,15,16,14,283,5659,778,3314,117,225,177,10265
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,19,155,191,45,75,157,646,14,268,37,51,30,6,406,200,609,287,114,63,9,1282,852,473,590,132,74,30,2151,720,238,541,35,51,11,1602,1412,86,699,15,70,15,2297,1526,25,702,14,60,12,2342,529,9,176,9,27,3,743,86,7,32,0,0,0,124,13,3,15,0,0,0,31,3,0,5,0,0,0,9,0,0,4,0,0,0,7,0,0,0,0,0,0,3,0,6,10,0,3,0,18,69,108,93,23,49,14,352,5449,1997,3388,444,496,255,12024
CED602,23,146,207,25,198,173,771,18,299,40,35,20,9,420,247,667,342,103,71,23,1447,713,601,567,130,93,31,2137,599,333,627,72,78,14,1710,1394,95,902,9,90,24,2519,759,26,406,7,46,10,1247,166,17,63,3,7,4,261,18,7,8,0,0,0,36,0,3,5,0,0,0,10,3,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,5,0,0,0,17,52,130,89,25,68,16,368,3988,2327,3266,412,664,292,10952
CED603,25,162,146,20,14,115,483,9,376,22,26,5,4,446,98,744,222,138,43,18,1263,521,358,449,101,57,17,1508,507,136,410,33,24,5,1124,1145,114,820,29,63,15,2176,1878,72,1103,40,110,6,3210,1245,19,642,18,45,3,1972,477,4,214,4,14,4,716,159,0,67,0,5,0,240,41,0,24,0,3,0,75,21,0,6,0,0,0,31,4,0,0,0,0,0,12,12,3,14,0,3,0,29,67,91,96,30,20,18,329,6211,2075,4242,454,410,216,13604
