CED_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
CED694,0,26,3,34,6,35,19,56,9,78,37,120,5,62,31,93,10,44,20,77,3,44,7,52,4,31,10,48,0,7,6,8,0,0,0,0,33,321,130,481,0,25,7,33,5,22,7,29,4,54,12,69,6,43,8,54,7,39,17,59,12,40,6,56,4,24,11,38,0,5,0,5,0,0,0,0,36,258,61,350,0,55,9,62,8,61,20,90,11,125,44,183,10,101,36,147,16,85,35,135,16,85,14,113,5,60,20,84,0,7,4,12,0,0,0,3,72,580,189,835
CED697,0,0,0,0,0,4,0,6,0,15,4,15,0,3,3,5,0,12,0,10,0,3,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,39,7,49,0,0,0,0,0,4,0,4,0,3,0,3,0,0,0,0,0,3,0,3,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,18,0,0,0,0,0,8,0,8,0,21,4,23,0,3,3,5,0,11,0,15,0,8,0,12,0,3,0,7,0,0,0,0,0,0,0,0,0,56,8,73
CED701,326,2866,1008,4195,342,2996,1100,4436,808,6797,2570,10179,746,5935,1996,8681,727,5964,1827,8518,502,4590,1198,6293,227,2259,603,3087,63,608,179,848,9,114,28,151,3757,32124,10510,46388,340,2484,786,3614,428,2772,684,3887,1108,6726,1539,9372,1109,5583,1215,7902,1069,5526,1232,7827,752,4069,900,5719,296,1763,433,2492,77,585,149,813,14,159,51,229,5208,29673,6983,41858,671,5347,1795,7813,778,5765,1785,8324,1921,13527,4108,19546,1855,11522,3207,16580,1799,11492,3059,16341,1257,8665,2094,12018,529,4017,1035,5577,143,1192,328,1660,23,271,81,380,8960,61793,17492,88246
CED702,149,2707,444,3308,171,3623,606,4398,497,9751,1565,11815,615,7463,1072,9150,598,6169,904,7669,458,4569,748,5775,274,2463,458,3190,99,781,163,1046,31,168,45,243,2891,37695,6008,46595,162,2441,416,3019,195,3157,506,3861,747,9417,1411,11575,963,6952,915,8829,931,5506,765,7202,722,4024,676,5417,380,2044,384,2811,105,819,159,1081,13,258,50,321,4206,34624,5288,44117,311,5151,865,6327,363,6780,1117,8265,1238,19167,2976,23389,1578,14421,1985,17984,1535,11668,1667,14870,1174,8591,1422,11192,652,4504,844,6002,201,1599,328,2125,40,426,99,560,7098,72319,11300,90714
CED794,0,15,4,16,0,64,38,98,5,126,85,219,12,118,84,215,15,141,105,257,14,151,63,229,7,129,35,174,0,12,12,20,0,0,0,0,53,762,428,1240,0,16,0,17,3,45,40,85,10,141,86,239,16,94,67,180,16,110,77,203,19,142,50,212,9,76,24,105,0,5,5,10,0,0,0,0,75,628,343,1043,0,25,8,32,7,105,73,183,17,267,171,457,26,210,156,396,27,253,179,461,32,298,106,438,16,202,59,278,0,24,15,38,0,0,0,0,124,1388,770,2281
CED797,0,0,0,0,0,4,0,4,0,18,5,23,0,12,7,16,0,5,4,11,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,33,17,61,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,9,0,0,0,0,0,4,0,3,0,20,3,30,0,12,10,19,0,4,4,9,0,0,5,3,0,0,0,0,0,0,0,3,0,0,0,0,5,39,27,72
CED801,269,5876,382,6530,281,6740,575,7594,760,12405,1306,14468,1162,10739,994,12894,1745,10412,902,13058,1758,8811,753,11318,1101,6137,656,7893,492,2734,448,3675,150,980,260,1384,7716,64840,6268,78825,330,5735,388,6446,398,6237,423,7059,1137,12535,1023,14693,1767,10826,766,13367,2704,10459,783,13942,2714,8520,755,11987,1640,6329,670,8647,595,3387,614,4597,141,1628,603,2369,11427,65649,6024,83106,599,11614,765,12977,680,12976,993,14652,1899,24934,2331,29170,2924,21571,1763,26258,4446,20874,1679,27002,4467,17330,1514,23306,2746,12469,1323,16544,1087,6120,1062,8268,292,2606,859,3752,19146,130491,12294,161925
CED802,254,5220,402,5873,366,7347,564,8277,1058,15730,1200,17983,1488,13636,981,16112,1543,9797,728,12062,1349,6857,498,8712,870,4858,419,6146,383,2122,321,2825,103,681,167,958,7422,66257,5271,78944,311,5069,356,5732,468,7435,584,8491,1542,16399,1103,19042,2075,13302,835,16215,2241,9310,627,12182,2135,6987,635,9755,1306,5188,507,7004,424,2561,398,3386,74,1073,346,1495,10583,67327,5389,83302,566,10291,752,11604,839,14784,1148,16768,2598,32130,2296,37027,3563,26941,1818,32323,3779,19108,1357,24243,3487,13843,1132,18464,2181,10048,924,13150,811,4684,717,6212,181,1759,505,2449,18005,133584,10656,162247
CED894,0,10,3,16,0,33,6,36,5,50,12,63,6,44,22,67,10,20,16,43,3,19,19,38,0,14,4,15,0,3,0,5,0,0,0,0,28,189,81,297,3,9,4,20,0,30,8,42,4,36,3,44,3,28,9,40,6,17,3,26,6,25,10,34,0,5,0,9,0,4,0,4,0,3,0,3,20,153,32,209,3,21,10,35,4,63,9,79,6,84,15,108,9,70,30,107,10,35,23,68,11,40,22,78,3,20,4,24,0,4,0,8,0,3,0,3,49,343,118,506
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,3,6,0,0,0,0,0,3,0,4,0,0,0,3,0,3,0,3,0,4,0,6,0,0,0,0,0,0,0,0,3,12,3,21,0,0,0,3,0,4,0,4,0,0,0,0,4,0,0,5,0,4,0,4,0,3,0,4,0,5,0,6,0,0,0,0,0,0,0,0,5,23,4,30,0,0,4,3,0,3,4,10,0,0,0,0,3,5,0,5,0,5,0,9,3,8,0,11,0,10,0,13,0,0,0,0,0,0,0,0,5,35,8,46
CED997,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
