CED_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED401,35,498,5462,18402,7545,1457,301,562,34251,35,1255,5108,3352,325,43,16,280,10424,7,290,2450,3472,382,43,5,134,6791,46,1547,7564,6829,709,84,24,416,17219,57,1443,4379,596,23,6,4,182,6696,22,231,1020,127,11,0,4,57,1477,69,877,2203,445,39,5,3,69,3710,0,9,9,0,0,0,0,0,25,141,2559,7606,1170,76,14,15,319,11900,3,38,64,60,17,12,11,17,218,5,33,65,84,22,4,3,51,269,227,4674,20758,26549,8368,1569,345,1366,63864
CED402,90,792,6245,28942,12154,1542,285,1071,51121,15,376,1595,1506,78,23,20,170,3780,0,13,32,29,6,4,0,0,84,18,386,1633,1537,88,26,17,166,3862,15,312,1078,224,14,3,6,101,1755,0,0,4,0,0,0,0,0,4,0,0,9,4,0,0,0,0,16,0,0,3,0,0,0,0,0,3,15,318,1093,227,14,3,6,101,1776,68,180,121,110,36,4,0,27,549,12,27,50,136,46,11,3,44,327,202,1695,9141,30954,12334,1583,314,1415,57640
CED403,24,310,3961,23149,11865,2179,393,577,42466,7,582,3204,3014,338,32,11,172,7364,0,59,483,1129,158,27,4,104,1971,8,643,3680,4140,499,65,17,274,9329,17,453,2096,270,20,3,4,89,2948,0,29,128,24,0,0,0,3,191,0,0,14,3,3,0,0,0,22,0,3,4,0,0,0,0,0,9,13,487,2243,307,22,3,4,91,3166,20,35,20,26,16,6,0,8,131,0,11,40,84,12,4,0,17,176,74,1499,9954,27699,12410,2256,411,965,55275
CED404,108,899,6299,25910,10382,1400,291,1058,46359,19,481,1592,3545,250,59,43,281,6269,0,3,17,92,37,3,0,0,152,19,479,1609,3639,289,63,43,284,6421,10,287,775,259,19,0,3,66,1421,0,3,20,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,287,798,261,17,0,3,64,1451,99,253,112,121,65,12,10,81,751,5,34,76,172,71,23,14,43,438,245,1960,8885,30104,10830,1501,359,1530,55417
CED405,31,315,4724,21578,7854,1159,245,621,36519,22,971,5308,4196,305,35,20,343,11194,4,117,1049,2184,717,95,18,71,4255,26,1089,6356,6376,1024,134,36,409,15448,28,1353,5006,593,17,3,8,212,7228,17,226,949,119,3,0,0,53,1368,3,198,463,272,16,0,0,28,980,0,3,0,4,0,0,0,0,9,45,1775,6426,989,39,3,12,292,9580,0,22,42,16,11,3,0,3,100,0,24,48,100,26,6,0,25,230,110,3218,17600,29051,8949,1306,287,1351,61881
CED406,50,305,2753,31495,12399,1675,246,807,49726,29,411,2495,1046,47,3,6,198,4232,0,14,118,345,50,14,0,20,560,27,421,2614,1386,94,16,6,216,4791,3,151,715,363,21,0,0,38,1294,0,3,31,3,0,0,0,4,39,0,6,36,10,0,0,0,0,51,0,3,3,3,0,0,0,0,9,3,165,784,370,21,0,0,42,1397,16,72,89,17,8,0,0,16,215,3,19,24,45,13,0,0,6,109,103,984,6272,33312,12535,1686,248,1086,56230
CED407,33,300,2554,30082,12349,1775,267,695,48059,11,292,2049,954,73,3,0,114,3494,0,10,331,1152,125,9,3,24,1657,12,300,2379,2103,198,11,5,138,5144,3,189,857,248,3,3,0,41,1334,0,9,304,57,0,0,0,7,373,0,18,272,24,0,0,0,3,318,0,3,0,0,0,0,0,0,0,3,214,1430,326,3,3,0,47,2025,0,3,13,19,10,0,0,0,47,0,4,18,45,12,0,0,10,89,56,816,6398,32575,12569,1792,272,889,55363
CED408,97,772,6091,24732,14338,2259,449,756,49486,4,228,1049,415,25,3,3,70,1801,0,3,75,139,24,4,0,3,251,8,227,1118,560,49,11,5,75,2054,6,111,274,52,7,0,0,12,471,0,16,21,11,0,0,0,0,53,0,0,5,4,0,0,0,0,11,0,3,4,3,0,0,0,0,9,6,128,308,73,8,0,0,19,539,52,140,92,45,17,6,4,18,375,3,12,72,95,45,8,5,19,257,160,1275,7682,25500,14458,2280,462,887,52708
CED409,64,420,5374,29259,8750,1113,210,910,46106,38,693,4161,3599,328,26,27,280,9146,7,90,633,1409,184,32,4,45,2405,47,784,4793,5008,515,62,29,320,11551,17,535,2001,272,21,4,10,114,2970,3,18,211,28,0,0,0,8,268,0,168,251,43,0,0,0,11,473,0,12,11,3,0,0,0,0,31,18,732,2478,344,20,4,9,131,3741,27,81,59,50,16,3,3,11,253,0,22,40,69,21,3,3,17,189,158,2033,12746,34732,9327,1183,255,1396,61833
CED410,37,305,3910,23708,10408,1901,360,612,41245,11,481,4115,3273,422,46,11,252,8604,0,117,660,1271,271,48,3,49,2417,11,596,4769,4545,693,89,14,306,11021,17,776,3608,434,21,7,4,153,5028,0,25,144,0,4,0,0,8,188,0,0,46,16,0,0,0,0,68,0,0,0,0,3,0,0,0,4,25,808,3808,454,24,4,4,161,5292,8,28,9,16,6,0,0,7,78,0,11,31,60,29,6,3,17,155,81,1744,12523,28787,11165,2005,384,1098,57793
CED411,82,480,3863,29557,14010,2030,407,1037,51466,44,595,2059,3565,298,24,25,296,6909,0,39,217,435,28,3,0,18,745,49,640,2274,4002,328,31,25,311,7657,36,328,577,59,3,3,0,68,1065,0,6,49,4,3,0,0,7,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,331,627,60,7,3,0,75,1131,33,128,42,67,10,3,5,18,311,0,21,39,70,54,5,3,19,211,194,1595,6845,33763,14407,2077,439,1461,60781
CED494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,51,337,1869,15585,28373,2635,394,888,50126,5,217,999,1337,167,4,0,110,2840,0,46,253,261,62,3,0,27,651,5,264,1250,1594,234,5,0,138,3493,3,193,675,191,15,0,0,47,1123,0,0,104,34,0,0,0,0,142,0,22,61,35,0,0,0,4,128,0,0,0,0,0,0,0,0,0,3,216,840,259,19,0,0,57,1393,18,97,35,50,44,3,4,19,262,0,4,13,28,30,6,0,14,99,76,914,3994,17511,28701,2650,406,1113,55369
CED502,56,194,1367,17762,25749,2769,450,824,49179,13,398,1245,3415,672,45,16,236,6033,0,20,58,141,72,7,4,6,302,17,414,1298,3561,737,50,16,237,6329,0,27,182,121,23,0,3,13,365,0,4,70,29,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,252,152,23,0,3,11,478,14,37,10,11,10,0,0,6,94,0,4,11,30,19,0,0,7,80,86,681,2947,21522,26537,2822,469,1085,56159
CED503,57,456,2793,14005,24178,2798,518,770,45574,17,422,1517,1405,109,7,0,159,3634,4,52,209,583,84,12,0,28,967,19,469,1727,1987,197,21,0,186,4604,3,210,483,225,8,0,0,64,989,3,0,50,81,6,0,0,0,142,0,5,88,137,12,0,0,3,245,0,0,3,0,0,0,0,0,4,8,212,620,450,20,0,0,71,1383,62,266,148,42,32,8,0,52,604,0,16,28,31,36,12,4,33,159,146,1419,5308,16518,24461,2830,532,1105,52321
CED504,38,165,1053,13861,24398,2713,386,683,43304,4,391,858,2527,529,36,0,121,4474,0,35,57,319,47,14,5,10,493,4,427,917,2851,576,52,7,132,4968,0,29,62,60,0,0,0,8,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,29,61,60,3,0,0,11,168,16,81,102,15,5,0,0,11,232,0,0,3,14,13,3,0,3,37,68,702,2139,16793,24998,2768,394,845,48709
CED505,12,196,2865,12093,11697,3419,608,500,31393,5,348,2244,3573,242,21,12,159,6605,9,253,1284,3275,722,55,3,90,5696,17,602,3526,6845,963,76,16,253,12301,24,879,2345,343,20,7,3,129,3750,61,1114,1691,284,8,0,6,75,3231,5,711,1462,419,27,3,0,78,2707,0,0,0,0,0,0,0,0,8,89,2704,5499,1046,58,10,8,279,9689,0,3,12,3,6,0,0,0,31,0,10,27,37,18,0,0,19,117,116,3513,11928,20029,12747,3508,633,1054,53527
CED506,127,976,4549,21305,16074,1899,395,1199,46518,15,501,1566,972,117,9,9,174,3356,0,50,256,264,142,24,3,15,750,17,551,1816,1232,253,30,9,185,4105,21,386,729,342,38,3,6,84,1614,0,34,37,16,0,0,0,0,90,0,20,54,21,0,0,0,3,96,0,3,5,0,0,0,0,0,9,24,448,828,378,44,3,6,90,1812,459,846,322,191,115,27,24,229,2219,28,82,96,147,64,15,32,97,560,660,2900,7612,23257,16554,1975,467,1804,55216
CED507,55,449,2974,16892,22239,2267,396,763,46038,9,422,1360,1565,174,12,5,136,3688,0,46,91,326,86,8,0,12,578,12,469,1447,1896,256,20,6,154,4260,10,228,423,145,10,3,0,50,866,0,3,54,30,0,0,0,3,87,0,0,20,17,0,0,0,0,37,0,3,4,0,0,0,0,0,9,10,235,499,191,10,3,0,52,996,67,286,368,102,24,9,8,48,902,7,15,37,76,49,11,4,37,238,146,1454,5325,19153,22574,2305,413,1054,52427
CED508,41,395,2379,15191,19500,2147,366,663,40680,21,529,2463,2999,454,33,12,179,6691,14,268,703,1339,309,37,3,43,2720,33,801,3172,4341,768,65,13,223,9414,10,236,468,100,7,3,0,32,860,4,251,729,228,7,0,0,49,1260,20,398,775,225,14,0,3,26,1470,0,0,0,0,0,0,0,3,4,33,888,1970,555,33,6,6,110,3595,18,71,131,22,11,0,0,14,272,7,20,30,49,25,3,3,98,231,133,2171,7679,20150,20341,2221,387,1107,54191
CED509,47,402,2520,17240,19936,2930,608,747,44433,12,410,1185,1961,158,13,5,134,3883,0,55,242,226,33,0,0,11,570,15,468,1425,2183,192,15,6,148,4456,0,71,120,97,9,0,0,8,311,0,63,136,18,0,0,0,4,228,0,0,20,3,0,0,0,0,25,0,4,0,0,0,0,0,0,7,0,142,274,121,11,0,0,16,572,32,105,116,51,39,9,7,25,388,4,12,19,44,30,5,3,14,133,103,1137,4363,19641,20202,2961,626,947,49978
CED510,24,114,691,11604,25612,4063,574,502,43191,0,109,582,1852,237,24,9,65,2878,5,69,128,611,301,54,14,33,1208,5,176,710,2462,539,77,22,98,4090,23,82,148,144,10,0,0,21,431,0,42,228,79,11,0,0,10,363,0,69,176,86,3,0,0,13,348,0,3,0,0,0,0,0,0,5,23,195,553,313,18,3,0,45,1153,0,15,34,11,14,3,0,6,84,0,9,11,11,16,5,3,10,61,56,519,2002,14402,26203,4150,598,659,48576
CED511,97,826,5590,22975,16060,2372,498,1102,49527,23,698,1448,1050,83,7,3,183,3509,3,27,105,138,36,0,0,7,321,26,727,1554,1192,121,11,3,188,3831,3,210,266,92,10,0,3,30,618,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,3,209,268,91,13,0,3,30,628,94,315,162,88,39,8,8,60,777,8,52,63,127,79,19,16,60,422,237,2128,7643,24469,16322,2406,539,1444,55185
CED512,64,407,2573,16796,29644,3238,604,946,54266,4,127,1166,2325,596,29,0,119,4364,0,38,188,198,42,9,0,16,491,4,165,1361,2522,632,39,3,133,4852,0,55,115,29,15,0,0,16,231,0,11,107,6,3,3,0,3,126,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,3,7,0,63,225,37,14,3,0,20,376,19,65,55,33,23,8,0,16,221,0,21,16,55,52,6,11,37,193,87,712,4234,19438,30369,3291,620,1152,59909
CED513,24,270,3866,15716,10629,1692,298,625,33119,15,528,2361,2673,357,26,11,180,6142,5,320,1271,2285,410,40,6,86,4427,23,847,3630,4955,771,69,20,266,10570,20,734,1845,469,8,3,3,101,3181,47,1048,1878,353,10,0,7,89,3424,125,2598,4592,1168,37,11,5,163,8701,0,6,0,0,0,0,0,0,12,192,4387,8322,1995,59,13,10,354,15324,3,21,49,26,10,0,0,16,124,9,23,43,61,32,7,3,14,201,247,5544,15909,22750,11495,1779,330,1270,59326
CED514,29,210,1655,14677,12649,2065,331,588,32208,21,882,5139,10689,560,41,17,488,17843,0,142,654,1919,659,58,6,65,3498,25,1027,5791,12609,1223,99,26,550,21343,8,554,1489,299,12,0,0,90,2458,0,151,243,43,3,0,0,18,452,3,45,58,76,0,0,0,16,203,0,0,0,3,0,0,0,0,3,17,749,1795,411,21,0,0,124,3119,8,15,0,13,8,0,0,3,44,0,10,25,68,21,4,0,17,136,77,2007,9268,27773,13918,2164,365,1278,56856
CED515,36,484,4085,17301,12188,1947,439,822,37311,39,721,3026,5125,795,92,51,324,10180,32,399,1410,3265,747,85,49,145,6134,71,1125,4439,8387,1545,177,95,469,16318,12,610,1048,456,99,4,8,137,2370,14,482,939,206,3,0,0,52,1699,27,750,1316,530,28,0,0,80,2736,0,0,0,0,0,0,0,0,3,53,1842,3305,1199,134,9,8,269,6813,0,11,14,20,5,0,3,3,59,0,11,46,64,50,0,10,29,220,167,3474,11893,26963,13930,2144,553,1597,60718
CED516,29,215,1557,13086,19107,3734,713,515,38949,9,228,2301,2961,393,34,7,151,6079,0,15,181,756,478,102,11,19,1554,9,238,2482,3714,871,132,19,176,7633,16,209,460,357,26,6,0,36,1112,0,56,140,11,3,0,0,11,225,0,23,140,83,0,0,0,5,251,0,0,0,4,0,0,0,0,5,13,292,745,448,33,6,0,46,1591,0,0,0,8,9,3,0,0,17,0,3,9,33,39,0,0,15,103,53,749,4799,17289,20056,3870,736,749,48299
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,60,426,4958,18689,6756,1204,232,641,32974,7,630,1224,234,30,3,0,104,2239,0,36,280,305,127,27,12,22,812,9,672,1503,546,150,31,14,119,3050,24,669,1528,239,39,11,5,98,2613,0,26,75,9,0,0,0,0,109,19,77,9,3,0,0,0,5,124,0,41,28,5,5,0,0,4,90,41,805,1645,264,42,15,5,113,2926,9,45,44,42,9,3,0,8,159,7,16,53,51,26,4,3,18,175,127,1961,8209,19588,6996,1260,256,899,39289
CED602,49,554,5134,20695,6247,1041,223,773,34710,12,622,1447,228,21,3,0,135,2469,3,36,177,27,0,0,3,14,272,16,663,1626,255,25,8,7,154,2741,3,158,248,25,10,0,0,26,471,4,25,6,0,0,0,0,0,37,0,12,45,7,0,0,0,0,68,0,3,3,0,0,0,0,0,7,7,196,297,36,5,0,3,30,584,21,110,63,53,12,0,0,19,287,0,12,30,48,20,8,3,16,142,93,1528,7151,21087,6314,1052,237,997,38452
CED603,47,438,5523,16066,6150,1495,367,582,30680,15,497,936,230,40,13,3,83,1822,9,164,877,362,82,23,5,30,1560,26,657,1806,595,123,36,9,116,3379,71,1447,2307,506,96,18,7,141,4597,58,227,408,112,10,5,0,20,847,24,172,343,66,0,4,0,20,623,0,28,16,12,8,3,0,0,61,155,1872,3082,686,119,20,16,180,6132,14,45,57,41,13,0,0,10,174,5,23,33,29,8,3,3,23,131,242,3045,10502,17418,6409,1561,399,910,40488
CED604,93,735,5634,19964,8091,1579,315,632,37045,6,292,605,111,12,0,0,50,1085,0,39,270,130,15,5,0,15,480,9,331,884,238,25,7,0,67,1563,5,153,392,107,8,0,0,28,700,0,5,74,3,0,0,0,3,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,157,468,113,8,0,0,31,786,32,85,44,41,16,3,0,21,239,3,14,17,30,14,6,0,9,90,137,1317,7049,20389,8153,1593,327,752,39726
CED605,127,1075,6667,20558,6802,1187,318,873,37594,10,190,254,84,19,3,3,28,589,0,13,38,14,0,0,0,0,68,10,201,294,92,19,3,3,30,656,10,129,519,115,12,0,0,39,820,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,10,11,135,525,115,12,4,0,39,835,33,113,80,61,22,8,5,19,340,0,7,54,73,27,6,12,15,195,174,1531,7610,20902,6881,1208,341,974,39625
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,201,1011,3058,11064,4445,819,277,755,21638,19,475,1404,525,61,11,5,117,2626,0,59,465,168,9,3,0,17,717,21,534,1871,698,65,11,9,136,3347,44,499,435,101,28,4,7,74,1188,13,47,163,35,3,0,0,19,276,0,30,24,10,0,0,0,4,67,0,8,3,3,0,0,0,3,17,57,585,628,143,34,4,10,95,1548,305,579,215,218,116,18,10,205,1675,22,72,82,105,37,6,14,54,395,608,2781,5845,12230,4701,862,319,1249,28604
CED702,49,194,713,11385,7288,1325,296,538,21793,11,327,1411,675,43,6,0,92,2571,11,91,1054,709,92,3,3,51,2016,19,413,2466,1388,133,10,6,149,4585,25,514,2081,914,66,4,3,182,3797,43,240,1010,316,4,0,3,49,1666,32,554,2180,1516,40,0,8,121,4450,0,6,8,0,0,0,0,0,11,100,1314,5281,2748,117,3,16,348,9927,96,168,74,73,21,3,4,71,497,11,25,43,47,12,6,0,34,184,276,2117,8581,15631,7575,1349,320,1138,36987
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED801,29,308,1810,21169,19517,4226,781,741,48577,17,479,1911,3062,289,18,3,169,5947,23,411,1334,2228,447,41,6,81,4576,35,892,3247,5293,733,57,9,251,10521,25,470,881,360,39,3,3,124,1904,51,1064,2359,460,19,0,0,75,4027,36,2258,2610,563,16,0,0,91,5579,0,56,31,22,5,0,0,7,119,115,3846,5874,1404,81,4,6,292,11627,17,59,37,24,10,3,0,13,169,3,22,30,36,17,0,3,15,130,203,5126,10998,27924,20367,4291,799,1320,71018
CED802,35,358,1670,20242,20304,3745,638,755,47746,7,376,2679,4219,380,28,10,211,7920,20,361,1518,3744,950,82,24,134,6835,23,734,4200,7964,1331,115,30,351,14757,12,897,1378,292,28,8,3,73,2698,13,1248,1635,282,31,3,0,77,3283,4,1781,1569,264,24,0,0,74,3727,0,45,19,9,0,0,0,3,77,34,3966,4607,849,90,6,5,232,9783,3,3,0,7,10,0,0,8,36,3,52,22,36,23,4,0,12,153,100,5120,10499,29087,21762,3879,676,1351,72475
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
