CED_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED311,233,1139,4528,20632,17245,2543,601,1090,48008,8,122,414,317,30,3,0,28,918,3,22,243,366,42,3,4,16,689,10,141,664,675,73,4,4,41,1608,19,245,1071,379,33,8,6,92,1852,10,24,76,42,0,0,0,3,162,3,21,188,26,0,0,0,10,249,0,4,3,3,0,0,0,0,11,25,286,1336,458,35,7,6,107,2271,209,501,192,119,58,11,13,110,1205,19,70,92,154,109,22,9,40,524,495,2138,6814,22037,17521,2586,630,1394,53614
CED312,45,255,2338,16954,20941,3483,861,895,45770,11,233,963,1118,115,7,4,94,2549,4,71,1028,1996,164,14,5,90,3370,16,299,1994,3109,272,21,9,182,5916,11,228,625,447,57,8,5,55,1423,0,64,64,0,0,0,0,9,134,0,0,7,3,3,0,0,0,12,0,5,3,0,0,0,0,0,9,11,294,698,450,54,8,4,66,1579,37,203,123,19,6,0,5,32,433,3,11,17,35,38,9,0,21,139,116,1068,5169,20577,21313,3521,883,1196,53842
CED313,31,262,3360,12725,8936,3410,788,579,30091,10,91,250,178,23,3,9,15,580,14,430,1773,3557,228,43,7,128,6184,25,514,2025,3731,255,51,14,140,6759,126,2147,3206,969,75,17,32,240,6806,100,1054,5534,907,54,14,10,165,7842,67,1711,4336,1559,114,12,4,164,7967,0,4,7,3,3,0,0,0,19,286,4915,13085,3441,249,43,42,568,22635,3,16,35,71,40,5,5,3,186,12,34,82,81,18,15,10,48,294,351,5747,18596,20055,9495,3516,869,1336,59957
CED314,50,277,2843,20037,16602,2939,592,820,44154,16,612,2721,1435,66,12,3,172,5039,9,174,672,411,45,5,7,46,1368,21,786,3393,1847,108,16,8,221,6402,7,188,1601,513,33,3,3,94,2440,6,14,34,0,0,0,0,3,58,0,0,37,16,6,0,0,6,73,0,5,0,0,0,0,0,0,4,15,203,1676,533,39,3,9,97,2578,17,62,35,52,53,11,0,14,242,3,35,46,96,48,5,4,105,346,109,1370,7987,22567,16855,2976,617,1255,53736
CED315,61,364,3045,20750,16573,2458,531,841,44626,51,385,2593,553,97,6,4,177,3862,5,313,1632,596,48,8,10,65,2668,57,705,4222,1145,144,12,14,240,6530,37,389,1048,302,22,5,4,93,1897,0,80,832,200,7,0,0,28,1151,11,122,713,574,3,6,0,31,1453,0,3,0,0,0,0,0,0,4,45,595,2594,1073,30,7,3,158,4512,89,192,58,36,18,5,4,25,429,4,21,46,55,30,3,4,52,211,255,1875,9957,23066,16791,2485,559,1313,56302
CED316,98,528,4873,21907,14766,2078,437,1027,45712,40,345,1888,843,43,4,7,154,3313,19,299,517,562,29,3,0,51,1478,54,640,2407,1407,70,7,6,201,4791,17,346,1236,335,54,3,3,97,2098,0,19,118,47,0,0,0,3,192,0,20,176,117,8,0,0,7,322,0,0,0,0,0,0,0,0,4,23,385,1530,505,58,3,3,111,2616,176,519,193,111,38,7,3,99,1140,12,25,56,104,27,8,6,98,333,360,2096,9052,24035,14950,2096,463,1548,54602
CED317,268,1447,6568,23275,12044,1993,545,1273,47421,19,312,928,318,93,20,11,67,1775,0,44,191,54,7,3,0,23,325,18,355,1120,370,103,18,12,93,2098,12,446,1523,330,43,3,0,152,2520,0,6,21,3,0,0,0,0,37,0,30,24,18,3,0,0,0,77,0,8,7,3,0,0,0,0,12,19,493,1582,353,45,3,0,155,2646,252,559,243,155,75,9,17,192,1493,22,73,85,130,74,19,14,74,506,583,2924,9597,24284,12353,2053,587,1781,54158
CED318,141,758,3659,19314,14794,2405,654,1076,42801,30,412,2022,657,62,8,6,144,3345,30,302,2047,422,51,12,9,89,2963,56,714,4072,1079,116,19,21,235,6305,130,1301,3413,507,64,11,9,279,5709,37,481,1974,635,18,3,4,107,3259,17,118,569,354,12,0,0,29,1093,0,3,7,5,0,0,0,0,11,174,1902,5970,1494,92,13,12,415,10080,173,273,143,91,38,3,10,134,869,17,79,132,90,43,8,15,128,506,566,3719,13971,22067,15091,2448,703,1990,60555
CED319,23,262,3623,20589,13076,3253,606,768,42205,8,256,988,589,11,0,0,85,1948,11,347,1477,2830,92,6,3,142,4910,21,601,2462,3424,105,8,5,230,6855,73,1186,2328,523,12,4,3,161,4281,28,279,2600,263,13,3,0,87,3273,19,516,1429,223,8,0,0,60,2259,0,0,0,0,0,0,0,0,6,114,1982,6362,1009,32,8,3,308,9822,9,102,43,18,8,6,0,14,203,0,17,34,54,33,14,4,57,217,173,2964,12522,25099,13250,3284,618,1380,59299
CED320,82,348,2264,17568,21881,3124,774,877,46919,11,220,1387,1705,188,5,3,117,3639,7,261,925,878,56,6,3,81,2217,19,479,2315,2582,247,13,8,190,5853,7,401,338,147,11,3,0,81,981,7,37,178,43,0,0,0,0,275,0,18,102,32,3,0,0,5,163,0,0,5,11,0,0,0,0,21,17,456,628,228,10,3,0,89,1434,91,325,151,39,24,3,3,46,683,3,15,37,60,28,3,4,19,171,212,1633,5381,20484,22185,3150,791,1225,55062
