CED_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
CED122,2368,3153,5516,6761,7979,14734,160,153,316,481,610,1091,3,3,8,22758,25364,48128,12,31,47,5008,5595,10598,88,153,242,115,129,243,162,157,319,263,283,547,284,332,617,675,835,1507,1258,1461,2722,22,34,53,49,56,106,792,938,1726,1314,1653,2963,43,35,78,40247,45795,86043,1260,1084,2346,2873,2410,5286,2410,2623,5032,19,12,34,113,93,205,217,235,450,351,343,691,26577,24236,50820,278,245,522,99,150,254,26956,24633,51592,10763,8965,19734,87226,89009,176238
CED123,768,1034,1803,14532,16806,31340,39,37,77,786,900,1687,199,168,366,24742,26666,51408,89,110,195,1246,1296,2542,204,261,462,366,407,772,206,254,453,349,347,692,397,422,819,1188,1355,2538,1774,2060,3840,142,222,363,160,201,362,1513,1776,3293,1868,2073,3942,69,85,151,49881,55430,105312,1555,1509,3067,1653,1528,3181,36,41,83,17,20,33,702,650,1353,204,289,493,920,957,1879,19558,16791,36347,240,187,422,92,116,210,19886,17093,36977,7399,6838,14233,82100,84430,166528
CED124,389,601,988,19425,21344,40764,3,0,3,1351,1537,2884,11,12,18,13968,15432,29405,86,105,197,188,150,341,332,408,736,126,160,283,133,166,302,21,16,35,275,312,591,404,494,902,2714,2876,5591,276,366,642,248,286,537,3657,4421,8079,1398,1687,3086,37,40,81,44645,49809,94457,108,98,206,101,57,156,33,31,70,27,18,49,21,16,37,125,182,305,173,217,387,18831,16560,35393,180,136,313,89,156,243,19101,16851,35948,6716,6546,13264,71269,74208,145480
CED125,1596,2034,3631,12317,14009,26325,114,106,222,1111,1258,2372,120,116,239,23036,24969,48011,82,85,165,1563,1536,3097,328,429,759,716,718,1435,178,196,373,384,357,742,468,500,970,1196,1406,2600,1437,1584,3014,121,172,297,292,350,640,1305,1504,2805,2102,2297,4397,112,123,235,46972,51720,98695,2568,2571,5143,5263,4951,10211,36,33,70,16,19,41,525,433,962,296,354,647,836,814,1651,15735,13622,29358,181,123,299,88,93,179,16003,13834,29837,6486,6297,12785,79776,82244,162017
CED126,898,1317,2214,12829,15243,28073,0,3,7,678,740,1414,3,3,4,16928,18873,35806,24,34,56,1061,1117,2176,183,237,414,92,100,195,212,284,503,351,381,734,262,321,579,929,1072,2000,1567,1810,3372,59,105,163,50,61,110,2047,2575,4623,1445,1735,3180,40,53,89,38754,44741,83496,552,477,1033,332,319,648,231,240,473,5,0,5,230,157,388,196,264,460,434,422,857,25089,22167,47250,246,190,442,96,175,271,25433,22532,47960,5891,6034,11920,72523,76091,148613
CED127,553,864,1418,13571,15385,28955,8,7,16,1527,1695,3216,194,233,429,15714,17218,32930,85,85,173,603,575,1177,250,320,568,153,179,338,179,225,403,17,19,41,194,245,445,838,875,1711,1677,1897,3571,133,174,304,132,158,282,1909,2483,4385,1659,1901,3559,65,110,174,38913,43777,82687,163,158,317,209,184,395,96,112,212,15,24,38,37,28,66,256,354,611,312,402,714,22434,20475,42911,324,279,602,124,246,370,22884,20995,43880,5919,5893,11807,69050,72392,141439
CED128,4048,4949,9000,5879,6721,12600,1714,1827,3538,879,889,1765,20,19,37,28972,30812,59782,76,92,169,2797,2857,5650,236,306,541,333,360,693,106,98,207,690,701,1394,372,395,768,782,955,1744,832,921,1758,64,83,147,216,254,464,998,1173,2171,2460,2547,5010,106,133,237,47526,51148,98677,2240,2172,4411,10038,9004,19047,15,23,36,3,3,7,442,373,812,620,678,1297,1067,1050,2118,10928,8938,19866,102,72,177,62,73,136,11092,9088,20176,6198,6036,12229,82230,83470,165693
CED129,1991,2512,4507,10258,11607,21869,24,29,56,1240,1512,2752,186,180,362,21351,23080,44429,71,99,172,1545,1583,3128,145,178,317,251,265,514,160,215,367,488,492,972,412,443,853,1782,2066,3847,1953,2157,4110,94,119,220,303,393,702,2027,2509,4543,1670,1855,3525,67,76,146,44028,48857,92882,3649,3704,7355,2189,2148,4332,94,84,174,4,0,4,733,707,1441,457,475,937,1196,1186,2375,17283,15249,32534,187,153,338,67,89,157,17538,15495,33028,4430,4365,8796,75103,78347,153449
CED130,383,519,905,21106,23724,44828,0,0,0,697,779,1474,144,155,298,16575,18221,34802,48,74,115,115,112,226,308,384,694,72,86,162,115,173,289,13,16,31,145,154,296,595,744,1340,3363,3575,6935,369,460,825,234,279,509,2922,3628,6547,1360,1549,2908,75,76,146,48257,54176,102432,301,309,615,406,329,736,21,27,52,37,21,56,75,60,131,160,243,407,271,327,600,17294,14883,32175,178,158,335,76,105,183,17552,15140,32693,8199,7968,16166,75391,78795,154184
CED131,805,1059,1866,11800,13587,25384,0,0,0,1234,1418,2648,24,34,59,15909,18014,33922,40,60,101,1332,1336,2670,129,164,298,105,113,218,121,135,251,50,48,98,364,420,782,753,831,1583,1816,1947,3764,260,311,566,209,232,441,2667,3597,6267,1814,2192,4002,67,77,137,38682,44518,83197,572,493,1061,1059,812,1864,45,50,95,30,27,49,94,79,166,194,227,422,311,330,642,27070,23651,50720,422,360,777,157,201,355,27656,24208,51861,6360,6006,12361,75477,77466,152948
