CED_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
CED133,7,10,3,0,0,3,3,212,12,113,73,30,11,10,14,3,0,0,7,0,4,0,9,282,0,3,0,4,3,6,33,17,3,15,0,0,4,0,5,99,0,0,0,0,5,11,16,14,0,5,0,5,8,8,12,85,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,10,0,4,17,33,12,11,17,16,0,0,4,0,0,3,9,132,0,21,30,4,0,0,0,0,0,0,0,0,0,0,5,66,0,159,124,62,50,11,32,19,0,0,0,0,7,0,11,487,14,21,80,325,553,339,248,120,41,22,16,15,8,12,104,1920,0,0,0,0,0,3,5,8,3,3,13,0,0,8,0,45,0,0,0,11,51,111,102,108,23,26,22,31,25,12,27,556,3,9,5,5,19,10,3,3,0,0,0,0,0,0,3,57,0,0,5,14,7,3,3,0,0,0,0,3,0,0,0,42
CED134,11,15,4,6,3,0,0,133,3,36,31,21,4,0,0,0,0,0,0,8,0,7,9,121,0,0,0,3,0,0,6,3,0,0,0,0,8,3,9,31,0,0,0,0,0,7,11,24,3,3,4,3,11,9,9,80,0,4,10,7,6,3,0,4,0,0,0,0,0,0,3,44,0,0,3,7,14,13,5,15,3,0,0,0,0,3,7,78,0,29,3,7,0,0,0,0,0,0,0,0,0,0,5,43,0,79,51,19,12,4,10,3,3,3,0,3,0,0,3,192,3,9,34,123,189,178,198,106,39,46,18,22,19,3,43,1032,0,0,0,0,3,0,7,41,17,10,5,8,16,8,5,124,0,0,0,4,36,77,69,124,34,54,69,60,40,10,27,621,0,4,7,0,10,3,0,3,0,3,0,0,0,0,3,30,0,0,4,4,4,7,8,4,0,0,0,0,0,0,0,32
CED135,3,16,13,8,4,4,12,268,3,95,243,185,28,14,10,30,0,6,15,17,17,3,31,707,0,3,0,4,15,39,98,47,21,7,10,13,20,6,24,314,0,0,0,32,256,834,1330,815,106,114,101,116,113,59,119,3997,9,101,315,1276,965,1048,782,318,63,52,60,53,45,32,215,5337,0,0,12,92,167,304,243,237,34,46,51,53,45,29,32,1345,3,154,139,60,23,0,0,0,0,0,0,0,0,0,28,403,0,59,48,13,8,12,11,12,0,0,0,0,0,3,16,184,5,7,27,101,310,410,694,371,131,141,104,76,77,43,120,2612,0,0,0,11,30,127,267,340,105,197,218,289,248,166,46,2048,0,0,10,81,330,915,662,626,141,184,209,192,155,131,80,3715,0,24,12,17,130,89,35,24,0,9,7,4,8,3,22,387,0,3,7,22,34,70,95,75,17,7,14,14,11,15,10,402
CED136,8,7,9,6,0,0,4,193,3,53,71,42,10,5,6,3,0,0,4,0,0,0,10,193,0,0,0,3,3,6,16,7,0,0,0,3,0,0,0,42,0,0,0,0,9,11,8,28,5,10,4,3,3,3,6,98,0,0,0,10,4,3,0,0,0,0,0,0,0,0,0,20,0,0,29,64,59,23,17,14,3,3,3,0,4,3,11,232,0,47,48,13,3,0,0,0,0,0,0,0,0,0,5,116,0,156,115,44,20,3,18,10,0,0,0,0,0,0,3,366,13,15,60,200,366,279,280,164,62,49,16,26,21,26,69,1647,0,0,0,7,8,3,27,13,6,3,7,3,4,0,0,82,0,0,0,7,91,160,101,107,33,34,41,41,33,3,24,671,0,50,15,7,27,11,8,6,0,0,0,0,0,0,3,130,0,3,3,16,3,3,7,7,3,0,0,0,0,0,0,47
CED137,69,64,38,20,22,7,31,819,32,833,1989,1155,148,73,80,73,13,50,61,70,46,15,171,4801,0,0,3,4,30,68,115,72,9,25,25,29,31,18,29,456,0,0,0,54,605,1303,2642,2162,420,523,565,532,634,388,480,10322,0,51,146,434,248,204,99,57,19,13,8,16,17,8,84,1401,0,6,41,93,292,358,252,194,30,54,65,45,89,40,67,1621,3,77,55,37,10,3,3,0,0,0,0,0,0,0,10,193,0,29,31,8,14,9,25,16,3,4,3,9,0,3,6,164,10,19,50,170,365,326,574,271,79,95,57,50,50,27,107,2254,0,0,0,10,32,66,134,104,30,55,54,76,85,43,20,702,0,4,3,46,227,558,314,293,87,83,128,116,133,76,84,2159,0,34,31,21,99,68,40,37,5,3,8,12,9,0,16,381,0,3,8,34,78,80,120,86,20,16,18,37,29,20,14,551
CED138,9,11,12,0,3,3,19,321,6,93,81,33,18,13,27,24,11,10,10,19,12,4,36,393,0,11,6,8,13,52,101,77,14,17,11,13,19,18,17,362,0,0,0,0,5,11,12,18,6,0,3,3,7,12,0,84,0,0,3,5,3,3,0,0,0,0,0,0,0,0,3,25,0,4,21,41,27,22,15,9,0,0,3,0,0,0,15,153,0,62,29,8,0,7,3,0,0,0,0,0,0,0,7,111,0,190,133,34,49,27,50,19,3,4,8,0,0,4,34,559,17,23,124,415,862,686,741,384,72,97,49,57,46,30,184,3789,0,0,3,3,0,0,9,6,0,0,0,0,0,0,0,26,0,0,3,12,80,107,94,94,33,31,14,43,29,20,48,612,0,12,17,4,26,16,10,7,3,0,3,3,4,0,6,109,3,0,6,21,13,7,11,4,3,3,3,0,3,0,6,87
CED139,11,24,3,0,0,3,3,152,3,32,50,22,8,0,0,0,0,0,0,3,3,3,13,145,0,9,0,3,0,0,17,3,4,0,0,0,0,0,0,29,0,0,0,0,10,9,13,22,3,9,0,3,15,3,13,92,0,5,0,13,15,14,16,7,3,0,0,0,0,6,14,98,0,0,14,24,13,19,24,17,7,4,3,6,5,8,16,159,0,19,6,4,6,0,0,0,0,0,0,0,0,0,3,45,0,130,83,18,17,5,22,0,3,0,0,0,0,0,7,294,8,16,47,126,195,184,187,88,32,31,18,22,10,5,68,1041,0,0,0,0,3,5,26,27,8,9,3,8,11,0,7,116,0,0,0,0,34,62,59,151,38,86,82,110,68,21,39,742,0,21,0,3,8,3,0,5,0,5,0,0,0,0,5,46,0,0,5,7,4,0,4,11,3,0,3,0,0,0,3,52
CED140,15,11,5,9,0,5,14,516,6,101,130,72,12,3,7,10,6,7,3,3,0,0,19,389,0,3,3,6,10,35,62,27,5,7,8,3,3,0,4,180,0,0,0,4,21,56,124,104,12,4,8,12,16,9,3,376,0,12,5,25,9,13,5,7,0,0,0,0,0,0,6,82,0,0,21,28,39,41,27,14,3,5,5,3,7,0,9,205,0,92,69,35,7,7,3,0,0,0,0,0,0,0,3,219,6,161,99,55,37,25,19,27,0,0,0,10,0,0,12,457,14,34,86,317,640,474,506,172,35,40,24,21,20,19,103,2507,0,0,3,4,0,5,5,10,4,3,3,4,6,3,8,58,0,0,11,28,106,214,134,117,7,27,49,29,28,12,33,786,0,18,12,7,60,37,22,17,6,0,5,0,3,0,3,196,0,0,9,18,16,7,30,15,0,3,6,3,3,5,3,117
CED141,6,19,6,0,0,0,6,248,8,80,126,70,11,9,5,16,0,0,0,0,0,0,21,345,0,0,3,5,9,3,19,8,0,0,4,5,0,6,3,59,0,0,0,3,6,21,21,29,0,3,10,4,8,3,3,109,0,4,6,11,7,3,0,0,0,0,0,0,0,0,0,33,0,0,14,51,63,28,19,30,5,5,10,6,12,0,8,248,0,72,46,27,5,0,3,0,0,0,0,0,0,0,4,159,0,168,101,28,13,3,18,6,0,0,3,0,3,0,14,363,8,23,59,190,392,289,297,116,53,29,12,20,11,8,69,1571,0,0,0,0,4,0,7,5,0,0,0,3,0,0,0,33,0,0,3,9,57,131,65,70,18,15,16,22,20,18,21,472,0,38,12,12,32,17,3,3,0,0,0,0,0,0,11,139,4,0,6,17,7,4,10,5,0,0,0,0,0,0,3,59
CED142,180,206,139,114,132,73,38,1842,0,61,101,98,35,31,85,177,79,131,191,216,219,115,97,1624,0,0,3,11,43,185,332,206,52,94,115,112,170,175,170,1668,0,0,0,15,117,241,529,597,161,204,232,280,346,412,333,3466,0,13,33,125,57,63,32,14,3,3,11,7,8,9,18,411,0,0,37,104,263,395,442,312,63,86,130,128,174,116,78,2332,0,43,48,19,9,0,5,3,0,0,0,0,3,0,0,132,0,36,28,19,26,24,59,56,23,25,28,48,62,43,27,501,4,22,79,296,682,763,1131,644,196,238,226,225,258,166,159,5073,0,0,0,0,7,26,27,30,17,10,17,27,39,26,6,228,0,0,4,50,196,499,230,204,71,78,70,83,103,109,51,1747,0,9,20,22,107,87,87,64,19,25,19,39,38,29,7,577,3,0,15,40,94,131,236,158,38,43,61,102,110,90,39,1170
CED143,57,45,43,43,26,29,15,1051,6,168,329,209,36,31,61,84,36,43,45,57,45,25,63,1233,3,0,8,34,59,137,239,116,41,26,34,31,30,23,24,821,0,0,0,7,65,113,116,91,17,13,22,12,24,18,9,518,3,3,18,31,31,22,8,5,0,0,0,0,5,4,4,135,5,0,28,63,138,95,65,46,13,10,6,15,6,3,10,505,0,14,11,6,9,0,4,0,0,0,0,0,0,0,3,41,0,96,57,41,49,28,90,65,28,27,31,47,27,23,13,617,28,43,144,347,669,625,986,502,133,125,122,94,103,65,102,4085,0,0,0,4,3,11,4,13,6,13,5,3,7,0,0,69,0,0,3,32,123,192,146,147,43,22,34,37,41,29,24,859,0,14,21,12,94,52,28,42,12,10,17,22,12,6,8,358,3,6,13,43,51,44,102,59,27,13,19,14,27,13,9,440
CED144,25,18,4,10,9,3,13,399,6,387,1040,818,95,50,62,39,6,13,27,36,21,5,98,2705,0,3,0,3,12,37,57,40,11,3,9,5,13,11,10,210,3,0,0,47,451,829,1129,518,71,111,85,108,140,54,142,3673,8,100,494,2692,2177,2252,1361,655,112,92,137,109,116,38,416,10769,0,0,15,50,140,220,191,128,38,55,101,92,126,68,96,1312,0,68,67,35,12,0,4,5,0,0,0,0,0,0,10,196,0,19,20,14,3,7,4,3,0,0,0,0,0,0,3,73,3,6,26,88,230,339,592,278,63,65,56,63,54,25,109,1991,0,0,0,13,44,222,549,642,196,283,268,400,406,204,83,3308,0,0,5,55,265,714,503,359,86,106,88,94,97,49,81,2515,0,31,20,24,84,43,23,20,3,4,3,5,0,0,14,277,0,0,3,20,38,60,58,34,3,7,3,14,6,22,10,279
CED145,166,126,138,109,125,59,34,1750,11,137,214,105,47,49,86,153,65,94,139,128,84,51,55,1416,3,0,5,29,43,98,158,74,23,28,27,34,9,21,24,573,0,0,0,6,37,66,83,68,20,3,14,13,15,22,14,362,0,11,11,57,31,26,19,7,3,0,4,3,3,0,6,184,3,3,22,75,128,114,72,36,7,5,12,9,16,9,15,516,0,50,26,13,7,6,0,0,0,0,0,0,0,0,3,110,5,53,40,20,16,22,40,55,24,15,21,28,31,16,14,400,18,36,96,335,607,590,832,536,186,151,148,137,121,99,131,4026,0,0,0,9,5,3,12,10,3,0,0,3,5,0,0,53,0,0,7,26,73,136,123,160,36,43,51,51,49,31,32,830,31,138,110,19,115,62,61,42,15,16,21,12,16,13,24,698,0,4,48,56,73,70,89,74,10,18,23,21,26,14,25,554
CED146,4,3,0,0,0,0,5,141,8,394,771,612,139,54,63,16,13,9,17,14,7,3,90,2216,0,0,0,0,3,7,13,14,0,0,3,0,3,0,4,54,0,0,0,0,16,29,48,19,0,6,0,3,0,0,3,129,0,10,44,568,716,856,666,292,56,32,39,61,39,19,126,3526,0,0,7,21,72,137,76,60,8,7,5,4,10,3,6,416,0,150,205,122,48,10,3,0,0,0,0,0,0,0,18,561,0,27,57,13,5,3,8,3,0,0,3,0,0,0,0,123,0,3,19,60,297,578,977,438,104,112,110,114,113,51,181,3165,0,0,0,6,32,171,346,262,40,34,32,50,45,24,23,1065,0,0,4,63,447,1677,726,377,70,44,51,54,56,27,76,3671,0,17,20,22,219,189,40,17,0,3,0,0,5,0,8,533,0,0,4,11,15,34,22,18,7,3,0,0,3,3,4,122
CED147,7,20,3,0,3,0,13,306,4,161,417,230,38,14,14,13,0,8,3,3,3,0,43,960,0,0,0,6,8,7,10,7,3,3,0,0,3,5,0,60,0,0,0,3,5,23,31,21,4,0,7,0,4,4,15,118,0,5,10,72,57,70,26,30,6,0,3,4,0,0,12,299,0,0,13,17,13,19,20,19,0,7,6,3,12,0,11,131,0,134,195,71,16,0,0,5,0,0,0,0,0,0,21,452,0,278,175,43,25,15,6,6,0,3,0,7,0,0,25,580,12,26,82,213,341,293,280,145,29,33,27,13,14,15,69,1583,0,0,0,5,7,3,10,7,10,0,3,5,3,0,0,58,0,0,0,22,133,202,114,107,14,14,23,25,23,15,28,723,0,24,31,18,94,41,11,8,0,3,0,0,0,0,5,237,0,3,6,14,4,6,13,13,0,3,0,4,5,3,5,87
CED194,0,0,3,0,4,14,7,45,0,3,6,3,3,0,0,0,0,3,0,7,7,6,8,49,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,12,0,0,0,0,0,0,4,5,0,4,0,3,9,3,8,39,0,0,3,8,8,7,7,5,0,0,0,0,0,0,3,33,0,0,0,0,5,3,7,8,0,0,0,0,4,4,14,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,16,6,3,0,0,0,3,0,0,0,0,4,8,3,48,0,0,4,15,51,42,56,30,3,6,0,4,14,3,84,324,0,0,0,0,0,0,0,0,0,0,0,3,4,23,0,32,0,0,0,0,5,21,4,3,0,3,3,3,14,16,12,89,0,0,0,0,4,3,0,0,0,0,0,0,3,0,4,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,13
CED197,0,0,0,0,3,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,7,18,20,3,0,3,16,367,4,189,379,299,43,10,11,6,0,0,6,11,0,0,31,998,0,0,0,6,3,17,44,23,6,8,3,6,3,4,10,130,0,0,0,0,6,48,143,206,32,18,23,13,21,11,7,534,0,3,5,36,53,52,13,9,3,0,4,0,0,0,6,186,5,0,22,117,328,902,626,689,109,97,70,77,60,42,43,3176,0,48,52,30,18,3,0,0,0,0,0,0,0,0,0,152,0,218,268,68,50,15,13,13,3,0,0,0,5,0,21,672,10,13,30,107,265,326,398,236,75,64,29,39,30,18,49,1684,0,0,0,3,11,31,49,23,15,12,4,20,7,0,3,182,0,0,0,30,159,354,209,218,42,46,50,50,31,25,37,1251,0,28,40,32,150,159,35,8,0,5,4,0,0,0,11,469,0,0,8,28,64,128,227,261,23,34,26,22,30,14,13,881
CED202,4,8,10,0,0,0,8,254,3,100,118,55,13,6,6,11,0,0,0,0,0,3,20,335,0,4,3,4,6,10,39,28,0,3,0,0,0,0,3,93,0,0,0,0,5,5,16,14,4,0,3,0,3,0,4,52,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,21,3,0,15,26,24,32,34,51,13,3,3,15,9,3,12,235,0,62,95,52,25,12,7,9,0,0,3,0,0,0,16,276,0,339,281,59,41,13,26,15,0,3,0,0,5,0,34,821,3,11,46,145,275,258,304,135,39,55,34,19,21,13,60,1429,0,0,0,0,0,0,20,34,0,3,8,3,3,3,0,76,0,0,0,5,36,72,76,94,32,58,53,31,32,12,20,525,0,17,9,3,23,9,7,5,0,3,0,0,0,0,6,97,0,0,7,12,8,8,13,25,0,4,0,3,3,11,0,88
CED203,38,26,19,16,11,3,25,529,21,1450,2770,1299,134,62,67,47,17,41,54,57,56,25,334,6441,0,3,0,4,13,40,108,69,13,11,6,15,15,16,9,327,0,0,0,3,11,10,40,56,8,8,17,7,13,4,11,192,0,16,85,334,282,231,119,52,5,7,10,13,8,5,47,1218,0,0,12,29,125,205,170,141,21,21,55,73,90,56,38,1025,0,135,140,56,25,3,4,4,0,3,0,0,0,0,27,394,0,41,42,20,21,15,31,18,3,0,0,4,8,7,8,213,3,9,30,86,259,319,588,428,141,173,103,88,85,47,86,2454,0,0,0,0,4,18,49,102,36,58,63,93,102,48,14,587,0,0,0,5,83,254,108,155,27,73,72,77,69,44,28,1011,0,21,33,28,50,45,17,12,4,0,3,8,0,0,7,231,0,0,7,13,29,43,108,48,6,13,15,13,32,14,12,347
CED204,3,9,10,3,0,0,9,231,5,70,93,46,7,3,0,6,0,0,0,0,0,0,24,261,0,0,0,0,3,5,18,13,6,6,3,0,0,0,6,54,0,0,0,0,0,3,18,10,8,3,6,3,3,4,0,60,0,0,0,6,3,5,7,3,0,0,0,0,0,0,18,37,0,0,14,23,36,26,30,28,3,7,0,4,7,8,17,200,0,42,36,23,3,0,0,0,0,0,0,0,0,0,10,116,0,152,134,38,34,8,21,16,0,10,6,0,0,0,24,448,3,6,28,130,282,214,243,142,29,24,23,3,12,4,83,1232,0,0,0,0,0,0,15,27,0,3,8,0,3,0,0,61,0,0,0,11,32,86,71,88,32,28,54,25,40,17,25,501,0,16,13,3,6,13,5,3,0,0,0,0,0,0,3,65,3,0,3,15,7,7,19,9,0,0,4,0,0,3,4,69
CED205,4,10,0,0,9,3,3,208,14,412,999,504,61,25,27,23,0,4,9,7,9,6,95,2193,0,3,0,4,20,40,74,51,3,12,5,15,13,0,8,257,0,0,0,4,26,76,257,340,66,47,39,43,39,26,26,990,0,7,16,121,141,108,64,39,9,4,10,8,7,4,19,558,0,4,37,203,590,974,653,609,177,150,196,213,223,139,101,4275,0,57,58,31,14,0,4,0,0,0,0,0,0,0,8,176,0,169,144,24,18,15,19,13,0,0,0,0,0,0,11,420,8,8,29,111,244,286,519,294,90,129,80,89,56,34,80,2050,0,0,0,9,19,46,153,331,137,236,299,202,189,98,50,1772,0,0,0,8,135,375,237,321,52,67,115,92,88,49,47,1599,0,52,57,67,198,244,47,15,3,0,4,0,7,0,20,723,0,0,6,28,69,152,233,200,46,52,48,49,45,45,13,979
CED206,9,9,11,6,5,0,14,196,3,644,1710,1060,139,45,69,23,4,15,19,10,10,6,162,3916,0,0,3,0,0,8,19,12,0,0,0,0,0,0,0,46,0,0,0,3,3,3,20,21,0,6,0,10,5,4,5,91,0,3,29,471,739,670,578,406,57,71,91,66,68,38,185,3482,0,0,3,21,51,107,53,54,8,22,13,12,12,12,28,394,0,337,633,374,95,44,17,3,0,0,4,0,0,0,61,1578,0,59,49,13,8,3,3,3,0,0,3,0,0,3,7,153,3,4,14,58,146,251,547,322,105,145,138,93,88,49,90,2049,0,0,0,4,10,62,231,305,102,163,149,218,164,126,52,1597,0,0,6,71,277,738,376,410,65,101,107,91,114,56,52,2456,0,27,44,43,185,107,10,9,3,0,0,0,3,0,7,441,0,0,3,6,20,49,67,52,3,17,8,4,13,10,3,249
CED207,3,9,4,3,0,0,4,302,6,277,340,157,23,15,11,16,7,4,0,3,6,0,45,907,0,3,4,5,6,12,27,18,3,0,3,6,3,0,4,89,0,0,0,0,3,7,21,15,5,3,0,3,3,0,0,61,0,0,3,15,19,20,9,12,0,0,0,0,3,0,3,88,0,0,24,22,47,41,55,87,18,11,17,7,21,12,9,382,0,37,46,5,5,0,0,0,0,0,0,0,0,0,13,111,4,423,529,170,154,38,54,25,0,10,8,0,3,5,45,1456,8,19,43,172,355,339,379,156,46,42,28,29,15,13,83,1714,0,0,0,0,3,3,12,6,0,0,0,11,3,0,0,42,0,0,4,0,47,131,103,101,18,11,32,24,14,4,17,508,0,19,37,26,79,43,20,11,0,5,0,4,0,0,5,247,0,0,3,14,13,5,37,28,9,4,3,0,0,0,9,128
CED208,9,15,16,9,9,3,16,360,14,415,875,373,45,19,18,11,4,16,19,28,5,8,76,1933,0,3,3,3,36,65,158,82,24,22,24,18,31,35,16,521,0,0,0,12,29,91,441,538,81,96,90,93,88,54,52,1665,0,3,11,43,31,32,6,6,0,0,0,0,0,3,3,138,3,5,45,147,480,877,774,656,162,186,210,326,418,358,170,4803,0,47,43,15,7,0,0,0,0,0,0,0,0,0,4,116,0,119,103,24,15,10,32,21,7,8,3,8,11,6,14,368,7,12,59,147,263,239,424,247,73,75,78,29,47,57,58,1809,0,0,3,0,5,21,49,87,21,45,45,74,75,35,10,470,0,0,5,18,103,232,124,162,70,60,76,71,104,70,33,1126,0,26,55,50,156,135,32,29,3,9,3,10,0,4,14,513,0,0,6,37,64,132,292,210,41,62,103,89,133,132,44,1346
CED209,17,8,15,12,12,0,14,361,3,180,203,73,14,3,5,22,0,3,7,0,6,0,30,547,0,0,6,3,9,4,35,30,5,3,3,3,4,0,10,125,0,0,0,0,0,4,25,20,5,3,8,3,5,0,4,90,0,0,4,9,7,3,11,4,4,0,0,0,0,0,7,52,0,0,12,32,37,52,34,50,7,23,9,18,15,8,6,294,0,45,49,19,9,6,3,5,0,0,0,0,0,0,8,142,0,323,229,38,33,25,25,31,0,0,3,3,6,3,33,748,4,18,36,143,254,257,360,195,63,58,33,45,29,21,65,1586,0,0,3,0,3,4,8,25,13,22,3,9,15,3,4,109,0,0,3,8,36,87,76,91,19,12,19,18,28,13,20,425,0,23,18,9,30,18,8,3,0,3,4,0,0,0,9,130,0,0,0,22,9,24,22,34,3,3,0,8,5,0,5,137
CED210,12,24,8,3,3,0,14,356,5,320,539,238,38,15,25,9,0,9,3,10,6,10,74,1300,0,3,0,3,3,7,12,10,3,3,0,0,6,4,3,65,0,0,0,0,0,9,16,24,3,8,11,5,0,8,4,85,0,0,0,11,10,10,3,5,0,0,0,0,0,4,17,57,0,0,8,23,30,27,47,40,11,10,16,15,14,15,19,267,0,108,89,47,13,3,0,3,0,0,4,0,0,0,14,286,0,454,294,64,36,10,17,4,6,3,0,0,3,7,45,944,3,14,39,151,247,251,318,193,44,44,30,18,15,12,85,1458,0,0,0,0,3,3,6,68,15,32,76,24,43,12,22,305,0,0,3,10,77,156,245,246,31,31,31,39,51,28,35,980,0,64,73,25,70,49,16,9,0,3,0,0,0,0,29,329,0,3,4,12,22,17,41,29,0,0,0,9,3,7,7,146
CED211,10,14,13,10,4,6,7,356,5,262,388,210,29,13,29,10,0,9,6,10,9,0,36,1016,0,0,0,14,14,35,88,46,7,8,4,15,8,7,14,254,0,0,0,3,3,41,193,237,32,33,24,16,6,14,13,622,0,3,7,22,7,20,8,7,0,0,0,0,0,0,7,80,3,3,34,112,240,472,495,522,96,135,121,104,105,60,60,2560,0,57,36,12,14,4,3,0,0,0,0,0,0,0,9,133,0,231,172,31,41,18,30,11,0,4,0,4,0,0,15,570,9,28,44,162,283,289,442,228,74,58,64,35,42,17,54,1814,0,3,0,5,9,13,37,90,17,35,31,40,62,8,11,365,0,0,4,14,92,211,134,160,28,41,19,46,53,21,7,818,0,33,49,37,93,85,23,15,3,5,0,4,0,0,4,346,3,0,11,31,38,87,160,133,15,27,25,20,28,9,26,617
CED212,36,18,22,18,0,7,14,641,7,192,221,112,32,14,26,11,6,9,9,4,9,0,35,689,0,4,0,7,0,9,53,16,0,3,0,0,9,0,3,106,0,0,0,0,3,12,16,19,6,0,0,3,4,0,5,72,0,3,5,23,28,24,14,5,0,0,3,0,0,0,3,112,0,4,17,33,55,52,49,51,11,0,11,11,11,11,6,325,0,48,39,25,12,3,3,0,0,0,0,0,0,0,3,135,0,269,270,70,63,22,33,23,4,3,0,0,0,0,28,785,16,20,72,224,533,542,633,375,107,83,85,53,59,11,125,2934,0,0,7,8,3,8,3,13,4,3,11,4,3,0,0,70,0,0,0,11,60,163,100,135,23,48,27,42,24,21,28,682,0,21,29,14,122,87,37,15,4,0,6,0,0,0,8,349,0,0,6,9,15,19,36,12,5,0,11,4,3,3,3,139
