CED_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
CED123,22,24,15,12,0,0,21,528,7,145,236,201,38,13,12,11,3,3,7,0,3,7,40,715,0,5,0,0,4,6,21,10,4,0,0,3,0,0,3,66,0,0,0,3,25,35,96,74,4,4,7,8,0,5,7,278,0,8,16,116,95,125,105,39,6,4,10,8,6,5,42,574,0,0,22,52,53,42,42,29,3,18,7,0,6,0,21,301,3,293,348,185,97,36,14,3,4,0,0,0,0,0,45,1021,0,126,194,66,35,16,15,8,0,0,4,0,0,0,20,478,3,11,28,156,428,616,871,374,105,112,109,80,83,39,187,3209,0,5,3,14,22,61,119,145,26,30,31,39,44,13,13,556,0,0,3,54,270,867,606,437,98,80,106,87,96,60,69,2836,0,34,42,22,84,60,43,23,0,0,7,0,3,0,6,318,0,0,3,24,22,23,29,22,0,5,4,4,0,3,5,147
CED124,4,3,0,0,3,0,10,207,3,64,55,32,4,0,0,3,0,0,3,0,0,0,7,178,0,3,3,3,3,3,11,3,0,0,0,0,0,0,0,36,0,0,0,0,4,9,16,7,0,4,3,0,4,6,0,53,0,3,4,8,10,0,0,0,0,0,0,0,0,0,0,31,0,0,21,24,20,5,8,3,4,5,0,0,0,3,3,102,3,65,29,21,7,0,0,0,0,0,0,0,0,0,4,138,0,212,144,60,38,10,20,6,0,0,0,0,3,0,12,502,23,28,83,290,402,240,187,76,22,14,13,4,21,8,84,1489,0,0,0,3,0,0,0,5,0,0,6,0,0,0,0,17,0,0,0,9,58,97,59,61,14,18,23,13,14,3,26,408,0,21,13,3,18,10,4,4,3,0,0,0,0,0,4,84,0,0,3,9,0,5,0,3,0,0,0,0,0,0,0,32
CED125,21,22,6,11,4,12,20,378,0,134,232,253,48,15,10,8,0,0,0,5,3,4,40,754,0,10,8,0,0,12,26,4,3,9,0,0,0,3,0,74,0,0,0,0,12,29,39,32,6,4,3,3,6,8,4,146,0,8,27,269,209,247,163,79,6,17,14,7,8,7,39,1112,0,0,19,42,61,109,57,51,9,8,7,8,17,6,7,387,3,133,138,71,31,16,0,11,3,0,0,0,0,0,16,412,3,66,100,25,34,6,11,4,0,0,0,0,0,0,10,259,7,8,26,150,467,737,1159,504,148,135,203,109,118,57,203,4024,0,0,0,6,22,150,254,206,40,40,47,48,83,31,24,951,0,0,0,63,355,1278,812,489,69,103,87,91,86,42,81,3561,0,12,19,11,184,108,40,21,0,5,0,5,0,0,8,424,0,0,0,25,15,21,23,12,0,7,3,0,3,8,0,120
CED126,23,17,21,13,7,0,19,612,11,234,394,356,34,44,46,29,3,10,21,16,15,4,53,1268,0,3,11,21,39,106,109,59,15,3,6,4,6,18,16,422,0,0,0,5,55,115,101,56,8,13,12,12,18,13,10,402,0,3,14,36,37,21,18,3,6,0,0,0,0,0,3,147,4,9,25,53,65,77,57,19,4,0,6,10,4,0,11,331,0,21,18,17,4,0,3,8,0,0,0,0,0,0,10,81,0,239,141,63,51,36,79,34,11,15,8,25,9,6,31,753,28,37,148,383,586,557,744,313,70,59,44,42,37,32,98,3190,0,0,0,0,3,5,3,3,4,0,0,7,0,0,3,41,0,3,3,38,79,246,235,176,23,51,25,55,34,30,27,1034,0,10,12,11,79,58,41,25,6,7,3,3,3,3,9,279,3,3,18,31,20,37,67,43,3,3,3,9,11,3,6,265
CED127,10,5,8,0,4,0,16,462,4,85,108,96,14,8,7,9,0,0,0,0,0,0,22,360,0,3,5,10,13,33,24,20,3,0,0,6,0,0,7,123,0,0,0,0,13,39,26,17,0,3,0,0,13,9,5,134,0,8,12,34,17,24,22,7,0,0,4,0,0,0,3,132,0,0,26,67,60,45,22,8,3,3,3,0,4,8,11,263,4,165,168,120,45,20,9,8,0,0,0,0,0,0,21,553,0,180,199,61,51,23,30,14,9,3,3,9,3,0,13,603,10,18,80,255,508,404,384,126,27,37,3,9,20,7,60,1951,0,0,0,10,8,4,14,4,0,0,0,0,0,0,3,47,0,0,0,19,67,145,79,82,13,15,21,30,17,14,11,520,0,8,21,28,70,57,23,3,3,0,0,0,0,0,5,219,0,0,13,20,11,10,22,4,0,3,0,0,3,5,3,100
CED128,7,12,0,4,3,0,9,284,17,417,955,551,92,42,27,14,8,0,10,7,4,3,89,2229,0,0,0,0,5,3,17,5,3,0,0,3,0,3,0,54,0,0,0,4,47,50,83,42,10,11,0,7,9,0,8,256,3,24,144,1142,860,1224,916,412,80,50,64,82,65,40,212,5313,0,0,7,20,69,122,58,46,5,14,10,10,12,7,13,392,7,556,666,305,90,22,16,12,0,0,3,0,0,0,67,1742,0,43,60,25,7,11,3,3,0,0,3,0,0,0,3,158,6,8,18,75,251,462,812,455,104,127,81,100,81,46,129,2751,0,0,3,7,42,98,162,228,60,106,154,107,131,81,24,1205,0,0,7,68,431,1236,690,427,78,114,73,82,80,54,87,3424,0,49,27,22,130,84,24,10,0,0,5,3,0,0,14,362,0,0,3,3,14,23,25,20,0,5,0,0,0,0,7,103
CED129,39,41,38,12,21,10,9,559,14,212,309,205,42,16,26,19,0,3,10,13,12,7,56,939,0,5,0,8,19,31,59,25,3,12,13,5,7,3,4,191,0,0,3,16,146,625,817,601,104,96,75,52,41,31,41,2638,0,23,77,221,161,196,86,32,5,0,3,3,5,7,27,849,0,0,24,115,286,464,268,227,33,41,40,44,30,17,22,1615,3,157,133,65,35,18,6,3,0,0,3,0,0,0,7,434,0,97,76,29,17,20,23,20,0,4,0,4,12,3,8,311,3,16,56,154,353,403,615,272,51,71,44,52,35,32,65,2220,0,0,0,16,52,130,215,92,31,48,17,27,41,31,10,707,0,3,15,113,461,950,468,277,40,28,40,47,57,31,62,2581,0,28,18,19,168,134,45,16,4,3,11,0,5,0,9,454,0,0,11,37,74,114,123,121,15,24,23,21,19,13,12,594
CED130,16,13,9,0,0,6,3,200,0,38,39,21,6,4,0,3,0,0,0,0,0,0,18,132,0,0,0,0,0,4,25,9,8,3,0,3,3,0,9,71,0,0,0,0,6,8,14,17,3,11,5,15,63,47,41,223,0,4,0,6,4,7,0,3,3,0,0,0,0,0,4,29,3,3,15,15,11,11,12,20,3,0,3,3,5,11,5,122,0,13,9,5,3,0,0,0,0,0,0,0,0,0,0,40,0,109,75,23,12,11,20,6,0,3,0,0,0,0,9,269,8,19,50,178,309,218,201,122,47,31,28,22,14,12,60,1323,0,0,0,0,0,0,13,21,5,3,5,3,9,9,3,77,0,0,0,3,38,93,57,166,23,103,117,114,109,31,44,898,0,3,4,0,15,5,5,0,0,0,8,0,0,0,0,41,0,0,8,12,9,4,14,14,4,3,7,4,10,3,4,90
CED131,19,20,14,5,8,0,6,297,3,162,294,86,14,9,16,7,0,6,6,6,3,0,49,656,0,3,3,4,3,24,21,14,9,6,3,3,7,12,7,122,0,0,0,0,22,37,85,102,36,32,22,12,17,23,23,402,0,0,0,8,3,3,11,3,0,0,0,0,0,0,0,33,0,3,16,46,53,44,51,67,15,11,24,13,36,40,7,425,0,6,16,4,4,0,0,3,0,0,0,0,0,0,3,41,0,76,41,17,17,16,7,3,0,0,9,4,9,0,9,208,5,14,59,159,374,262,306,158,45,58,25,33,17,23,76,1619,0,0,0,3,5,3,34,36,8,21,44,39,32,11,13,248,0,0,4,10,113,184,107,125,30,50,39,49,45,23,24,799,0,50,36,23,69,42,12,12,0,0,3,3,8,0,13,269,0,0,4,18,19,12,13,8,0,8,11,30,33,18,6,175
CED132,78,44,34,32,24,13,17,963,28,165,272,150,30,25,55,63,29,30,38,40,44,17,42,1020,0,4,14,34,126,407,516,299,80,108,126,141,197,107,113,2265,0,0,0,32,130,300,555,484,66,65,102,73,109,88,85,2088,0,19,29,148,70,39,27,19,6,0,3,0,0,0,15,371,3,4,40,143,396,425,314,206,46,28,48,39,47,44,29,1824,0,21,14,18,11,4,3,3,0,0,0,0,0,4,0,71,0,78,51,28,30,20,50,46,14,9,7,17,28,8,11,389,13,31,118,344,582,583,860,413,150,144,102,90,97,72,98,3703,0,0,0,8,9,29,31,34,9,15,15,26,45,16,6,244,3,0,11,52,165,335,253,283,90,79,94,103,129,85,44,1721,9,31,32,26,123,55,70,61,14,23,21,32,27,12,17,547,3,3,23,67,138,131,157,107,27,23,36,53,47,30,30,880
