CED_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
CED594,3532,2415,5950,81,79,161,120,120,237,84,65,151,254,242,503,773,534,1306,606,305,910,638,325,957,540,442,977,375,254,633,58,37,98,12,11,23,0,0,0,3532,2415,5950,324,237,563,6,6,11,7,3,12,341,247,587,2138,1378,3512,851,634,1484,2258,1559,3819,305,281,585,2133,1447,3584,9,9,17,93,88,186,26,23,53,28,37,67,71,72,145,1035,875,1909,312,183,488,715,434,1144,179,85,262,100,46,142,25,12,33,0,0,0,0,0,0
CED597,408,26,434,0,0,0,0,0,0,0,0,0,17,3,20,124,6,127,120,3,127,94,8,105,43,7,43,8,0,8,3,0,3,3,0,3,397,27,418,8,5,15,3,0,3,0,0,0,0,0,0,10,0,10,177,16,193,164,9,168,288,14,309,51,3,53,250,20,272,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,199,14,215,45,0,44,84,5,84,13,0,13,8,0,8,0,0,0,0,0,0,3004,668,3668
CED601,49289,52099,101390,2946,2827,5775,6250,6055,12304,3410,3157,6565,3654,3345,7000,5803,6007,11810,5657,6248,11905,6586,7081,13665,6353,6914,13259,5182,5575,10759,2555,3239,5790,891,1662,2552,46068,49117,95186,3217,2987,6206,1558,1625,3179,80,73,148,39,64,103,1670,1757,3429,39613,42020,81632,5935,6125,12057,43047,45673,88722,2903,2947,5847,43353,46025,89375,502,430,930,5693,5529,11214,2405,2299,4707,1122,1129,2246,1386,2168,3555,14212,16691,30907,3352,3852,7208,13170,12901,26069,3349,3329,6677,2076,2193,4271,265,306,572,44223,46775,91000,4372,4543,8922
CED602,47253,49808,97058,2736,2730,5463,6147,5830,11977,3072,2931,6003,2636,2551,5190,4872,5220,10095,5173,5649,10818,6507,7044,13553,6814,7154,13964,5567,5890,11456,2877,3362,6242,854,1440,2295,43815,46702,90520,3437,3099,6536,3262,3436,6696,160,153,312,125,141,268,3546,3727,7274,39754,41771,81525,3960,4356,8319,43237,45517,88755,1053,1301,2356,42893,45272,88168,436,392,823,5561,5287,10850,2008,2053,4061,334,499,834,731,1492,2221,9532,12067,21598,3460,4099,7557,14919,14643,29569,4231,4170,8397,2522,2296,4814,136,111,247,42736,45280,88016,3567,3318,6887
CED603,49817,52758,102573,2765,2612,5371,5865,5560,11428,3109,3172,6280,3891,3798,7693,7288,7231,14520,6048,6643,12695,6605,6932,13537,6357,6859,13210,4517,5120,9635,2432,3075,5509,955,1747,2701,46829,49772,96601,2988,2984,5971,1362,1451,2817,65,59,130,59,64,121,1493,1577,3068,37524,39684,77206,8883,9538,18425,40769,43119,83887,5902,6464,12364,42483,45232,87718,430,445,877,5427,5139,10569,2389,2465,4848,1763,1821,3584,2343,3085,5423,21761,23467,45221,3028,3237,6261,8810,9419,18233,2401,2569,4966,1573,1974,3547,251,326,580,44967,47500,92470,4991,5144,10136
CED604,50828,53619,104446,3148,3078,6222,6814,6366,13178,3190,2928,6114,2622,2457,5076,5525,5955,11485,6171,6743,12917,6811,7481,14289,7128,7764,14888,5701,6062,11760,2823,3297,6124,901,1491,2394,47692,50662,98354,3134,2958,6092,2191,2184,4374,104,105,207,83,77,165,2374,2365,4740,41571,43786,85357,6304,6754,13056,45665,48405,94068,2146,2577,4722,45741,48853,94595,465,498,957,6340,5923,12255,2403,2259,4663,736,758,1496,1166,2161,3326,17521,20246,37773,3737,4058,7797,11670,12146,23818,2876,2852,5723,1598,1639,3242,105,89,192,46430,49527,95960,3074,2909,5985
CED605,51723,51790,103510,2922,2670,5593,6589,6225,12808,3151,2899,6051,2431,2382,4814,4713,5208,9920,5446,5886,11333,7299,7548,14851,8363,8342,16702,7069,6609,13678,2981,2947,5930,752,1072,1823,47982,48450,96430,3744,3339,7076,2182,2270,4449,171,152,320,108,125,233,2458,2544,4999,42661,42398,85059,4496,4728,9227,47208,47034,94244,847,1082,1932,46664,46615,93283,430,417,846,5876,5500,11382,2037,1978,4014,341,416,755,604,1479,2087,11032,13912,24943,3587,4169,7758,15742,14260,29997,4716,4064,8783,2592,1960,4556,166,100,258,46479,46782,93266,3911,3963,7873
CED694,524,393,912,27,20,40,16,22,36,34,33,62,56,29,90,120,69,183,93,54,147,77,59,135,52,56,113,48,38,84,8,5,12,0,0,3,0,0,0,524,393,912,34,22,54,4,0,4,3,0,3,34,22,55,376,286,659,72,66,139,378,300,680,31,31,67,363,301,666,3,9,11,12,18,33,10,21,28,4,6,9,15,15,28,141,149,296,32,24,62,121,85,209,37,23,51,19,13,34,0,0,3,0,0,0,0,0,0
CED697,49,21,68,0,0,0,0,0,0,0,0,0,6,4,8,15,3,23,5,0,5,10,3,15,8,4,12,4,3,7,0,0,0,0,0,0,46,18,65,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,28,16,49,15,3,18,37,18,60,9,0,10,34,19,51,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,18,11,25,8,4,10,16,4,22,0,0,0,0,0,0,0,0,0,0,0,0,471,218,691
CED701,60055,54495,114545,4533,4282,8816,9132,8350,17480,4195,3614,7813,4436,3887,8324,10179,9372,19546,8681,7902,16580,8518,7827,16341,6293,5719,12018,3087,2492,5577,848,813,1660,151,229,380,56305,51054,107365,3744,3436,7185,23430,23197,46626,166,141,311,433,442,871,24037,23774,47811,45291,42105,87400,7106,6658,13760,29372,26453,55828,20485,21365,41856,47654,45513,93166,880,914,1795,7597,7072,14667,1858,1620,3482,285,373,653,1058,2162,3222,13164,15095,28258,5395,4922,10318,9322,7574,16897,3292,2835,6123,4054,3730,7777,872,863,1738,47274,46854,94133,22332,14357,36696
CED702,58527,55594,114120,4513,4374,8882,7416,7100,14520,3308,3019,6327,4398,3861,8265,11815,11575,23389,9150,8829,17984,7669,7202,14870,5775,5417,11192,3190,2811,6002,1046,1081,2125,243,321,560,54925,52865,107794,3597,2727,6329,4077,4425,8504,224,208,439,409,409,815,4709,5045,9752,36233,33644,69876,15873,16208,32079,39434,36605,76035,12936,13488,26428,44552,41996,86546,797,802,1600,6540,6274,12813,2083,2045,4124,798,1056,1856,2186,3846,6030,23886,24803,48685,5661,4582,10240,7757,6250,14013,1803,1589,3392,1412,1450,2867,276,322,599,50164,49427,99589,12464,9602,22064
CED794,1332,1157,2489,45,34,81,48,76,123,16,17,32,98,85,183,219,239,457,215,180,396,257,203,461,229,212,438,174,105,278,20,10,38,0,0,0,0,0,0,1332,1157,2489,381,297,683,5,4,11,4,3,7,394,305,696,750,630,1379,191,209,402,720,642,1364,234,218,455,945,813,1750,0,0,4,33,44,84,14,9,18,18,3,21,20,16,33,304,348,654,97,78,170,262,175,434,81,60,144,80,44,124,15,7,19,0,0,0,0,0,0
CED797,61,14,70,0,0,0,0,3,3,0,0,0,4,0,3,23,3,30,16,0,19,11,0,9,3,0,3,0,0,0,0,3,3,0,0,0,61,14,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,16,47,3,53,16,10,27,37,3,37,11,7,21,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,42,3,42,0,3,6,5,3,8,8,0,8,0,0,0,0,0,0,0,0,0,185,68,252
CED801,96420,99615,196037,5917,5610,11531,11683,10903,22585,6530,6446,12977,7594,7059,14652,14468,14693,29170,12894,13367,26258,13058,13942,27002,11318,11987,23306,7893,8647,16544,3675,4597,8268,1384,2369,3752,91125,94446,185569,5295,5173,10471,1645,1617,3262,53,50,99,64,55,112,1753,1722,3480,68028,68844,136871,22524,24875,47404,73549,75080,148633,16779,18966,35741,82477,85092,167571,1038,1030,2069,11006,10291,21297,5255,5299,10553,3684,3650,7335,4245,5615,9857,53707,55672,109376,4048,4050,8097,10266,12125,22385,2724,2992,5712,1747,2093,3838,263,313,575,85235,89098,174332,12473,10750,23222
CED802,100046,102909,202955,8030,7338,15365,13065,12278,25344,5873,5732,11604,8277,8491,16768,17983,19042,37027,16112,16215,32323,12062,12182,24243,8712,9755,18464,6146,7004,13150,2825,3386,6212,958,1495,2449,95298,98329,193632,4743,4582,9327,1531,1527,3052,40,43,80,35,38,72,1600,1608,3206,66481,67705,134184,28266,29935,58200,69822,71241,141062,25088,26651,51736,83836,85929,169758,1401,1290,2687,12261,11615,23878,4673,4704,9379,4225,4622,8852,5748,7139,12886,56464,58673,115141,3851,3713,7569,9209,10339,19549,2477,2776,5250,1696,2258,3954,360,470,828,92355,95227,187585,6641,6554,13196
CED894,312,228,538,5,6,12,10,12,22,16,20,35,36,42,79,63,44,108,67,40,107,43,26,68,38,34,78,15,9,24,5,4,8,0,3,3,0,0,0,312,228,538,13,12,29,0,0,0,0,0,0,15,12,33,209,144,351,58,65,130,190,160,355,42,41,82,208,166,372,3,0,5,10,12,20,3,13,16,17,11,29,20,21,42,120,138,257,11,10,20,63,23,86,17,10,23,8,5,12,3,0,3,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,12
CED994,21,28,55,0,0,3,0,3,3,0,3,3,6,4,10,0,0,0,4,5,5,3,4,9,3,4,11,6,6,13,0,0,0,0,0,0,0,0,0,21,28,55,3,0,3,0,0,0,0,0,0,3,0,3,14,15,24,9,17,22,20,21,40,5,10,10,16,19,39,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,16,25,0,3,3,6,10,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CED997,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,17,3,19
