CED_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED317,17595,217,212,742,152,18917,14631,140,109,123,106,15110,4898,685,1017,78,30,6716,1958,364,496,12,18,2839,4065,274,353,98,45,4837,319,42,93,0,6,465,1521,217,158,204,46,2148,581,38,38,41,18,717,13353,1628,2164,428,160,17732,400,16,12,38,9,476,1437,97,145,165,75,1917,47421,2098,2646,1493,506,54158
CED318,11348,721,1111,406,95,13681,16009,865,1237,60,63,18227,6091,2438,4966,27,83,13606,3450,610,752,6,12,4826,2777,773,1097,59,66,4770,440,132,102,7,0,679,967,300,283,141,39,1721,281,56,77,21,9,446,14004,4314,7271,266,208,26054,241,175,33,13,13,474,1202,233,427,123,134,2111,42801,6305,10080,869,506,60555
CED319,14234,1145,848,55,26,16306,17025,1441,1206,13,32,19722,6235,2315,4992,26,48,13615,1049,674,1008,0,4,2744,2126,528,830,13,20,3513,84,120,189,0,5,396,239,190,131,73,14,652,144,37,62,3,0,244,9883,3867,7210,114,91,21171,159,140,247,8,6,560,899,260,314,11,57,1545,42205,6855,9822,203,217,59299
CED320,13740,1077,260,473,28,15572,19028,474,87,31,27,19643,9365,2791,458,10,50,12679,670,533,105,0,0,1315,2433,400,194,13,22,3056,73,133,73,4,0,275,248,59,70,88,15,485,175,31,28,4,0,244,12966,3952,919,129,89,18055,200,153,78,7,3,442,987,207,92,41,22,1350,46919,5853,1434,683,171,55062
CED321,19293,246,92,428,114,20172,14511,90,34,99,93,14828,6261,784,800,17,39,7903,846,233,199,8,9,1294,4165,137,137,58,57,4547,137,129,89,3,0,364,1915,69,118,139,62,2301,758,20,28,28,16,842,14090,1376,1368,251,185,17261,499,46,15,16,8,586,1450,111,92,95,36,1783,49845,1866,1598,886,435,54631
CED322,11047,2885,2183,108,21,16243,13976,3386,1504,15,25,18907,3906,3902,3858,20,51,11733,330,336,382,0,3,1056,1564,1486,1295,14,27,4382,27,46,54,0,0,125,112,167,157,4,3,454,134,68,91,3,3,300,6074,6009,5846,43,81,18050,142,72,133,3,3,350,707,333,358,12,18,1428,31939,12688,10014,185,154,54977
CED323,8776,2875,4346,265,64,16327,11317,2667,3277,22,39,17315,3511,3750,9598,9,72,16950,456,364,641,0,4,1465,1497,1327,2818,6,38,5684,23,58,213,0,0,301,148,159,370,272,23,968,93,71,181,10,3,348,5722,5732,13814,297,145,25721,137,268,204,3,3,625,709,508,853,37,103,2205,26662,12049,22490,622,361,62189
CED324,14396,796,520,13,27,15760,14794,1636,749,11,46,17236,5836,3007,2191,13,55,11109,725,411,488,0,6,1635,2836,789,531,14,37,4198,105,89,95,0,9,303,251,142,49,55,8,508,156,38,25,3,3,229,9911,4478,3385,86,121,17977,182,69,111,0,18,382,912,411,148,11,114,1596,40197,7400,4917,120,316,52950
CED325,10773,481,137,55,6,11459,19192,650,30,30,17,19912,8962,2424,110,21,54,11566,2050,349,86,22,7,2512,2382,417,20,8,10,2839,78,114,16,3,3,212,598,102,9,121,8,836,145,39,3,0,4,190,14216,3436,238,181,77,18150,160,94,112,3,0,368,955,162,59,17,30,1215,45284,4828,575,287,133,51109
CED326,13214,1129,1284,169,29,15823,18132,880,603,18,32,19665,9639,3155,1799,0,64,14664,1033,396,798,0,0,2220,2175,612,401,22,16,3221,55,147,109,0,5,319,390,202,41,238,18,881,159,44,47,4,3,257,13449,4547,3195,267,103,21564,235,431,205,6,3,877,948,232,189,21,29,1424,45978,7213,5481,482,203,59353
CED327,11472,704,126,88,15,12410,20286,1563,89,30,18,21983,8810,4007,465,40,47,13359,1688,508,127,13,0,2345,2511,754,123,11,6,3409,73,115,38,0,17,238,245,152,51,69,6,521,151,52,22,0,0,232,13469,5586,819,138,78,20098,177,67,80,3,8,337,1044,229,68,20,28,1395,46445,8156,1189,279,149,56220
CED328,14121,736,1866,8,21,16750,16425,480,1717,9,28,18667,4730,794,5603,13,53,11192,452,50,259,0,0,757,1761,211,1466,4,27,3463,39,36,97,0,0,172,571,56,121,0,11,756,116,9,48,0,0,176,7672,1155,7586,13,92,16520,166,162,113,0,4,441,599,103,227,0,53,984,38980,2629,11513,38,198,53354
CED329,19405,1028,432,466,77,21403,15695,430,247,93,100,16562,5749,1104,818,46,30,7754,749,346,248,0,3,1346,3335,412,297,46,50,4151,76,87,46,0,0,216,377,50,51,116,22,617,299,42,32,17,6,393,10584,2044,1499,232,119,14481,271,235,37,12,3,563,1193,185,94,52,49,1574,47150,3924,2305,854,355,54584
CED330,14188,283,89,224,59,14842,22689,156,32,102,71,23057,5517,536,192,46,23,6323,205,93,44,0,0,341,2589,113,42,52,28,2830,52,23,12,0,3,89,345,18,11,88,4,470,260,5,5,7,3,281,8962,794,313,195,68,10329,262,23,20,9,0,315,1164,49,30,115,148,1501,47261,1303,482,648,342,50044
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED401,13176,3155,1505,58,35,17921,12405,3957,1556,30,60,18007,3622,4424,4898,38,46,13023,945,2114,863,6,15,3942,2526,2049,1793,51,40,6466,246,505,402,5,7,1163,285,170,177,9,4,652,144,89,60,0,3,297,7776,9357,8200,111,109,25548,202,297,297,5,4,803,701,463,349,19,57,1581,34251,17219,11900,218,269,63864
CED402,19537,521,192,307,91,20642,18032,384,88,84,89,18671,4838,1027,769,11,32,6680,1366,928,254,0,0,2552,3678,217,163,34,26,4119,221,210,76,0,0,507,1076,97,57,69,33,1339,474,53,19,12,4,564,11657,2528,1340,127,101,15748,621,253,49,9,7,940,1274,184,108,27,45,1631,51121,3862,1776,549,327,57640
CED403,16767,2261,536,39,37,19646,18332,2144,463,17,39,20997,2984,1834,1042,12,24,5901,606,1091,184,0,4,1894,2228,847,489,8,10,3580,158,348,122,0,0,634,140,61,41,42,8,294,136,58,21,4,0,222,6254,4245,1906,63,56,12518,379,382,161,0,32,946,733,296,104,7,15,1159,42466,9329,3166,131,176,55275
CED404,18804,894,130,408,148,20392,14371,1104,53,89,83,15709,4078,1078,399,12,16,5589,1904,2132,490,0,11,4532,3530,442,116,51,56,4193,321,129,62,0,6,515,1269,199,70,76,50,1654,484,77,21,15,20,612,11589,4056,1146,150,156,17102,383,94,45,19,7,549,1199,272,77,73,41,1666,46359,6421,1451,751,438,55417
CED405,15693,3690,1341,24,47,20806,12712,3722,1365,17,78,17886,3245,2986,3331,32,24,9624,840,1827,1081,0,7,3751,2608,1525,1514,18,29,5694,119,353,211,0,7,686,176,107,168,7,4,457,137,87,58,0,6,285,7124,6883,6365,57,77,20495,233,680,217,0,7,1132,761,473,302,6,26,1559,36519,15448,9580,100,230,61881
CED406,14203,814,314,137,30,15493,23249,785,163,15,37,24242,5823,969,273,0,20,7091,1504,921,215,0,0,2647,3209,409,85,3,8,3718,305,143,58,0,0,500,161,39,8,42,4,260,115,28,0,0,0,153,11118,2517,640,50,39,14363,206,449,212,3,0,866,950,228,64,7,8,1268,49726,4791,1397,215,109,56230
CED407,16230,801,301,9,14,17353,22077,1186,384,10,29,23689,3779,1275,767,6,8,5842,1275,579,167,3,3,2029,2682,423,195,6,13,3324,183,115,32,0,0,331,347,55,23,0,4,424,114,17,13,3,0,149,8379,2464,1197,23,27,12094,516,555,90,0,3,1158,861,144,55,0,14,1071,48059,5144,2025,47,89,55363
CED408,19266,512,84,221,90,20178,20480,195,52,54,78,20861,4121,393,192,17,10,4732,502,143,43,0,5,693,2828,195,77,18,30,3149,164,144,32,0,0,347,363,22,5,40,3,434,243,18,11,4,4,273,8226,916,358,81,50,9626,554,338,28,3,22,936,958,98,25,18,22,1109,49486,2054,539,375,257,52708
CED409,14097,1834,329,138,31,16434,19542,2825,483,32,66,22950,4431,2157,1254,11,28,7881,2342,2484,631,0,11,5464,3363,1038,608,22,22,5051,297,309,139,0,0,746,457,157,112,29,3,754,185,86,28,3,0,301,11081,6225,2763,69,62,20196,275,309,27,3,8,622,1111,356,139,10,17,1629,46106,11551,3741,253,189,61833
CED410,17484,2918,695,40,22,21151,14988,2722,757,5,53,18529,3697,2031,1728,8,27,7492,865,804,582,0,3,2251,2495,1009,871,13,23,4416,216,269,127,0,0,616,220,95,107,13,4,439,159,63,43,0,0,261,7651,4266,3459,31,62,15473,373,775,210,0,5,1363,743,342,173,4,16,1274,41245,11021,5292,78,155,57793
CED411,14484,715,75,172,54,15506,22925,1028,58,48,72,24134,6500,2054,405,9,27,8991,1305,2308,206,3,4,3830,3440,522,111,11,18,4101,240,393,95,0,6,734,843,87,36,44,8,1016,228,76,22,6,4,331,12554,5433,886,68,66,19001,318,166,46,3,4,529,1187,314,72,21,22,1608,51466,7657,1131,311,211,60781
CED494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,11001,702,165,117,8,11993,26237,686,223,58,47,27250,6877,922,443,14,17,8273,690,378,229,0,0,1297,3340,332,172,19,5,3870,47,39,53,0,0,138,612,56,26,31,0,726,130,25,14,3,0,172,11702,1740,938,70,23,14476,154,189,8,3,0,362,1034,169,61,14,16,1291,50126,3493,1393,262,99,55369
CED502,12079,990,52,29,11,13162,26395,1919,95,11,16,28438,5048,1557,147,7,25,6776,714,620,71,0,0,1410,3208,515,51,7,8,3782,47,103,12,0,0,166,346,58,4,42,4,450,146,45,3,0,0,199,9507,2895,289,55,41,12785,236,258,28,0,0,525,962,266,14,4,9,1255,49179,6329,478,94,80,56159
