CED_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED513,11830,2010,1584,22,34,15479,13021,3061,3207,23,46,19357,3746,2589,6770,40,51,13194,408,815,802,4,4,2040,2833,1211,1871,13,26,5948,63,161,226,0,0,454,198,107,204,5,4,515,129,57,74,0,3,261,7375,4940,9953,59,89,22418,137,291,198,0,7,640,751,265,385,16,20,1436,33119,10570,15324,124,201,59326
CED514,12762,3907,342,32,12,17053,11911,6967,665,5,52,19591,3267,5098,1151,4,24,9537,546,1414,315,0,3,2276,2361,2534,361,3,20,5275,59,206,44,3,0,310,306,248,51,5,3,610,138,121,19,0,0,283,6673,9621,1928,10,47,18283,145,253,57,0,3,450,727,602,131,0,20,1471,32208,21343,3119,44,136,56856
CED515,11199,2920,768,20,30,14938,13642,3912,1229,17,43,18844,5555,4740,2904,12,58,13256,1465,1283,430,0,6,3180,3491,2139,812,9,32,6481,129,226,107,0,9,466,368,215,80,0,10,681,179,112,31,0,3,319,11186,8711,4361,19,112,24384,370,259,176,0,4,808,919,511,273,3,27,1736,37311,16318,6813,59,220,60718
CED516,16947,2390,366,6,19,19729,14420,1914,253,4,40,16633,3762,1451,427,0,14,5659,340,396,39,0,3,778,2358,812,146,0,5,3314,37,50,24,0,0,117,156,51,18,0,0,225,130,43,4,0,0,177,6780,2804,653,3,24,10265,160,314,256,0,3,730,635,215,73,0,17,932,38949,7633,1591,17,103,48299
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,12168,548,394,50,51,13207,11997,380,226,28,41,12667,3623,741,1025,29,29,5449,1070,467,450,3,3,1997,2471,392,483,20,20,3388,149,182,115,0,3,444,303,93,69,19,6,496,186,36,28,4,3,255,7803,1904,2173,76,66,12024,255,91,15,0,3,364,753,130,117,6,18,1024,32974,3050,2926,159,175,39289
CED602,13306,450,71,136,37,14003,11849,132,28,33,35,12081,3162,639,155,15,12,3988,1518,729,82,0,4,2327,2803,343,76,20,18,3266,230,124,55,0,0,412,505,63,41,47,12,664,234,43,12,9,0,292,8451,1947,426,90,42,10952,197,52,26,8,3,282,904,163,37,18,16,1137,34710,2741,584,287,142,38452
CED603,11539,537,742,50,17,12892,11450,494,595,28,11,12586,3072,908,2162,39,26,6211,906,392,783,0,5,2075,2433,569,1158,42,34,4242,113,151,186,0,0,454,202,72,123,6,4,410,129,34,44,3,0,216,6851,2122,4466,96,68,13604,155,86,132,0,0,375,680,130,190,10,20,1036,30680,3379,6132,174,131,40488
CED604,14239,269,136,105,28,14771,14794,218,122,46,36,15215,2935,359,205,13,5,3520,1007,324,90,0,0,1417,2450,183,126,29,14,2788,167,67,42,0,3,273,222,20,12,19,4,285,172,15,7,4,0,202,6947,962,483,67,27,8487,282,47,17,3,0,352,786,71,29,20,5,909,37045,1563,786,239,90,39726
CED605,15105,121,136,159,61,15576,13376,51,106,77,71,13681,2655,161,237,15,4,3079,1204,133,129,0,0,1468,2913,60,117,43,20,3150,169,67,30,0,0,268,575,19,18,21,9,650,332,12,14,3,8,365,7847,452,548,89,43,8977,271,10,7,4,3,301,988,30,35,20,16,1096,37594,656,835,340,195,39625
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,3461,175,57,692,88,4468,6364,534,69,205,61,7228,1310,810,351,55,17,2543,4314,707,283,49,21,5373,1268,251,111,121,42,1793,1008,98,38,12,23,1181,2249,520,508,246,58,3580,500,75,25,36,17,656,10645,2457,1313,514,184,15126,315,32,8,60,9,419,848,155,94,206,53,1353,21638,3347,1548,1675,395,28604
CED702,4181,453,705,251,18,5615,9125,1015,1869,48,21,12076,3480,1441,4388,34,27,9368,1198,614,674,7,9,2501,1657,630,1223,20,26,3556,104,51,34,0,3,188,1264,143,584,48,35,2072,98,37,72,6,0,208,7788,2919,6973,111,101,17895,94,37,37,12,4,189,603,159,344,72,37,1218,21793,4585,9927,497,184,36987
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED801,17599,2503,1307,72,30,21513,21001,2782,2534,21,19,26350,3601,2246,4888,7,24,10760,2289,1247,798,3,3,4339,2294,910,1371,7,17,4599,94,116,94,0,3,313,465,146,184,47,9,850,168,55,34,0,0,262,8919,4710,7371,66,60,21124,185,243,108,3,3,548,873,278,308,13,16,1487,48577,10521,11627,169,130,71018
CED802,14289,2400,600,3,22,17314,21894,4911,1891,12,20,28718,4300,3771,4494,7,31,12601,2187,1223,823,0,19,4249,2724,1525,1320,3,30,5602,155,112,80,0,15,370,1015,234,179,0,3,1437,136,62,39,0,0,234,10518,6923,6940,12,102,24494,163,141,116,3,4,424,882,383,248,8,9,1527,47746,14757,9783,36,153,72475
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
